,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-3085.7,-760.1,-202.6,-962.7,429.1,1042.5,-544.2,210.6,1138,955.7,-340.5,0,0,-4.5,-4.5,1.9,-343.1,-565.8,225.1,-340.6999,-64,-64,-72.4,-95.8998,-573,31.6,-22,-72.4
2022-09-30,856.2,248.8,92.6,341.4,292.2,-224.1,-528.7,132,-328.6001,888.8,-353.7,0,0,-4.3,-4.3,3.4,-354.6,-15.9,-16.8,-32.7,-601.8,-601.8,-68.8,53.7999,-649.5,-134.9,6.5,-68.8
2022-06-30,1043.8,265,396.8,661.8,-808.3,-536.8,1369.8,-195.1,-170.3999,1585.1,-262.6,0,-1.7,-4.8,-6.5,4.4,-264.7,-14.5,-160.1,-174.6,-577.3,-577.3,-53.9,-525.4,-1331.2,-44,-0.9,-53.9
2022-03-31,1185.70000,246.30000,-286.80000,-40.50000,87.00000,-281.60000,-296.90000,-147.50000,-639.00000,506.20000,-290.50000,,1.70000,-5.90000,-4.20000,-2.50000,-297.20000,-14.10000,171.10000,157.00000,-422.10000,-422.10000,-40.60000,180.70000,-125.00000,115.10000,16.40000,-40.60000
2021-12-31,661.4,233.3,-11.2,222.1,-461.9,-493.2,325.3,174,-455.8,430.4,-362.8,0,0,-3.4,-3.4,-25.5,-391.7,-13.6,0,-13.6,-390.9,-390.9,-39.6,340.7,-103.4,-72.4,5.2,-39.6
2021-09-30,376.5,203.8,236.9,440.7,-175.3,-172.7,-54.2,-1.4,-403.6,422.7,-340,0,0,-5.7,-5.7,-5.3,-351,-466,0,-466,-20,-20,-47.9,-84.4,-618.3,-578.7,5.1,-47.9
2021-06-30,438.8,221.5,59.2,280.7,-44.9,-221.3,659.4,-80.5,312.7,1015.1,-297.2,0,0,-1.5,-1.5,27.6,-271.1,-14.2,-15,-29.2,0,0,-28.6,-24.3,-82.1,731.1,4.3,-28.6
2021-03-31,158.20000,226.20000,17.40000,243.60000,-1.50000,-180.70000,64.60000,34.60000,-83.00000,318.80000,-288.60000,,0.00000,-12.90000,-12.90000,-7.00000,-308.50000,-114.50000,15.00000,-99.50000,,,-18.90000,240.10000,121.70000,111.90000,14.90000,-18.90000
2020-12-31,828.3,225.8,-700.8,-475.0001,-91.3,-1,-77.1,23,-146.4,238.4,-384.8,0,-1,-1.8,-2.8,-7.2,-394.8,-20.7,-206.0001,-226.7001,0,0,-19.1,12.9,-232.9,-350.7,12.6,-19.1
2020-09-30,-4.6,222.6,-93.5,129.1001,-105.1,263,19.4,38.4,215.7,340.6,-265.1,0,0.2,-1.5,-1.3,-0.7,-267.1,-14.8,-388.8999,-403.6999,0,0,-19.4,204.6,-218.5,-146.5,7.1,-19.4
2020-06-30,45.9,232.1,85,317.1,28,-46.2,245,223.9,450.7,813.7,-257.2,0,0.7,-2,-1.3,0.6,-257.9,-17.2,-399.3,-416.5,0,0,-19,-95.2,-530.7,9.7,8.2,-19
2020-03-31,-204.00000,235.10000,151.90000,387.00000,14.80000,-24.40000,146.00000,-129.50000,6.90000,189.90000,-263.50000,,0.10000,-6.20000,-6.10000,-0.10000,-269.70000,-14.20000,972.80000,958.60000,,,-18.90000,-241.40000,698.30000,549.60000,-10.10000,-18.90000
