,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,190,331,74,405,-73,-19,238,-309,-288,219,-640,0,160,0,0,0,12,-468,-1,475,474,0,0,-167,-5,302,53,0,-167
2022-09-30,174,327,60,387,-56,-94,-46,81,-29,532,-506,0,0,0,0,0,3,-503,587,-478,109,0,0,-167,-4,-62,-33,-18,-167
2022-06-30,119,297,43,340,-9,-19,162,-22,18,477,-582,0,-3674,0,0,0,0,-4256,0,3,3,0,0,-147,10,-134,-3913,7,-147
2022-03-31,273.00000,278.00000,43.00000,321.00000,-38.00000,42.00000,4.00000,-153.00000,-92.00000,502.00000,-427.00000,,,,,,,-427.00000,,916.00000,916.00000,,,-306.00000,-7.00000,603.00000,678.00000,11.00000,-306.00000
2021-12-31,134,281,45,326,11,-24,56,-97,-127,292,-513,0,0,0,0,0,-1,-514,0,69,69,-721,-721,-318,-4,-974,-1196,0,-318
2021-09-30,207,264,108,372,-15,-40,-6,31,-122,457,-491,0,0,0,0,0,-14,-505,-2227,0,-2227,-282,-282,-321,16,-2814,-2862,-17,-321
2021-06-30,19,298,225,523,50,2,16,100,316,858,-498,0,0,0,0,0,10209,9711,-1729,-1547,-3276,0,0,-320,65,-3531,7208,11,-320
2021-03-31,-1840.00000,278.00000,2332.00000,2610.00000,-60.00000,41.00000,-42.00000,-90.00000,-107.00000,663.00000,-471.00000,,,,,,-264.00000,-735.00000,-300.00000,679.00000,379.00000,,,-320.00000,-130.00000,-71.00000,-21.00000,6.00000,-320.00000
2020-12-31,290,278,63,341,-70,-9,32,-246,-256,499,-580,0,0,0,0,0,-320,-900,250,243,493,-32,-32,-319,211,353,-61,0,-319
2020-09-30,281,275,128,403,0,0,48,88,264,948,-532,0,0,0,0,0,-253,-785,-975,425,-550,-1,-1,-320,159,-712,-641,0,-320
2020-06-30,344,268,9,277,0,-12,-39,137,-14,607,-542,0,0,0,0,0,-198,-740,1698,-1026,672,13,13,-319,139,505,408,-6,-319
