,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,173,463,-30,433,-128,-111,497,562,711,1317,-1204,0,-16,-16,1,-1219,777,699,1476,14,14,-277,-22,1191,1289,0,-277
2022-09-30,619,525,181,706,-57,12,17,-758,-664,661,-1206,0,-23,-23,1,-1228,-14,-153,-167,14,14,-268,-11,-432,-999,10,-268
2022-06-30,254,539,-21,518,336,-45,200,333,712,1484,-1153,0,-15,-15,2,-1166,-343,1331,988,15,15,-268,-10,725,1043,-5,-268
2022-03-31,554.00000,529.00000,191.00000,720.00000,-431.00000,33.00000,-156.00000,-353.00000,-801.00000,473.00000,-942.00000,,-10.00000,-10.00000,,-952.00000,-26.00000,-175.00000,-201.00000,14.00000,14.00000,-276.00000,-7.00000,-470.00000,-949.00000,-5.00000,-276.00000
2021-12-31,186,521,222,743,-20,-82,59,280,92,1021,-1033,0,-14,-14,0,-1047,769,452,1221,15,15,-262,-17,957,931,0,-262
2021-09-30,469,511,110,621,-228,5,130,-802,-771,319,-437,0,0,0,0,-437,169,-920,-751,15,15,-261,152,-845,-963,10,-261
2021-06-30,118,503,40,543,211,-22,33,342,443,1104,-1082,183,-11,-11,6,-904,351,-97,254,789,789,-254,32,821,1021,-5,-254
2021-03-31,420.00000,497.00000,209.00000,706.00000,-205.00000,17.00000,-178.00000,-567.00000,-837.00000,289.00000,-1095.00000,,-5.00000,-5.00000,4.00000,-1096.00000,-445.00000,183.00000,-262.00000,16.00000,16.00000,-253.00000,27.00000,-472.00000,-1279.00000,-5.00000,-253.00000
2020-12-31,49,492,159,651,-137,-3,151,160,130,830,-1243,0,-3,-3,6,-1240,1195,41,1236,567,567,-244,-27,1532,1122,12,-244
2020-09-30,501,482,69,551,-214,-17,187,-959,-864,188,-1049,0,-9,-9,6,-1052,54,16,70,15,15,-244,-8,-167,-1031,-2,-244
2020-06-30,202,476,2,478,-26,-10,-12,200,88,768,-962,0,-7,-7,5,-964,-404,605,201,14,14,-244,-4,-33,-229,-5,-244
2020-03-31,392.00000,470.00000,223.00000,693.00000,-88.00000,26.00000,-156.00000,-495.00000,-673.00000,412.00000,-965.00000,,-8.00000,-8.00000,5.00000,-968.00000,1562.00000,-484.00000,1078.00000,102.00000,102.00000,-243.00000,-24.00000,913.00000,357.00000,-5.00000,-243.00000
2019-12-31,313,431,-50,381,-16,6,77,418,480,1174,-847,0,-56,-56,5,-898,535,392,927,14,14,-234,-19,688,964,-3,-234
2019-09-30,503,422,147,569,-137,-14,89,-646,-650,422,-943,0,-71,-71,6,-1008,-45,139,94,13,13,-235,-3,-131,-717,-4,-235
2019-06-30,179,418,-23,395,227,-17,-48,406,500,1074,-944,0,-50,-50,6,-988,518,-274,244,414,414,-229,-19,410,496,-4,-229
2019-03-31,445.00000,413.00000,88.00000,501.00000,-43.00000,31.00000,-108.00000,-440.00000,-482.00000,464.00000,-855.00000,,-38.00000,-38.00000,5.00000,-888.00000,814.00000,-1131.00000,-317.00000,438.00000,438.00000,-226.00000,-3.00000,-108.00000,-532.00000,-3.00000,-226.00000
2018-12-31,331,377,-19,358,86,-16,-38,465,406,1095,-912,-1488,-129,-129,5,-2524,506,1214,1720,719,719,-211,-38,2190,761,-1,-211
2018-09-30,435,359,156,515,-253,-20,53,-244,-390,560,-1006,0,-87,-87,12,-1081,-435,483,48,13,13,-211,-5,-155,-676,-4,-211
2018-06-30,188,354,59,413,183,-17,-91,295,296,897,-944,0,-19,-19,6,-957,1031,-520,511,13,13,-211,-15,298,238,-3,-211
2018-03-31,428.00000,348.00000,93.00000,441.00000,-129.00000,33.00000,30.00000,-667.00000,-726.00000,143.00000,-888.00000,,-32.00000,-32.00000,11.00000,-909.00000,-10.00000,812.00000,802.00000,13.00000,13.00000,-209.00000,-1.00000,605.00000,-161.00000,-4.00000,-209.00000
2017-12-31,505,343,-282,61,23,3,149,433,574,1140,-1070,-45,-15,-15,5,-1125,695,221,916,14,14,-203,-8,719,734,-3,-203
2017-09-30,457,336,269,605,-156,20,40,-424,-409,653,-849,0,-13,-13,8,-854,-3,-680,-683,355,355,-202,-1,-531,-732,-3,-202
2017-06-30,175,333,37,370,197,-44,-16,512,581,1126,-871,0,-12,-12,8,-875,482,200,682,13,13,-199,-7,489,740,-3,-199
2017-03-31,388.00000,329.00000,213.00000,542.00000,-40.00000,26.00000,-78.00000,-418.00000,-482.00000,448.00000,-867.00000,,-5.00000,-5.00000,16.00000,-856.00000,89.00000,-218.00000,-129.00000,12.00000,12.00000,-199.00000,-4.00000,-320.00000,-728.00000,-2.00000,-199.00000
2016-12-31,206,311,232,543,69,-2,-113,462,374,1123,-1242,-152,-36,-36,197,-1233,497,453,950,13,13,-193,-8,762,652,-3,-193
2016-09-30,497,306,187,493,-239,-14,163,-202,-285,705,-622,930,-961,-961,-78,-731,-401,-107,-508,11,11,-192,-1,-690,-712,-3,-192
2016-06-30,232,302,-47,255,131,21,63,461,620,1107,-913,-1171,168,168,48,-1868,1542,-491,1051,714,714,-193,-12,1560,801,-2,-193
