,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,365,144,148,292,-12,0,-63,19,676,-132,0,0,-1,-1,0,-133,-3,-341,-344,-48,-48,-94,-40,-526,17,54,-94
2022-09-30,247,150,213,363,-13,0,-102,-198,412,-83,1,-1,1,0,0,-82,-1,-89,-90,-180,-180,-86,-60,-416,-86,51,-86
2022-06-30,292,144,102,246,-22,0,-111,-5,533,-99,-93,1,0,1,0,-191,498,-471,27,-209,-209,-86,-24,-292,50,47,-86
2022-03-31,309.00000,147.00000,94.00000,241.00000,57.00000,,-34.00000,-195.00000,355.00000,-97.00000,-44.00000,0.00000,-1.00000,-1.00000,,-142.00000,-1.00000,981.00000,980.00000,-206.00000,-206.00000,-1073.00000,-29.00000,-328.00000,-115.00000,45.00000,-1073.00000
2021-12-31,319,138,111,249,-86,0,-112,59,627,-144,0,0,-6,-6,0,-150,62,1,63,-345,-345,-88,-80,-450,27,53,-88
2021-09-30,343,154,-13,141,-11,0,24,-41,443,-80,0,3,-8,-5,225,140,-1097,-5,-1102,-318,-318,-59,-64,-1543,-960,51,-59
2021-06-30,433,144,179,323,-56,0,-231,-120,636,-86,-20,-3,-3,-6,0,-112,1975,-1023,952,-328,-328,-60,-23,541,1065,47,-60
2021-03-31,219.00000,147.00000,235.00000,382.00000,45.00000,,-87.00000,-309.00000,292.00000,-78.00000,6.00000,2.00000,-8.00000,-6.00000,,-78.00000,-1.00000,374.00000,373.00000,-522.00000,-522.00000,-61.00000,-20.00000,-230.00000,-16.00000,51.00000,-61.00000
2020-12-31,-677,138,1121,1259,-75,2,-155,-14,568,-120,-272,0,-5,-5,0,-397,30,649,679,-685,-685,-62,-64,-132,39,58,-62
2020-09-30,272,138,175,313,-95,2,-29,-142,443,-81,0,8,-6,2,0,-79,-1534,0,-1534,-471,-471,-58,-38,-2101,-1737,58,-58
2020-06-30,243,138,142,280,87,-3,-70,68,591,-87,-28,3,-5,-2,-3,-120,1480,0,1480,-156,-156,-58,-8,1258,1729,52,-58
2020-03-31,293.00000,145.00000,158.00000,303.00000,47.00000,-1.00000,-33.00000,-180.00000,416.00000,-62.00000,,,-86.00000,-86.00000,3.00000,-145.00000,-2.00000,,-2.00000,-243.00000,-243.00000,-59.00000,-35.00000,-339.00000,-68.00000,55.00000,-59.00000
