,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,199,108,3,111,-32,298,119,-147,-150,500,-161,-1,-65,-227,209,1,210,-264,-264,-4,44,-14,274,-4
2022-09-30,225,97,-120,-23,19,-107,92,-20,71,348,-75,-3,-2,-80,-4,0,-4,-196,-196,-4,1,-203,43,-4
2022-06-30,218,98,-49,49,-68,-70,-14,47,99,372,-66,-198,32,-232,-102,-15,-117,-278,-278,-4,-1,-400,-285,-4
2022-03-31,193.00000,93.00000,-16.00000,77.00000,55.00000,-176.00000,38.00000,-45.00000,-31.00000,241.00000,-30.00000,,58.00000,28.00000,-121.00000,,-121.00000,-129.00000,-129.00000,-5.00000,-3.00000,-258.00000,9.00000,-5.00000
2021-12-31,207,105,117,222,-87,209,12,284,80,425,-171,0,17,-154,-6,-1,-7,-324,-324,-4,1,-334,-65,-4
2021-09-30,185,97,-73,24,109,-2,-187,-53,105,401,-73,0,11,-62,-62,0,-62,-271,-271,-5,0,-338,-6,-5
2021-06-30,184,98,28,126,85,16,-71,20,277,591,-75,-1,6,-70,-266,0,-266,-146,-146,-4,1,-415,110,-4
2021-03-31,171.00000,90.00000,34.00000,124.00000,-34.00000,-178.00000,259.00000,-40.00000,-109.00000,181.00000,-53.00000,39.00000,19.00000,5.00000,-287.00000,,-287.00000,-64.00000,-64.00000,-5.00000,-3.00000,-359.00000,-176.00000,-5.00000
2020-12-31,236,108,108,216,26,692,-346,-57,197,569,-133,-4,-19,-156,-720,2,-718,-123,-123,-4,-3,-848,-416,-4
2020-09-30,115,95,10,105,-109,-14,133,60,106,351,-60,0,32,-28,489,-501,-12,16,16,-5,-6,-7,324,-5
2020-06-30,-92,98,41,139,96,124,-351,89,161,243,-41,-11,31,-21,-221,-104,-325,0,0,-4,1,-328,-100,-4
2020-03-31,50.00000,90.00000,28.00000,118.00000,47.00000,-368.00000,-49.00000,-46.00000,-599.00000,-395.00000,-50.00000,,7.00000,-43.00000,996.00000,603.00000,1599.00000,-54.00000,-54.00000,-5.00000,3.00000,1543.00000,1089.00000,-5.00000
2019-12-31,199,114,19,133,129,360,146,-82,443,791,-114,-2,33,-83,-257,-118,-375,-9,-9,-9,-21,-414,304,-9
2019-09-30,220,100,52,152,-2,-147,2,31,-113,284,-81,0,2,-79,-7,118,111,-109,-109,0,-1,1,196,0
2019-06-30,217,100,16,116,51,-290,85,-3,-186,155,-76,0,14,-62,281,-100,181,-159,-159,-4,9,27,115,-4
2019-03-31,179.00000,102.00000,15.00000,117.00000,-34.00000,-215.00000,47.00000,-45.00000,-542.00000,-216.00000,-59.00000,,17.00000,-42.00000,-19.00000,100.00000,81.00000,-202.00000,-202.00000,-5.00000,10.00000,-116.00000,-365.00000,-5.00000
2018-12-31,246,115,71,186,12,231,5,-67,-39,411,-122,-23,31,-114,-71,0,-71,-326,-326,-5,-72,-474,-186,-5
2018-09-30,563,106,-431,-325,76,-112,-46,8,38,299,-74,807,7,740,-26,0,-26,-468,-468,-5,25,-474,562,-5
2018-06-30,224,111,9,120,-94,50,-37,78,103,482,-82,0,70,-12,-15,-2,-17,-571,-571,-5,35,-558,-105,-5
2018-03-31,189.00000,105.00000,2.00000,107.00000,78.00000,-128.00000,15.00000,-121.00000,-410.00000,-85.00000,-77.00000,,83.00000,6.00000,-19.00000,2.00000,-17.00000,-344.00000,-344.00000,-5.00000,8.00000,-358.00000,-426.00000,-5.00000
2017-12-31,-106,115,225,340,-25,324,22,-28,342,595,-147,-1,14,-134,-371,0,-371,-79,-79,-5,-42,-497,-32,-5
2017-09-30,159,114,122,236,-79,149,-38,-276,-315,97,-115,-1,15,-101,265,0,265,-122,-122,-5,17,155,165,-5
2017-06-30,153,112,20,132,13,61,-38,5,148,460,-85,-11,30,-66,-23,-100,-123,-143,-143,-5,2,-269,132,-5
2017-03-31,101.00000,106.00000,-2.00000,104.00000,-78.00000,-122.00000,-102.00000,-22.00000,-444.00000,-216.00000,-76.00000,-318.00000,50.00000,-344.00000,324.00000,100.00000,424.00000,-186.00000,-186.00000,-6.00000,19.00000,251.00000,-301.00000,-6.00000
2016-12-31,214,118,23,141,80,285,69,-67,403,782,-140,-7,103,-44,-19,-110,-129,10,10,-6,-29,-154,559,-6
2016-09-30,421,108,-89,19,-6,-183,-1,35,-296,174,-99,0,5,-94,-185,110,-75,0,0,-5,-2,-82,-4,-5
2016-06-30,177,114,13,127,115,-141,0,-26,-204,119,-119,-15,61,-73,-44,-42,-86,0,0,-5,15,-76,-35,-5
2016-03-31,150.00000,109.00000,20.00000,129.00000,-147.00000,-313.00000,147.00000,68.00000,-458.00000,-150.00000,-88.00000,-164.00000,27.00000,-225.00000,316.00000,42.00000,358.00000,-215.00000,-215.00000,-6.00000,7.00000,144.00000,-227.00000,-6.00000
2015-12-31,226,129,21,150,140,415,-113,-34,278,675,-134,0,16,-118,-154,0,-154,24,24,-5,-25,-160,391,-5
2015-09-30,176,112,3,115,27,-138,33,51,-101,213,-113,-47,25,-135,-20,-105,-125,-124,-124,-6,4,-251,-178,-6
