,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2016-04-30,-167.70000,37.40000,118.40000,155.80000,397.40000,-10.80000,176.30000,164.40000,-22.30000,,-59.60000,-147.30000,-147.30000,-1.00000,-230.20000,,,-48.90000,-48.90000,-18.30000,-67.20000,-129.60000,51.60000
2016-01-31,-37.2,36.1,55.7,91.8,-292.9,308.7,115.3,169.9,-30.6,0,-43.9,50.1,50.1,-29,-53.4,0,0,-88.8,-88.8,-9.3,-98.1,15.5,56.1
2015-10-31,-43.8,35.7,53.8,89.5,33,-10.8,34.7,80.4,-12,0,-67.1,-8.0001,-8.0001,-2.4,-89.5,0,0,-112.6,-112.6,-13.6,-126.2,-135.6,50.2
2015-07-31,-268.6,36.2,257.2,293.4,-78.7,85.6,52.4,77.2,-17.3,0,-3,-390.9,-390.9,-2.5,-413.7,748.3,748.3,-107.6,-107.6,-11.9,628.8,290.4,40.7
2015-04-30,19.10000,37.80000,41.40000,79.20000,143.10000,-25.80000,-11.80000,86.50000,-12.50000,,-34.50000,-195.30000,-195.30000,-10.60000,-252.90000,,,-38.20000,-38.20000,-23.10000,-61.30000,-227.90000,50.20000
2015-01-31,11.5,36,50.7,86.7,-83.2,150,159.5,257.7,-15.5,0,-26.2,-81,-81,-5.2,-127.9,0,0,-19,-19,-41.7,-60.7,65.6,49.1
2014-10-31,10.7,36.6,32.3,68.9,-10.4,40.9,56.4,136,-28.4,0,-55.5,34.7,34.7,1.9,-47.3,0,0,-65,-65,0,-65,21.9,43.1
2014-07-31,31.3,37.2,17.8,55,-40.9,10.2,9.9,96.2,-17.1,0,-226,-65.7,-65.7,0.1,-308.7,0,0,-72.7,-72.7,-1.7,-74.4,-286.5,39.8
2014-04-30,28.30000,36.10000,65.30000,101.40000,117.20000,50.90000,89.00000,218.70000,-14.50000,,-322.30000,-84.10000,-84.10000,-0.80000,-421.70000,,,-40.30000,-40.30000,,-40.30000,-243.40000,33.60000
2014-01-31,53.9,33.2,-29.9,3.3,72.3,36.6,126.3,183.5,-9.2,0,-108.1,309.7,309.7,-2.9,189.5,0,0,24.3,24.3,-14.7,9.6,379.6,36.1
2013-10-31,57.6,30.6,34.8,65.4,0,-32.4,-32.4,90.6,-12.4,0,-20.8,5.5,5.5,-10.3,-38,0,0,24.7,24.7,-4,20.7,72.4,31.5
2013-07-31,61.7,32,33.9,65.9,0,-62.3,-62.3,65.3,-16.8,0,-12.5,-182.7,-182.7,-1.8,-213.8,0,0,-100.8,-100.8,-5.8,-106.6,-254.8,31.1
2013-04-30,55.60000,33.10000,31.60000,64.70000,,103.80000,103.80000,224.10000,-25.80000,,-34.70000,-67.60000,-67.60000,-3.60000,-131.70000,,,-59.20000,-59.20000,9.00000,-50.20000,43.60000,33.50000
2013-01-31,74.5,34.7,33.2,67.9,-98.1,108.4,13.2,155.6,-11.7,0,-59.5,159.5,159.5,-5,83.3,745.6,635.6,-70.1,-70.1,-20.6,544.9,785.2,37.5
2012-10-31,29.4,35,89.8,124.8,0,2.9,2.9,157.1,-16.5,0,-135,-123.6,-123.6,-4.1,-279.2,0,110,-89.4,-89.4,-0.7,19.9,-103.2,51.9
2012-07-31,64.6,28.9,20.3,49.2,0,-6.7,-6.7,107.1,-16.7,0,-69.2,-65.4,-65.4,-13,-164.3,0,0,-105.3,-105.3,18.2,-87.1,-144.3,33.5
2012-04-30,78.90000,29.20000,22.40000,51.60000,,8.80000,8.80000,139.30000,-11.50000,,,-270.50000,-270.50000,-5.00000,-287.00000,,,53.80000,53.80000,9.90000,63.70000,-82.40000,33.40000
2012-01-31,72,30.3,-2.6,27.7,-71.8,92,75.5,175.2,-14.3,0,-39,-16.9,-16.9,-7,-77.2,0,0,-43.9,-43.9,-1.5,-45.4,53.6,30
2011-10-31,72.8,31,6.1,37.1,0,27.8,27.8,137.7,-8.9,0,-88.3,-12.7,-12.7,-8.4,-118.3,0,0,-67.6,-67.6,19.5,-48.1,-28.2,25.6
2011-07-31,71.2,29.7,12.5,42.2,0,18.8,18.8,132.2,-16.6,0,-18,13.1,13.1,-0.6,-22.1,0,0,-82.5,-82.5,13.5,-69,40.1,27.3
