,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-446,216,193,409,517,89,-322,-11,72,35,-258,7,0,0,0,-7,-258,-1180,1180,0,48,48,0,-10,38,-178,86,0
2022-09-30,27.00000,219.00000,89.00000,308.00000,382.00000,-224.00000,-150.00000,-306.00000,-329.00000,6.00000,-320.00000,,,,,96.00000,-224.00000,,,,,,,-50.00000,-50.00000,-278.00000,86.00000,
2022-06-30,301,231,164,395,-450,23,-105,-115,-401,295,-278,32,0,0,0,-124,-370,-150,0,-150,60,60,0,-5,-95,-178,77,0
2022-03-31,25,229,103,332,390,-15,-189,33,41,398,-290,0,0,0,0,37,-253,-150,0,-150,2,2,0,-19,-167,-26,86,0
2021-12-31,564,253,124,377,-298,-103,148,-106,-275,666,-294,0,0,0,0,37,-257,-1214,0,-1214,58,58,0,-11,-1167,-759,87,0
2021-09-30,610.00000,260.00000,91.00000,351.00000,-188.00000,73.00000,-61.00000,-161.00000,-440.00000,521.00000,-245.00000,,,,,-67.00000,-312.00000,-213.00000,,-213.00000,2.00000,2.00000,,-78.00000,-289.00000,-80.00000,76.00000,
2021-06-30,622,261,-107,154,-353,67,151,112,218,994,-304,0,0,0,0,101,-203,-222,0,-222,63,63,0,4,-155,636,79,0
2021-03-31,197,261,-27,234,-72,-108,-206,-73,-315,116,-162,0,0,0,0,36,-126,-212,0,-212,8,8,0,-8,-212,-222,83,0
2020-12-31,62,346,52,398,264,-220,-39,-166,-35,425,-207,0,0,0,0,-63,-270,-248,0,-248,62,62,0,-11,-197,-39,80,0
2020-09-30,-60.00000,384.00000,82.00000,466.00000,282.00000,-285.00000,96.00000,-139.00000,-43.00000,363.00000,-330.00000,,,,,164.00000,-166.00000,-213.00000,,-213.00000,1.00000,1.00000,,-41.00000,-253.00000,-53.00000,76.00000,
2020-06-30,148,387,63,450,-401,21,70,-6,-426,172,-215,0,0,0,0,301,86,-63,0,-63,62,62,-150,-3,-154,105,76,-150
2020-03-31,17,394,82,476,-187,24,-6,-82,-351,142,-127,0,0,0,0,159,32,-212,0,-212,7,7,-149,-15,-369,-194,78,-149
2019-12-31,-139,409,49,458,-344,160,-128,-93,-62,257,-160,0,0,0,0,286,126,-388,0,-388,46,46,-149,-2,-493,-111,77,-149
2019-09-30,-276.00000,416.00000,31.00000,447.00000,-243.00000,-5.00000,331.00000,-176.00000,82.00000,253.00000,-145.00000,-22.00000,,,,201.00000,34.00000,-319.00000,,-319.00000,26.00000,26.00000,-147.00000,-52.00000,-492.00000,-207.00000,77.00000,-147.00000
