,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-10-31,-85.546,61.503,121.346,182.849,19.07,-7.383,-24.13,46.728,144.031,-36.356,0,0,-530.78,-27.322,-558.102,-1,-595.458,956.5709,956.5709,82.779,82.779,-0.036,1039.314,587.565,122.479
2017-07-31,-82.532,54.295,123.45,177.745,-71.422,10.778,-5.971,-80.087,15.126,-38.528,0,0,271.211,-31.338,239.873,0,201.345,0,0,32.274,32.274,-0.032,32.242,249.428,121.523
2017-04-30,-64.04400,52.38400,112.04600,164.43000,111.81500,-0.56500,-35.70300,79.63600,180.02200,-30.59300,,,-171.83100,-20.46500,-192.29600,,-222.88900,,,2.25300,2.25300,-0.04400,2.20900,-40.79000,107.78800
2017-01-31,-81.986,56.287,112.117,168.404,-116.45,4.256,143.471,25.025,111.443,-32.278,0,0,67.154,-16.518,50.636,0.1,18.458,0,0,24.812,24.812,0.596,25.408,155.337,105.717
2016-10-31,-114.066,43.742,100.176,143.918,-20.36,2.26,29.116,41.607,71.459,-27.518,0,-144.209,132.312,-59.705,72.607,3.9,-95.22,0,0,4.491,4.491,0.435,4.926,-18.972,100.098
2016-07-31,-108.025,39.492,105.075,144.567,-55.992,1.542,30.683,-30.284,6.258,-26.539,0,-3.67,10.587,-6.473,4.114,-4.684,-30.779,0,0,25.395,25.395,0.195,25.59,0.925,88.222
2016-04-30,-80.62200,38.59600,77.91700,116.51300,101.04700,-1.72200,20.70500,125.57500,161.46600,-34.47800,,,-8.26800,-18.98600,-27.25400,0.38800,-61.34400,,,3.38100,3.38100,0.37600,3.75700,104.51700,78.23500
2016-01-31,-66.258,49.999,71.654,121.653,-133.196,6.363,146.905,43.096,98.491,-41.985,0,0,3.4759,0,3.4759,-0.76,-39.269,3.127,3.127,20.56,20.56,-2.572,21.115,80.194,69.273
2015-10-31,-77.811,34.071,68.707,102.778,-14.727,-3.719,16.453,27.792,52.759,-37.893,0,-23.475,-3.62,0,-3.62,0,-64.988,-0.663,-0.663,2.36,2.36,0.246,1.943,-10.685,68.659
2015-07-31,-69.421,33.959,59.425,93.384,-27.57,1.428,14.777,-8.775,15.188,-25.469,0,-7.961,-43.51,3.538,-39.972,0,-73.402,-1.016,-1.016,19.172,19.172,0.362,18.518,-39.906,64.764
