,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-9935,-1728,-5554,-7282,0,-8647,-21453,23612,-6488,-23705,1722,2113,44909,44909,20924,69668,-33114,-1036,-34150,2000,2000,2669,-39697,-69178,-23215,-3811,2669
2022-09-30,3069,666,815,1481,0,-45145,-3697,52475,3633,8183,-657,-283,-13371,-13371,152,-14159,4356,-7492,-3136,-1000,-1000,-997,6754,1621,-4355,300,-997
2022-06-30,2927,570,1050,1620,0,31161,-1605,4371,33927,38474,-540,-1817,-25127,-25127,-11004,-38488,7487,-216,7271,-500,-500,-857,8542,14456,14442,383,-857
2022-03-31,3939.00000,492.00000,3689.00000,4181.00000,,22631.00000,26755.00000,-80458.00000,-31072.00000,-22952.00000,-525.00000,-13.00000,-6411.00000,-6411.00000,-10072.00000,-17021.00000,21271.00000,8744.00000,30015.00000,-500.00000,-500.00000,-815.00000,24401.00000,53101.00000,13128.00000,3128.00000,-815.00000
2021-12-31,3935,488,556,1044,0,-6402,10961,20736,25295,30274,-297,0,-2340,-2340,-11301,-13938,9147,110,9257,-500,249,-822,29563,38247,49206,207,-822
2021-09-30,5378,509,355,864,0,-14201,3738,-35039,-45502,-39260,1493,0,4276,4276,-10588,-4819,-1973,-9798,-11771,-1000,-252,-792,28435,15620,-28459,180,-792
2021-06-30,5486,520,110,630,0,301,16994,-2944,14351,20467,-810,0,1382,1382,-9793,-9221,15510,4162,19672,-1000,-1000,-560,19776,37888,49134,202,-560
2021-03-31,6836.00000,498.00000,1689.00000,2187.00000,,62150.00000,-9722.00000,-66634.00000,-14206.00000,-5183.00000,-1120.00000,,2471.00000,2471.00000,-3838.00000,-2487.00000,15630.00000,6343.00000,21973.00000,-2700.00000,-4700.00000,-551.00000,26261.00000,42983.00000,35313.00000,1759.00000,-551.00000
2020-12-31,4506,498,-357,141,0,9118,-6850,4292,6560,11207,295,-5,-5297,-5297,-3916,-8923,-2918,2372,-546,0,-11,-592,-3301,-4450,2641,183,-592
2020-09-30,3367,468,435,903,0,-12869,-16555,60090,30666,34936,-548,-226,-1672,-1672,5442,2996,-7147,-1503,-8650,0,11,-580,-8111,-17330,20602,157,-580
2020-06-30,373,499,1775,2274,0,8295,471,-23060,-14294,-11647,-640,0,-6319,-6319,10866,3907,-6633,-9523,-16156,0,-11,-626,51643,34850,27110,185,-626
2020-03-31,1213.00000,437.00000,2331.00000,2768.00000,,6943.00000,-7961.00000,-55994.00000,-57012.00000,-53031.00000,-2446.00000,,-6325.00000,-6325.00000,-23565.00000,-32336.00000,12844.00000,19222.00000,32066.00000,-1928.00000,-1929.00000,-538.00000,27711.00000,57310.00000,-28057.00000,1395.00000,-538.00000
2019-12-31,1917,464,148,612,0,-8994,-10776,67072,47302,49831,25,0,457,457,-3802,-3320,-12095,-468,-12563,-2162,-2369,-644,8517,-7059,39452,166,-644
2019-09-30,1877,473,448,921,0,-28896,3312,32560,6976,9774,-1153,-742,-15027,-15027,-2662,-19584,-2866,1009,-1857,-673,-1173,-550,16392,12812,3002,157,-550
2019-06-30,2421,399,406,805,0,3359,-4220,6266,5405,8631,-821,-61,3250,3250,-1561,807,-6724,-268,-6992,-1250,-751,-535,2048,-6230,3208,192,-535
2019-03-31,2251.00000,368.00000,1727.00000,2095.00000,,-34382.00000,3991.00000,-18323.00000,-48714.00000,-44368.00000,138.00000,,-641.00000,-641.00000,-1636.00000,-2139.00000,-81.00000,-2309.00000,-2390.00000,-1250.00000,-1250.00000,-375.00000,7859.00000,3844.00000,-42663.00000,1503.00000,-375.00000
2018-12-31,2538,377,-2263,-1886,0,8568,-6627,11651,13592,14244,-810,-16,1540,1540,-2699,-1985,-2886,-4546,-7432,-1225,-1225,-521,8595,-583,11676,160,-521
2018-09-30,2524,317,180,497,0,-4805,2688,-6218,-8335,-5314,-1656,3,34,34,-2413,-4032,-1766,1892,126,-1241,-1241,-382,-1703,-3200,-12546,166,-382
2018-06-30,2565,335,410,745,0,-23542,20834,7996,5288,8598,-1249,-81,108,108,-2368,-3590,3448,-26,3422,10,10,-531,3005,5906,10914,176,-531
2018-03-31,2832.00000,299.00000,1373.00000,1672.00000,,-7543.00000,-10479.00000,12554.00000,-5468.00000,-964.00000,-556.00000,-68.00000,-3005.00000,-3005.00000,-5584.00000,-9213.00000,5402.00000,5603.00000,11005.00000,-800.00000,-1485.00000,-376.00000,11485.00000,20629.00000,10452.00000,1329.00000,-376.00000
2017-12-31,-1928,350,6268,6618,0,22809,-18331,-18273,-13795,-9105,-837,-535,-2367,-2367,-4809,-8548,7392,-56,7336,-1629,-922,-498,5178,11094,-6559,159,-498
2017-09-30,2128,280,158,438,0,-6299,5877,569,147,2713,-455,-762,-2143,-2143,-7763,-11123,8794,59,8853,-2174,-2174,-395,7848,14132,5722,158,-395
2017-06-30,1831,265,72,337,0,-16519,-7869,11512,-12876,-10708,-557,-574,-382,-382,-3646,-5159,6192,1869,8061,-1465,-1527,-510,-2304,3720,-12147,180,-510
2017-03-31,2255.00000,257.00000,1272.00000,1529.00000,,-14873.00000,-6658.00000,14358.00000,-7173.00000,-3389.00000,-761.00000,-512.00000,542.00000,542.00000,-816.00000,-1547.00000,7659.00000,-2778.00000,4881.00000,-1497.00000,-1497.00000,-366.00000,3242.00000,6260.00000,1324.00000,1272.00000,-366.00000
2016-12-31,2347,267,904,1171,0,9889,-1199,-8679,11,3529,-753,-832,308,308,-350,-1627,5191,-2849,2342,-1483,-1483,-468,1415,1806,3708,168,-468
2016-09-30,2094,247,129,376,0,-19307,-14262,26522,-7047,-4577,-771,-128,391,391,-1005,-1513,3789,-1754,2035,-1296,-648,-378,568,1577,-4513,129,-378
2016-06-30,1822,245,149,394,0,1863,719,5286,7868,10084,-597,16444,496,496,-388,15955,-1899,-456,-2355,-1738,-1233,-473,2587,-1474,24565,149,-473
2016-03-31,1135.00000,239.00000,1665.00000,1904.00000,,23177.00000,19.00000,-28777.00000,-5581.00000,-2542.00000,-363.00000,-562.00000,322.00000,322.00000,-2537.00000,-3140.00000,2766.00000,2745.00000,5511.00000,-1555.00000,-1405.00000,-387.00000,6475.00000,10194.00000,4512.00000,1665.00000,-387.00000
2015-12-31,765,285,590,875,0,-5918,14608,-1015,7675,9315,-520,-124,305,305,-3488,-3827,1992,484,2476,-1551,-1551,-484,4510,4951,10439,165,-484
2015-09-30,1426,222,135,357,0,-10576,12349,-2286,-513,1270,-436,-101,439,439,-3233,-3331,4984,673,5657,-1048,-1048,-393,2575,6791,4730,135,-393
2015-06-30,1048,265,163,428,0,18884,-13558,-14642,-9316,-7840,-360,-1106,91,91,-5778,-7153,9665,-1446,8219,-98,1895,-431,3026,12709,-2284,163,-431
2015-03-31,2844.00000,219.00000,1775.00000,1994.00000,,-3147.00000,5733.00000,-688.00000,1898.00000,6736.00000,-289.00000,-477.00000,184.00000,184.00000,-3681.00000,-4263.00000,2280.00000,-947.00000,1333.00000,-1179.00000,-1179.00000,-373.00000,3275.00000,3056.00000,5529.00000,1809.00000,-373.00000
2014-12-31,2166,352,630,982,0,7235,-624,-5100,1511,4659,-157,-1106,387,387,-3442,-4318,201,-1012,-811,-1206,-1206,-409,5226,2800,3141,154,-409
2014-09-30,2241,301,-114,187,0,22095,6180,-39602,-11327,-8899,-148,-177,658,658,-4111,-3778,7476,-384,7092,-1227,-1227,-354,4333,9844,-2833,156,-354
2014-06-30,2037,294,164,458,0,2011,-17819,13842,-1966,529,-184,-140,163,163,-3449,-3610,-2935,874,-2061,-1248,732,-343,2878,1206,-1875,164,-343
2014-03-31,2033.00000,390.00000,1611.00000,2001.00000,,-818.00000,24591.00000,-32028.00000,-8255.00000,-4221.00000,-159.00000,-309.00000,306.00000,306.00000,-3041.00000,-3203.00000,4630.00000,1344.00000,5974.00000,-1665.00000,-1665.00000,-348.00000,1188.00000,5149.00000,-2275.00000,1611.00000,-348.00000
2013-12-31,2332,474,12,486,-5817,-14316,-3682,23277,-538,2280,-203,-1008,663,663,-2365,-2913,-1616,344,-1272,-1384,-1384,-346,-710,-3712,-4345,194,-346
2013-09-30,1517,280,152,432,-4249,13721,0,-14792,-5320,-3371,-145,-820,319,319,-3509,-4155,3443,-3138,305,-1635,-1635,-325,2261,606,-6920,152,-325
2013-06-30,1931,266,160,426,7049,-3318,0,5244,8975,11332,-142,-286,866,866,-1145,-707,126,2117,2243,-1580,-589,-312,-2902,-1560,9065,160,-312
2013-03-31,2260.00000,302.00000,1509.00000,1811.00000,3017.00000,55782.00000,,-68568.00000,-9769.00000,-5698.00000,-154.00000,-160.00000,734.00000,734.00000,-1373.00000,-953.00000,1399.00000,-5259.00000,-3860.00000,-1511.00000,-1511.00000,-319.00000,3005.00000,-2685.00000,-9336.00000,1509.00000,-319.00000
2012-12-31,2892,500,-619,-119,-1617,-55492,-22366,77552,-1923,850,-243,-154,921,921,-630,-106,-3408,3324,-84,-1355,-518,-307,9195,8286,9030,231,-307
2012-09-30,1512,396,198,594,-1942,4562,-7416,4480,-316,1790,-155,-84,-97,-97,-777,-1113,-2208,2796,588,-1148,-648,-286,4395,4049,4726,198,-286
2012-06-30,962,409,247,656,6230,-1864,1993,-1514,4845,6463,-137,-316,-488,-488,-1096,-2037,-4662,-5180,-9842,-1494,256,-273,7208,-2651,1775,247,-273
2012-03-31,2109.00000,433.00000,643.00000,1076.00000,-2671.00000,-4039.00000,7290.00000,11.00000,591.00000,3776.00000,-377.00000,-39.00000,176.00000,176.00000,-238.00000,-478.00000,-5312.00000,-1352.00000,-6664.00000,-326.00000,-326.00000,-220.00000,5042.00000,-2168.00000,1130.00000,643.00000,-220.00000
2011-12-31,1013,514,1144,1658,6059,25232,-12358,-1533,17400,20071,-180,-166,843,843,-856,-359,-4777,-7442,-12219,-722,-722,-222,5256,-7907,11805,418,-222
2011-09-30,-393,389,446,835,-6669,-21839,22357,-4516,-10667,-10225,-439,-18,996,996,0,539,4935,2630,7565,-2101,-2101,-223,3215,8456,-1230,446,-223
2011-06-30,1087,372,473,845,-3738,-3821,13555,2827,8823,10755,-219,-242,798,798,0,337,1603,-3004,-1401,-1439,-5296,-1968,323,-8342,2750,473,-1968
2011-03-31,2735.00000,594.00000,1512.00000,2106.00000,568.00000,8286.00000,-9671.00000,-2124.00000,-2941.00000,1900.00000,-268.00000,-5.00000,385.00000,385.00000,,112.00000,-848.00000,2841.00000,1993.00000,-1418.00000,-1418.00000,-358.00000,666.00000,883.00000,2895.00000,1512.00000,-358.00000
2010-12-31,2387,731,1835,2566,5262,-10186,-4635,-3876,-13435,-8482,-319,-25,936,936,-800,-208,2115,10928,13043,-871,-871,-360,537,12349,3659,496,-360
2010-09-30,1898,358,945,1303,-3725,-2463,-3265,6928,-2525,676,-433,-26,372,372,0,-87,876,1361,2237,-712,-712,-361,1775,2939,3528,945,-361
2010-06-30,613,440,434,874,204,6009,5056,-2803,8466,9953,-153,-54,483,483,0,276,-4874,1383,-3491,112,112,-359,-954,-4692,5537,434,-359
2010-03-31,3456.00000,375.00000,2160.00000,2535.00000,-1540.00000,1463.00000,-1793.00000,-11625.00000,-13495.00000,-7504.00000,-250.00000,-699.00000,-17.00000,-17.00000,,-966.00000,158.00000,213.00000,371.00000,-2131.00000,-2131.00000,-363.00000,-634.00000,-2757.00000,-11227.00000,2160.00000,-363.00000
2009-12-31,4948,394,233,627,2264,23576,-1542,-4350,19948,25523,-449,-11,199,199,0,-261,-7508,631,-6877,171,171,-355,-2925,-9986,15276,664,-355
2009-09-30,3188,373,438,811,1286,2649,-8086,7484,3333,7332,-422,-2,-104,-104,0,-528,-2667,-3376,-6043,-904,-904,-355,1336,-5966,838,438,-355
2009-06-30,3435,527,439,966,-5425,23138,-19907,10616,8422,12823,-353,-18,512,512,0,141,-1631,-18038,-19669,5866,-3708,-950,-1877,-26204,-13240,439,-950
2009-03-31,1814.00000,649.00000,468.00000,1117.00000,8140.00000,16679.00000,-17879.00000,-6674.00000,266.00000,3197.00000,-250.00000,-190.00000,-473.00000,-473.00000,,-913.00000,6251.00000,542.00000,6793.00000,25.00000,25.00000,-545.00000,13055.00000,19328.00000,21612.00000,468.00000,-545.00000
