,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-641.641,-697.541,274.845,-422.696,0.525,-55.891,-1120.228,-381.428,0,133.92,133.92,4.172,-243.336,853.9492,853.9492,-24.301,-24.301,698.997,73.688,1602.333,238.769,-24.559,696.679
2022-09-30,335.165,225.704,-188.694,37.01,22.905,57.179,429.354,378.328,0,-87.743,-87.743,-1.914,288.671,-474.5923,-474.5923,2.995,2.995,-235.847,-7.765,-715.209,2.816,5.959,-235.074
2022-06-30,232.678,232.973,-96.193,136.78,-26.863,-46.64,322.818,176.657,0,-23.705,-23.705,-1.25,151.702,-194.938,-194.938,5.993,5.993,-235.739,-42.885,-467.569,6.951,9.397,-234.966
2022-03-31,73.79800,238.86400,10.04200,248.90600,3.43300,45.35200,368.05600,-173.55700,,-22.47200,-22.47200,-1.00800,-197.03700,-184.41890,-184.41890,15.31300,15.31300,-227.41100,-23.03800,-419.55500,-248.53600,9.20300,-226.63900
2021-12-31,560.978,231.544,-458.505,-226.961,-10.99,-52.046,281.971,-73.7661,0,-49.21,-49.21,-2.055,-125.031,193.3144,193.3144,17.448,17.448,-226.709,-7.506,-23.453,133.487,5.891,-225.937
2021-09-30,447.332,224.124,-356.02,-131.896,33.033,86.652,402.088,-222.609,0,-27.436,-27.436,-4.189,-254.234,-102.9673,-102.9673,29.972,29.972,-226.321,-14.29,-313.606,-165.752,5.842,-225.548
2021-06-30,328.04,210.433,-238.327,-27.894,-27.797,-70.074,230.072,26.722,0,48.675,48.675,-4.407,70.99,210.5579,210.5579,17.677,17.677,-225.447,-9.185,-6.397,294.665,7.399,-224.675
2021-03-31,60.36400,208.70400,11.79100,220.49500,16.48500,65.19400,346.05300,-93.86700,,-28.71300,-28.71300,-3.76500,-126.34500,-9.45190,-9.45190,24.61300,24.61300,-225.08100,-11.68000,-221.60000,-1.89200,8.67800,-224.30800
2020-12-31,262.984,226.6,-179.93,46.6699,-24.721,-78.442,231.212,249.152,0,0.625,0.625,-2.649,247.128,-382.1831,-382.1831,1.801,1.801,-225.042,-8.401,-613.826,-135.486,4.899,-224.27
2020-09-30,95.365,212.736,6.682,219.4181,37.911,84.455,399.238,-146.073,0,-1.038,-1.038,-1.778,-148.889,-27.9849,-27.9849,1.301,1.301,-225.014,-8.97,-260.668,-10.319,4.8,-224.241
2020-06-30,271.481,217.993,-135.942,82.051,-45.942,-100.897,252.635,302.282,0,-0.677,-0.677,-2.267,299.338,-211.0161,-211.0161,1.661,1.661,-224.96,-12.895,-447.21,104.763,5.631,-224.188
2020-03-31,332.67100,224.35900,-197.22400,27.13500,-40.80600,20.84000,382.45100,273.30200,,-5.45800,-5.45800,-1.83500,266.00900,-387.04490,-407.04490,12.02000,12.02000,-212.01200,-17.65200,-624.68900,23.77100,7.84400,-211.23900
2019-12-31,301.306,227.837,-161.739,66.0979,55.288,-4.313,362.804,-111.03,0,-0.531,-0.531,-2.083,-113.644,11.3203,31.3203,11.512,11.512,-211.492,-48.096,-216.757,32.403,3.672,-210.72
