,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-10-31,-29.866,67.581,153.255,220.836,-83.084,2.948,-54.395,-138.433,52.537,-16.477,0,15.634,-1,14.634,-1.843,0,0,-25.276,-25.276,-23.263,-48.539,-4.457,140.835
2022-07-31,-45.078,67.926,154.419,222.345,-38.656,18.51,-43.262,-56.388,120.879,-15.404,0,-67.434,-0.5,-67.934,-83.338,-0.016,-0.016,-16.319,-16.319,-19.118,-35.453,-0.772,141.207
2022-04-30,-27.37300,66.57500,122.14400,188.71900,140.07800,-23.19700,-63.86900,34.94000,196.28600,-21.70900,,-38.68000,-2.12500,-40.80500,-62.51400,,,26.08900,26.08900,-24.73900,1.35000,129.94200,110.72300
2022-01-31,-30.445,65.683,132.651,198.334,-135.349,5.445,26.956,-80.097,87.792,-17.47,0,13.246,-1,12.246,-5.224,-13.071,-13.071,2.553,2.553,-63.412,-73.93,5.516,118.006
2021-10-31,-5.676,58.704,118.017,176.721,-20.871,16.146,-46.041,-65.636,105.409,-15.392,0,-37.166,-0.25,-37.416,-52.808,-3.121,-3.121,32.268,32.268,-94.534,-65.387,-14.695,109.441
2021-07-31,-25.501,54.777,113.448,168.225,-34.365,12.15,30.217,34.945,177.669,-15.938,-6.388,-12.045,0,-12.045,-34.371,-25.03,-25.03,5.202,5.202,-122.522,-142.35,-0.394,99.458
2021-04-30,-8.35400,52.28900,82.48500,134.77400,73.20500,-21.59300,-19.46700,9.17700,135.59700,-12.59600,,-57.41000,-0.50000,-57.91000,-70.50600,-36.68400,-36.68400,29.78300,29.78300,-106.05300,-112.95400,-47.08400,81.63700
2021-01-31,-72.412,55.405,46.096,101.501,-62.484,8.473,30.919,33.144,62.233,-18.251,0,-0.584,0,-0.584,-18.835,259.323,259.323,9.322,9.322,-125.186,143.459,191.071,83.639
2020-10-31,-58.491,52.116,88.816,140.932,-36.583,-2.62,3.275,-24.998,57.443,-19.393,0,34.384,-5.3,29.084,9.691,0,0,18.214,18.214,-113.417,-95.203,-29.277,80.92
2020-07-31,-64.56,48.713,74.385,123.098,7.915,8.829,5.825,59.596,118.134,-18.362,-180.37,119.678,-0.241,119.437,-79.295,0,0,5.403,5.403,-87.137,-81.734,-37.975,68.767
2020-04-30,-47.80400,42.24100,60.27500,102.51600,17.23900,-2.55400,-7.80100,4.43200,59.14400,-26.38900,,199.05700,-3.00000,196.05700,169.66800,,,21.22500,21.22500,-46.72300,-25.49800,201.03400,53.55100
2020-01-31,-47.407,40.395,62.843,103.238,-78.377,1.543,49.517,-10.326,45.505,-29.975,0,59.281,0,59.281,29.306,0,0,9.914,9.914,-41.216,-31.302,43.372,55.605
2019-10-31,-46.598,37.511,57.959,95.47,-20.812,0.718,-11.716,-50.741,-1.869,-12.28,0,-6.787,0,-6.787,-19.067,0,0,33.124,33.124,-39.31,-6.186,-26.312,52.736
2019-07-31,-68.632,35.727,59.243,94.97,-21.518,1.306,-11.809,0.067,26.405,-14.554,0,-3.683,0,-3.683,-18.237,0,0,10.194,10.194,-29.841,-19.647,-12.22,55.792
2019-04-30,-45.72200,32.68500,45.34000,78.02500,57.41400,0.28200,-29.18500,13.35200,45.65500,-15.23700,,-282.75400,-15.50000,-298.25400,-313.49100,,,42.81700,42.81700,-56.13700,-13.32000,-281.53500,42.27100
2019-01-31,-66.244,30.586,54.496,85.082,-43.937,-1.39,33.919,15.299,34.137,-11.317,0,-415.132,0,-415.132,-426.449,0,0,34.846,34.846,-215.901,-181.055,-576.322,49.271
2018-10-31,-52.813,24.233,43.209,67.442,-14.019,-0.956,1.492,-10.368,4.261,-8.576,-218.779,0,0,0,-227.355,493.193,493.193,5.047,5.047,-0.17,498.07,275.338,51.748
2018-07-31,-36.714,16.981,37.059,54.04,-4.237,2.184,-8.888,5.37,22.696,-4.336,0,0,0,0,-4.336,0,0,531.808,531.808,-1.328,530.48,549.366,40.165
2018-04-30,-270.68700,17.84600,272.01300,289.85900,19.62200,-7.21800,-2.93900,-4.18000,14.99200,-6.18400,,,,,-6.18400,,,7.81500,7.81500,-2.19400,5.62100,12.36000,269.79400
2018-01-31,-6.352,16.402,3.324,-7.148,-41.039,8.409,31.965,18.586,31.96,-3.237,-0.299,0,0,0,-3.536,0,0,4.487,4.487,-0.315,4.172,35.27,6.234
2017-10-31,-14.505,16.049,8.458,24.507,-0.146,0.726,-3.926,1.616,11.618,-4.603,0,0,0,0,-4.603,0,0,8.437,8.437,-0.39,8.047,14.491,6.595
2017-07-31,-12.037,14.977,7.502,22.479,1.531,-4.146,-0.406,1.656,12.098,-4.319,0.467,0,0,0,-3.852,0,0,7.679,7.679,0,7.679,17.584,8.512
2017-04-30,-19.38200,14.69900,7.59000,22.28900,11.57700,-2.12500,-2.88200,-3.60400,-0.69700,-6.77000,,,,,-6.77000,,,5.83000,5.83000,,5.83000,-1.15300,8.40600
2017-01-31,-115.412,50.84,0,50.84,0,0,0,26.094,-4.79,-43.33,0.665,0,0,1.785,-40.88,0,0,0,8.122,-0.085,8.037,-37.967,0
