,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,394,37,212,249,42,239,-30,251,1585,-32,0,0,2464,147,2611,-3162,-583,992,663,1655,1,1,-228,-2260,-832,170,31,-228
2022-09-30,542,26,93,119,270,-259,-29,-18,2081,-17,0,0,-2440,81,-2359,-3798,-6174,2004,2757,4761,0,590,-209,-1010,4132,39,30,-209
2022-06-30,533,34,52,86,-187,39,-27,-175,-78,-20,-12,-58,1425,-1756,-331,-5730,-6151,6008,3222,9230,0,0,-209,-2798,6223,-6,30,-209
2022-03-31,448.00000,40.00000,229.00000,269.00000,1563.00000,-147.00000,-27.00000,1389.00000,881.00000,-11.00000,,,7129.00000,-414.00000,6715.00000,-4730.00000,1974.00000,-988.00000,2060.00000,1072.00000,5.00000,5.00000,-208.00000,-3953.00000,-3084.00000,-229.00000,29.00000,-208.00000
2021-12-31,629,-48,45,-3,-958,201,-31,-788,-10,-31,0,-20,8598,-4411,4187,-3135,1001,-1045,-234,-1279,6,6,-209,641,-841,150,26,-209
2021-09-30,645,59,-148,-89,263,-51,-28,184,915,1,0,0,852,-5628,-4776,-1180,-5955,0,61,61,-708,-708,-201,5859,5011,-29,26,-201
2021-06-30,729,4,-104,-100,683,-40,-27,616,453,-20,0,0,-5084,195,-4889,325,-4584,686,-91,595,-292,-292,-206,3888,3985,-146,26,-206
2021-03-31,622.00000,17.00000,38.00000,55.00000,-629.00000,-76.00000,-27.00000,-732.00000,-205.00000,-12.00000,,-9.00000,818.00000,-6450.00000,-5632.00000,123.00000,-5530.00000,-1004.00000,46.00000,-958.00000,-123.00000,-123.00000,-207.00000,6870.00000,5582.00000,-153.00000,26.00000,-207.00000
2020-12-31,582,-1,70,69,122,-2,-33,87,946,-18,0,0,-2046,35,-2011,1851,-178,1106,-52,1054,-16,-16,-207,-1464,-633,135,26,-207
2020-09-30,428,26,114,140,363,-88,-28,247,622,-18,0,0,-112,-2573,-2685,2904,201,-1001,-952,-1953,1,1,-207,1233,-926,-103,24,-207
2020-06-30,187,32,357,389,127,150,-29,248,278,-15,0,0,-9963,-2037,-12000,-3007,-15022,3,-5067,-5064,1,1,-207,20208,14938,194,26,-207
2020-03-31,146.00000,54.00000,370.00000,424.00000,-597.00000,245.00000,-29.00000,-381.00000,-173.00000,-12.00000,,,-2801.00000,1920.00000,-881.00000,-8829.00000,-9722.00000,991.00000,5958.00000,6949.00000,-112.00000,-112.00000,-208.00000,3399.00000,10028.00000,133.00000,25.00000,-208.00000
2019-12-31,469,58,105,163,185,-77,-35,73,993,-26,0,0,2079,874,2953,-1873,1054,-1943,210,-1733,-230,-230,-209,221,-1951,96,24,-209
2019-09-30,416,62,205,267,440,41,-29,452,1183,-4,0,0,-908,-315,-1223,-1262,-2489,89,1,90,-246,-246,-212,1703,1335,29,24,-212
2019-06-30,425,63,65,128,-842,-25,-29,-896,170,-29,0,-185,69,72,141,-1871,-1944,-2,-65,-67,-177,258,-191,1770,1770,-4,23,-191
