,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,6698,4218,-581,3637,0,0,0,2,2,8942,-7276,-763,0,0,0,2697,-5342,5346,-4408,938,0,0,-2739,-1275,-3076,524,-2739
2022-09-30,5024,4324,1069,5393,0,0,0,1501,1501,10534,-5320,-615,34,0,0,-2763,-8664,326,4514,4840,0,0,-2688,-3768,-1616,254,-2688
2022-06-30,5315,4321,1288,5609,0,0,0,1533,1533,10844,-4670,-437,247,0,0,-1801,-6661,-373,0,-373,0,0,-2724,-985,-4082,101,-2724
2022-03-31,4711.00000,4236.00000,752.00000,4988.00000,,,,-3492.00000,-3492.00000,6821.00000,-5821.00000,-1838.00000,,,,-336.00000,-7995.00000,-1057.00000,,-1057.00000,,,-2654.00000,3956.00000,245.00000,-929.00000,-2654.00000
2021-12-31,4737,4051,20,4071,-1592,-905,1457,-453,-1493,8377,-6425,-569,-3606,0,0,465,-10135,-832,0,-832,0,0,-2648,-1712,-5192,-6950,-2648
2021-09-30,6554,3961,1085,5046,0,0,0,521,521,10724,-5145,-1749,4121,0,0,156,-2617,-201,0,-201,0,0,-2599,-281,-3081,5026,-2599
2021-06-30,5949,4020,-159,3861,0,0,0,123,123,10744,-4222,-495,-50,0,0,19,-4748,-7762,0,-7762,0,0,-2597,-1047,-11406,-5410,-2597
2021-03-31,5378.00000,4174.00000,752.00000,4926.00000,,,,-41.00000,-41.00000,9694.00000,-4494.00000,-44783.00000,-408.00000,,,32.00000,-49653.00000,31349.00000,,31349.00000,,,-2601.00000,-792.00000,27956.00000,-12003.00000,-2601.00000
2020-12-31,4718,4197,1300,5497,189,-369,-966,-143,-1289,9296,-4024,-139,-13,0,0,-867,-5043,13022,-9,13013,0,0,-2596,-1355,9062,13315,-2596
2020-09-30,4504,4192,1839,6031,0,0,0,-1952,-1952,8920,-4318,-1956,-108,0,0,37,-6345,2243,0,2243,0,0,-2546,-1202,-1505,1070,-2546
2020-06-30,4839,4181,234,4415,0,0,0,4505,4505,14728,-4576,-1367,-399,0,0,1198,-5144,-5759,0,-5759,0,0,-2543,-493,-8795,789,-2543
2020-03-31,4287.00000,4150.00000,491.00000,4641.00000,,,,-1208.00000,-1208.00000,8824.00000,-5274.00000,-434.00000,,,,-1272.00000,-6980.00000,4763.00000,,4763.00000,,,-2547.00000,347.00000,2563.00000,4407.00000,-2547.00000
2019-12-31,5217,4105,542,4647,-1471,-76,-2359,1095,-2811,8998,-5607,-599,1,0,0,781,-5424,186,0,186,0,0,-2542,-1507,-3863,-289,-2542
2019-09-30,5337,4114,1172,5286,0,0,0,691,691,10912,-4365,-100,26,0,0,871,-3568,-3189,0,-3189,0,0,-2493,-576,-6258,1086,-2493
2019-06-30,4074,4232,478,4710,0,0,0,-1891,-1891,8755,-3699,-95,-3,0,0,11,-3786,-1700,0,-1700,0,0,-2492,-1194,-5386,-417,-2492
2019-03-31,5160.00000,4231.00000,304.00000,4535.00000,,,,-2702.00000,-2702.00000,7081.00000,-4268.00000,-104.00000,-25.00000,,,-406.00000,-4803.00000,-528.00000,,-528.00000,,,-2489.00000,360.00000,-2657.00000,-379.00000,-2489.00000
2018-12-31,2065,4352,1407,5759,-2667,-324,1777,1981,767,8095,-4632,-122,-191,0,0,147,-4798,-238,0,-238,0,0,-2489,-229,-2956,341,-2489
2018-09-30,5062,4377,343,4720,0,0,0,-406,-406,9811,-4188,-152,-1,0,0,-67,-4408,-1275,0,-1275,0,0,-2438,-843,-4556,847,-2438
2018-06-30,4246,4350,285,4635,0,0,0,495,495,9785,-3286,-185,-6,0,0,34,-3443,-2418,0,-2418,0,0,-2438,-1693,-6549,-207,-2438
2018-03-31,4666.00000,4324.00000,-180.00000,4144.00000,,,,-2033.00000,-2033.00000,6648.00000,-4552.00000,-970.00000,-32.00000,,,269.00000,-5285.00000,150.00000,,150.00000,,,-2407.00000,941.00000,-1316.00000,47.00000,-2407.00000
2017-12-31,18783,4456,-15924,-11468,-5674,168,-459,6284,319,7843,-5965,-114,367,0,0,243,-5469,-576,0,-576,0,0,-2405,-1573,-4554,-2180,-2405
2017-09-30,3736,4272,829,5101,0,0,0,-2536,-2536,7169,-4271,-154,86,0,0,611,-3728,-257,152,-105,0,0,-2357,-1035,-3497,-56,-2357
2017-06-30,4478,4167,-1690,2477,0,0,0,1277,1277,7930,-3944,-119,-973,0,0,327,-4709,-152,-100,-252,0,0,-2356,-157,-2765,456,-2356
2017-03-31,3553.00000,4059.00000,-1139.00000,2920.00000,,,,-4998.00000,-4998.00000,1376.00000,-3067.00000,-196.00000,-1746.00000,,,459.00000,-4550.00000,8745.00000,-52.00000,8693.00000,,,-2354.00000,-1674.00000,4665.00000,1491.00000,-2354.00000
2016-12-31,4600,3987,-1064,2923,-5067,61,-1089,4357,-1738,3965,-5661,-124,-2802,0,0,1252,-7335,2555,120,2675,0,0,-2354,-483,-162,-3532,-2354
2016-09-30,3747,3942,1426,5368,0,0,0,-2943,-2943,4816,-4125,-128,-785,0,0,-154,-5192,7536,-730,6806,0,0,-2303,-543,3960,3584,-2303
