,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-4016,-858,885,27,17,18,571,-2846,0,1561,1561,-714,847,-311,-311,1786,1786,740,41,2256,341,740
2022-09-30,1596,268,-199,69,12,134,-442,1076,0,-143,-143,-787,-930,311,311,-646,-646,-242,-35,-612,-463,-242
2022-06-30,1388,268,-564,-296,1,-95,-363,510,0,-721,-721,2014,1293,0,0,-649,-649,-248,-10,-907,898,-248
2022-03-31,1032.00000,322.00000,-122.00000,200.00000,-30.00000,-57.00000,234.00000,1260.00000,,-697.00000,-697.00000,-513.00000,-1210.00000,,,-491.00000,-491.00000,-250.00000,4.00000,-737.00000,-776.00000,-250.00000
2021-12-31,1039,301,-244,57,50,-79,-236,870,0,-1606,-1606,399,-1207,0,0,-612,-612,-208,-22,-842,-1157,-208
2021-09-30,888,277,172,449,26,29,282,1853,0,203,203,-535,-332,0,0,-526,-526,-217,-13,-756,739,-217
2021-06-30,1105,281,-89,192,15,21,-197,962,0,-668,-668,798,130,53,53,-496,-496,-211,-17,-671,479,-211
2021-03-31,1293.00000,311.00000,-307.00000,4.00000,-19.00000,-58.00000,254.00000,1366.00000,,-2058.00000,-2058.00000,1089.00000,-969.00000,400.00000,400.00000,-641.00000,-641.00000,-219.00000,-10.00000,-470.00000,-151.00000,-219.00000
2020-12-31,952,300,-255,45,40,150,280,1357,0,-829,-829,-279,-1108,0,0,-493,-493,-189,-2,-684,-422,-189
2020-09-30,2456,292,-108,184,77,399,-916,2000,0,-328,-328,-1063,-1391,0,0,-394,-394,-192,3,-583,35,-192
2020-06-30,804,289,170,459,-80,289,-61,1187,0,285,285,-689,-404,1000,1000,-176,-176,-193,-33,598,1380,-193
2020-03-31,566.00000,333.00000,463.00000,796.00000,15.00000,43.00000,211.00000,1414.00000,,-2473.00000,-2473.00000,757.00000,-1716.00000,195.00000,195.00000,-440.00000,-440.00000,-195.00000,-6.00000,-446.00000,-748.00000,-195.00000
2019-12-31,781,315,-12,303,4,50,-105,1192,0,-529,-529,304,-225,347,347,-459,-459,-192,20,-284,680,-192
2019-09-30,778,318,152,470,-19,295,459,1906,0,-719,-719,500,-219,0,0,-298,-298,-190,37,-451,1197,-190
2019-06-30,817,309,66,375,-52,196,-440,813,0,-910,-910,-526,-1436,268,268,-343,-343,-194,-23,-292,-873,-194
2019-03-31,928.00000,340.00000,-71.00000,269.00000,35.00000,111.00000,462.00000,1544.00000,,-1807.00000,-1807.00000,516.00000,-1291.00000,,,-478.00000,-478.00000,-195.00000,-13.00000,-686.00000,-445.00000,-195.00000
2018-12-31,525,313,354,667,-28,100,98,1355,0,1778,1778,-2188,-410,470,470,-356,-356,-198,-19,-103,908,-198
2018-09-30,845,315,-55,260,-26,109,301,1852,0,-639,-639,-1090,-1729,0,0,-298,-298,-199,-28,-525,-418,-199
2018-06-30,833,303,-3,300,-15,407,343,1569,0,27,27,-1271,-1244,-2,-2,-307,-307,-201,-5,-515,-233,-201
2018-03-31,717.00000,314.00000,134.00000,448.00000,14.00000,223.00000,106.00000,1238.00000,,-4617.00000,-4617.00000,4418.00000,-199.00000,2.00000,2.00000,-282.00000,-282.00000,-195.00000,2.00000,-473.00000,589.00000,-195.00000
2017-12-31,2583,284,-338,-54,-59,362,-937,1532,0,-2390,-2390,-154,-2544,15,15,-288,-288,-170,-9,-452,-1436,-170
2017-09-30,716,271,293,564,-40,427,19,1431,0,-48,-48,-322,-370,-4,-4,-234,-234,-163,19,-382,663,-163
2017-06-30,713,283,56,339,-98,302,301,1408,0,-254,-254,-736,-990,-2,-2,-197,-197,-162,6,-355,59,-162
2017-03-31,592.00000,294.00000,140.00000,434.00000,106.00000,331.00000,708.00000,1757.00000,,-2148.00000,-2148.00000,621.00000,-1527.00000,-130.00000,-130.00000,-599.00000,-599.00000,-166.00000,19.00000,-876.00000,-654.00000,-166.00000
2016-12-31,751,1141,-344,797,1,-259,14,1867,0,-2071,-2071,854,-1217,-380,-380,-191,-191,-166,-47,-784,-411,-166
2016-09-30,629,0,164,164,-12,592,351,1266,0,-423,-423,214,-209,757,757,-190,-190,-162,41,446,1570,-162
2016-06-30,548,0,224,224,21,669,921,1523,0,-922,-922,-20,-942,-1,-1,-390,-390,-163,39,-515,251,-163
2016-03-31,731.00000,,-30.00000,-30.00000,32.00000,882.00000,547.00000,1331.00000,,-1289.00000,-1289.00000,-198.00000,-1487.00000,,,-605.00000,-605.00000,-167.00000,6.00000,-766.00000,-901.00000,-167.00000
2015-12-31,730,1066,-80,986,49,-327,-271,2006,-40,-812,-812,38,-814,0,0,-226,-226,-167,32,-361,830,-167
2015-09-30,567,0,114,114,97,917,841,1667,0,-72,-72,-445,-517,-422,-422,-225,-225,-161,69,-739,417,-161
2015-06-30,573,0,-127,-127,-140,821,967,1643,0,344,344,-1832,-1488,-841,-841,-231,-231,-163,-174,-1409,-1260,-163
2015-03-31,663.00000,,-13.00000,-13.00000,141.00000,806.00000,791.00000,1460.00000,,-651.00000,-651.00000,-1427.00000,-2078.00000,989.00000,989.00000,-597.00000,-597.00000,-165.00000,95.00000,322.00000,-295.00000,-165.00000
2014-12-31,703,0,-143,-143,-5,850,1238,1973,0,821,821,-918,-97,750,750,-504,-504,-168,97,175,1992,-168
2014-09-30,706,0,-16,-16,-26,992,779,1445,0,-1196,-1196,646,-550,-335,-335,-172,-172,-162,146,-523,414,-162
2014-06-30,810,0,-102,-102,-147,595,685,1517,0,-1067,-1067,-404,-1471,0,0,-96,-96,-161,490,233,258,-161
2014-03-31,732.00000,,46.00000,46.00000,171.00000,952.00000,803.00000,1615.00000,,752.00000,752.00000,-2875.00000,-2123.00000,,,-405.00000,-405.00000,-163.00000,536.00000,-32.00000,-549.00000,-163.00000
2013-12-31,675,0,-20,-20,21,1068,1660,3388,0,-9526,-9526,5956,-3570,0,0,-477,-477,-163,643,3,-206,-163
2013-09-30,702,0,-22,-22,-58,1526,1284,1461,0,-1188,-1188,-523,-1711,0,0,0,0,-157,764,607,361,-157
2013-06-30,889,0,-201,-201,-174,1508,1747,1866,0,-3281,-3281,556,-2725,700,700,-111,-111,-156,249,682,-208,-156
2013-03-31,892.00000,,-156.00000,-156.00000,203.00000,2300.00000,2696.00000,3832.00000,,3845.00000,3845.00000,-6930.00000,-3085.00000,,,-137.00000,-137.00000,-159.00000,140.00000,-156.00000,555.00000,-159.00000
2012-12-31,581,0,172,172,4,2472,2803,3501,0,-4799,-4799,346,-4453,49,49,-92,-92,-158,365,164,-944,-158
2012-09-30,1017,0,-286,-286,-130,3254,3404,4206,0,-10674,-10674,6233,-4441,706,706,5,5,-149,494,1056,855,-149
2012-06-30,483,0,418,418,-56,2849,2918,3689,0,-3671,-3671,49,-3622,-338,-338,6,6,-148,304,-176,-80,-148
2012-03-31,785.00000,,45.00000,45.00000,-17.00000,2787.00000,2750.00000,3556.00000,,-3761.00000,-3761.00000,-675.00000,-4436.00000,748.00000,748.00000,-5.00000,-5.00000,-148.00000,306.00000,901.00000,-39.00000,-148.00000
2011-12-31,538,0,222,222,-1807,3958,2357,3356,0,-2999,-2999,-51,-3050,-4,-4,-32,-32,-148,263,79,387,-148
2011-09-30,736,0,83,83,906,1221,2276,3108,0,-3263,-3263,518,-2745,163,163,-54,-54,-144,195,160,571,-144
2011-06-30,274,0,668,668,465,866,1394,2211,0,-3104,-3104,83,-3021,0,0,-28,-28,-125,149,-4,-797,-125
