,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,187.2,96.8,-5.9,90.9,-20.8,-22.9,24.9,22.1,-70.3,207.8,-155.4,0,0,0,0.1,-155.3,-4.5,58,53.5,-94.9,-94.9,-148,-0.1,-189.5,-135.6,18.1,-148
2022-08-31,193.00000,95.60000,5.90000,101.50000,21.30000,-2.50000,12.60000,-77.10000,133.30000,427.80000,-118.20000,,,,0.10000,-118.10000,-4.30000,,-4.30000,-192.60000,-192.60000,-148.50000,,-345.40000,-36.20000,20.30000,-148.50000
2022-05-31,281.7,93,-20,73,-19.5,-26.9,11.5,-31,-6.6,348.1,-108.6,0,0,0,0.5,-108.1,-3.9,0,-3.9,-233.4,-233.4,-136.8,-0.2,-374.3,-134.7,10.7,-136.8
2022-02-28,247,94.3,9,103.3,16.5,-13.5,-5.1,63.8,84.7,435,-104.7,0,0,0,1.6,-103.1,-3.4,0,-3.4,-371.1,-371.1,-140.1,0.2,-514.4,-191,11.7,-140.1
2021-11-30,193.2,92.1,23,115.1,-1.7,-19.4,22.1,24.8,-7.1,301.2,-94.3,0,0,0,0.2,-94.1,-3,0,-3,-259.9,-259.9,-142.6,-2.7,-408.2,-201.5,10.5,-142.6
2021-08-31,230.90000,89.00000,22.50000,111.50000,0.80000,-20.00000,14.70000,-174.90000,-162.10000,180.30000,-84.80000,,,,1.10000,-83.70000,-2.60000,,-2.60000,-166.70000,-166.70000,-143.50000,,-312.80000,-215.40000,27.60000,-143.50000
2021-05-31,368.5,89.1,199.1,288.2,-24.2,-2.6,66.4,14.6,-209.2,447.5,-82.4,0,0,0,0.1,-82.3,-2.1,0,-2.1,-26.2,-26.2,-115.3,0.2,-143.4,220.8,12.4,-115.3
2021-02-28,128.7,88.2,15.6,103.8,2.2,14.8,7.3,22.4,84.9,317.4,-73.1,0,0,0,1.4,-71.7,-2.1,0,-2.1,23.4,23.4,-48.2,-0.2,-27.1,216.6,18.6,-48.2
2020-11-30,96,86,24.9,110.9,1,-12.9,-20.4,56.4,15,221.9,-65.8,0,0,0,0.1,-65.7,-1.7,-4.2,-5.9,10.2,10.2,-39.1,0,-34.8,122.7,22.3,-39.1
2020-08-31,36.10000,87.60000,9.90000,97.50000,2.60000,16.80000,-4.40000,68.40000,73.10000,206.70000,-43.60000,,,,-0.40000,-44.00000,-1.20000,-265.80000,-267.00000,-6.60000,-6.60000,,,-273.60000,-108.70000,19.10000,
2020-05-31,-480,94.4,268.6,363,13.7,-13.9,-68.5,-0.9,-88,-205,-91.6,-5.7,0,0,0.7,-96.6,-1.4,270,268.6,478.2,478.2,0,0,746.8,441.6,10.4,0
2020-02-29,232.3,87.7,21.4,109.1,0,0,0,137.9,137.9,479.3,-119.8,-17.4,0,0,-0.5,-137.7,-1.3,0,-1.3,-66.5,-66.5,-106.6,0.1,-174.3,164.4,14.6,-106.6
2019-11-30,24.7,87.6,-13.6,74,-13,-8.4,-3.3,132.6,90.6,189.3,-147.4,4.3,0,0,0.3,-142.8,-1.2,0,-1.2,-132.5,-132.5,-107.6,0.2,-241.1,-193.5,13.8,-107.6
2019-08-31,170.60000,86.20000,22.00000,108.20000,13.00000,8.40000,3.30000,-67.00000,-25.00000,253.80000,-119.90000,-37.00000,,,-10.00000,-166.90000,-1.30000,,-1.30000,-83.60000,-83.60000,-108.10000,0.30000,-192.70000,-106.50000,14.20000,-108.10000
2019-05-31,208,87.9,61,148.9,-14.4,2.1,28.7,-9.3,-9.3,347.6,-113.1,0,0,0,0.2,-112.9,39.6,0,39.6,-27.6,-27.6,-92.4,0,-80.4,154.4,14.5,-92.4
2019-02-28,223.6,85.3,21.5,106.8,13.3,-0.1,15.8,91.2,155.7,486.1,-107.9,0,0,0,0,-107.9,-1.7,-45,-46.7,-70,-70,-92.4,0,-209.1,163.2,13.7,-92.4
2018-11-30,115.6,82.8,23.2,106,-11.6,-14.8,31.8,5.5,5.9,227.5,-132.7,0,0,0,0.1,-132.6,-1.6,45,43.4,-52.6,-52.6,-93,-0.1,-102.3,-12.1,13.7,-93
2018-08-31,166.20000,80.70000,24.10000,104.80000,14.80000,10.70000,-21.30000,-35.90000,-64.60000,206.40000,-111.00000,,,,1.80000,-109.20000,-1.60000,,-1.60000,2.00000,2.00000,-93.00000,0.20000,-92.40000,4.90000,17.90000,-93.00000
2018-05-31,174.5,79,24,103,-33,2.5,-16.3,-32.5,-8.7,268.8,-109.2,0,0,0,0.4,-108.8,-1.5,-50.6,-52.1,-24.9,-24.9,-78.6,-1,-156.6,0.1,10.6,-78.6
2018-02-28,217.8,79.2,8.8,88,16.3,-9,37.9,122.1,131.1,436.9,-101.5,0,0,0,0,-101.5,-109.8,-102.9,-212.7,-0.6,-0.6,-77.9,-3.3,-294.5,32.1,14.1,-77.9
2017-11-30,84.7,78.8,8.9,87.7,-9.4,-22.7,-3.3,9.3,-37.7,134.7,-107.1,-40.4,0,0,3.4,-144.1,-1.3,153.5,152.2,-87.1,-87.1,-77.9,-8.3,-21.1,-32.1,9.7,-77.9
2017-08-31,119.00000,76.10000,31.90000,108.00000,18.90000,2.60000,-5.70000,-58.20000,-47.60000,179.40000,-97.70000,,,,1.00000,-96.70000,-1.00000,,-1.00000,-84.40000,-84.40000,-79.10000,0.10000,-164.40000,-86.30000,8.40000,-79.10000
