,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,382.2,92.5,0.7,93.2,-124.8,-91.2,-149.2,3.6,-441.3,34.1,-62.6,0,0,0,0,0,4.1,-58.5,244.9,6.3,251.2,-97.4,-97.4,-158.6,1.8,-3,-27.7,36,-158.6
2022-08-31,-77.50000,93.00000,399.10000,492.10000,78.70000,-289.70000,39.40000,-17.40000,-150.90000,263.70000,-123.40000,,,0.00000,,,,-123.40000,-10.70000,69.10000,58.40000,-58.30000,-58.30000,-150.00000,-4.50000,-154.40000,-15.90000,23.00000,-150.00000
2022-05-31,157.7,89.8,171,260.8,51.2,-175.8,235.6,24.6,6.2,424.7,-98,0,0,6,0,6,0,-92,-5.4,-178.5,-183.9,2.8,2.8,-149.9,0,-331,3.6,-0.7,-149.9
2022-02-28,218.9,92.1,-51.2,40.9,62.6,91.4,2.1,-24.3,230.7,490.5,-98.6,0,0,-0.1,0,-0.1,0,-98.7,-13.7,-223,-236.7,3.3,3.3,-149.9,0,-383.3,11,12.5,-149.9
2021-11-30,275.9,97,4.8,101.8,-142.8,72.3,-78.9,9.4,-255.4,122.3,-94.6,0,0.1,1.9,0,1.9,3.3,-89.3,-5.7,127.2,121.5,0.2,0.2,-149.9,-1,-29.2,0.7,11.7,-149.9
2021-08-31,235.70000,96.50000,-18.00000,78.50000,-40.50000,-220.70000,64.80000,-19.80000,-174.40000,139.80000,-153.00000,,,-1.90000,,-1.90000,,-154.90000,475.40000,-248.80000,226.60000,-67.60000,-67.60000,-132.10000,-21.40000,5.50000,-12.20000,2.60000,-132.10000
2021-05-31,309.9,98.1,78.5,176.6,47.6,-157.6,165.5,19.4,-88.4,398.1,-108.3,0,48.7,1.2,0,1.2,0,-58.4,-202.4,-21.3001,-223.6999,8.3,8.3,-132.9,2.3,-346,-1.5,22.8,-132.9
2021-02-28,281.7,96.6,-35.7,60.9,106.8,40.5,-135.3,11.9,186,528.6,-114.6,0,103.6,-0.4,0,-0.4,0,-11.4,-430.4001,360.1,-70.3003,-298.1,-298.1,-134.4,-0.8,-503.6,12.7,10.2,-134.4
2020-11-30,379.5,97.8,36.3,134.1,-140.7,-44.4,90.4,-23.1,-256.7,256.9,-136.1,0,8.6,0,0,0,-0.1,-127.6,-760.0999,368,-392.0999,0.9,0.9,-103.8,-5.4,-500.4,-370.2,14.4,-103.8
2020-08-31,329.80000,95.20000,32.70000,127.90000,52.40000,-202.80000,20.80000,-16.70000,-173.20000,284.50000,-144.90000,,,1.90000,,1.90000,0.10000,-142.90000,-133.40000,-0.50000,-133.90000,-9.30000,-9.30000,-103.50000,-12.90000,-259.60000,-115.10000,16.50000,-103.50000
2020-05-31,201.3,96.4,195,291.4,-6.6,268.1,118,1,443.4,936.1,-98.9,0,3.2,1.8,0,1.8,0,-93.9,-281.5,0.1,-281.4,0.5,0.5,-103.5,-1.4,-385.8,454.3,30.2,-103.5
2020-02-29,204.7,99.1,-0.4,98.7,91.1,125.4,-90.9,-7.6,175.6,479,-78.7,0,52.4,3.1,0,3.1,3.5,-19.7,-455.1,0.5,-454.6,5,5,-103.4,-0.1,-553.1,-93,8,-103.4
2019-11-30,261.5,96.7,37.2,133.9,-170,-32,113,9.1,-174.9,220.5,-72.3,0,139,0.8,0,0.8,-0.2,67.3,-5.1,-55.5,-60.6,2.4,2.4,-103.4,0.9,-160.7,127.3,10.8,-103.4
2019-08-31,174.30000,96.70000,67.40000,164.10000,41.70000,-198.00000,94.30000,-16.10000,-131.40000,207.00000,-105.60000,,,1.30000,,1.30000,-3.20000,-107.50000,-205.80000,55.00000,-150.80000,-3.10000,-3.10000,-103.30000,-13.60000,-270.80000,-171.90000,10.20000,-103.30000
2019-05-31,125.2,100.4,-3.4,97,39.3,65,53.8,0.9,147,369.2,-113.2,0,249.3,-8.8,0,-8.8,11,138.3,-455.6,1,-454.6,2.5,2.5,-103.2,-0.3,-555.6,-45.6,11.2,-103.2
2019-02-28,242.6,92.3,-28,64.3,78.1,88.2,-54.6,1.2,187.5,494.4,-101.8,0,0,0,0,0,0,-101.8,-455.8,-0.9,-456.7,-0.6,-0.6,-86.7,-7.3,-551.3,-160.1,22.5,-86.7
2018-11-30,132.4,76.6,51.2,127.8,-167.6,39.9,-11.4,2.9,-93,167.2,-46.7,0,-5117.3,0,0,0,0,-5164,5249.2,-304.2,4945,554.6,554.6,-83.3,-50,5366.3,367.5,-11.4,-83.3
2018-08-31,178.20000,63.70000,-8.10000,55.60000,-18.90000,-115.10000,50.40000,-24.10000,-139.10000,94.70000,-68.90000,,30.30000,,,,0.10000,-38.50000,,26.80000,26.80000,-2.40000,-2.40000,-83.00000,-51.00000,-109.60000,-53.20000,11.40000,-83.00000
2018-05-31,70.3,63.6,-136.9,-73.3,21.1,27,43.7,8.7,114.9,111.9,-75.2,0,0,0,0,0,0.2,-75,227.8,-75,152.8,-105.4,-105.4,-84.6,-1.7,-38.9,-4.9,11.2,-84.6
2018-02-28,363.7,64.4,3.4,67.8,84,40.7,-31.1,-5.6,-9.9,421.6,-51.9,0,-87.5,0,0,0,4.3,-135.1,-165.3,285.2,119.9,-271,-271,-86.1,-0.3,-237.5,48.9,26.7,-86.1
2017-11-30,224.5,64.3,-0.1,64.2,-96.1,7.9,64.5,6.6,-4,284.7,-77.9,0,-249.6,0,0,0,0,-327.5,495.2,-256.4,238.8,-273.6,-273.6,-88.3,-0.3,-123.4,-167.4,-8.2,-88.3
