,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-318,251,569,820,235,55,77,259,761,-320,0,0,0,0,5,-315,196,1,197,-191,-191,-164,-1,-159,293,-164
2022-09-30,951,261,-772,-511,-18,-84,78,-5,435,-238,0,167,0,167,-5,-76,-191,47,-144,-270,-270,-165,-90,-669,-315,-165
2022-06-30,511,267,-140,127,-130,-164,-64,-248,390,-180,0,144,0,144,-1,-37,-96,19,-77,-395,-395,-170,-1,-643,-293,-170
2022-03-31,360.00000,261.00000,118.00000,379.00000,-146.00000,31.00000,-125.00000,-151.00000,588.00000,-180.00000,,,,,,-180.00000,85.00000,-66.00000,19.00000,-428.00000,-428.00000,-174.00000,,-583.00000,-176.00000,-174.00000
2021-12-31,107,277,111,388,-86,-130,25,-388,107,-195,0,0,65,65,0,-130,-1376,36,-1340,-414,-414,-308,-239,-2301,-2326,-308
2021-09-30,864,318,-627,-309,-14,-243,-2,90,645,-31,737,0,43,43,4849,5598,-2931,27,-2904,-212,-212,-199,-44,-3359,2915,-199
2021-06-30,434,306,78,384,-310,17,-58,-52,766,-133,60,0,403,403,-2,328,-801,21,-780,-58,-58,-201,-172,-1211,-81,-201
2021-03-31,349.00000,309.00000,-70.00000,239.00000,-186.00000,93.00000,-51.00000,-76.00000,512.00000,-89.00000,-50.00000,,397.00000,397.00000,,258.00000,-109.00000,-19.00000,-128.00000,-155.00000,-155.00000,-202.00000,-19.00000,-504.00000,192.00000,-202.00000
2020-12-31,153,332,151,483,-37,-39,88,153,789,-89,39,0,0,0,-19,-69,-592,19,-573,0,0,-201,-67,-841,-83,-201
2020-09-30,204,320,227,547,22,9,-84,-16,735,-119,0,0,250,250,3,134,-765,26,-739,-1,-1,-202,-100,-1042,-169,-202
2020-06-30,266,312,25,337,181,5,107,287,890,-250,-64,0,0,0,15,-299,-762,-1,-763,0,0,-201,-18,-982,-392,-201
2020-03-31,-141.00000,323.00000,567.00000,890.00000,-107.00000,60.00000,-22.00000,-100.00000,649.00000,-285.00000,,,250.00000,250.00000,,-35.00000,424.00000,-9.00000,415.00000,-41.00000,-41.00000,-202.00000,-7.00000,165.00000,728.00000,-202.00000
2019-12-31,166,343,253,596,78,8,-70,166,928,-360,60,0,0,0,-6,-306,-582,-37,-619,0,0,-201,-22,-842,-186,-201
2019-09-30,342,327,135,462,120,-57,28,78,882,-274,0,0,0,0,-5,-279,-383,-15,-398,-75,-75,-197,-1,-671,-90,-197
2019-06-30,286,321,375,696,22,70,25,85,1067,-334,-82,0,0,0,-5,-421,-74,11,-63,-231,-231,-197,4,-487,146,-197
2019-03-31,426.00000,315.00000,-21.00000,294.00000,26.00000,-22.00000,-25.00000,13.00000,733.00000,-290.00000,,,,,-4.00000,-294.00000,66.00000,-25.00000,41.00000,-229.00000,-229.00000,-201.00000,,-389.00000,52.00000,-201.00000
2018-12-31,318,338,355,693,99,-116,-23,-190,821,-275,-8,0,0,0,24,-259,-625,32,-593,-200,-200,-201,-6,-1000,-437,-201
2018-09-30,562,335,80,415,-108,-94,7,-36,941,-347,0,0,0,0,1,-346,-231,-9,-240,-201,-201,-195,0,-636,-47,-195
2018-06-30,407,330,145,475,-211,-47,46,-81,801,-439,0,0,0,0,-36,-475,149,-7,142,-300,-300,-196,0,-354,-68,-196
2018-03-31,730.00000,325.00000,-260.00000,65.00000,-122.00000,21.00000,-42.00000,-132.00000,663.00000,-488.00000,,,,,-1.00000,-489.00000,189.00000,-17.00000,172.00000,-31.00000,-31.00000,-197.00000,,-56.00000,123.00000,-197.00000
