,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-461.1,-126.6,-205.2,-331.8,203.5,282.3,19.1,693.7,751.4,618.5,108.4,191.5,0,0,0,-5.7,27.8,1.1,-401.4,-400.3,0.5,0.5,200.6,1.5,-435.1,208.2,-18.9,200.6
2022-09-30,118.3,41.4,20.2,61.6,229.1,-46.5,-57.9,63,217.5,397.4,-34.7,-191,0,0,0,-3.2,-228.9,-0.8,-320.1,-320.9,-0.2,-0.2,-66.9,0,-388,-227.7,5.8,-66.9
2022-06-30,131.2,42.8,87.6,130.4,-115.1,-43.7,93.3,-210.9,-86.3,175.3,-23.4,0.5,0,0,0,13.5,-9.4,-0.8,138.2,137.4,1.2,1.2,-66.9,-1.5,70.2,226.4,5.8,-66.9
2022-03-31,211.60000,42.40000,19.80000,62.20000,-317.50000,-192.10000,-54.50000,-545.80000,-882.60000,-608.80000,-50.30000,-1.00000,,,,-4.60000,-55.90000,0.50000,583.30000,583.80000,-1.50000,-1.50000,-66.80000,,515.50000,-151.70000,7.30000,-66.80000
2021-12-31,181.7,42.4,89,131.4,-70.3,36.3,-2.8,590.7,262.7,575.8,-40.5,-0.6,0,0,0,28.2,-12.9,-200.5,-20.7,-221.2,-98,-98,-61,-0.7,-380.9,175.8,4.3,-61
2021-09-30,165.9,43.4,32.2,75.6,112.1,-57,-60.3,69.3,74.6,316.1,-12.7,-2,0,0,0,-3.2,-17.9,0,-421.2,-421.2,-199.8,-199.8,-61.9,0,-682.9,-387.5,3.8,-61.9
2021-06-30,203.2,42.5,15.1,57.6,-66.3,-143.6,82.4,-132.4,-29.6,231.2,-21.9,-2.6,0,-0.5,-0.5,-5.1,-30.1,-1.6,200.3,198.7,-23.8,-23.8,-62,-1.7,111.2,311.8,4.3,-62
2021-03-31,183.20000,42.60000,13.80000,56.40000,-216.60000,-166.80000,125.10000,-347.80000,-542.60000,-303.00000,-25.00000,,,-12.20000,-12.20000,-13.90000,-51.10000,-1.00000,346.50000,345.50000,-78.50000,-78.50000,-62.30000,,204.70000,-152.20000,5.40000,-62.30000
2020-12-31,47.3,42,98,139.9999,-149.7,82,61.8,286.8,213.3,400.6,-33.1,-65.6,0,-5,-5,33.8,-69.9,-90.1,132.6,42.5,-49.2,-49.2,-57.2,0,-63.9,271.8,3.7,-57.2
2020-09-30,112.1,41.5,28.5,70,209.4,-9.3,0,6.6,158.8,340.9,-12,0,0,-11.6,-11.6,-2.5,-26.1,0.1,-305.1,-305,9.6,9.6,-57.2,-8.7,-361.3,-45.6,3.9,-57.2
