,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1962,263,-111,152,145,-353,106,-51,-21,2042,-967,0,-38,0,-38,-22,-1027,799,799,-798,-798,-1123,-12,-1134,-119,62,-1123
2022-09-30,2295,262,65,327,150,-205,0,81,229,2766,-790,0,-1313,0,-1313,-10,-2113,695,695,-918,-918,-1051,-12,-1286,-633,68,-1051
2022-06-30,2291,240,70,310,-395,-139,-11,48,-612,1768,-596,0,1739,0,1739,82,1225,-500,-500,-1126,-1126,-1060,-10,-2696,297,85,-1060
2022-03-31,2201.00000,214.00000,71.00000,285.00000,-94.00000,-150.00000,11.00000,42.00000,-295.00000,2144.00000,-441.00000,,-1214.00000,,-1214.00000,-13.00000,-1668.00000,,,-532.00000,-532.00000,-1063.00000,-7.00000,-1602.00000,-1126.00000,74.00000,-1063.00000
2021-12-31,2138,213,-4,209,-48,-47,33,-28,-33,2357,-1214,0,-989,0,-989,-26,-2229,0,0,-90,-90,-1062,-8,-1160,-1032,50,-1062
2021-09-30,1947,253,59,312,-62,-13,0,89,174,2428,-483,0,-378,0,-378,-23,-884,1495,1495,-64,-64,-942,-19,470,2014,50,-942
2021-06-30,1931,247,65,312,-7,40,-69,-43,-61,2121,-383,0,503,0,503,7,127,0,0,-92,-92,-942,-7,-1041,1207,69,-942
2021-03-31,1753.00000,241.00000,68.00000,309.00000,-170.00000,65.00000,69.00000,101.00000,-183.00000,1850.00000,-307.00000,,-782.00000,,-782.00000,-20.00000,-1109.00000,-550.00000,-550.00000,96.00000,96.00000,-940.00000,-12.00000,-1406.00000,-665.00000,61.00000,-940.00000
2020-12-31,1688,243,19,262,-22,117,63,-104,240,2125,-211,0,-764,0,-764,-21,-996,0,0,99,99,-937,-6,-844,285,42,-937
2020-09-30,1353,250,-3,247,-216,64,0,24,-192,1443,-144,0,-2030,0,-2030,-15,-2189,0,0,108,108,-825,-9,-726,-1472,50,-825
