,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1028,365,280,645,66,0,-1,-232,1441,1534,-938,0,0,-1974,-1378,1203,-328,875,-347,-347,-434,-27,67,130,13,-434
2022-09-30,1270,336,47,383,267,0,-13,272,1925,-458,-248,0,0,-14,-720,-69,-35,-104,-523,-523,-597,-6,-1230,-25,14,-597
2022-06-30,1461,330,-4,326,23,0,51,-80,1707,-135,-381,0,0,0,-516,-389,37,-352,-332,-332,-604,-11,-1299,-108,13,-604
2022-03-31,803.00000,313.00000,295.00000,608.00000,-403.00000,,124.00000,-159.00000,1252.00000,-698.00000,,,,-18.00000,-716.00000,-792.00000,-21.00000,-813.00000,-49.00000,-49.00000,-154.00000,-25.00000,-1041.00000,-505.00000,15.00000,-154.00000
2021-12-31,1051,320,-165,155,111,0,-148,-39,1167,904,454,0,0,-1574,-216,-659,407,-252,-440,-440,-131,3,-820,131,14,-131
2021-09-30,674,341,116,457,-135,0,163,68,1199,-379,-33,0,0,-13,-425,-449,25,-424,-49,-49,-112,-44,-629,145,14,-112
2021-06-30,328,341,275,616,-35,0,46,10,954,80,-421,0,0,30,-311,-197,-96,-293,-12,-12,-96,-20,-421,222,13,-96
2021-03-31,223.00000,273.00000,131.00000,404.00000,-137.00000,,60.00000,-3.00000,624.00000,-642.00000,,,,55.00000,-587.00000,114.00000,-23.00000,91.00000,-24.00000,-24.00000,-85.00000,47.00000,29.00000,66.00000,10.00000,-85.00000
2020-12-31,-756,270,954,1224,-48,0,-15,-65,403,1356,154,90,90,-1846,-246,-7,-27,-34,-39,-39,-75,0,-148,9,10,-75
2020-09-30,-1105,288,1251,1539,36,0,40,108,542,-279,-90,-24,-24,73,-320,485,-583,-98,0,0,-74,-10,-182,40,9,-74
2020-06-30,-2411,344,2457,2801,54,0,-105,-66,324,-562,-24,-33,-33,7,-612,302,-28,274,0,0,-78,-4,192,-96,9,-78
2020-03-31,-400.00000,409.00000,720.00000,1129.00000,175.00000,,42.00000,120.00000,849.00000,-790.00000,-40.00000,-33.00000,-33.00000,-60.00000,-923.00000,16.00000,290.00000,306.00000,-98.00000,-98.00000,-102.00000,-5.00000,101.00000,27.00000,9.00000,-102.00000
2019-12-31,-472,408,902,1310,-71,0,84,49,887,1928,-776,-260,-260,-2036,-1144,2172,-1609,563,-193,-193,-73,-12,285,28,48,-73
2019-09-30,388,365,-57,308,-22,0,104,113,809,-523,0,-39,-39,-410,-972,-1,289,288,-296,-296,-60,5,-63,-226,0,-60
2019-06-30,356,358,28,386,-31,4,-38,-76,666,-718,0,-37,-37,-80,-835,20,-218,-198,674,674,-54,-53,369,200,-14,-54
2019-03-31,43.00000,323.00000,264.00000,587.00000,-63.00000,-4.00000,-1.00000,-253.00000,377.00000,-631.00000,,-149.00000,-149.00000,-157.00000,-937.00000,23.00000,170.00000,193.00000,328.00000,328.00000,-47.00000,-3.00000,471.00000,-89.00000,14.00000,-47.00000
2018-12-31,306,230,-133,97,34,14,-1,9,412,-450,0,0,0,-1234,-1684,0,1045,1045,-1,-1,-41,-25,978,-294,9,-41
2018-09-30,160,147,58,205,-20,4,-4,24,389,-390,0,-1,-1,-230,-621,750,-375,375,306,306,-44,-10,627,395,5,-44
2018-06-30,301,130,14,144,-7,-5,-1,-20,425,-425,0,0,0,-188,-613,0,265,265,0,0,-31,-4,230,42,6,-31
2018-03-31,178.00000,116.00000,52.00000,168.00000,6.00000,-13.00000,6.00000,-7.00000,339.00000,-320.00000,,-110.00000,-110.00000,-155.00000,-585.00000,312.00000,-84.00000,228.00000,,,-19.00000,-3.00000,206.00000,-40.00000,7.00000,-19.00000
2017-12-31,129.85,106.491,75.299,181.79,-73.861,0.7,13.085,-60.658,250.982,-245.791,0,0.188,0.188,-121.672,-367.275,0,220.5,220.5,-0.702,-0.702,-13.36,-7.776,198.662,82.369,6.582,-13.36
2017-09-30,81.948,88.596,65.696,154.292,12.709,0.359,-3.262,7.347,243.587,-263.189,0,0,0,-280.06,-543.249,0,104.5,104.5,222.619,222.619,-13.517,-0.323,313.279,13.617,6.187,-13.517
2017-06-30,164.128,76.132,-21.416,54.716,-15.943,-2.015,18.169,-0.34,218.504,-183.778,0,0,0,-212.219,-395.997,0,165.5,165.5,0,0,-7.641,-1.218,156.641,-20.852,6.168,-7.641
2017-03-31,141.07400,59.78100,-30.57900,29.20200,-19.90500,-1.04400,6.00800,5.65100,175.92700,-175.24200,,-0.18800,-0.18800,-1650.04900,-1825.47900,,-120.50000,-120.50000,148.08300,148.08300,-6.48200,-0.68300,20.41800,-1629.13400,7.06300,-6.48200
2016-12-31,28.44,52.023,52.193,104.216,-27.714,-0.014,7.199,-26.922,105.734,-117.832,0,-1.545,-1.545,-208.825,-328.202,523.439,66,589.439,1150.828,1150.828,-3.177,-15.317,1721.773,1499.305,5.81,-3.177
2016-09-30,-0.6,45.429,50.496,95.925,-8.441,-0.475,2.282,9.24,104.565,-100.949,0,0,0,-700.715,-801.664,0,3,3,646.157,646.157,-2.9,-0.683,645.574,-51.525,6.265,-2.9
2016-06-30,-157.121,40.543,186.18,226.723,-21.047,0.097,0.747,-20.581,49.021,-63.372,0,0,0,-9.847,-73.219,0,8.5,8.5,0.126,0.126,-1.382,-0.062,7.182,-17.016,6.028,-1.382
2016-03-31,-35.62700,42.73700,43.10300,85.84000,23.46600,0.13700,-4.49800,22.54700,72.76000,-87.35200,,-0.80000,-0.80000,-19.00500,-107.15700,,-2.50000,-2.50000,254.89000,254.89000,-2.11500,-0.18300,250.09200,215.69500,8.35000,-2.11500
2015-12-31,-186.835,49.232,252.1149,301.347,-1.965,-0.001,-5.334,-37.615,76.897,-83.622,0,0,0,-23.564,-107.186,0,6.5,6.5,2.155,2.155,-1.855,-0.223,6.577,-23.712,4.87,-1.855
2015-09-30,-156.042,53.014,222.588,275.602,4.057,0.056,1.487,20.258,139.818,-84.472,0,-1.027,-1.027,-22.4,-107.899,0,-229,-229,198.556,198.556,-2.039,-0.287,-32.77,-0.851,4.402,-2.039
2015-06-30,-211.352,57.745,238.773,296.518,2.05,0.189,3.194,15.477,100.643,-91.337,0,-1.675,-1.675,-433.398,-526.41,0,106.421,106.421,334.54,334.54,-1.759,-0.4,438.802,13.035,4.333,-1.759
2015-03-31,6.43900,60.30700,32.72500,93.03200,7.00500,-0.02000,-13.69100,-0.32800,99.14300,-151.55500,,,,-2.00000,-153.55500,,-61.92100,-61.92100,120.31000,120.31000,-2.31500,-0.20200,55.87200,1.46000,4.92400,-2.31500
2014-12-31,99.917,54.261,-47.419,6.842,-5.544,0,12.629,-2.365,104.394,-186.9449,0,-0.626,-0.626,-5.345,-192.916,0,83.5,83.5,1.95,1.95,-2.314,-5.075,78.061,-10.461,4.429,-2.314
2014-09-30,44.641,45.929,6.509,52.438,-16.006,-0.062,-2.966,-4.79,92.289,-145.622,0,-33.851,-33.851,-585.963,-765.436,0,94,94,582.201,582.201,0,0.597,676.798,3.651,2.069,0
2014-06-30,27.824,40.509,25.271,65.78,-7.106,1.235,2.902,-5.364,88.24,-124.461,0,0,0,0,-124.461,0,-91,-91,140.728,140.728,0,-1.828,47.9,11.679,1.128,0
2014-03-31,23.58900,31.43100,19.19400,50.62500,-13.48500,-0.25800,3.10900,-2.74800,71.46600,-86.97700,,,,-312.20700,-399.18400,,127.00000,127.00000,210.63400,210.63400,,-0.15700,337.47700,9.75900,2.19000,
