,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,7132,712,1843,2555,-1819,10550,13176,21067,30998,0,0,7863,19800,27663,-13283,14380,1043,-14104,-13061,-998,-1652,-2105,-7567,-24385,25227,627,-2105
2022-09-30,7082,864,2121,2985,-1201,-15059,8220,1579,13154,0,0,-3425,41220,37795,-3034,34761,6478,4478,10956,-450,-450,-2254,-46141,-37889,6974,704,-2254
2022-06-30,6247,1075,1339,2414,3623,-26324,14279,-13992,-5049,0,0,28482,24852,53334,-36596,16738,11452,-7281,4171,-975,1022,-1995,-87849,-84651,-75932,792,-1995
2022-03-31,7067.00000,1399.00000,809.00000,2208.00000,6102.00000,-64939.00000,-14876.00000,-53893.00000,-45430.00000,,,-49889.00000,-1769.00000,-51658.00000,-16750.00000,-68408.00000,12882.00000,23392.00000,36274.00000,-2650.00000,-221.00000,-2222.00000,7055.00000,40886.00000,-74287.00000,739.00000,-2222.00000
2021-12-31,7013,1798,543,2341,-6800,33206,-118,34214,44651,0,0,10588,-17121,-6533,-52374,-58907,3177,-11624,-8447,-7533,-6266,-1965,99718,83040,68367,737,-1965
2021-09-30,7691,1894,246,2140,-1828,3062,-8257,-610,9795,0,0,7498,-30394,-22896,-9802,-32698,7735,-7716,19,-9914,-9914,-2145,55703,43663,19824,568,-2145
2021-06-30,9224,2052,-3034,-982,-1453,-4616,-2603,-18558,-9311,0,0,-8944,-82524,-91468,-17138,-108606,19796,14255,34051,-4209,-5087,-1831,24187,51320,-66071,610,-1831
2021-03-31,8050.00000,1991.00000,-441.00000,1550.00000,1130.00000,-53756.00000,-23477.00000,-63917.00000,-52328.00000,,,43598.00000,-179706.00000,-136108.00000,23028.00000,-113080.00000,-859.00000,31523.00000,30664.00000,-3470.00000,-3661.00000,-2114.00000,88738.00000,113627.00000,-54362.00000,853.00000,-2114.00000
2020-12-31,5470,1952,712,2664,-5169,42445,2195,44581,54594,0,0,21229,-100909,-79680,25798,-53882,5330,-18986,-13656,-263,820,-1828,92602,77938,79457,434,-1828
2020-09-30,4881,1748,599,2347,2749,-26568,-15689,-39706,-32638,0,0,106472,-93796,12676,42301,54977,-6093,11608,5515,-1212,-114,-1983,-15816,-12398,11660,520,-1983
2020-06-30,3533,1330,5132,6462,493,-28550,21633,-15133,-3006,0,0,-124053,-8619,-132672,44323,-88349,-1057,-3139,-4196,812,-286,-1833,135447,129132,38956,534,-1833
2020-03-31,4010.00000,914.00000,4760.00000,5674.00000,1319.00000,29615.00000,-21022.00000,9324.00000,19043.00000,,,-32548.00000,13355.00000,-19193.00000,-71218.00000,-90411.00000,10885.00000,10838.00000,21723.00000,-6362.00000,-6336.00000,-2083.00000,147843.00000,161147.00000,88830.00000,543.00000,-2083.00000
2019-12-31,6994,1086,1965,3051,699,38461,-11726,47850,59103,0,0,-103328,72707,-30621,-12658,-43279,-681,-43447,-44128,-7748,-7953,-1848,42063,-11866,4466,479,-1848
2019-09-30,5777,1047,3655,4702,-4274,-12807,-1792,-17063,-5702,0,0,-22383,2634,-19749,-10384,-30133,3662,10557,14219,-7626,-8709,-464,17782,22828,-14300,510,-464
2019-06-30,7348,882,1960,2842,610,-11191,-1590,-17688,-6725,0,0,19728,-2451,17277,-19728,-2451,-1779,19733,17954,-6507,-4144,-1696,-4191,7923,-229,481,-1696
2019-03-31,7311.00000,780.00000,2274.00000,3054.00000,4282.00000,-6543.00000,3995.00000,1388.00000,15101.00000,,,-7872.00000,3879.00000,-3993.00000,-774.00000,-4767.00000,424.00000,-4718.00000,-4294.00000,-6263.00000,-6263.00000,-1926.00000,-3025.00000,-15508.00000,-5781.00000,504.00000,-1926.00000
2018-12-31,7278,937,1429,2366,-5490,-10326,-1728,-22800,-13922,0,0,-12523,6843,-5680,-18637,-24317,-4824,6536,1712,-5231,-5231,-1745,35820,30556,-7454,406,-1745
2018-09-30,7167,1017,2152,3169,854,-12052,4267,10936,19606,0,0,-21404,-9960,-31364,5082,-26282,10894,-17896,-7002,-5040,-5895,-1905,35847,21045,13659,446,-1905
2018-06-30,6784,947,2266,3213,1406,-17102,-1852,-16335,-6518,0,0,31494,-27447,4047,-2067,1980,-2195,1919,-276,-4965,-6456,-1571,-18782,-27085,-33042,462,-1571
2018-03-31,6918.00000,986.00000,2051.00000,3037.00000,4131.00000,15807.00000,11233.00000,30357.00000,40354.00000,,,-42292.00000,20363.00000,-21929.00000,-920.00000,-22849.00000,7357.00000,7033.00000,14390.00000,-4858.00000,-2509.00000,-1674.00000,18395.00000,28602.00000,46807.00000,415.00000,-1674.00000
2017-12-31,2365,1119,4495,5614,962,-2110,-10097,-17773,-7100,0,0,-20497,19467,-1030,-10887,-11917,-2044,-13008,-15052,-4869,-4869,-1576,25340,3843,-14947,427,-1576
2017-09-30,5424,1105,2782,3887,-6923,11759,-2289,9298,20304,0,0,-23188,20771,-2417,-13282,-15699,2067,-10117,-8050,-2981,-2981,-1721,21410,8658,13677,457,-1721
2017-06-30,5106,1052,3217,4269,8557,-7589,-11236,-1300,9649,0,0,-29026,20345,-8681,-1303,-9984,157,2749,2906,-2236,-2236,-1148,-9159,-9637,-9321,459,-1148
2017-03-31,5337.00000,1078.00000,2471.00000,3549.00000,-5554.00000,-16723.00000,3532.00000,-23263.00000,-12989.00000,,,-36726.00000,24856.00000,-11870.00000,-2071.00000,-13941.00000,3826.00000,35938.00000,39764.00000,-2728.00000,-2728.00000,-1255.00000,10623.00000,46404.00000,20287.00000,306.00000,-1255.00000
2016-12-31,4612,1480,1775,3255,2567,-11703,-13491,-17817,-9440,0,0,-9427,22224,12797,-12082,715,691,-10849,-10158,-1330,-1330,-1163,28034,15383,4304,280,-1163
2016-09-30,4955,1446,2955,4401,-1732,-7209,-947,-9353,526,0,0,-48035,19231,-28804,-3706,-32510,-4510,-5889,-10399,-1399,-1399,-1178,16836,3860,-27773,125,-1178
2016-06-30,4783,1355,2188,3543,-2301,8142,-2026,6991,15294,0,0,-27513,21971,-5542,-3574,-9116,-4123,-8728,-12851,-1383,-505,-879,-1183,-15418,-8403,131,-879
2016-03-31,3472.00000,1094.00000,3349.00000,4443.00000,947.00000,8135.00000,2361.00000,2887.00000,10897.00000,,,-40398.00000,23944.00000,-16454.00000,-4920.00000,-21374.00000,-8144.00000,17452.00000,9308.00000,-1000.00000,1069.00000,-974.00000,19925.00000,29328.00000,20257.00000,831.00000,-974.00000
