,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,494,275,-248,27,-255,0,422,592,1113,-3538,0,-32,0,0,3509,-61,-14,187,173,-998,-998,-348,-25,-1198,-102,54,-348
2022-09-30,678,297,112,409,-96,0,-80,-273,814,3489,0,-33,-6,-6,-3506,-56,0,0,0,-2501,-2501,-348,-11,-2860,-2184,17,-348
2022-06-30,1051,304,-453,-149,200,0,-681,-448,454,-2642,0,-20,0,0,3506,844,-391,-219,-610,-1498,-1498,-357,402,-2063,-834,49,-357
2022-03-31,1299.00000,137.00000,-1269.00000,-1132.00000,187.00000,,186.00000,55.00000,222.00000,2602.00000,,295.00000,4.00000,4.00000,,2901.00000,2102.00000,,2102.00000,-7000.00000,-7000.00000,-241.00000,-66.00000,-5205.00000,-2098.00000,94.00000,-241.00000
2021-12-31,736,41,93,134,-266,0,213,70,940,-13,0,-80,-1,-1,16,-78,0,0,0,3,3,-242,-2,-241,598,32,-242
2021-09-30,861,42,98,140,-31,0,-117,-34,967,3,0,-9,-1,-1,-2,-9,0,0,0,3,3,-239,-10,-246,686,40,-239
2021-06-30,858,45,-7,38,88,0,-101,27,923,-9,0,-1,-1,-1,2,-9,0,0,0,4,4,-234,-3,-233,703,31,-234
2021-03-31,808.00000,50.00000,43.00000,93.00000,65.00000,,41.00000,-133.00000,768.00000,-16.00000,,-9.00000,1.00000,1.00000,,-24.00000,,,,3.00000,3.00000,-255.00000,-41.00000,-293.00000,396.00000,19.00000,-255.00000
2020-12-31,505,52,203,255,-154,0,306,381,1141,-33,0,-12,0,0,9,-36,0,0,0,2,2,-212,-6,-216,954,30,-212
2020-09-30,498,54,317,371,142,0,-297,-60,809,-25,0,-6,4,4,9,-18,-118,0,-118,-9,-9,-212,-1,-340,484,38,-212
2020-06-30,842,51,23,74,-46,0,8,21,937,-7,0,0,4,4,0,-3,0,0,0,4,4,-203,-10,-209,732,11,-203
2020-03-31,689.00000,49.00000,37.00000,86.00000,76.00000,,80.00000,-95.00000,680.00000,-11.00000,,-183.00000,11.00000,11.00000,,-183.00000,,,,-1145.00000,-1145.00000,-212.00000,-44.00000,-1401.00000,-934.00000,11.00000,-212.00000
2019-12-31,586,51,83,134,-85,0,242,284,1004,-38,0,-66,-7,-7,0,-111,218,0,218,-94,-94,-182,-9,-67,867,25,-182
2019-09-30,662,49,-9,40,45,0,-5,60,762,-31,0,-21,0,0,85,33,0,0,0,-493,-493,-181,-2,-676,99,20,-181
2019-06-30,602,52,57,109,-8,0,-74,6,717,-26,0,-3,-3,-3,0,-32,0,0,0,8,8,-181,-6,-179,484,21,-181
2019-03-31,453.00000,52.00000,140.00000,192.00000,-87.00000,,-103.00000,-352.00000,293.00000,-20.00000,,-1.00000,,,,-21.00000,,,,-621.00000,-621.00000,-159.00000,-49.00000,-829.00000,-522.00000,12.00000,-159.00000
2018-12-31,551,55,119,174,-226,0,31,-62,663,-25,0,-138,-10,-10,6,-167,0,0,0,-542,-542,-162,-5,-709,-245,21,-162
2018-09-30,535,54,-28,26,43,0,-5,-63,498,-28,0,-17,4,4,0,-41,0,0,0,0,0,-164,-11,-175,268,27,-164
2018-06-30,501,52,121,173,12,0,-215,-131,543,-27,0,-189,-2,-2,0,-218,86,0,86,-19,-19,-154,-1,-88,179,33,-154
2018-03-31,534.00000,45.00000,37.00000,82.00000,7.00000,,55.00000,-256.00000,360.00000,-33.00000,,-57.00000,3.00000,3.00000,,-87.00000,,,,-1090.00000,-1090.00000,-177.00000,-49.00000,-1316.00000,-1023.00000,13.00000,-177.00000
2017-12-31,299,46,142,188,-132,0,333,326,813,-48,0,-3,-5,-5,2,-54,0,0,0,-149,-149,-147,0,-296,467,34,-147
2017-09-30,452,46,44,90,-15,0,-87,-13,529,-19,0,-10,0,0,-2,-31,0,0,0,-469,-469,-119,-5,-593,-72,24,-119
2017-06-30,457,45,44,89,-61,0,-256,-225,321,-33,0,-69,0,0,0,-102,0,0,0,-136,-136,-136,0,-272,-27,22,-136
2017-03-31,430.00000,43.00000,36.00000,79.00000,12.00000,,67.00000,-156.00000,353.00000,-23.00000,,-1.00000,,,2.00000,-22.00000,,,,-172.00000,-172.00000,-130.00000,-44.00000,-346.00000,19.00000,19.00000,-130.00000
2016-12-31,569,47,-243,-196,-151,0,-3,-70,303,-48,0,-66,0,0,427,313,-421,0,-421,4,4,-151,10,-558,-7,22,-151
2016-09-30,924,47,-695,-648,13,0,264,341,617,-31,0,-93,-1,-1,1071,946,493,-309,184,-731,-731,-97,-20,-664,832,20,-97
2016-06-30,412,45,38,83,-32,0,-74,-40,455,-20,0,-45,1,1,0,-64,0,-163,-163,-113,-113,-119,-4,-399,-33,20,-119
2016-03-31,323.00000,42.00000,47.00000,89.00000,-7.00000,,125.00000,-227.00000,185.00000,-16.00000,,-7.00000,-1.00000,-1.00000,,-24.00000,,329.00000,329.00000,-195.00000,-195.00000,-129.00000,-46.00000,-41.00000,119.00000,14.00000,-129.00000
2015-12-31,276,53,168,221,-74,0,252,215,712,-79,0,-3,-1,-1,14,-69,0,143,143,-464,-464,-126,-131,-578,40,23,-126
