,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2873,3472,-81,3391,-753,26,-382,5883,-3673,-989,777,-185,-185,88,-3982,573,660,1233,-3515,-3515,-1170,567,-2885,-948,347,-1170
2022-09-30,-4665,3333,8979,12312,-236,-537,-699,6946,-2845,-769,1088,-925,-925,84,-3366,-47,0,-47,-3525,-3525,-1194,103,-4663,-1129,314,-1194
2022-06-30,3241,3468,1211,4679,189,-1547,-1594,6327,-2435,-742,39,-1098,-1098,42,-4195,-101,0,-101,-3065,-3065,-1211,230,-4146,-2055,299,-1211
2022-03-31,3476.00000,3548.00000,462.00000,4010.00000,-527.00000,-16.00000,-229.00000,7257.00000,-2003.00000,-641.00000,69.00000,-66.00000,-66.00000,44.00000,-2597.00000,13.00000,,13.00000,-3223.00000,-3223.00000,-1166.00000,-114.00000,-4490.00000,135.00000,376.00000,-1166.00000
2021-12-31,2979,3582,938,4520,-615,708,191,7689,-3179,-877,-1023,-52,-52,92,-5040,-2344,0,-2344,-2055,-2055,-1145,-128,-5672,-3079,296,-1145
2021-09-30,3932,3477,625,4102,-857,-1445,-1934,6100,-2264,-723,105,-36,-36,142,-2775,-1124,0,-1124,-1660,-1660,-1157,59,-3882,-560,308,-1157
2021-06-30,3630,3383,591,3974,-417,-78,2,7606,-2420,-671,-13,-34,-34,119,-3019,-5470,0,-5470,-648,-648,-1150,102,-7166,-2558,338,-1150
2021-03-31,3292.00000,3362.00000,224.00000,3586.00000,554.00000,517.00000,873.00000,7751.00000,-2287.00000,-612.00000,241.00000,-52.00000,-52.00000,98.00000,-2612.00000,68.00000,,68.00000,-309.00000,-309.00000,-1080.00000,-577.00000,-1898.00000,3208.00000,373.00000,-1080.00000
2020-12-31,3437,3252,-1448,1804,-1002,524,-199,5042,-3215,-1143,200,-267,-267,351,-4074,-1701,0,-1701,-105,-105,-1054,-62,-2922,-1969,271,-1054
2020-09-30,2031,3320,530,3850,82,-1069,-653,5228,-2797,-552,62,-74,-74,-134,-3495,-1332,0,-1332,-160,-160,-1058,484,-2066,-239,301,-1058
2020-06-30,3009,3264,92,3356,702,1728,2278,8643,-2413,-601,2021,-402,-402,18,-1377,1058,0,1058,-36,-36,-1051,-1870,-1899,5367,323,-1051
2020-03-31,2224.00000,3264.00000,1196.00000,4460.00000,198.00000,-331.00000,-860.00000,5824.00000,-2252.00000,-618.00000,-177.00000,-69.00000,-69.00000,15.00000,-3101.00000,1842.00000,,1842.00000,-233.00000,-233.00000,-977.00000,-258.00000,374.00000,3020.00000,298.00000,-977.00000
2019-12-31,3200,3177,579,3756,-417,-1106,-721,6235,-3467,-789,489,-202,-202,40,-3929,584,0,584,-72,-72,-957,90,-355,1987,231,-957
2019-09-30,3288,3180,602,3782,65,-1610,-1879,5191,-2797,-608,-9,-92,-92,8,-3498,-491,-487,-978,-82,-82,-955,-79,-2094,-417,257,-955
2019-06-30,3203,3276,705,3981,-154,251,-144,7040,-2493,-531,47,-1166,-1166,-45,-4188,-1931,487,-1444,-103,-103,-954,94,-2407,422,288,-954
2019-03-31,3632.00000,3320.00000,95.00000,3415.00000,449.00000,309.00000,184.00000,7231.00000,-2312.00000,-547.00000,-11.00000,-439.00000,-439.00000,83.00000,-3226.00000,-1862.00000,-1288.00000,-3150.00000,-247.00000,-247.00000,-869.00000,-59.00000,-4325.00000,-312.00000,245.00000,-869.00000
2018-12-31,2582,3197,165,3362,-577,732,-154,5790,-3241,-560,-37990,-544,-544,71,-42264,30538,-2530,28008,-1038,-1038,-865,-99,26006,-10713,219,-865
2018-09-30,2896,2477,564,3041,-165,164,33,5970,-2550,-445,-113,-713,-713,537,-3284,5513,2886,8399,-1284,-1284,-871,-150,6094,8780,197,-871
2018-06-30,3208,2403,738,3141,-145,1178,714,7063,-2369,-511,114,139,139,-387,-3014,-2846,925,-1921,-1269,-1269,-878,-316,-4384,-335,211,-878
2018-03-31,3176.00000,2599.00000,589.00000,3188.00000,85.00000,-1175.00000,-890.00000,5474.00000,-2074.00000,-419.00000,-89.00000,-139.00000,-139.00000,429.00000,-2292.00000,2778.00000,-902.00000,1876.00000,-1729.00000,-1729.00000,-738.00000,15.00000,-576.00000,2606.00000,199.00000,-738.00000
2017-12-31,15051,2609,-11146,-8537,-992,-311,-1110,5404,-2828,-469,47,-348,-348,-12,-3610,-1337,902,-435,-1223,-1223,-736,-57,-2451,-657,157,-736
2017-09-30,2674,2104,452,2556,46,-295,-122,5108,-2527,-365,-31,-176,-176,583,-2516,2443,-1112,1331,-1736,-1736,-743,-38,-1186,1406,203,-743
2017-06-30,2542,2507,450,2957,-445,23,-375,5124,-2476,-386,-182,-757,-757,147,-3654,1555,198,1753,-1480,-1480,-747,-2320,-2794,-1324,218,-747
2017-03-31,2655.00000,2468.00000,427.00000,2895.00000,522.00000,-253.00000,75.00000,5625.00000,-2208.00000,-385.00000,-216.00000,-1011.00000,-1011.00000,67.00000,-3753.00000,2441.00000,-1893.00000,548.00000,-996.00000,-996.00000,-657.00000,-36.00000,-1141.00000,731.00000,173.00000,-657.00000
2016-12-31,2400,2364,708,3072,-334,232,230,5702,-2720,-389,-25,-1049,-1049,70,-4113,-58,1180,1122,-1291,-1291,-657,-283,-1109,480,145,-657
2016-09-30,2324,2395,607,3002,-487,-794,-1131,4195,-2498,-426,-3778,12,12,-1634,-8324,4035,405,4440,-1421,-1421,-663,-85,2271,-1858,164,-663
2016-06-30,2080,2389,682,3071,-390,-250,-756,4395,-2342,-359,-102,-104,-104,-212,-3119,-1073,743,-330,-1202,-1202,-670,-37,-2239,-963,178,-670
2016-03-31,2224.00000,2278.00000,326.00000,2604.00000,562.00000,-3.00000,571.00000,5399.00000,-2025.00000,-378.00000,-24.00000,-338.00000,-338.00000,56.00000,-2709.00000,3275.00000,-538.00000,2737.00000,-1415.00000,-1415.00000,-611.00000,-68.00000,643.00000,3333.00000,153.00000,-611.00000
2015-12-31,2056,2270,1264,3534,-386,253,82,5672,-2699,-454,-1487,-72,-72,-48,-4760,1465,355,1820,-1404,-1404,-614,-312,-510,402,137,-614
2015-09-30,2041,2183,323,2506,385,-13,432,4979,-2216,-316,-82,-440,-440,86,-2968,-687,-83,-770,-2182,-2182,-623,-29,-3604,-1593,136,-623
