,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,94.3,46.8,-11.9,34.9,68.3,116.7,-76.9,81.7,163.3,292.5,-53.6,0.1,-8,-8,2.3,-59.2,-2.2,4,1.8,0,0,-29,-0.5,-27.7,207.3,10.6,-29
2022-09-30,134.2,46.9,24.3,71.2,-21.6,-58.5,-46.3,16,-97.5,107.9,-62.5,0,-0.4,-0.4,1.3,-61.6,-1.6,0.8,-0.8,-30,-30,-29.2,-1.7,-61.7,-32.4,12.3,-29.2
2022-06-30,113.9,45.6,50.1,95.7,13,-101.5,40.6,2.8,-45.1,164.5,-44.8,-7.7,-0.9,-0.9,0.5,-52.9,-6,0.8,-5.2,-50.1,-50.1,-29.2,-10.7,-95.2,3,10.3,-29.2
2022-03-31,149.20000,45.30000,38.90000,84.20000,-57.10000,-115.40000,10.50000,-23.00000,-185.00000,48.40000,-67.00000,-2.00000,-1.30000,-1.30000,1.00000,-69.30000,-1.90000,-0.10000,-2.00000,-200.10000,-200.10000,-31.10000,-28.90000,-262.10000,-282.80000,17.30000,-31.10000
2021-12-31,180.9,50.5,3.9,54.4,6.3,4.7,32.5,52.1,96.9,332.2,30,0,-2,-2,0.6,28.6,-90.5,0.8,-89.7,-73.6,-73.6,-29.6,-3.7,-196.6,166.8,10.4,-29.6
2021-09-30,107.7,44.7,29.8,74.5,-24.3,-22.7,43.1,-44.7,-4.2,178,-57.7,0,-1,-1,-0.2,-58.9,80.6,0.1,80.7,-30,-30,-29.9,-14.1,6.7,121.1,10.1,-29.9
2021-06-30,108.1,45.7,22,67.7,-36.9,-70.5,61.2,-10,-56.2,119.6,-52.1,-0.7,-9,-9,7.4,-54.4,-4.1,-8.5,-12.6,-122.4,-122.4,-30.3,-0.3,-165.6,-96.9,11.9,-30.3
2021-03-31,110.10000,45.50000,19.70000,65.20000,-56.00000,-67.70000,69.30000,-41.00000,-95.40000,79.90000,-43.90000,0.60000,-6.00000,-6.00000,8.30000,-41.00000,-5.40000,1.70000,-3.70000,-177.10000,-177.10000,-25.80000,-13.70000,-220.30000,-178.70000,11.10000,-25.80000
2020-12-31,142.2,44.5,81.4,125.9,62.6,54.2,15.7,-42.5,58.7,326.8,-50.4,-7.6,-8.2,-8.2,7.5,-58.7,-5.7,-0.5,-6.2,-13,-13,-24.8,-0.6,-44.6,231.9,10.5,-24.8
2020-09-30,134,43.8,8.9,52.7,-9.2,14.5,-17,70.9,10.5,197.2,-39.9,4.6,1,1,0.4,-33.9,-5.6,-78.1,-83.7,-20,-20,-24.9,-0.3,-128.9,27.1,12,-24.9
