,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1082,549,-71,478,-426,112,49,54,1614,-572,-20,-526,138,695,833,13,-272,-1650,50,-1600,52,52,-248,-48,-1844,-525,77,-248
2022-09-30,920,533,38,571,-415,-197,102,76,1567,-318,-77,476,0,-1134,-1134,-30,-1083,0,-2,-2,78,78,-248,-8,-180,287,76,-248
2022-06-30,970,532,-217,315,-483,-188,-4,-877,408,-304,40,-8,168,239,407,-53,82,0,-27,-27,103,103,-177,-87,-188,293,71,-177
2022-03-31,520.00000,533.00000,81.00000,614.00000,-404.00000,-464.00000,-232.00000,-1003.00000,131.00000,-304.00000,-40.00000,,-168.00000,420.00000,252.00000,-23.00000,-115.00000,,16.00000,16.00000,-10.00000,-10.00000,-175.00000,-1.00000,-170.00000,-157.00000,89.00000,-175.00000
2021-12-31,611,532,83,615,61,21,-166,706,1932,-447,-18,31,787,-850,-63,-29,-526,-1000,-11,-1011,0,0,-175,-34,-1220,188,95,-175
2021-09-30,562,530,32,562,17,-32,-46,-54,1070,-261,-21,-99,0,-248,-248,10,-619,-189,-11,-200,75,75,-175,-22,-322,130,73,-175
2021-06-30,443,526,81,607,-98,37,551,170,1220,-255,7,-22,85,213,298,-13,15,-889,18,-871,18,18,-175,-42,-1070,171,72,-175
2021-03-31,312.00000,532.00000,42.00000,574.00000,-16.00000,49.00000,-19.00000,-457.00000,429.00000,-178.00000,-7.00000,-13.00000,-85.00000,520.00000,435.00000,-26.00000,211.00000,36.00000,-101.00000,-65.00000,44.00000,44.00000,-174.00000,-17.00000,-212.00000,424.00000,84.00000,-174.00000
2020-12-31,382,583,-113,470,186,110,102,26,878,-258,-15,109,-1141,1546,405,5,246,-1352,60,-1292,0,0,-174,-38,-1504,-375,79,-174
2020-09-30,-72,587,365,952,249,50,71,-401,479,-200,-25,24,0,-526,-526,-13,-740,111,23,134,61,61,-174,0,21,-243,105,-174
2020-06-30,-3428,604,3544,4148,1677,-32,138,83,803,-251,-26,-30,0,-219,-219,-21,-547,530,39,569,0,0,-694,-42,-167,87,105,-694
2020-03-31,-7368.00000,792.00000,7840.00000,8632.00000,233.00000,-42.00000,17.00000,-480.00000,784.00000,-407.00000,-35.00000,298.00000,,-1104.00000,-1104.00000,-64.00000,-1312.00000,1385.00000,34.00000,1419.00000,59.00000,59.00000,-692.00000,-9.00000,777.00000,238.00000,108.00000,-692.00000
2019-12-31,343,848,111,959,571,86,64,950,2252,-494,-50,346,238,-176,62,-67,-203,-1372,0,-1372,0,0,-692,-33,-2097,-46,76,-692
2019-09-30,-11373,900,12097,12997,152,-68,-69,121,1745,-413,-72,-4,0,-420,-420,-25,-934,-360,-22,-382,34,34,-692,-50,-1090,-283,135,-692
2019-06-30,493,938,54,992,-301,-135,71,-377,1108,-404,-64,-17,0,-137,-137,-22,-644,493,16,509,-102,-102,-693,52,-234,236,86,-693
2019-03-31,430.00000,903.00000,39.00000,942.00000,-280.00000,-197.00000,-91.00000,-1046.00000,326.00000,-413.00000,-45.00000,,,269.00000,269.00000,-41.00000,-230.00000,444.00000,-38.00000,406.00000,9.00000,9.00000,-692.00000,-20.00000,-297.00000,-203.00000,108.00000,-692.00000
2018-12-31,549,919,-225,694,544,58,370,1088,2331,-621,-37,577,0,-241,-241,7,-315,-1283,18,-1265,-95,-95,-693,-16,-2069,-60,86,-693
2018-09-30,657,887,1,888,170,3,103,282,1827,-565,-16,-243,0,-55,-55,-16,-895,-227,3,-224,23,23,-692,-7,-900,32,83,-692
2018-06-30,441,876,249,1125,-132,10,37,-579,987,-520,-21,-34,0,518,518,-55,-112,-414,-1,-415,-97,-97,-693,-59,-1264,-404,86,-693
2018-03-31,530.00000,874.00000,85.00000,959.00000,-152.00000,-81.00000,-133.00000,-921.00000,568.00000,-454.00000,-26.00000,-13.00000,,740.00000,740.00000,35.00000,282.00000,-39.00000,-105.00000,-144.00000,30.00000,30.00000,-692.00000,19.00000,-787.00000,66.00000,90.00000,-692.00000
2017-12-31,-2271,906,2833,3739,925,94,34,783,2251,-625,-53,-465,0,-1150,-1150,-125,-2418,935,88,1023,-65,-65,-692,12,278,109,82,-692
2017-09-30,555,956,75,1031,-643,65,483,312,1898,-598,-33,-18,0,901,901,-31,221,-1675,-13,-1688,20,20,-693,19,-2342,-213,81,-693
2017-06-30,-81,986,582,1568,-464,-18,-89,-629,858,-503,-74,-91,0,1178,1178,-37,473,-183,-82,-265,-390,-390,-697,20,-1332,1,92,-697
2017-03-31,284.00000,989.00000,168.00000,1157.00000,58.00000,-33.00000,-109.00000,-785.00000,656.00000,-381.00000,-116.00000,-273.00000,,739.00000,739.00000,-24.00000,-55.00000,333.00000,-1015.00000,-682.00000,-237.00000,-237.00000,-696.00000,-22.00000,-1637.00000,-1027.00000,88.00000,-696.00000
2016-12-31,-195,1016,725,1741,247,244,-105,467,2013,-654,-133,-147,0,943,943,-41,-32,-827,-788,-1615,-45,-45,-696,-33,-2389,-512,57,-696
2016-09-30,191,998,283,1281,-206,222,56,-66,1406,-403,-164,-31,0,823,823,-39,186,-1322,965,-357,-7,-7,-696,-56,-1116,494,65,-696
2016-06-30,-2146,1113,2981,4094,643,209,-522,-316,1632,-449,-166,-2139,0,5437,5437,52,2735,-2883,-3,-2886,1,1,-626,1,-3510,867,84,-626
2016-03-31,523.00000,967.00000,51.00000,1018.00000,414.00000,125.00000,217.00000,-331.00000,1210.00000,-549.00000,-167.00000,-81.00000,,-2690.00000,-2690.00000,-26.00000,-3513.00000,3042.00000,-561.00000,2481.00000,-312.00000,-312.00000,-629.00000,47.00000,1587.00000,-713.00000,61.00000,-629.00000
2015-12-31,-990,963,2228,3191,328,180,-71,-23,2178,-627,-150,-154,0,-7390,-7390,95,-8226,6895,38,6933,-373,-373,-633,-250,5677,-379,76,-633
2015-09-30,1003,1026,96,1122,166,406,196,418,2543,-590,-115,-118,0,201,201,-88,-710,-540,-627,-1167,-378,-378,-635,-12,-2192,-369,83,-635
2015-06-30,1134,1047,66,1113,889,91,218,67,2314,-587,-120,-127,0,804,804,-49,-79,-989,1488,499,-446,-446,-639,0,-586,1420,87,-639
2015-03-31,988.00000,1042.00000,478.00000,1520.00000,793.00000,-52.00000,-65.00000,-738.00000,1770.00000,-606.00000,-101.00000,-44.00000,,-416.00000,-416.00000,-70.00000,-1237.00000,428.00000,-902.00000,-474.00000,-537.00000,-537.00000,-512.00000,-2.00000,-1525.00000,-1009.00000,80.00000,-512.00000
2014-12-31,318,1065,1828,2893,592,25,-246,702,3913,-1210,-109,-452,0,-872,-872,16,-2627,263,97,360,-1066,-1066,-517,0,-1223,12,83,-517
2014-09-30,1964,1032,-9,1023,-189,29,7,76,3063,-980,-58,-85,0,606,606,0,-517,-727,757,30,-1205,-1205,-519,-6,-1700,851,84,-519
2014-06-30,1616,996,310,1306,-388,47,-57,-540,2382,-922,-72,-232,0,-1402,-1402,20,-2608,339,-80,259,-963,-963,-522,-39,-1265,-1485,85,-522
2014-03-31,1608.00000,1001.00000,30.00000,1031.00000,-202.00000,-137.00000,-113.00000,-802.00000,1837.00000,-864.00000,-82.00000,-239.00000,,1374.00000,1374.00000,-17.00000,172.00000,-464.00000,-222.00000,-686.00000,-619.00000,-619.00000,-410.00000,7.00000,-1708.00000,280.00000,77.00000,-410.00000
2013-12-31,1683,988,247,1235,412,284,21,1201,4119,-1190,-94,-66,0,-1880,-1880,87,-3143,357,343,700,-948,-948,-412,15,-645,323,60,-412
2013-09-30,1724,988,-37,951,-704,141,-25,101,2776,-953,-78,-427,0,-153,-153,40,-1571,496,-154,342,-608,-608,-415,3,-678,563,87,-415
2013-06-30,2100,1007,-398,609,-223,-58,261,-52,2657,-906,-105,-678,0,-427,-427,57,-2059,987,-186,801,-476,-476,-416,0,-91,457,87,-416
2013-03-31,1267.00000,896.00000,61.00000,957.00000,-288.00000,-179.00000,-166.00000,-1086.00000,1138.00000,-894.00000,-117.00000,-39.00000,,910.00000,910.00000,34.00000,-106.00000,-427.00000,34.00000,-393.00000,-27.00000,-27.00000,-365.00000,,-785.00000,224.00000,81.00000,-365.00000
2012-12-31,1372,1077,43,1120,129,142,186,987,3479,-1533,-91,-132,0,-1821,-1821,69,-3508,-55,398,343,24,24,-365,4,6,53,84,-365
