,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-418.108,29.778,410.881,440.659,217.148,174.903,-219.268,-36.129,110.329,132.88,-41.269,0,0,0,0,4.177,-37.092,-84.7497,0,-84.7496,0,0,-52.35,-2.319,-139.419,-14.718,23.457,-52.35
2022-09-30,80.101,28.795,9.586,38.381,-23.919,-72.529,-74.052,-22.08,-169.09,-50.608,-32.972,0,0,0,0,0,-32.972,171.5498,0,171.5498,0,0,-52.341,-0.267,118.942,5.209,0,-52.341
2022-06-30,92.101,26.821,-4.279,22.542,-32.994,-292.448,52.073,-49.044,-324.528,-209.885,-18.406,-103,0,0,0,4.632,-116.774,300.9501,0,300.9501,0,0,-52.324,0.113,248.739,-121.288,0,-52.324
2022-03-31,118.70200,28.17300,0.22500,28.39800,-6.09000,-247.56700,-0.31000,-0.48900,-378.28900,-231.18900,-19.31800,,,,,-10.27200,-29.59000,149.25000,-0.25900,148.99100,-25.01800,-25.01800,-52.29700,-4.10900,67.56700,-191.41900,,-52.29700
2021-12-31,60.033,28.764,109.724,138.4881,20.752,-0.99,-22.281,-47.678,-102.488,96.033,-13.622,0,0,0,0,5.571,-8.051,-309.375,-0.252,-309.627,0,0,-52.385,-50.084,-412.096,-329.815,16.63,-52.385
2021-09-30,151.777,29.713,42.898,72.611,-1.819,-117.316,90.716,2.591,90.732,315.12,-29.965,0,0,0,0,1.5,-28.465,-9.375,0.228,-9.147,0,0,-52.38,-0.476,-62.003,214.225,0,-52.38
2021-06-30,128.676,30.105,1.439,31.544,-136.151,-52.368,191.121,-5.155,35.09,195.31,-7.478,0,0,0,0,5.143,-2.335,-6.25,-1.258,-7.508,0,0,-52.368,0.378,-59.498,135.512,0,-52.368
2021-03-31,-263.26200,37.92100,383.56400,421.48500,-63.95500,-122.78100,109.19700,9.60600,-141.27700,16.94600,-15.39800,,,,,1.79400,-13.60400,-300.00000,0.83000,-299.17000,,,-52.35100,-2.90200,-354.42300,-369.89600,,-52.35100
2020-12-31,-332.164,41.438,450.441,491.879,168.934,123.31,-222.207,42.215,57.532,217.247,-4.362,0,0,0,0,4.364,0.002,0,-4.776,-4.776,0,0,-52.253,-4.243,-61.272,177.956,18.969,-52.253
2020-09-30,103.278,34.749,9.411,44.16,216.255,-197.958,-20.772,-11.789,101.577,249.015,-2.256,0,0,0,0,1.795,-0.461,-154.572,-3.846,-158.418,0,0,-52.236,-1.223,-211.877,48.367,0,-52.236
2020-06-30,161.181,34.33,41.824,76.154,-465.828,25.376,223.943,-58.36,-171.912,65.423,-20.753,0,0,0,0,4.607,-16.146,-402.1521,6.336,-395.8161,0,0,-52.213,-14.167,-462.196,-400.666,0,-52.213
2020-03-31,-7.87400,33.49400,-5.25800,28.23600,73.69400,-86.78500,-13.60500,26.79000,-103.57800,-83.21600,-25.69300,,,,,1.21600,-24.47700,1133.37400,-2.04000,1131.33400,-200.26900,-200.26900,-53.68300,0.13200,877.51400,753.85700,,-53.68300
2019-12-31,184.986,36.835,49.332,86.167,215.505,203.8,-55.421,19.434,287.579,558.732,-19.78,0,-3.872,0,0,11.772,-11.88,-476.7556,-0.087,-476.8427,0,0,-54.269,-7.282,-538.394,11.852,0.483,-54.269
2019-09-30,185.091,35.616,-3.345,32.271,-32.903,109.042,-19.668,2.548,84.701,302.063,-18.653,0,-21.36,0,0,0,-40.013,-166.5912,-0.261,-166.8521,0,0,-54.24,-0.303,-221.395,59.083,1.547,-54.24
2019-06-30,149.555,34.573,4.569,39.142,-75.167,12.893,25.912,3.793,-51.769,136.928,-32.634,0,0,0,0,0,-32.634,-79.9671,-1.126,-81.0931,0,0,-54.228,-0.607,-135.928,-29.139,2.069,-54.228
2019-03-31,81.08800,34.67400,5.57100,40.24500,-62.27800,-178.40500,-18.21300,-32.37200,-315.62400,-194.29100,-25.13300,,,,,,-25.13300,126.24600,0.01500,126.26100,,,-54.22100,-0.33300,71.70700,-168.65200,5.17800,-54.22100
2018-12-31,148.203,34.809,46.442,81.251,166.778,76.943,49.599,-49.707,272.659,502.113,-22.043,0,0.001,0,0,0,-22.042,-382.613,-8.166,-390.779,0,0,-54.116,-10.184,-455.079,34.523,16.795,-54.116
2018-09-30,171.421,36.145,4.127,40.272,-74.997,-34.219,47.412,48.315,-6.006,205.687,-22.893,0,0,0,0,0,-22.893,-107.7898,-0.407,-108.1968,0,0,-54.085,-1.019,-163.301,0.528,1.588,-54.085
2018-06-30,140.633,35.852,-5.627,30.225,-118.444,-93.975,132.432,-20.033,-107.113,63.745,-20.502,0,-0.001,0,0,0,-20.503,16.572,-2.365,14.207,0,0,-54.062,-1.346,-41.201,24.309,-1.713,-54.062
2018-03-31,79.40900,34.26800,1.95100,36.21900,36.93200,-150.76800,-63.65500,13.84000,-243.77100,-128.14300,-18.29800,,-334.91500,,,,-353.21300,517.10990,2.49400,519.60390,,,-54.05300,-6.46700,459.08400,-47.90400,4.74600,-54.05300
2017-12-31,-372.624,35.176,229.006,264.182,116.277,98.693,0.542,20.505,433.07,324.628,-26.529,0,-61.725,0,0,0,-88.254,-31.1597,-12.222,-43.3817,-100.098,-100.098,-54.692,-19.998,-218.17,21.521,17.231,-54.692
2017-09-30,203.356,34.173,-16.73,17.443,-68.504,55.609,62.245,6.237,76.041,296.84,-29.56,0,0,0,0,0,-29.56,-207.171,-49.301,-256.472,0,0,-54.682,-1.233,-312.387,-49.37,1.963,-54.682
2017-06-30,172.532,32.066,2.031,34.097,-128.982,10.056,23.347,-42.126,-149.581,57.048,-15.014,0,2.851,0,0,0,-12.163,13.5858,27.044,40.6298,0,0,-54.654,-45.698,-59.722,-14.208,0.86,-54.654
2017-03-31,70.61700,31.46600,10.45900,41.92500,49.55300,-140.61000,-14.32800,-6.77500,-135.34000,-22.79800,-11.44600,,36.91000,,,,25.46400,373.94510,-14.64700,359.29810,-299.91900,-299.91900,-55.87500,1.00700,4.51100,3.37800,3.52800,-55.87500
2016-12-31,157.112,32.093,47.627,79.72,114.938,131.25,19.595,-53.02,160.484,397.316,-5.828,0,-0.948,0,0,0,-6.776,-314.495,0.694,-313.801,0,0,-41.577,-13.493,-368.871,10.032,15.488,-41.577
2016-09-30,173.858,29.462,-4.943,24.519,-60.391,134.193,-0.867,13.982,138.992,337.369,30.299,0,-769.731,0,0,0,-739.432,193.46,-37.818,155.641,0,0,-41.564,75.166,189.244,-210.784,8.31,-41.564
2016-06-30,128.143,26.044,15.828,41.872,-102.899,10.757,61.619,11.445,-14.287,155.728,-14.464,0,-186.334,0,0,0,-200.798,547.654,-52.922,494.733,0,0,-41.551,-77.184,375.997,328.575,0.474,-41.551
2016-03-31,80.26900,24.61000,-0.86400,23.74600,-34.92700,-140.39300,-141.34100,3.03000,-388.82100,-284.80600,-12.57300,,-7.06200,,,,-19.63500,734.87800,1.76200,736.64000,-379.90100,-379.90100,-42.68300,0.62800,314.68400,13.25300,7.50800,-42.68300
2015-12-31,119.163,30.008,26.257,56.265,163.185,-8.684,38.897,2.383,138.733,314.161,-25.45,0,0,0,0,0,-25.45,-150.5781,-0.096,-150.6741,-45.401,-45.401,-39.603,-17.744,-253.422,34.574,19.787,-39.603
2015-09-30,162.154,26.753,5.076,31.829,-20.825,-52.232,-20.525,59.586,-48.069,145.914,-7.428,0,0.632,0,0,0,-6.796,168.3835,6.295,174.6785,-306.094,-306.094,-40.243,1.361,-170.297,-30.759,3.371,-40.243
2015-06-30,94.902,27.956,-5.159,22.797,-106.31,-48.386,45.707,-20.759,-91.422,26.277,-19.46,0,-193.461,0,0,0,-212.921,290.5332,-5.667,284.8662,0,0,-41.387,-20.532,222.947,38.287,2.308,-41.387
2015-03-31,52.63600,26.26300,5.59800,31.86100,-58.02400,-180.35200,10.53400,-6.16600,-343.84200,-259.34500,-31.63300,,,,,,-31.63300,395.61110,-17.30900,378.30210,,,-40.08300,-4.46500,333.75400,37.21200,4.15200,-40.08300
2014-12-31,89.437,30.329,10.721,41.05,170.281,109.128,-59.379,20.292,162.282,292.769,-15.644,0,-7.453,64.38,64.38,3.714,44.997,-295.9807,12.673,-283.3078,0,0,-29.969,-3.189,-316.466,24.023,18.589,-29.969
2014-09-30,118.944,24.991,5.484,30.475,31.92,-31.8,37.326,-12.582,60.964,210.383,-21.88,0,-352.986,0,0,-8.779,-383.645,286.3728,2.539,288.9118,0,0,-29.907,-8.922,250.083,72.215,3.444,-29.907
2014-06-30,154.578,24.408,2.755,27.163,-166.524,2.566,66.011,15.082,-114.567,67.174,-7.498,0,0,0,0,0,-7.498,-36.879,2.302,-34.577,0,0,-29.881,-3.115,-67.573,-7.519,5.232,-29.881
