,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,134,314,-36,278,-556,-35,322,355,66,485,-1340,0,-702,702,0,-59,-1399,-543,1541,998,0,0,-113,-10,875,-39,-112
2022-09-30,202,329,-3,326,31,-239,13,4,-188,347,-1199,0,0,0,0,28,-1171,418,106,524,0,0,-138,-9,377,-447,-114
2022-06-30,190,327,-11,316,265,-117,-47,-213,-115,398,-1034,15,0,0,0,27,-992,426,715,1141,0,0,-107,-10,1024,430,-107
2022-03-31,531.00000,318.00000,-366.00000,-48.00000,-201.00000,132.00000,-85.00000,192.00000,39.00000,580.00000,-846.00000,2060.00000,702.00000,,702.00000,18.00000,1934.00000,-492.00000,-1984.00000,-2476.00000,,,-131.00000,-14.00000,-2621.00000,-107.00000,-107.00000
2021-12-31,654,329,-468,-139,-329,-36,228,137,13,539,-1016,0,0,1320,1320,-51,253,-1123,536,-587,0,0,-108,1,-694,98,-107
2021-09-30,218,353,-67,286,11,-157,67,16,1,559,-765,22,0,0,0,15,-728,-64,371,307,0,0,-136,-3,168,-1,-95
2021-06-30,251,327,-42,285,191,-46,-65,-30,51,605,-789,0,0,0,0,17,-772,126,160,286,0,0,-112,-17,157,-10,-95
2021-03-31,363.00000,307.00000,-14.00000,293.00000,29.00000,99.00000,-55.00000,-2415.00000,-2339.00000,-1681.00000,-594.00000,,,,,-10.00000,-604.00000,2407.00000,38.00000,2445.00000,,,-136.00000,-24.00000,2285.00000,,-88.00000
2020-12-31,200,280,-72,208,-236,59,253,-35,114,556,-707,79,0,0,0,46,-582,-164,259,95,0,0,-106,-4,-15,-41,-83
2020-09-30,121,314,40,354,14,-72,-30,42,-215,258,-611,0,0,0,0,71,-540,-28,459,431,-1,-2,-130,-3,296,14,-82
2020-06-30,105,306,-148,158,76,-88,-29,96,257,519,-614,1136,0,0,0,-11,511,-1720,-651,-2371,673,1397,-106,-3,-1083,-53,-82
2020-03-31,-1199.00000,289.00000,1577.00000,1866.00000,236.00000,110.00000,-192.00000,-81.00000,-9.00000,662.00000,-664.00000,,,,,10.00000,-654.00000,987.00000,-828.00000,159.00000,,,-187.00000,-4.00000,-32.00000,-24.00000,-145.00000
2019-12-31,157,197,107,304,226,33,-330,-8,-27,552,-684,0,0,0,0,38,-646,-77,307,230,0,0,-161,-1,68,-26,-144
2019-09-30,270,349,-31,318,-463,-95,469,12,-78,512,-653,-4,0,0,0,31,-626,912,-637,275,0,0,-186,-10,79,-35,-145
2019-06-30,195,350,-27,323,325,-110,-262,-140,-228,303,-632,0,0,0,0,22,-610,917,-471,446,0,0,-161,-1,284,-23,-144
2019-03-31,169.00000,329.00000,,329.00000,138.00000,120.00000,-332.00000,-32.00000,-222.00000,271.00000,-537.00000,-5987.00000,,,,-15.00000,-6539.00000,-138.00000,2692.00000,2554.00000,,,-187.00000,-22.00000,2345.00000,-3923.00000,-144.00000
2018-12-31,120,275,-8,267,-509,11,482,-47,68,457,-530,0,0,0,0,-3,-533,1382,8,1390,1844,2794,-150,-11,4023,3947,-139
2018-09-30,158,342,-26,316,123,-62,-16,53,110,586,-424,0,0,0,0,17,-407,-138,-363,-501,0,790,-502,-1,-214,-35,-502
2018-06-30,-75,354,235,589,193,-87,-37,91,89,609,-335,0,382,0,382,17,64,-65,-351,-416,0,0,-120,-28,-564,109,-120
2018-03-31,165.00000,320.00000,-6.00000,314.00000,39.00000,139.00000,-209.00000,66.00000,3.00000,484.00000,-362.00000,,16.00000,,16.00000,15.00000,-331.00000,832.00000,-876.00000,-44.00000,,,-136.00000,-12.00000,-192.00000,-39.00000,-136.00000
2017-12-31,1296,293,-1034,-741,-432,45,273,-63,-174,389,-432,0,0,0,0,72,-360,-614,768,154,0,0,-115,-5,34,63,-115
2017-09-30,169,275,-7,268,-18,-32,21,-74,-84,351,-345,0,0,0,0,88,-257,670,-688,-18,0,0,-116,-7,-141,-47,-116
2017-06-30,135,260,-43,217,120,-94,-36,-73,-4,360,-337,0,0,0,0,69,-268,-64,81,17,0,0,-115,-4,-102,-10,-115
2017-03-31,192.00000,232.00000,-55.00000,177.00000,114.00000,74.00000,-122.00000,-58.00000,-58.00000,317.00000,-312.00000,-132.00000,0.00000,,,72.00000,-372.00000,-107.00000,192.00000,85.00000,,,-115.00000,-6.00000,-36.00000,-91.00000,-115.00000
2016-12-31,101,260,33,293,-203,39,223,-60,45,468,-367,0,0,-363,-363,435,-295,-363,398,35,0,0,-111,-22,-98,75,-111
2016-09-30,179,330,1,331,-61,-68,19,-21,-122,394,-365,-4,0,363,363,-266,-272,180,-189,-9,0,0,-111,-3,-123,-1,-111
2016-06-30,-2,296,81,377,80,-49,-27,49,42,424,-350,-98,178,0,178,72,-198,-288,406,118,0,0,-289,-2,-173,53,-289
2016-03-31,154.00000,266.00000,-31.00000,235.00000,67.00000,112.00000,-82.00000,42.00000,242.00000,637.00000,-332.00000,,,-363.00000,-363.00000,426.00000,-269.00000,-147.00000,-151.00000,-298.00000,,,-110.00000,-6.00000,-414.00000,-46.00000,-110.00000
2015-12-31,-509,252,786,1038,-105,-5,108,-112,-189,352,-453,0,0,0,0,90,-363,69,92,161,0,0,-107,-6,48,37,-107
2015-09-30,-391,275,492,767,83,-70,-5,6,11,396,-419,0,0,0,0,66,-353,-113,190,77,0,0,-138,0,-61,-18,-138
2015-06-30,77,246,38,284,310,-76,-119,50,88,456,-371,0,32,0,32,5,-334,-261,257,-4,0,0,-107,0,-111,11,-107
2015-03-31,131.00000,224.00000,,224.00000,57.00000,179.00000,-208.00000,121.00000,312.00000,666.00000,-341.00000,,,,,4.00000,-337.00000,-139.00000,-149.00000,-288.00000,,,-106.00000,1.00000,-393.00000,-64.00000,-106.00000
2014-12-31,176,236,152,388,-309,24,234,-87,-292,273,-374,0,0,-1,-1,17,-358,-60,315,255,0,0,-102,0,153,68,-102
2014-09-30,143,300,-9,291,137,-116,-63,22,-35,412,-373,0,0,1,1,5,-367,-104,187,83,0,0,-102,-2,-21,24,-102
2014-06-30,107,263,-31,232,464,-123,-302,10,-14,332,-324,0,0,-1,-1,-18,-343,-142,83,-59,-1,-1,-102,0,-162,-173,-102
2014-03-31,185.00000,242.00000,-34.00000,208.00000,-253.00000,113.00000,128.00000,-12.00000,-5.00000,380.00000,-301.00000,,,,,-15.00000,-316.00000,369.00000,-161.00000,208.00000,1.00000,1.00000,-102.00000,,107.00000,171.00000,-102.00000
2013-12-31,113,220,10,230,-429,89,303,-3,127,481,-374,0,0,0,0,0,-374,-118,91,-27,4,4,-88,-7,-118,-11,-88
2013-09-30,151,255,-10,245,107,-99,-43,8,-62,342,-326,0,0,0,0,25,-301,-260,33,-227,0,0,-89,-3,-319,-278,-89
2013-06-30,-100,261,135,396,132,-131,-75,47,-32,257,-315,0,9,-38,-29,-7,-351,467,-24,443,-1,-1,-89,-7,346,252,-89
