,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1279,-148,-246,-394,804,641,1445,-228,152,0,0,6494,6494,23954,30600,-1700,-5100,-6800,-429,-429,257,-15985,-22957,7415,139
2022-09-30,445,48,37,85,-188,-230,-418,112,-48,0,0,-511,-511,-7317,-7876,1200,-1200,0,409,409,-90,6740,7059,-705,-50
2022-06-30,433,49,64,113,-257,-183,-440,106,-49,0,0,-1569,-1569,-10248,-11866,500,6300,6800,8,8,-90,3523,10241,-1519,-49
2022-03-31,401.00000,51.00000,145.00000,196.00000,-359.00000,-228.00000,-587.00000,10.00000,-55.00000,,,-4414.00000,-4414.00000,-6389.00000,-10858.00000,,,,12.00000,12.00000,-77.00000,5722.00000,5657.00000,-5191.00000,-40.00000
2021-12-31,400,44,88,132,-181,630,449,981,-60,0,0,-1232,-1232,-6616,-7908,-4000,0,-4000,9,730,-72,10937,7595,668,-40
2021-09-30,370,48,69,117,-7,59,52,539,-48,0,0,-1265,-1265,-5293,-6606,-1300,0,-1300,450,1186,-65,10648,10469,4402,-40
2021-06-30,373,49,43,92,-216,-97,-313,152,-44,0,0,-1199,-1199,-5062,-6305,-1505,0,-1505,7,7,-63,6702,5141,-1012,-39
2021-03-31,335.00000,43.00000,56.00000,99.00000,-695.00000,-207.00000,-902.00000,-468.00000,-46.00000,,,-2733.00000,-2733.00000,-5545.00000,-8324.00000,-1250.00000,,-1250.00000,338.00000,921.00000,-54.00000,12969.00000,12586.00000,3794.00000,-36.00000
2020-12-31,295.409,41.462,51.637,93.099,-231.627,-44.389,-276.016,112.492,-48.156,0,0,348.2817,348.2817,-7842.51,-7542.38,-1746.497,-5,-1751.497,231.909,131.948,-51.94,10504.79,8833.3,1403.408,-35.593
2020-09-30,293.137,40.906,16.67,57.576,-621.876,345.528,-276.348,74.365,-32.545,0,0,289.8652,289.8652,-4159.179,-3901.86,-1900,0,-1900,4.461,496.422,-49.873,5872.924,4419.47,591.979,-35.057
2020-06-30,256.768,43.132,57.895,101.027,-152.441,-92.764,-245.205,112.59,-29.413,0,0,-97.719,-97.719,-4755.746,-4882.881,-845.174,5,-840.174,5.972,5.972,-49.892,4804.173,3920.083,-850.208,-35.075
2020-03-31,218.68600,40.50000,99.79800,140.29800,152.94400,-280.37500,-127.43100,231.55300,-38.88600,,,-289.42790,-289.42790,-5199.56500,-5527.87900,4546.67100,-800.00000,3746.67100,297.65800,297.65800,-46.29500,3548.11300,7546.14700,2249.82100,-33.27500
2019-12-31,246.001,40.138,15.135,55.273,-145.88,-1018.598,-1164.478,-863.204,-46.984,0,0,-929.9041,-929.9041,-4528.74,-5505.63,1300,25,1325,5.139,198.139,-43.045,4407.297,5887.391,-481.441,-32.407
2019-09-30,234.844,36.208,-6.275,29.933,-86.656,995.797,909.141,1173.918,-50.734,0,0,-1163.1589,-1163.1589,-4104.281,-5318.172,1100,775,1875,4.256,4.256,-45.231,2271.758,4105.783,-38.473,-32.444
2019-06-30,222.564,31.949,29.97,61.919,-198.591,302.152,103.561,388.044,-36.534,0,0,-10.626,-10.626,-4946.164,-4993.324,1400,0,1400,4.78,4.78,-45.222,1772.399,3131.957,-1473.323,-32.434
2019-03-31,226.59100,29.70500,64.17000,93.87500,-1.87300,-78.35100,-80.22400,240.24200,-33.74800,,,240.68900,240.68900,-1424.81500,-1217.87400,-700.00000,-100.00000,-800.00000,174.82500,174.82500,-43.50200,2528.54600,1859.86900,882.23700,-30.71500
2018-12-31,231.418,30.865,36.395,67.26,-0.405,-333.113,-333.518,-34.84,-34.629,0,0,186.959,186.959,-3468.66,-3316.327,-900,0,-900,4.581,-195.418,-46.511,4290.605,3148.677,-202.486,-30.283
2018-09-30,213.546,29.408,14.153,43.561,36.838,506.117,542.955,800.062,-36.444,0,0,259.771,259.771,-3596.625,-3373.303,-50,-500,-550,203.095,203.043,-46.973,1987.59,1593.66,-979.581,-29.861
2018-06-30,209.781,28.013,34.616,62.629,16.366,-211.511,-195.145,77.265,-36.509,0,0,96.175,96.175,-3462.845,-3403.179,1150,600,1750,2.798,293.009,-41.86,1478.06,3479.209,153.295,-29.697
2018-03-31,199.08300,26.07700,-13.73800,12.33900,1.10100,56.19400,57.29500,268.71700,-26.29300,,,2130.04200,2130.04200,-3072.96000,-969.21100,200.00000,-100.00000,100.00000,3.03300,-146.96700,-40.22400,2330.59500,2243.40400,1542.91000,-28.00200
2017-12-31,194.277,27.89,63.584,91.474,-0.179,-66.112,-66.291,219.46,-41.481,0,0,-1054.737,-1054.737,-2815.836,-3912.05,0,-350,-350,278.788,278.803,-42.083,3421.298,3308.01,-384.578,-27.811
2017-09-30,200.009,23.804,-15.01,8.794,19.576,61.776,81.352,290.155,-38.326,0,0,-649.643,-649.643,-2335.315,-3023.283,749.861,277.481,1027.342,2.296,2.296,-41.633,2131.598,3119.603,386.474,-27.361
2017-06-30,186.6,18.579,14.872,33.451,-5.708,29.747,24.039,244.09,-42.09,0,0,-969.109,-969.109,-3942.725,-4953.924,2145.608,47.193,2192.801,2.322,45.982,-41.537,2051.328,4248.574,-461.26,-27.193
2017-03-31,176.77400,21.68100,77.53100,99.21200,0.90500,-18.45800,-17.55300,258.43300,-44.80900,,,-672.21000,-672.21000,-1877.81400,-2594.83300,389.34900,-0.64700,388.70200,236.16600,36.64100,-40.33600,2600.05600,2985.06300,648.66300,-25.18400
2016-12-31,179.118,18.121,-2.61,15.511,73.239,39.092,112.331,306.96,-29.908,-31.804,0,-2271.969,-2271.969,-2272.454,-4606.134,1300,-101.008,1198.992,327.666,327.6661,-41.874,3535.145,5019.932,720.755,-24.498
2016-09-30,171.818,11.873,-6.239,5.634,-34.832,173.776,138.944,316.396,-21.107,0,0,-1098.416,-1098.416,-2408.335,-3527.858,-62.705,-750.218,-812.923,2.006,2.006,-41.835,3887.124,3034.372,-177.09,-24.458
2016-06-30,164.997,15.339,9.663,25.002,-62.312,-26.327,-88.639,101.36,-19.765,0,0,-279.923,-279.923,-2647.157,-2946.845,1250,848.449,2098.449,204.003,204.003,-41.184,202.127,2463.395,-382.09,-23.808
2016-03-31,157.49500,10.78900,59.14700,69.93600,5.52900,-105.19100,-99.66200,127.76900,-15.96800,,,-826.37400,-826.37400,-1407.44100,-2249.78300,-200.00000,-0.89300,-200.89300,2.25300,147.43700,-38.64700,3029.15400,2937.05100,815.03700,-22.18700
2015-12-31,140.046,8.691,-10.687,-1.996,20.847,-64.674,-43.827,94.223,-21.765,-115.14,0,-2388.004,-2388.004,-1626.8,-4151.707,-350,-1.073,-351.073,227.961,227.961,-36.998,3552.929,3392.816,-664.67,-21.684
2015-09-30,134.842,5.701,-1.714,3.987,-9.11,109.998,100.888,239.717,-9.695,0,3.15,-336.614,-333.464,-1508.928,-1852.087,-375,-0.392,-375.392,1.413,1.415,-36.988,2451.236,2040.271,427.901,-21.674
2015-06-30,131.345,7.918,-9.529,-1.611,59.425,36.428,95.853,225.587,-13.449,0,-3.15,-196.971,-200.121,-2177.788,-2391.358,-200,98.308,-101.692,1.033,97.623,-35.933,1929.118,1889.116,-276.655,-21.522
2015-03-31,115.91200,4.55200,46.54200,51.09400,9.16600,-108.44100,-99.27500,67.73100,-7.80500,,,-803.52900,-803.52900,-1067.32400,-1878.65800,-350.00000,-3.23900,-353.23900,205.26800,205.26800,-33.44500,2819.72700,2638.31100,827.38400,-19.55600
2014-12-31,115.459,1.992,-0.034,1.958,17.528,99.508,117.036,234.453,-14.189,0,0,-921.595,-921.595,-1324.772,-2260.556,0,-2.16,-2.1601,0.76,0.76,-33.434,1505.359,1470.525,-555.578,-19.545
2014-09-30,136.011,1.341,-27.716,-26.375,8.874,38.088,46.962,156.598,-11.124,0,0,-366.181,-366.181,-432.335,-809.64,-275.726,1.073,-274.653,1.593,1.593,-33.4,581.213,274.753,-378.289,-19.511
2014-06-30,120.832,-4.571,-7.804,-12.375,-45.274,44.581,-0.693,107.764,-8.639,0,28.789,-472.868,-444.079,-1403.797,-1856.515,296.983,-4.617,292.366,0.711,0.711,-33.264,1477.733,1737.546,-11.205,-19.375
2014-03-31,114.70400,-2.96400,35.69000,32.72600,-12.89300,-117.14400,-130.03700,17.39300,-8.11800,,-28.78900,-175.04400,-203.83300,-1048.10200,-1260.05300,500.00000,-1.38900,498.61100,241.01100,241.01100,-29.93300,1487.30800,2196.99700,954.33700,-16.04400
2013-12-31,115.299,-7.872,10.225,2.353,7.995,39.898,47.893,165.545,-13.574,0,19.273,-601.957,-582.684,-1672.144,-2268.402,0,-3.867,-3.867,0.654,194.812,-28.8,813.87,976.015,-1126.842,-16
2013-09-30,111.748,-11.837,4.074,-7.763,-8.614,-11.772,-20.386,83.599,-15.851,0,-19.21,-141.757,-160.9669,-2037.637,-2214.455,800,-372.127,427.873,0.672,0.672,-26.323,3071.623,3473.845,1342.989,-15.934
2013-06-30,112.47,-13.862,-4.703,-18.565,160.129,162.271,322.4,416.305,-11.981,0,-0.063,-90.133,-90.1961,-2273.436,-2375.613,900,-444.017,455.983,1.063,184.854,-25.586,1382.958,1998.209,38.901,-15.88
2013-03-31,122.55300,-14.44900,33.10200,18.65300,-22.89000,-221.54400,-244.43400,-103.22800,-19.17400,,30.80100,-565.46400,-534.66300,-187.78600,-741.62300,300.00000,731.69300,1031.69300,1.96300,1.96300,-7.77600,-230.45600,795.42400,-49.42700,
2012-12-31,108.803,-23.923,17.212,-6.711,-149.882,110.107,-39.775,62.317,-18.469,-126.313,-7.553,-266.597,-274.15,-1493.924,-1912.855,0,70.229,70.229,3.483,148.586,-32.857,1389.086,1575.044,-275.494,-26.323
2012-09-30,102.696,-30.845,-2.89,-33.735,-0.638,207.242,206.604,275.565,-12.327,0,-4.018,-196.911,-200.929,-1403.8,-1617.056,0,-64.894,-64.894,4.67,4.678,-18.771,1497.418,1418.431,76.94,-13.104
2012-06-30,98.532,-34.613,1.303,-33.31,-16.703,29.384,12.681,77.903,-12.235,0,-6.357,-239.368,-245.725,-1594.988,-1852.948,100,-6.888,93.112,4.617,89.771,-4.716,968.41,1146.577,-628.468,-0.625
2012-03-31,92.67100,-29.02500,38.82200,9.79700,79.05200,-157.80500,-78.75300,23.71500,-12.03000,,-8.08300,-82.39200,-90.47500,-937.87100,-1040.37600,950.00000,-102.79000,847.21000,1.85200,164.96100,-3.36400,806.36000,1815.16700,798.50600,-0.91300
2011-12-31,94.063,-44.677,-17.482,-62.159,-85.5,17.127,-68.373,-36.469,-12.311,0,0,-665.169,-665.169,-1516.075,-2193.555,0,95.186,95.186,1.875,1.875,-1.072,700.57,796.559,-1433.465,-1.072
2011-09-30,88.865,-47.098,-12.677,-59.775,6.054,-28.165,-22.111,6.979,-12.577,0,3.377,-400.842,-397.465,-1171.324,-1581.366,1000,-0.872,999.128,2.955,2.955,-1.072,1846.854,2847.865,1273.478,-1.072
2011-06-30,86.002,-45.177,22.44,-22.737,-39.789,12.576,-27.213,36.052,-10.766,0,-8.267,-799.627,-807.894,-811.522,-1630.182,200,-0.287,199.713,0,-10,-1.17,-73.623,114.92,-1479.21,-1.17
2011-03-31,90.06300,-48.71300,22.21400,-26.49900,6.93300,-10.23100,-3.29800,60.26600,-10.55300,,,-160.52900,-160.52900,-252.03100,-423.11300,300.00000,-2.42100,297.57900,,,-1.29100,808.46100,1104.74900,741.90200,-1.29100
2010-12-31,77.164,-54.965,24.6,-127.569,84.695,-80.928,3.771,50.556,-4.548,0,12.963,-579.523,-595.64,-2686.943,-1382.096,0.005,-0.054,7.155,109.601,109.598,-1.196,2249.478,398.327,-933.203,-1.198
2010-09-30,67.593,-44.049,5.754,-38.295,-113.323,55.031,-58.292,-28.994,-6.478,0,-12.963,-898.553,-911.516,-420.475,-1338.469,469.172,-7.156,462.016,1861.162,1861.162,-1.198,1070.838,3392.823,2025.36,-1.198
2010-06-30,61.745,-15.75,33.068,17.318,-14.032,-59.648,-73.68,5.383,-9.007,0,0,670.582,670.582,-508.281,153.294,0,0,0,0,0,-1.198,74.748,73.55,232.227,-1.198
2010-03-31,69.49800,-23.18600,33.78200,10.59600,-0.80500,88.02600,87.22100,167.31500,-4.85700,,,1.11400,1.11400,-187.41600,-191.15900,-368.61100,,-368.61100,,,-1.19800,418.78900,48.98000,25.13600,-1.19800
2009-12-31,351.46,-302.8,0,-302.8,0,0,-204.01,38.41,-14.61,0,0,0,-0.97,-1805.02,-1820.61,0,0,-2869.42,0,0,-4.81,4665.42,1791.18,8.98,0
