,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-10-31,-32.62,55.723,196.336,252.059,-145.123,-64.402,49.505,-170.516,48.923,-3.395,0,78.038,78.038,0.098,74.741,0,0,0.266,0.266,-38.884,-38.618,85.046,188.604
2022-07-31,-209.712,55.187,197.556,252.743,-89.839,63.116,-74.794,-61.659,-18.628,-6.02,0,-32.973,-32.973,0.936,-38.057,0,0,48.778,48.778,-58.22,-9.442,-66.127,199.476
2022-04-30,-304.32200,51.82300,211.37500,263.19800,642.94500,-39.48700,-240.83100,184.47100,143.34700,-5.62000,,-687.46400,-687.46400,0.50000,-692.58400,,,0.95000,0.95000,-66.39400,-65.44400,-614.68100,213.66500
2022-01-31,-140.823,101.154,210.401,311.5551,-513.226,23.589,352.375,-38.043,132.689,-4.359,0,15.378,15.378,0.033,11.052,-0.29,-0.29,32.256,32.256,-51.397,-19.431,124.31,203.861
2021-10-31,-343.322,97.296,202.216,299.5119,40.937,-10.172,-1.913,24.429,-19.381,-6.162,0,-47.938,-47.938,2.115,-51.985,-0.539,-0.539,-807.1,-807.1,-47.779,-855.418,-926.784,203.76
2021-07-31,-383.951,91.724,204.465,296.189,-109.548,-3.14,70.283,31.842,-55.92,-5.592,-80.333,-269.352,-269.352,-1.293,-356.57,982.749,982.749,-143.326,-143.326,-40.966,798.457,385.967,204.78
2021-04-30,-471.00100,94.66800,235.99800,330.66600,494.34600,22.83800,-252.11200,210.99500,70.66000,-3.91900,,67.54500,67.54500,0.12500,63.75100,,,0.53800,0.53800,-60.81500,-60.27700,74.13400,182.41700
2021-01-31,-139.548,96.597,179.007,275.604,-344.617,-3.903,192.813,-159.822,-23.766,-12.699,-44.625,252.558,252.558,0,195.234,0,0,36.124,36.124,-91.541,-55.417,118.801,166.174
2020-10-31,-201.531,89.598,137.503,227.101,6.632,-28.142,-108.812,-68.634,-43.064,-6.061,-11.758,245.595,245.595,-0.575,227.201,0,0,0.413,0.413,-0.007,0.406,184.368,138.79
2020-07-31,-261.322,80.755,131.481,212.236,-142.838,15.627,-30.11,-120.99,-170.076,-14.645,0,242.902,242.902,-0.511,227.746,577.6149,577.6149,-91.912,-91.912,0,485.703,545.388,154.873
2020-04-30,-305.57900,67.78800,168.26100,236.04900,327.09900,7.33600,-121.15200,115.57400,46.04400,-18.30400,,167.68800,167.68800,-2.37500,147.00900,,,1.41800,1.41800,-49.22800,-47.81000,143.85400,158.81800
2020-01-31,-22.728,71.536,154.851,226.387,-514.156,-4.312,184.259,-262.49,-58.831,-50.184,-18.574,4.209,4.209,-0.148,-64.697,0,0,28.82,28.82,0,28.82,-94.817,166.496
2019-10-31,-57.639,60.516,132.418,192.934,-226.485,-6.445,-70.622,-270.158,-134.863,-27.09,-576.296,-11.5859,-11.5859,-2.5,-617.472,0,0,0.068,0.068,-46.467,-46.399,-798.535,132.852
2019-07-31,-100.872,57.666,120.921,178.587,-123.608,2.391,-102.031,-206.686,-128.971,-11.534,0,-7.1281,-7.1281,-0.875,-19.537,0,0,34.678,34.678,-48.686,-14.008,-163.224,123.013
2019-04-30,-155.42900,62.45200,124.73300,187.18500,184.35800,2.92500,-121.23300,3.27300,35.02900,-14.90000,,9.00000,9.00000,-0.37500,-6.27500,,,0.36000,0.36000,-69.00700,-68.64700,-40.93600,123.06300
2019-01-31,2.126,56.287,128.057,184.344,-321.813,2.469,215.606,-59.102,127.368,-7.983,0,-70.5761,-70.5761,-0.375,-78.934,-3.451,-3.451,22.399,22.399,-60.728,-41.78,8.049,134.585
2018-10-31,-55.705,44.985,106.064,151.049,-55.489,3.781,-32.971,-36.269,59.075,-7.319,0,-433.683,-433.683,-0.744,-441.746,2107.443,2107.443,-273.934,-273.934,-1.862,1831.647,1448.435,107.681
2018-07-31,-103.499,29.84,104.796,134.636,-39.214,4.068,4.931,2.387,33.524,-5.562,-110.74,-2.705,-2.705,0,-119.007,-0.629,-0.629,24.442,24.442,0,23.813,-62.145,105.043
2018-04-30,-118.49900,27.20400,94.20600,121.41000,195.57600,-1.07800,-76.48700,73.57600,76.48700,-2.29600,-284.17000,151.25000,151.25000,-4.37500,-139.59100,-0.58900,-0.58900,1.11300,1.11300,-0.77900,-0.25500,-64.12100,94.62100
2018-01-31,33.167,24.746,89.671,114.417,-126.095,-1.51,97.234,-1.513,146.071,-6.572,0,45.617,45.617,-0.375,38.67,-0.509,-0.509,16.463,16.463,-49.179,-33.225,152.633,91.93
2017-10-31,-29.668,22.279,77.14,99.419,-56.564,2.956,14.254,-17.464,52.287,-5.418,-42.127,-1.462,-1.462,0,-49.007,-0.497,-0.497,0.501,0.501,-29.542,-29.538,-26.496,84.111
2017-07-31,-78.593,21.149,91.525,112.674,-34.35,1.249,17.484,-10.893,23.188,-2.908,-17.223,-43.024,-43.024,0,-63.155,-0.485,-0.485,19.768,19.768,-26.647,-7.364,-46.617,92.367
2017-04-30,-115.12400,19.42000,90.37300,109.79300,66.05600,0.71400,-9.09300,46.68900,41.35800,-5.60500,,40.59200,40.59200,,34.98700,-0.31700,-0.31700,1.48700,1.48700,-32.46200,-31.29200,45.08100,90.05500
2017-01-31,-66.476,46.017,101.802,147.819,-57.826,1.19,61.085,21.181,102.524,-18.13,0,-1.104,-1.104,0,-19.234,0,0,12.625,12.625,-40.221,-27.596,55.753,92.794
2016-10-31,-93.491,8.279,105.741,114.02,-41.227,1.265,46.258,24.743,45.272,-12.969,0,-51.255,-51.255,0,-64.224,0,0,1.752,1.752,-27.009,-25.257,-44.356,105.014
2016-07-31,-86.597,8.174,88.525,96.699,-32.655,0.166,37.994,8.247,18.349,-10.541,0,-16.586,-16.586,-3.5,-30.627,0,0,19.122,19.122,-24.756,-5.634,-18.296,88.863
2016-04-30,-100.89600,6.46100,90.43000,96.89100,83.05800,0.09900,-9.73600,39.69400,35.68900,-3.70900,,-9.66700,-9.66700,,-13.37600,,,1.66400,1.66400,-21.03900,-19.37500,3.70400,91.37000
2016-01-31,-79.323,6.024,89.055,95.079,-56.008,0.581,98.995,61.253,77.009,-26.836,0,-137.915,-137.915,0,-164.751,0,0,11.009,11.009,-0.121,10.888,-77.15,88.375
2015-10-31,-72.974,5.691,74.037,79.728,-25.963,0.484,34.046,29.606,36.36,-15.272,0,152.145,152.145,0,136.873,0,0,1.96,1.96,0.343,2.303,175.491,74.164
2015-07-31,-55.289,4.31,52.798,57.108,-18.353,-0.502,21.017,11.819,13.638,-2.809,-142.693,28.319,28.319,0,-117.183,0,0,16.276,16.276,0.186,16.462,-87.307,63.609
2015-04-30,-71.18600,3.46600,65.68500,69.15100,47.07200,0.40200,1.53100,30.65000,28.61500,-6.41500,,-0.51400,-0.51400,-1.50000,-8.42900,,,5.36600,5.36600,0.46600,5.83200,26.19200,66.10900
2015-01-31,-57.028,3.526,64.244,67.77,-45.863,0.721,69.189,40.786,51.528,-2.75,0,-0.433,-0.433,0,-3.183,0,0,10.126,10.126,-0.261,9.865,57.762,63.194
2014-10-31,-48.551,3.43,48.032,51.462,-12.712,0.654,22.083,21.294,24.205,-4.054,0,-339.324,-339.324,0,-343.378,0,0,3.387,3.387,0.24,3.627,-315.845,48.236
