,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,208.5,115.4,18.9,134.3,76.4,119.2,-31.2,55.6,241.8,584.6,-141.9,0,0,0,0,44.4,-97.5,0,-303.4,-303.4,1.6,1.6,-108.3,-0.5,-410.6,77.1,6,-108.3
2022-10-31,191.1,112.7,-66.2,46.5,-6.9,-50.8,4.4,90.7,-32.6,205,-102.1,0,0,0,0,-35.7,-137.8,0,-88.8,-88.8,5.1,5.1,-108.4,1.4,-190.7,-124.5,-2.6,-108.4
2022-07-31,109.80000,110.70000,10.40000,121.10000,-80.20000,-223.00000,73.10000,-74.30000,-269.90000,-39.00000,-88.30000,1.60000,,,,15.20000,-71.50000,,207.00000,207.00000,-6.90000,-6.90000,-105.10000,-3.10000,91.90000,-18.30000,7.90000,-105.10000
2022-04-30,202.1,114.1,-9,105.1,38.2,-47.7,164.7,-99.2,86.5,393.7,-173,-0.2,0,0,0,-50.4,-223.6,0,85.9,85.9,-262.6,-262.6,-107,-0.4,-284.1,-114.4,7.1,-107
2022-01-31,69.7,115.2,150.2,265.4,94.9,9.8,-7,-13.7,104.6,439.7,-117.3,130.2,0,0,0,-1.8,11.1,0,-226.1,-226.1,12,12,-107,-0.5,-321.6,129,4.6,-107
2021-10-31,206,115.9,5.8,121.7,-92.7,5.5,-36.7,36.1,-162.6,165.1,-59.2,0,0,0,0,-3.8,-63,47.6,-46.2,1.4,-0.7,-0.7,-106.9,-9.3,-115.5,-13.5,5.3,-106.9
2021-07-31,153.90000,113.90000,15.40000,129.30000,-32.90000,-146.30000,28.50000,1.80000,-145.40000,137.80000,-68.00000,,,,,-12.00000,-80.00000,-407.00000,284.00000,-123.00000,-2.80000,-2.80000,-97.20000,-0.30000,-223.30000,-165.50000,5.30000,-97.20000
2021-04-30,147,114.7,11.6,126.3,72.4,-59.5,118.2,-23.3,37.4,291,-108,-5.3,0,0,0,5.3,-108,0,-84,-84,-170.5,-170.5,-98.4,-0.4,-353.3,-167.2,7.8,-98.4
2021-01-31,261.5,110.5,-15.2,95.3,-26.2,46.6,35.2,-12.9,109.8,486.3,-69.7,569.3,0,0,0,20.4,520,-200,-114.1,-314.1,-497.9,-497.9,-102.4,-0.4,-914.8,95.9,7.5,-102.4
2020-10-31,230.8,113.6,41.6,155.2,-79.3,1,66.4,13.4,-7.3,378.7,-52.4,0,0,0,0,0.7,-51.7,-200,-16.1,-216.1,-0.9,-0.9,-102.3,0.8,-318.5,9,7.5,-102.3
2020-07-31,237.00000,113.70000,9.70000,123.40000,55.10000,-98.50000,41.10000,0.40000,48.60000,409.00000,-76.60000,,,,,27.40000,-49.20000,-300.00000,47.80000,-252.20000,-4.60000,-4.60000,-100.10000,-0.40000,-357.30000,5.50000,5.90000,-100.10000
2020-04-30,226.3,113.4,19.9,133.3,-75.8,60.6,169.3,-285.8,-80.9,287.7,-76.4,0,0,0,0,-17.5,-93.9,298.2,-63.2,235,0.2,0.2,-100.1,-7.7,127.4,316.7,7,-100.1
2020-01-31,187.4,112.1,67.8,179.9,44.9,54,53.6,0.2,163.3,521.6,-56.5,0,0,0,0,-16.9,-73.4,-300,-19.7,-319.7,-0.8,-0.8,-100.1,-0.3,-420.9,25.6,6.1,-100.1
2019-10-31,211.2,111.4,13.9,125.3,-48.6,0.1,19.7,8.6,-112.5,224,-63.4,0,0,0,0,11.3,-52.1,-100,27.1,-72.9,-0.6,-0.6,-100.1,1,-172.6,0,7.5,-100.1
2019-07-31,154.60000,109.60000,6.40000,116.00000,30.40000,-102.10000,-61.00000,-1.80000,-49.10000,221.50000,-73.00000,,,,,20.90000,-52.10000,,-130.00000,-130.00000,4.10000,4.10000,-96.50000,-0.20000,-222.60000,-52.50000,6.20000,-96.50000
2019-04-30,71.5,210.2,-81.2,129,-1.6,13.5,54.9,-28.4,73.7,274.2,-92.6,-1.9,0,0,0,-6.9,-101.4,-100,-78,-178,-0.2,-0.2,-96.5,0.1,-274.6,-105.2,4.2,-96.5
2019-01-31,121.4,110.9,113.8,224.7,59.8,41.6,-26.4,-4.3,75,421.1,-88.1,-0.7,0,0,0,-15.1,-103.9,-300,114,-186,-0.2,-0.2,-96.5,0.1,-282.6,35.3,6,-96.5
2018-10-31,188.5,111.2,-18.8,92.4,-58.5,5.3,14.4,-6.6,-78,202.9,-77.8,374.1,0,0,0,16.3,312.6,-300,-140,-440,-0.3,-0.3,-96.5,2.5,-534.3,-20.8,5.9,-96.5
2018-07-31,133.00000,111.90000,5.70000,117.60000,-52.70000,-65.70000,0.80000,-1.50000,-7.60000,243.00000,-101.30000,-1905.00000,,,,-25.20000,-2031.50000,1500.00000,386.00000,1886.00000,-4.70000,-4.70000,-88.40000,-2.40000,1790.50000,-0.60000,4.60000,-88.40000
2018-04-30,185.9,101.2,-803.8,-702.6,36.1,52.4,3.1,752.5,858.1,314.4,-107.1,0,0,0,0,1.3,-105.8,0,-110,-110,3.8,3.8,-88.9,-1.7,-196.8,6.4,-1.4,-88.9
2018-01-31,831.3,248.7,43,291.7,60.1,105.2,-38.8,-823.5,-675.7,469,-71.4,0,0,0,0,5.9,-65.5,-100.7001,-210,-310.7001,-0.2,-0.2,-88,-5.1,-404,5.9,4.1,-88
2017-10-31,194.6,102.2,7.6,109.8,-48.8,-32.4,19.4,14.3,-179.4,130.3,-60.4,0,0,0,0,-7.8,-68.2,-150,180.1,30.1,-0.1,-0.1,-88.5,-2.6,-61.1,-2.9,6.1,-88.5
