,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,172.301,27.761,-15.821,11.94,46.38,-11.992,-142.269,-0.839,183.402,-31.167,0,29.473,29.473,0,-1.694,-14.754,0,-14.754,-2.082,-2.082,-17.133,-0.183,-34.152,144.027,10.808,-17.133
2022-09-30,183.485,28.359,22.437,50.796,150.632,-22.135,73.413,37.323,271.604,-38.929,0,138.704,138.704,0,99.775,-9.713,0,-9.713,-205.004,-205.004,-17.136,-0.207,-232.06,138.723,12.298,-17.136
2022-06-30,197.787,26.819,-10.235,16.584,-146.592,-37.202,-14.319,-98.916,115.455,-45.744,0,74.127,74.127,0,28.383,-21.598,0,-21.598,-331.273,-331.273,-17.547,-1.732,-372.15,-222.58,12.228,-17.547
2022-03-31,161.92800,27.73600,27.95000,55.68600,0.20800,-9.48000,-68.88700,-210.15200,7.46200,-43.99900,,-38.71400,-38.71400,,-82.71300,-20.69400,,-20.69400,-184.99000,-184.99000,-17.89500,-31.04800,-254.62700,-327.59600,12.89400,-17.89500
2021-12-31,224.04,29.993,8.33,38.323,45.521,-15.448,-175.954,68.92,331.283,-29.31,0,-6.411,-6.411,0,-35.721,-40.993,0,-40.993,-193.724,-193.724,-16.266,-0.258,-251.241,42.745,10.994,-16.266
2021-09-30,256.718,30.301,29.733,60.034,269.399,2.035,109.542,205.908,522.66,-29.205,0,93.005,93.005,0,63.8,-235.169,0,-235.169,-209.587,-209.587,-16.44,-0.251,-461.447,125.013,11.418,-16.44
2021-06-30,328.319,31.459,10.984,42.443,-285.186,55.778,-24.862,-164.478,206.284,-34.707,-12,134.322,134.322,0,87.615,-15.553,0,-15.553,-135.959,-135.959,-16.604,-1.119,-169.235,123.292,10.999,-16.604
2021-03-31,205.51200,33.73200,8.01100,41.74300,-87.51200,-35.87000,-80.10400,-209.11600,38.13900,-39.25000,,43.91700,43.91700,,4.66700,-51.27500,,-51.27500,-28.04400,-28.04400,-16.66700,-30.67500,-126.66100,-82.97200,12.23200,-16.66700
2020-12-31,196.332,32.055,-6.03,26.025,92.564,-25.436,-62.531,38.067,260.424,-38.105,0,-239.102,-239.102,0,-277.207,0,0,0,1.999,1.999,-16.612,-0.279,-14.892,-31.059,11.878,-16.612
2020-09-30,222.717,30.149,-9.581,20.568,109.025,20.726,56.03,99.227,342.512,-62.858,0,-56.507,-56.507,0,-119.365,0,0,0,13.771,13.771,-16.604,-0.216,-3.049,219.749,11.661,-16.604
2020-06-30,188.907,32.659,35.203,67.862,-204.261,-19.546,18.47,-33.872,222.897,-47.314,0,-16.246,-16.246,0.546,-63.014,0,0,0,-9.421,-9.421,-16.58,-0.449,-26.45,131.937,10.907,-16.58
2020-03-31,176.19100,31.88000,7.83200,39.71200,-126.77900,15.81800,-41.79500,-172.80100,43.10200,-36.70000,0.14900,-73.65700,-73.65700,,-110.20800,,,,-66.28700,-66.28700,-16.68600,-30.92200,-113.89500,-180.43000,10.46000,-16.68600
2019-12-31,125.073,32.298,27.204,59.502,-3.651,-13.265,-13.561,31.753,216.328,-38.594,-57.772,206.605,206.605,0,110.239,0,0,0,-131.186,-131.186,-15.036,-0.191,-146.413,179.985,9.075,-15.036
2019-09-30,135.86,29.499,2.704,32.203,12.689,-11.696,27.659,31.514,199.148,-37.092,0,56.741,56.741,2.639,22.288,0,0,0,-107.369,-107.369,-15.25,-0.104,-122.723,98.832,10.713,-15.25
2019-06-30,97.397,29.265,-1.009,28.256,-37.772,0.47,9.748,19.176,145.258,-33.245,-15,20.009,20.009,0,-28.236,0,0,0,-89.933,-89.933,-15.392,-0.128,-105.453,11.379,8.635,-15.392
2019-03-31,109.13800,29.59300,13.43800,43.03100,-41.70600,-2.91700,-13.40300,-134.15300,18.01600,-25.71100,-6.97000,-228.54300,-228.54300,0.27300,-260.95100,,,,-142.20000,-142.20000,-15.62700,-41.93300,-199.76000,-443.02400,9.47400,-15.62700
2018-12-31,143.788,30.385,24.64,55.025,59.869,4.619,-55.936,-12.437,186.376,-26.11,0,230.0741,230.0741,0,203.964,0,0,0,-261.201,-261.201,-16.002,-0.182,-277.385,112.733,8.25,-16.002
2018-09-30,119.981,29.506,17.432,46.938,101.596,-12.834,-3.407,74.071,240.584,-25.606,1.158,315.8988,315.8988,9.046,300.497,0,0,0,-191.19,-191.19,-16.638,-0.09,-207.918,333.635,7.702,-16.638
2018-06-30,101.036,27.793,15.148,42.941,-38.656,-0.266,2.041,-12.532,131.851,-27.866,-145.276,128.7991,128.7991,0,-44.343,0,0,0,-226.492,-226.492,-17.094,-0.122,-243.708,-157.489,8.081,-17.094
2018-03-31,86.97400,25.54000,18.18700,43.72700,-140.74700,-21.01700,7.94500,-212.63100,-81.93000,-34.79700,-25.35600,523.04500,523.04500,,462.89200,,,,-123.62200,-123.62200,-17.58800,-33.20000,-174.41000,208.03000,9.54400,-17.58800
2017-12-31,-105.924,26.519,50.082,76.601,-4.961,21.19,-28.341,176.796,147.473,-32.128,0,-42.3911,-42.3911,0,-74.519,0,0,0,-48.452,-48.452,-13.717,-0.297,-62.466,11.166,8.477,-13.717
2017-09-30,103.419,26.67,7.732,34.402,138.566,31.919,21.923,172.009,309.83,-27.28,0,-406.1409,-406.1409,5.064,-428.357,0,0,0,-48.246,-48.246,-13.805,-0.146,-62.197,-179.672,8.308,-13.805
2017-06-30,174.976,27.673,10.998,38.671,-90.397,54.003,10.93,16.668,230.313,-23.901,0,137.582,137.582,0,113.681,0,0,0,-56.467,-56.467,-13.904,-0.149,-70.52,273.603,8.367,-13.904
2017-03-31,85.22100,27.21300,8.82800,36.04100,-123.79200,-62.15200,-3.17600,-182.38500,-61.12100,-22.06600,,148.46000,148.46000,,126.39400,,,,-22.64600,-22.64600,-14.02100,-13.33900,-50.00600,16.86200,8.94500,-14.02100
2016-12-31,66.346,25.297,-10.241,15.056,-27.335,-14.338,-76.381,-44.17,37.232,-19.02,0,-353.31,-353.31,0,-372.33,450.8,0,450.8,7.001,7.001,-12.071,-98.204,347.526,9.947,7.738,-12.071
2016-09-30,63.793,25.364,-4.839,20.525,183.89,18.379,-42.608,117.065,201.383,-19.659,0,-232.442,-232.442,0,-252.101,0,0,0,-26.12,-26.12,-12.123,3.322,-34.921,-83.158,7.555,-12.123
2016-06-30,-223.546,287.632,82.507,370.139,-95.678,30.924,106.351,34.269,180.862,-26.259,0,-65.539,-65.539,5.051,-86.747,0,0,0,-20.026,-20.026,-12.172,-0.18,-32.378,61.737,7.532,-12.172
2016-03-31,49.98600,36.66200,7.26600,43.92800,-42.55200,-0.70200,-16.23400,-58.19400,35.72000,-20.33400,,91.05000,91.05000,,70.71600,,,,-18.86100,-18.86100,-12.25300,-20.66900,-51.78300,54.65300,7.92500,-12.25300
2015-12-31,-0.641,36.083,35.375,71.458,33.85,-17.817,-11.332,-20.347,50.47,-23.151,0,35.9021,35.9021,0,12.751,0,0,0,-71.721,-71.721,-12.279,-8.733,-92.733,-29.512,7.371,-12.279
2015-09-30,71.452,37.065,6.151,43.216,51.376,9.876,1.542,64.481,179.149,-20.617,-0.409,-56.075,-56.075,0,-77.101,0,0,0,-98.26,-98.26,-12.577,2.321,-108.516,-6.468,7.675,-12.577
2015-06-30,102.879,33.141,13.393,46.534,-117.744,17.54,14.575,6.512,155.925,-24.961,-282.332,319.964,319.964,0,12.671,0,0,0,-72.687,-72.687,-12.808,-1.361,-86.856,81.74,7.442,-12.808
2015-03-31,32.78700,34.48400,1.37300,35.85700,-24.74900,5.96000,3.16500,-31.11200,37.53200,-21.14900,,-41.99200,-41.99200,1.09800,-62.04300,,,,-37.75100,-37.75100,-13.04900,,-50.80000,-75.31100,7.96300,-13.04900
2014-12-31,-103.811,136.487,46.46,182.947,171.73,13.536,-29.115,95.821,174.957,-22.63,-19.419,-36.225,-36.225,-0.207,-78.481,0.003,0,0.003,0.261,0.261,-12.997,-1.191,-13.924,82.552,8.434,-12.997
2014-09-30,82.949,38.179,11.987,50.166,-20.545,19.798,20.357,0.636,133.751,-54.963,0,-119.3789,-119.3789,0,-174.342,0,0,0,10.387,10.387,-12.772,0.055,-2.33,-42.921,8.343,-12.772
2014-06-30,101.205,37.591,-5.432,32.159,-84.243,15.834,30.833,75.811,209.175,-60.192,0,-117.4771,-117.4771,0,-177.669,0,0,0,0.478,0.478,-11.656,1.671,-9.507,21.999,8.297,-11.656
2014-03-31,0.92900,39.18400,37.83000,77.01400,-58.88200,2.63500,7.57900,-103.76400,-25.82100,-31.19700,,124.42500,124.42500,4.39100,97.61900,-190.97500,,-190.97500,10.16500,10.16500,,,-180.81000,-109.01200,15.23300,0.00000
2013-12-31,22.343,39.319,-14.972,24.347,52.307,-11.912,-44.961,-2.414,44.276,-23.806,-14.999,-237.609,-237.609,-0.307,-276.721,-1.471,0,-1.471,0.818,0.818,0,1.868,1.215,-231.23,9.385,0
2013-09-30,69.459,37.764,11.925,49.689,18.822,7.821,-16.531,36.309,155.457,-32.127,0,215.574,215.574,0,183.447,0,0,0,7.14,7.14,0,-0.777,6.363,345.267,9.15,0
2013-06-30,66.556,36.487,-0.937,35.55,-61.594,30.413,-10.466,2.378,105.471,-28.251,0,-156.001,-156.001,0,-184.252,-1.063,0,-1.063,0.717,0.717,0,1.509,1.163,-77.618,9.054,0
2013-03-31,6.58900,37.11700,6.64000,43.75700,-13.19100,-4.04000,-12.13300,-85.85300,-36.49400,-22.54700,,16.73200,16.73200,,-5.81500,,,,8.92100,8.92100,,-0.31300,8.60800,-33.70100,9.02300,
2012-12-31,-16.543,38.336,35.367,73.703,52.041,-7.418,-15.348,-16.444,40.716,-27.948,0,-145.375,-145.375,1.451,-171.872,-1.287,0,-1.287,0.518,0.518,0,-14.847,-15.616,-146.772,9.286,0
2012-09-30,88.641,37.856,5.907,43.763,140.66,3.624,-3.331,116.568,248.972,-33.328,0,-281.834,-281.834,0,-315.162,0,0,0,0.975,0.975,0,-38.149,-37.174,-103.364,9.238,0
2012-06-30,111.387,35.219,18.361,53.58,-124.577,-2.19,-2.841,-62.875,102.092,-30.73,0,-30.361,-30.361,0,-61.091,0,0,0,7.059,7.059,0,7.6,14.659,55.66,10.63,0
2012-03-31,33.56400,34.10300,22.59800,56.70100,-92.21700,23.63600,-0.88000,-79.09600,11.16900,-27.07400,,-27.29000,-27.29000,,-54.36400,-1.24600,,-1.24600,9.92500,9.92500,,-5.82400,2.85500,-40.34000,10.76600,
2011-12-31,129.071,37.417,-117.873,-80.456,41.134,0.419,-23.469,11.682,60.297,-19.474,-537.489,-16.527,-16.527,-1.091,-574.581,0,0,0,-7.143,-7.143,0,0,-7.143,-521.427,9.823,0
2011-09-30,56.706,22.803,16.194,38.997,64.3,13.972,-34.322,-2.728,92.975,-22.156,0,597.658,597.658,0,575.502,-1.296,0,-1.296,-23.699,-23.699,0,-3.717,-28.712,639.765,7.832,0
2011-06-30,87.252,23.049,11.318,34.367,-21.569,-4.297,-15.933,-19.654,101.965,-22.336,0,-55.223,-55.223,0.032,-77.527,0,0,0,6.976,6.976,0,3.717,10.693,35.131,7.218,0
2011-03-31,96.84400,23.41200,-18.42200,4.99000,-17.49800,-10.70900,-27.99500,-82.21600,19.61800,-22.13100,,-22.84100,-22.84100,39.03000,-5.94200,-1.22200,,-1.22200,10.07600,10.07600,,,8.85400,22.53000,7.46400,
2010-12-31,65.231,19.437,3.873,23.31,130.634,-5.981,2.55,87.955,176.496,-22.085,0,-193.043,-193.043,0,-215.128,0,0,0,2.454,2.454,0,0,2.454,-36.178,7.019,0
2010-09-30,147.34,24.571,11.878,36.449,-57.868,-14.535,98.236,72.024,255.813,-18.253,0,-206.811,-206.811,0,-225.064,-1.182,0,-1.182,0.352,0.352,0,0,-0.83,29.919,7.617,0
2010-06-30,122.149,24.378,9.382,33.76,-69.319,7.847,-50.027,-48.019,107.891,-18.119,0,-64.673,-64.673,1.091,-81.698,0,0,0,35.794,35.794,0,0,35.794,61.984,7.168,0
2010-03-31,50.10000,25.13000,10.10200,35.23200,-53.86500,16.38400,-22.00700,-59.24500,26.08600,-17.58700,,-88.18000,-88.18000,,-105.77000,-1.12300,,-1.12300,6.07900,6.07900,,,4.95600,-74.72500,7.97300,
2009-12-31,16.924,25.445,19.662,45.107,10.71,17.274,-30.699,3.674,65.705,-14.723,0,-40.948,-40.948,-0.626,-56.297,0,0,0,0.447,0.447,0,1.049,1.496,9.996,6.086,0
