,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,440,263,159,422,92,138,230,1092,-157,-2,3198,-2,3196,1,3038,-3,0,-3,0,0,-213,-17998,-18214,-14066,39,-213
2022-09-30,-175,258,777,1035,105,-228,-123,737,-121,-21,-5034,-26,-5060,-2,-5204,3,0,3,0,0,-213,-2655,-2865,-7354,40,-213
2022-06-30,566,256,-37,219,303,-119,184,969,-101,-36,1326,698,2024,74,1961,3918,0,3918,-157,-157,-213,2012,5560,8472,38,-213
2022-03-31,667.00000,254.00000,3.00000,257.00000,-480.00000,312.00000,-168.00000,756.00000,-103.00000,,1058.00000,,1058.00000,-73.00000,882.00000,256.00000,,256.00000,-475.00000,-475.00000,-214.00000,14111.00000,13678.00000,15315.00000,38.00000,-214.00000
2021-12-31,1529,250,-847,-597,104,-43,61,993,-124,-56,-1842,-93,-1935,4,-2111,-310,0,-310,-250,-250,-186,41606,40860,39740,76,-186
2021-09-30,637,253,-11,242,-35,-321,-356,523,-88,-4,-125,0,-125,-2,-219,-237,0,-237,0,0,-187,16328,15904,16204,39,-187
2021-06-30,1253,251,-1014,-763,229,154,383,873,-124,-6,18,1214,1232,-2,1100,-1749,0,-1749,0,0,-187,6310,4374,6348,37,-187
2021-03-31,650.00000,255.00000,4.00000,259.00000,-303.00000,128.00000,-175.00000,734.00000,-116.00000,,560.00000,,560.00000,,444.00000,-343.00000,,-343.00000,,,-187.00000,1418.00000,888.00000,2065.00000,36.00000,-187.00000
2020-12-31,528,257,27,284,79,175,254,1066,-142,-7,-531,4,-527,17,-659,-2059,1258,-801,0,0,-169,19261,18291,18705,34,-169
2020-09-30,394,180,63,243,77,-277,-200,437,-124,-9188,0,0,0,2,-9310,10173,-1258,8915,-148,-148,-170,1,8598,-270,32,-170
2020-06-30,528,157,34,191,295,-156,139,858,-85,-2,-6,0,-6,3,-90,79,0,79,-400,-400,-164,7,-478,295,32,-164
2020-03-31,658.00000,157.00000,27.00000,184.00000,-600.00000,278.00000,-322.00000,520.00000,-59.00000,-249.00000,6.00000,,6.00000,,-302.00000,503.00000,,503.00000,-699.00000,-699.00000,-166.00000,-49.00000,-411.00000,-202.00000,41.00000,-166.00000
2019-12-31,453,189,52,241,67,16,83,777,-102,0,-1146,26,-1120,-6,-1228,-8,0,-8,-340,-340,-154,1329,827,382,39,-154
2019-09-30,537,158,18,176,-1,-212,-213,500,-69,0,0,-41,-41,0,-110,31,0,31,-340,-340,-155,-5,-469,-82,36,-155
2019-06-30,478,157,16,173,131,-54,77,728,-69,-333,0,40,40,0,-362,293,0,293,-340,-340,-155,16,-186,180,35,-155
2019-03-31,492.00000,158.00000,-20.00000,138.00000,-227.00000,251.00000,24.00000,654.00000,-65.00000,-19.00000,,44.00000,44.00000,,-40.00000,54.00000,,54.00000,-440.00000,-440.00000,-157.00000,-53.00000,-596.00000,19.00000,29.00000,-157.00000
2018-12-31,619,157,-57,100,75,4,79,798,-119,-95,0,76,76,0,-138,1365,-1613,-248,-139,-139,-138,81,-444,210,37,-138
2018-09-30,465,148,30,178,29,-173,-144,499,-53,-746,0,0,0,0,-799,-847,1613,766,-300,-300,-138,-46,282,-18,32,-138
2018-06-30,462,143,26,169,111,-79,32,663,-57,-5,0,-1,-1,0,-63,23,0,23,-459,-459,-139,4,-571,22,32,-139
2018-03-31,474.00000,138.00000,24.00000,162.00000,-259.00000,196.00000,-63.00000,573.00000,-51.00000,-400.00000,,-304.00000,-304.00000,,-755.00000,789.00000,,789.00000,-300.00000,-300.00000,-140.00000,-79.00000,270.00000,90.00000,29.00000,-140.00000
2017-12-31,1239,131,-798,-667,18,85,103,675,-117,329,0,-327,-327,0,-115,170,-135,35,-240,-240,-118,-114,-437,126,33,-118
2017-09-30,377,128,97,225,17,-308,-291,311,-90,-1,0,0,0,0,-91,24,135,159,-240,-240,-119,-13,-213,11,34,-119
2017-06-30,427,142,51,193,70,-202,-132,488,-84,426,0,0,0,0,342,-352,0,-352,-240,-240,-119,-59,-770,64,34,-119
2017-03-31,511.00000,134.00000,-115.00000,19.00000,-240.00000,321.00000,81.00000,611.00000,-66.00000,22.00000,,,,,-44.00000,-117.00000,,-117.00000,-229.00000,-229.00000,-120.00000,-85.00000,-551.00000,17.00000,34.00000,-120.00000
2016-12-31,367,140,126,266,23,-15,8,641,-111,-425,0,-70,-70,52,-554,57,0,57,-104,-104,-102,53,-96,-28,34,-102
2016-09-30,350,181,-1,180,69,-194,-125,405,-97,0,0,0,0,93,-4,-225,0,-225,0,0,-102,-8,-335,68,30,-102
2016-06-30,363,146,51,197,72,-126,-54,506,-101,0,0,0,0,-142,-243,-238,0,-238,0,0,-103,7,-334,-78,31,-103
2016-03-31,377.00000,143.00000,62.00000,205.00000,-229.00000,244.00000,15.00000,597.00000,-56.00000,,,,,-3.00000,-59.00000,-543.00000,,-543.00000,,,-102.00000,-52.00000,-697.00000,-159.00000,29.00000,-102.00000
2015-12-31,373,98,-14,84,17,-53,-36,421,-85,-3751,1089,-1084,5,-19,-3850,1339,2472,3811,-55,-55,-89,1,3668,234,32,-89
2015-09-30,310,94,8,102,29,-321,-292,120,-56,0,-1084,1084,0,3,-53,237,0,237,-206,-206,-84,-4,-57,9,32,-84
2015-06-30,289,82,7,89,31,-104,-73,305,-76,0,1084,0,1084,-23,985,-953,0,-953,-203,-203,-85,-126,-1367,-74,23,-85
2015-03-31,323.00000,77.00000,-15.00000,62.00000,-122.00000,202.00000,80.00000,465.00000,-60.00000,,,-60.00000,-60.00000,34.00000,-86.00000,35.00000,,35.00000,-196.00000,-196.00000,-73.00000,-34.00000,-268.00000,100.00000,24.00000,-73.00000
2014-12-31,294,76,80,156,78,13,91,541,-89,-308,0,0,0,-56,-453,593,-377,216,-207,-207,-74,10,-55,14,24,-74
2014-09-30,213,69,0,69,-14,-182,-196,86,-63,171,0,-1276,-1276,6,-1162,-768,1090,322,-443,-443,-74,-138,-333,-1419,24,-74
2014-06-30,235,67,-1,66,-107,56,-2,299,-53,1976,0,22,22,-51,1894,0,-929,-929,3,3,-75,-18,-1019,1093,29,-75
2014-03-31,274.00000,66.00000,-18.00000,48.00000,,264.00000,215.00000,537.00000,-45.00000,-142.00000,,4.00000,4.00000,-60.00000,-243.00000,,-161.00000,-161.00000,2.00000,2.00000,-76.00000,-31.00000,-266.00000,3.00000,20.00000,-76.00000
2013-12-31,-170,49,314,363,13,2,-41,152,-75,-2192,0,11,11,-6,-2262,1080,631,1711,3,3,-75,-144,1495,-576,22,-75
2013-09-30,145,35,-2,33,9,-82,2,180,-54,0,0,0,0,-23,-77,0,-12,-12,0,0,0,-10,-22,80,12,0
2013-06-30,158,33,4,37,3,46,37,232,-26,-5,0,-37,-37,2,-66,0,-108,-108,6,6,0,0,-102,66,15,0
2013-03-31,137.00000,32.00000,4.00000,36.00000,-60.00000,44.00000,-23.00000,150.00000,-24.00000,-44.00000,,,,-48.00000,-116.00000,,-222.00000,-222.00000,4.00000,4.00000,,-34.00000,-252.00000,-221.00000,15.00000,
2012-12-31,132.816,30.898,10.163,41.061,20.972,-4.382,-13.591,160.286,-18.05,0.25,-0.043,0,-0.043,-4.343,-22.186,0,282.5,282.5,-49.67,-49.67,0,-0.099,232.731,370.773,12.019,0
2012-09-30,134.107,33.909,2.182,36.091,26.812,0.295,36.947,207.145,-16.926,-18.25,0,0,0,0.741,-34.435,0,-12.5,-12.5,1.362,1.362,0,-3.919,-15.057,159.158,11.678,0
2012-06-30,145.298,33.156,5.912,39.068,4.044,1.779,-4.441,179.925,-17.851,0,0.043,0,0.043,-27.698,-45.506,0,-12.5,-12.5,-2.778,-2.778,0,-4.572,-19.85,113.633,14.054,0
2012-03-31,149.77900,33.03700,5.74300,38.78000,-41.82800,8.30800,-2.91500,185.64400,-15.17300,,,,,-0.70000,-15.87300,,-12.50000,-12.50000,5.08600,5.08600,,-18.41000,-25.82400,145.43600,14.24900,
2011-12-31,130.526,26.365,22.997,49.362,23.211,-1.438,-7.673,172.215,-44.409,-6.8,0,-0.109,-0.109,-13.198,-64.516,0,286,286,-47.419,-47.419,0,-18.898,219.683,325.489,12.506,0
2011-09-30,136.948,34.543,17.919,52.462,6.338,-3.6,30.308,219.718,-12.762,0,0,-514.244,-514.244,8.128,-518.878,0,144.25,144.25,-97.974,-97.974,0,-6.294,39.982,-259.371,13.617,0
2011-06-30,124.372,34.365,3.939,38.304,-1.018,-8.458,3.035,165.711,-17.368,0,0,-2.246,-2.246,5.869,-13.745,0,-65.75,-65.75,-23.059,-23.059,0,1.028,-87.781,62.417,13.17,0
2011-03-31,130.15400,34.72700,9.14500,43.87200,-50.53100,-0.50400,-18.67000,155.35600,-12.46100,-3.20000,,0.59900,0.59900,-2.79900,-17.86100,,-55.50000,-55.50000,2.45200,2.45200,,-13.83600,-66.88400,72.46500,13.70700,
2010-12-31,101.809,35.006,6.249,41.255,19.524,0.269,12.123,155.187,-10.741,-0.023,0,1.174,1.174,-4.942,-14.532,0,-55.5,-55.5,2.432,2.432,0,-3.327,-56.395,82.594,10.852,0
2010-09-30,99.913,33.194,2.725,35.919,4.435,-3.132,-16.58,119.252,-12.753,-552.958,0,0.14,0.14,620.795,55.224,1.484,154.5,155.984,-89.879,-89.879,0,-10.176,55.929,232.09,12.155,0
2010-06-30,102.527,29.258,19.758,49.016,4.561,-0.377,6.216,157.759,-13.526,0,0,0,0,-648.946,-662.472,0.077,194.5,194.577,2.852,2.852,0,2.217,199.646,-305.186,14.368,0
2010-03-31,103.51800,29.73700,3.31500,33.05200,-31.18900,-2.00400,-35.01000,101.56000,-10.74800,,,0.00100,0.00100,-0.55500,-11.30200,-1.56100,-22.50000,-24.06100,6.96800,6.96800,,-12.56700,-29.66000,59.82900,11.94500,
2009-12-31,82.992,30.35,9.104,39.454,24.026,1.319,61.028,183.474,-16.177,0.002,0,16.501,16.501,-1.16,-0.834,0,-22.5,-22.5,3.369,3.369,0,-3.357,-22.488,160.836,17.447,0
2009-09-30,86.882,29.381,12.929,42.31,-12.717,-1.409,-9.212,119.98,-10.144,0.047,0,7.356,7.356,-7.008,-9.749,1.719,-22.5,-20.781,1.36,1.36,0,0.823,-18.598,91.17,13.931,0
2009-06-30,72.058,29.243,16.543,45.786,-9.06,-5.301,-2.425,115.419,-10.492,2.001,0,-23.327,-23.327,5.741,-26.077,-0.151,-17.5,-17.651,7.089,7.089,0,-8.4,-18.962,70.863,12.013,0
2009-03-31,72.22200,27.95300,-5.04500,22.90800,-29.67600,11.36600,-27.41000,67.72000,-7.92900,-39.84200,,3.37100,3.37100,-61.21500,-105.61500,-1.56800,-9.37500,-10.94300,0.88600,0.88600,,-5.00700,-15.06400,-53.92600,9.78000,
