,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,507.868,156.516,7.966,164.482,341.823,234.032,-142.377,-92.933,-609.693,80.485,-40.256,-27.602,0,0,0,-7.271,-75.129,999.736,-791.078,208.6579,-0.64,-0.64,-198.051,-0.012,9.955,18.687,10.24,-198.051
2022-09-30,-118.432,578.334,11.784,590.118,-636.029,-473.357,23.359,-37.707,-1013.4221,-555.637,-37.301,-20.951,0,0,0,-3.933,-62.185,-0.261,865.367,865.1061,-0.165,-0.165,-194.149,-0.807,669.985,25.263,15.177,-194.149
2022-06-30,-55.96000,160.09100,112.47300,272.56400,174.12500,-961.11300,471.06500,-100.34100,-581.73690,-358.32000,-52.65700,-26.90700,,,,10.04500,-69.51900,-500.26100,491.91700,-8.34400,-1.76600,-1.76600,-194.13500,-56.97600,-261.22100,-748.04800,22.29700,-194.13500
2022-03-31,80.842,167.827,-150.017,17.81,12.118,-143.566,5.792,-5.472,-310.791,66.908,-31.229,-19.113,0.399,0,0,0.267,-49.676,-0.257,229.446,229.189,-46.28,-46.28,-194.011,-0.081,-11.183,-57.911,25.525,-194.011
2021-12-31,517.801,166,9.791,175.791,288.031,174.773,26.808,-238.747,374.432,968.517,-69.638,-21.639,0,0,0,-7.672,-98.949,-503.435,95.847,-407.588,-293.041,-293.041,-194.767,-2.415,-897.811,-26.624,21.55,-194.767
2021-09-30,464.053,170.26,18.524,188.784,-670.473,-261.092,2.56,-244.413,-889.928,-252.145,-51.364,-21.113,3.76,598.806,598.806,13.443,543.532,-0.255,2.084,1.829,5.061,5.061,-192.296,0,-185.406,85.02,22.582,-192.296
2021-06-30,324.24500,172.98000,-147.39100,25.58900,167.79800,-150.96600,70.19700,-241.57200,-92.33300,81.00800,-93.21800,-21.00600,616.52900,,,6.52300,508.82800,-0.25300,-2.97300,-3.22600,20.91000,20.91000,-192.13100,,-174.44700,425.39200,21.70100,-192.13100
2021-03-31,89.52,202.877,-33.817,169.06,117.306,47.602,26.802,-126.728,-99.906,171.169,-46.212,-23.578,-2009.151,0,0,0.02,-2078.921,-0.512,-288.69,-289.202,8.571,8.571,-191.88,0,-472.511,-2423.379,24.714,-191.88
2020-12-31,347.24,169.671,17.505,187.176,228.601,382.228,-42.715,-136.776,540.767,1059.248,-39.945,-13.619,0,200,200,-5.755,140.681,-0.384,286.501,286.117,53.088,53.088,-191.266,-0.008,147.931,1368.455,19.996,-191.266
2020-09-30,256.722,179.69,42.414,222.104,-648.19,-15.386,95.787,-21.095,-375.824,85.996,-43.31,-24.868,0,-100,-100,-4.045,-172.223,-0.546,-6.019,-6.565,8.413,8.413,-186.892,-0.159,-185.203,-283.638,16.427,-186.892
2020-06-30,-285.61300,164.79800,29.16600,193.96400,372.75400,-100.12900,-59.76800,-65.20900,55.60300,-3.18800,-69.19100,-13.47700,,-700.00000,-700.00000,-2.48700,-785.15500,2995.86800,-1209.55600,1786.31200,-15.63400,-15.63400,-186.74600,-21.27100,1562.66100,778.44400,9.68600,-186.74600
2020-03-31,-483.776,506.371,18.853,525.224,170.577,-58.046,23.705,-95.145,-222.272,32.901,-108.994,-9.543,0,0,0,-9.554,-128.091,432.0739,1173.119,1605.193,-479.7,-479.7,-186.365,-7.274,931.854,814.115,-25.255,-186.365
2019-12-31,465.003,165.692,19.059,184.751,365.626,350.662,-97.21,-82.876,581.649,1207.104,-74.207,-11.392,0,0,0,-10.945,-96.544,-1.628,-428.138,-429.766,-415.576,-415.576,-188.694,0,-1034.036,76.982,23.314,-188.694
2019-09-30,649.001,157.125,11.085,168.21,-708.059,-228.738,-17.831,-100.254,-1004.14,-299.298,-59.601,-10.953,0,0,0,-6.227,-76.781,-1.389,417.056,415.667,43.46,43.46,-171.066,0,288.061,-98.481,36.859,-171.066
2019-06-30,49.22100,154.36100,58.39900,212.76000,165.90900,-204.62200,17.66200,-97.58100,-340.70700,-66.18000,-45.38700,-13.75900,,0.00000,,58.51500,-0.63100,-1.47900,-585.47700,-586.95600,7.19900,7.19900,-202.53800,906.14800,123.85300,62.12000,33.28700,-202.53800
2019-03-31,128.804,63.68,-76.788,-13.108,108.085,10.511,13.776,4.682,114.793,227.56,-35.535,-10.693,0.013,0,0,-25.871,-72.086,-1.589,-11.63,-13.219,61.826,61.826,-201.885,0,-153.278,17.688,16.708,-201.885
2018-12-31,463.509,62.79,102.566,165.356,387.097,314.882,-69.795,-27.501,762.844,1333.712,-50.659,-9.823,142,0,0,-11.737,69.781,-1.568,-892.766,-894.334,-142.84,-142.84,-201.325,-2.123,-1240.622,179.46,20.908,-201.325
2018-09-30,507.121,76.363,-15.344,61.019,-778.771,-244.923,44.583,12.756,-757.731,-174.193,-67.098,-11.196,0.99,0,0,-11.793,-89.097,-1.55,254.602,253.052,76.134,76.134,-182.334,0,146.852,-113.71,21.709,-182.334
2018-06-30,160.35800,52.89600,108.75800,161.65400,-27.30900,-139.17000,79.51800,2.18300,-51.07400,277.14400,-62.48400,-21.51400,-33.12200,,,-12.11000,-129.23000,-1.55700,-214.38300,-215.94000,53.50000,53.50000,-181.51700,,-343.95700,-216.04100,24.96000,-181.51700
2018-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-31,-496.029,-245.803,-63.715,-309.518,541.345,230.707,-95.957,14.383,584.5789,-216.845,83.537,32.794,-213.494,0,0,3.734,-93.429,1.845,-1697.179,-1695.334,717.198,717.198,330.28,0,-647.856,-941.988,-42.668,330.28
2017-09-30,386.14,180.333,32.525,212.858,-668.845,-182.435,46.857,-13.987,-572.1199,11.229,-254.397,-19.72,213.494,0,0,-3.41,-64.033,-0.928,1064.627,1063.699,33.379,33.379,-165.387,0,931.691,873.328,23.248,-165.387
2017-06-30,109.88900,65.47000,31.19000,96.66000,127.50000,-48.27200,49.10000,-0.39600,-12.45900,205.61600,170.86000,-13.07400,,,,-0.32400,157.46200,-0.91700,632.55200,631.63500,-750.57700,-750.57700,-164.89300,,-283.83500,68.66000,19.42000,-164.89300
2017-03-31,209.163,66.438,27.927,94.365,-84.229,-159.712,-207.233,-25.049,-533,-210.162,-40.856,-20.657,0,0,0,-6.824,-68.337,-0.904,262.156,261.252,-435.014,-435.014,-172.713,0,-346.475,-622.746,15.041,-172.713
