,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-10-31,-186.7,490.2,-66.8,423.4,-198.3,-175.1,-23.1,-349.3,-112.6,-86.1,0,19.1,0,-20.2,-20.2,0,-87.2,-9.1,87.7,78.6,-104.9,-104.9,-2.5,-0.8,-29.6,-242.3,12.5,-2.5
2022-07-31,115.3,75.4,19,94.4,10.2,-337.8,-22,-69.4,140.3,-56.3,0,0,0,18.7,18.7,0,-37.6,-6.5,-3.4,-9.9,-129.7,-129.7,-2.6,-1.2,-143.4,-49.4,12.7,-2.6
2022-04-30,133.10000,76.80000,1.80000,78.60000,-109.40000,-78.10000,-56.20000,-515.10000,-303.40000,-52.40000,,,,-4.70000,-4.70000,,-57.10000,-6.90000,6.40000,-0.50000,-107.90000,-107.90000,-2.60000,-1.00000,-112.00000,-493.80000,10.10000,-2.60000
2022-01-31,390.8,80.1,-187.3,-107.2,137.9,-21.9,-119.9,204.4,488,-97.2,0,0,0,0,0,0,-97.2,-207.1,-17.6,-224.7,-194.8,-194.8,-2.7,-1.3,-423.5,-56.2,11,-2.7
2021-10-31,279.7,77.3,-82.8,-5.5,-85.1,44,-30.8,-23.2,251,-60.5,222.9,0,0,0,0,0,162.4,-136.8,9.4,-127.4,-132.9,-132.9,0,-1.1,-261.4,146.1,11.3,0
2021-07-31,181.8,78.3,41.3,119.6,20.8,-19.5,46,219.9,521.3,-61.1,0,0,0,0,0,0,-61.1,-203.7,5.4,-198.3,0.9,0.9,0,-16.6,-214,239.4,13.8,0
2021-04-30,99.70000,77.60000,66.40000,144.00000,-211.70000,-36.50000,-15.70000,-432.80000,-189.10000,-49.10000,,,,,,,-49.10000,-503.70000,13.30000,-490.40000,-7.80000,-7.80000,,-1.40000,-499.60000,-738.20000,10.70000,0.00000
2021-01-31,-58.1,1019.1,-915.9,103.2,172.7,109.6,-12.3,225.6,270.7,-67.9,0,0,0,0,0,0,-67.9,-3.8,-21.7,-25.5,2.7,2.7,0,-1.5,-24.3,191.4,13.9,0
2020-10-31,69.5,-853.3,934.8,81.5,-227,148.4,-0.1,28,179,-51.1,0,0,-1.6,0,-1.6,0,-52.7,-4.7,-47.2,-51.9,-0.2,-0.2,0,-1.3,-53.4,65.7,14.8,0
2020-07-31,-51.7,1012.4,-933.9,78.5,6.2,-10.5,26.9,364,390.8,-51.2,0,0,0,0,0,0,-51.2,490.6,-256.7,233.9,-1.1,-1.1,0,-14.1,218.7,593.6,11.8,0
2020-04-30,-1097.20000,81.10000,845.90000,927.00000,186.50000,35.80000,67.90000,27.40000,-142.80000,-56.40000,,169.10000,,,,,112.70000,183.20000,272.00000,455.20000,-114.80000,-114.80000,-2.70000,-1.30000,336.40000,297.30000,10.00000,-2.70000
2020-01-31,-68.5,87.3,195.7,283,179.1,89.1,-30.2,374,588.5,-112.1,0,0,-25.2,0,-25.2,0,-137.3,-60.3999,-336.5,-396.9,-104.3,-104.3,0,-1.4,-502.6,-51.8,12.9,0
2019-10-31,208.9,81.6,36,117.6,-191.8,98.9,-32.8,-212.6,113.9,-82.6,0,-0.1,-2.5,0,-2.5,0,-85.2,-10.2001,204.5,194.3,-95.5,-95.5,-2.8,-1.2,94.8,121.7,14.9,-2.8
2019-07-31,193.1,78.4,-106,-27.6,81.9,-166.4,24.8,225.6,391.1,-14.4,0,-192.3,0,0,0,0,-206.7,-3.7,-167,-170.6999,-67.2,-67.2,-2.8,-1.4,-242.1,-60.8,14.4,-2.8
2019-04-30,81.60000,76.50000,89.00000,165.50000,-86.30000,99.80000,-47.20000,-320.30000,-73.20000,-76.70000,,,,,,,-76.70000,-5.80000,286.90000,281.09990,-75.60000,-75.60000,-5.70000,-1.50000,198.30000,42.30000,13.90000,-5.70000
2019-01-31,158.4,86.8,-81.2,5.6,164.7,-39.2,22.5,383.4,547.4,-109.7,0,0,0,0,0,0,-109.7,-65,-263.9,-328.9,-54.7,-54.7,0,-1.4,-385,53.5,14.3,0
2018-10-31,242.6,81.8,13,94.8,-235.9,35.4,-14.7,-343.2,-5.8,-104.9,0,0,0,0,0,0,-104.9,0,191.3,191.3,-108.4,-108.4,-2.8,-1.4,78.7,-32.6,15.1,-2.8
2018-07-31,164.7,83,-0.7,82.3,65.2,-242.2,47.3,189.6,436.6,-88.2,0,0,0,0,0,0,-88.2,-85,-169.1,-254.1,-79.8,-79.8,-2.9,-1.4,-338.2,-3.4,15.2,-2.9
2018-04-30,178.90000,83.20000,13.40000,96.60000,-145.40000,33.90000,24.10000,-401.20000,-125.70000,-76.70000,,-15.90000,,,,,-92.60000,,235.00000,235.00000,-61.90000,-61.90000,-5.90000,-1.20000,166.00000,-59.40000,11.60000,-5.90000
2018-01-31,107.9,85.9,-118.2,-32.3,193.1,-63.9,-27.6,363.2,438.8,-119.5,0,0,-9.7,0,-9.7,0,-129.2,-214.2,-188,-402.2,-40.3,-40.3,-0.1,-1.3,-443.9,-118.4,11.9,-0.1
2017-10-31,238.7,81.2,-8.9,72.3,-181.8,20.8,-26.4,-282.9,28.1,-79.2,0,-12,-2.5,0,-2.5,0,-93.7,-0.8,189.5,188.7,-65.8,-65.8,-2.9,-1.3,118.7,52.9,11.9,-2.9
2017-07-31,119.4,80.6,-3.2,77.4,59.7,-193,-46.5,37.9,234.7,-87.6,0,0,-0.8,0,-0.8,0,-88.4,0,-24.5,-24.5,-60.7,-60.7,-3,-1.3,-89.5,68.5,12.4,-3
2017-04-30,70.10000,77.20000,-16.50000,60.70000,-67.70000,72.60000,4.80000,-188.20000,-57.40000,-68.40000,,-28.10000,-1.20000,,-1.20000,6.30000,-91.40000,-50.00000,23.40000,-26.60000,-62.30000,-62.30000,-5.90000,0.50000,-94.30000,-239.20000,8.70000,-5.90000
2017-01-31,100.5,84.2,-123.6,-39.4,145.5,-68.5,-48.5,264.2,325.3,-83.6,0,0,-7.3,0,-7.3,29.4,-61.5,-99.3,-1.7,-101,-91.7,-91.7,0,-0.7,-193.4,67.7,9.3,0
2016-10-31,126.1,84.4,99.6,184,-220.9,126.3,5.5,-142,168.1,-60.2,0,0,-23.2,0,-23.2,-11.8,-95.2,-50.0999,1.4,-48.6999,-93.7,-93.7,-3,-0.5,-145.9,-79.3,9.4,-3
2016-07-31,90.5,82.6,21,103.6,85,-145.7,8.4,105.8,299.9,-40.2,0,0.3,0,0,0,-12.4,-52.3,229.3999,-21.6,207.7999,-71.4,-71.4,-3,-1.6,131.8,376.6,9.2,-3
