,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,921,326,188,514,-74,20,-488,-278,1157,-158,0,2877,2877,-2854,-135,129,129,-953,-953,2136,1312,2432,294
2022-09-30,1330,330,262,592,-22,-28,53,26,1948,-182,0,2379,2379,-816,1381,58,58,-939,-939,-2291,-3172,40,226
2022-06-30,-341,333,1239,1572,-17,2,181,235,1466,-173,0,-2211,-2211,-1532,-3916,1420,1420,-667,-667,692,1445,-1159,312
2022-03-31,509.00000,328.00000,842.00000,1170.00000,-50.00000,-29.00000,-375.00000,-437.00000,1242.00000,-188.00000,,147.00000,147.00000,-710.00000,-751.00000,182.00000,182.00000,-1497.00000,-1497.00000,620.00000,-695.00000,-186.00000,429.00000
2021-12-31,801,326,659,985,-67,19,-573,-566,1220,-211,-2294,97,97,-385,-2793,-89,-89,-1428,-1428,1146,-371,-1940,318
2021-09-30,1087,323,338,661,-43,-91,-99,-235,1513,-225,0,1042,1042,-491,326,0,0,-349,-349,-467,-816,951,300
2021-06-30,1184,316,199,515,-15,75,-506,-393,1306,-246,-469,-300,-300,-84,-1099,0,0,-113,-113,-84,-197,18,390
2021-03-31,1097.00000,300.00000,812.00000,1112.00000,-97.00000,-34.00000,-287.00000,-451.00000,1758.00000,-221.00000,,-1257.00000,-1257.00000,-105.00000,-1583.00000,,,-1321.00000,-1321.00000,2148.00000,827.00000,960.00000,368.00000
2020-12-31,1567,301,10,311,-107,89,-33,-166,1712,-226,0,-2005,-2005,-1030,-3261,0,0,-200,-200,2524,2324,918,377
2020-09-30,1021,298,474,772,-40,-45,-165,-479,1314,-241,3,-3549,-3549,587,-3200,0,0,-369,-369,1275,906,-882,364
2020-06-30,1530,297,17,314,-30,-27,-78,-72,1772,-192,0,-6969,-6969,-369,-7530,966,966,-130,-130,6078,6914,1262,352
2020-03-31,84.00000,293.00000,914.00000,1207.00000,77.00000,-21.00000,23.00000,130.00000,1421.00000,-87.00000,-3612.00000,1918.00000,1918.00000,-773.00000,-2554.00000,3000.00000,3000.00000,-799.00000,-799.00000,109.00000,2310.00000,999.00000,283.00000
2019-12-31,507,227,462,689,-17,55,-453,-422,774,-174,-70,-585,-585,421,-408,-7,-7,-245,-245,602,350,759,285
2019-09-30,462,227,639,866,-37,-2,-167,-232,1096,-156,0,236,236,543,623,2462,2462,-346,-346,-777,1339,3010,266
2019-06-30,823,228,236,464,30,-46,-76,-113,1174,-139,0,-544,-544,-414,-1097,500,500,67,67,429,996,1071,223
2019-03-31,667.00000,230.00000,438.00000,668.00000,-96.00000,-3.00000,-223.00000,-308.00000,1027.00000,-218.00000,,-2110.00000,-2110.00000,-2532.00000,-4860.00000,,,-749.00000,-749.00000,2251.00000,1502.00000,-2330.00000,247.00000
2018-12-31,584,223,340,563,74,21,-88,-16,1131,-221,12,-789,-789,1102,104,-14,-14,-534,-534,-1199,-1747,-536,230
2018-09-30,436,188,347,535,-134,22,3818,3699,4670,-223,-2120,1253,1253,1244,154,-25,-25,-595,-595,1669,1049,5847,213
2018-06-30,526,180,617,797,-24,18,-1275,-1295,28,-198,-16,37,37,735,558,-1076,-1076,-435,-435,176,-1335,-805,205
2018-03-31,511.00000,185.00000,724.00000,909.00000,25.00000,-35.00000,-1759.00000,-1769.00000,-349.00000,-178.00000,,-984.00000,-984.00000,1167.00000,5.00000,2075.00000,2075.00000,-1812.00000,-1812.00000,530.00000,793.00000,442.00000,205.00000
2017-12-31,620,227,-970,-743,17,58,-94,-24,-147,-180,0,228,228,-910,-862,200,200,-256,-256,1713,1657,649,219
2017-09-30,380,194,463,657,-43,0,9,-31,1006,-165,-323,1222,1222,-1385,-651,626,626,-86,-86,899,1439,1806,193
2017-06-30,411,201,527,728,2,5,-229,-218,921,-174,0,-894,-894,-661,-1729,-6,-6,-15,-15,1063,1042,246,176
2017-03-31,384.00000,183.00000,492.00000,675.00000,36.00000,-1.00000,-360.00000,-308.00000,751.00000,-148.00000,,-1526.00000,-1526.00000,431.00000,-1243.00000,,,-505.00000,-505.00000,451.00000,-54.00000,-535.00000,145.00000
2016-12-31,390,189,402,591,-27,-17,-32,-58,923,-152,0,-242,-242,-2340,-2734,0,0,1,1,1142,1143,-684,125
2016-09-30,323,185,352,537,-20,6,-59,-59,801,-183,0,-1496,-1496,-10,-1689,0,0,-48,-48,286,238,-649,107
2016-06-30,323,176,395,571,-8,9,-241,-198,696,-201,0,-979,-979,-626,-1806,0,0,-249,-249,793,544,-565,111
2016-03-31,365.00000,174.00000,365.00000,539.00000,-22.00000,13.00000,-152.00000,-166.00000,738.00000,-133.00000,-19.00000,105.00000,105.00000,372.00000,325.00000,-21.00000,-21.00000,-590.00000,-590.00000,724.00000,113.00000,1190.00000,95.00000
2015-12-31,367,164,368,532,76,10,-222,-171,728,-164,-942,772,772,-1382,-1716,15,15,39,39,450,504,-487,90
2015-09-30,301,153,277,430,-85,-36,2,-79,652,-118,-10,-639,-639,-1029,-1796,-4,-4,36,36,446,478,-682,94
2015-06-30,305,150,273,423,-25,25,-99,-106,622,-220,-273,-5820,-5820,2374,-3939,-754,-754,0,0,4261,3507,197,83
2015-03-31,255.00000,141.00000,298.00000,439.00000,12.00000,13.00000,-217.00000,-150.00000,544.00000,-194.00000,,209.00000,209.00000,-602.00000,-587.00000,-119.00000,-119.00000,,,358.00000,239.00000,164.00000,79.00000
2014-12-31,286,132,271,-1181,-15,14,-68,-58,631,-123,-1,-1302,9,-542,-657,40,61,0,0,-63,-23,-58,81
2014-09-30,234,129,235,364,1,1,-13,6,604,-173,0,-33,-33,-233,-439,26,26,0,0,-11,15,163,75
2014-06-30,281,125,241,366,-3,16,-219,-87,560,-96,0,14,14,-544,-626,-44,-44,0,0,7,-37,-102,75
2014-03-31,-382.00000,130.00000,837.00000,967.00000,4.00000,11.00000,-65.00000,-160.00000,425.00000,-100.00000,-1.00000,343.00000,343.00000,-66.00000,176.00000,-43.00000,-43.00000,,,37.00000,-6.00000,594.00000,68.00000
2013-12-31,177,71,0,71,0,0,0,8,428,120,-709,0,-205,599,-195,-153,0,0,0,278,125,362,0
2012-12-31,778,382,0,382,0,0,0,-154,1565,-511,-22,0,-85,-908,-1526,20,0,0,0,-230,-210,-172,0
