,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-10-31,-54.631,67.618,143.171,210.789,-66.512,24.213,128.992,86.693,242.851,-68.774,0,-18.464,0,-10.181,-10.181,0,-97.419,-1.591,0,-1.591,1.477,1.477,5.09,4.976,147.664,140.113
2022-07-31,-48.313,61.871,132.466,194.337,-49.67,37.225,76.327,63.882,209.906,-74.149,0,0,0,-5,-5,0,-79.149,0,0,0,36.258,36.258,2.501,38.759,167.658,131.55
2022-04-30,-30.40900,58.02100,104.94400,162.96500,-1.05800,-36.43100,119.89000,82.40100,214.95700,-57.42500,-0.70000,,,-2.82500,-2.82500,,-60.95000,,,,3.10600,3.10600,1.46200,4.56800,156.10300,102.49400
2022-01-31,-41.739,54.404,82.573,136.977,-84.71,40.281,108.909,64.48,159.718,-32.388,0,-60.772,0,-0.5,-0.5,0,-93.66,0,0,0,25.928,25.928,0.25,26.178,89.125,92.637
2021-10-31,-50.45,47.167,89.178,136.345,-16.741,-12.416,102.32,73.163,159.058,-35.555,-0.68,0,0,-8.5,-8.5,0,-44.735,0,1.581,1.581,3.304,3.304,2.669,7.554,120.457,86.666
2021-07-31,-57.318,42.356,78.42,120.776,-55.643,15.945,84.715,45.017,108.475,-34.836,0,-0.339,0,-6,-6,0,-41.175,0,-1.581,-1.581,33.19,33.19,4.581,36.19,102.054,76.287
2021-04-30,-82.87100,38.76700,52.57400,91.34100,31.74000,-10.56200,117.88500,139.06300,147.53300,-30.23000,,-353.40700,,-1.30900,-1.30900,,-384.94600,,,,3.75400,3.75400,-1.14500,2.60900,-233.61100,54.36200
2021-01-31,-19.002,33.336,46.729,80.065,-66.419,4.769,115.05,53.4,114.463,-17.073,-0.18,-0.048,0,0,0,0,-17.301,739.569,0,739.569,24.288,24.288,-3.328,760.529,858.682,47.714
2020-10-31,-24.531,27.248,43.792,71.04,-22.623,-3.078,67.693,41.992,88.501,-12.406,0,-85.469,0,-0.5,-0.5,0,-98.375,0,0,0,4.921,4.921,0.25,5.171,-4.808,40.61
2020-07-31,-29.874,24.243,40.12,64.363,-4.631,4.898,20.269,20.536,55.025,-22.608,0,0,0,-1,-1,0,-23.608,0,0,0,27.492,27.492,0.05,27.542,59.743,37.713
2020-04-30,-19.22200,22.33400,24.87400,47.20800,20.65100,4.73600,45.20400,70.59100,98.57700,-11.57600,,,646.28700,,646.28700,,634.71100,,,,6.39300,6.39300,0.50000,6.89300,740.19300,23.63800
2020-01-31,-28.408,18.505,23.411,41.916,-18.88,-2.797,74.703,53.026,66.107,-15.431,0,0,-555.684,-1,-556.684,0,-572.115,0,0,0,24.527,24.527,2.783,27.31,-478.807,24.363
2019-10-31,-35.505,14.626,22.487,37.113,-30.829,2.124,65.339,36.634,38.635,-31.587,0,0,4.325,0,4.325,0,-27.262,0,0,0,0.824,0.824,-1.792,-0.968,10.797,21.966
2019-07-31,-51.889,12.743,35.577,48.32,-28.177,-8.715,34.64,-2.252,-6.214,-22.944,0,0,-11.448,0,-11.448,0,-34.392,0,0,0,682.372,682.372,-1.688,680.684,639.815,29.859
2019-04-30,-25.97700,11.85100,4.24100,16.09200,5.37500,2.81800,3.10700,11.30000,1.41500,-17.52500,,,21.66300,,21.66300,,4.13800,,,,1.51000,1.51000,-2.39200,-0.88200,4.58500,3.75200
2019-01-31,-31.26,13.567,3.688,-7.666,-15.477,3.877,41.413,29.813,15.808,-9.145,0,0,5.268,0,5.268,-6.794,-10.671,0,0,9.802,1.12,1.12,-1.445,-0.325,4.946,3.102
2018-10-31,-42.323,10.702,14.845,25.547,-20.052,1.423,31.766,13.137,-3.639,-9.437,0,0,-27.049,0,-27.049,0,-36.486,0,0,0,1.278,8.278,-0.184,8.094,-32.072,13.46
2018-07-31,-32.877,9.881,4.584,14.465,-18.568,-10.019,18.302,-10.285,-28.744,-6.913,0,0,-80.204,0,-80.204,0,-87.117,-6.158,-10,-16.158,-1.567,198.329,0,182.171,66.129,2.224
2018-04-30,-33.61700,8.73800,1.80400,10.54200,20.68400,2.31600,-6.36500,16.63500,-6.39300,-10.35600,,,2.60000,,2.60000,,-7.75600,,0.19800,0.19800,0.75100,0.75100,-0.50000,0.44900,-13.77400,1.71900
2018-01-31,-135.49,20.22,0,20.22,0,0,0,42.461,-58.766,-22.906,0,-6.471,0,0,7.896,-6.849,-28.33,0,12.019,-19.324,0,134.136,0,126.831,40.353,0
