,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,248,133,-9,124,376,231,-87,248,587,-149,-71,0,0,0,5,-215,-297,100,-197,-11,-11,-146,1,-353,70,8,-146
2022-09-30,339,135,-11,124,148,-21,-1,83,512,-104,0,0,0,0,8,-96,-1,-99,-100,-15,-15,-145,-9,-269,98,9,-145
2022-06-30,446,141,389,530,-792,-112,10,-716,168,46,-34,0,0,0,21,33,1057,-1026,31,-130,-130,-140,9,-230,-29,12,-140
2022-03-31,23.00000,145.00000,-309.00000,-164.00000,,-325.00000,-118.00000,-171.00000,-304.00000,-194.00000,-9.00000,,,,20.00000,-183.00000,55.00000,586.00000,641.00000,-34.00000,-34.00000,-139.00000,-25.00000,443.00000,-45.00000,6.00000,-139.00000
2021-12-31,278,149,-72,77,313,55,-27,201,456,-104,0,0,0,0,-24,-128,725,-884,-159,-256,-256,-140,42,-513,-211,18,-140
2021-09-30,345,146,-36,110,104,-54,-5,84,525,-78,-11,0,0,0,55,-34,-821,513,-308,2,2,-140,-2,-448,21,4,-140
2021-06-30,433,137,395,532,-480,-91,24,-347,604,-62,-1770,0,0,0,14,-1818,441,261,702,24,24,-128,-13,585,-613,18,-128
2021-03-31,385.00000,129.00000,-363.00000,-234.00000,,-189.00000,-69.00000,-126.00000,-23.00000,-80.00000,-356.00000,,,,12.00000,-424.00000,292.00000,300.00000,592.00000,20.00000,20.00000,-128.00000,-15.00000,469.00000,-18.00000,17.00000,-128.00000
2020-12-31,275,125,-27,98,250,75,-21,418,966,-134,-1124,0,0,0,2,-1256,1399,-1240,159,-23,-23,-128,38,46,-182,15,-128
2020-09-30,448,132,-26,106,-155,65,22,242,842,-78,0,0,0,0,-2,-80,-881,-37,-918,17,17,-127,-4,-1032,-244,14,-127
2020-06-30,100,123,170,293,150,177,78,115,481,-55,-1,0,0,0,4,-52,-206,256,50,1,1,-121,-15,-85,366,8,-121
2020-03-31,248.00000,129.00000,4.00000,133.00000,-58.00000,-206.00000,-55.00000,-434.00000,-159.00000,-37.00000,-44.00000,,,,22.00000,-59.00000,-13.00000,1171.00000,1158.00000,5.00000,5.00000,-120.00000,-31.00000,1012.00000,670.00000,7.00000,-120.00000
2019-12-31,300,134,32,166,309,194,2,316,809,-189,-79,0,0,0,7,-261,-634,94,-540,-121,-121,-121,-17,-799,-216,11,-121
2019-09-30,373,133,9,142,243,48,-42,304,789,-91,-203,0,0,0,3,-291,594,-470,124,10,10,-120,-5,9,469,9,-120
2019-06-30,279,126,247,373,-132,55,-2,-58,548,-86,-304,0,0,0,19,-371,-24,167,143,15,15,-114,-44,0,179,10,-114
2019-03-31,317.00000,118.00000,-26.00000,92.00000,-299.00000,-152.00000,-78.00000,-511.00000,-66.00000,-47.00000,-57.00000,,,,18.00000,-86.00000,-1.00000,309.00000,308.00000,-168.00000,-168.00000,-113.00000,5.00000,32.00000,-118.00000,9.00000,-113.00000
2018-12-31,261,127,48,175,350,176,-53,294,800,-185,-280,0,0,0,12,-453,-1,-7,-8,-407,-407,-115,-5,-535,-201,16,-115
2018-09-30,382,122,-92,30,207,-15,-114,163,536,-108,0,0,0,0,14,-94,-2,-6,-8,-246,-246,-116,5,-365,83,3,-116
2018-06-30,375,125,91,216,-253,-68,86,-196,359,-43,-2,0,0,0,6,-39,-2,3,1,-462,-462,-110,-29,-600,-326,9,-110
2018-03-31,340.00000,123.00000,-9.00000,114.00000,-373.00000,-202.00000,-121.00000,-667.00000,-228.00000,-75.00000,-96.00000,,,,-7.00000,-178.00000,991.00000,7.00000,998.00000,-591.00000,-591.00000,-112.00000,,295.00000,-90.00000,9.00000,-112.00000
2017-12-31,156,120,85,205,274,84,-71,232,536,-153,-156,0,0,0,26,-283,-579,-13,-592,-393,-393,-113,-5,-1103,-851,9,-113
2017-09-30,616,117,-223,-106,56,-15,-79,57,586,-72,534,0,0,0,15,477,-1,-23,-24,-225,-225,-116,4,-361,718,9,-116
2017-06-30,501,113,-51,62,-110,-28,-55,-154,437,-72,51,0,-100,-100,-2,-123,-1,-25,-26,11,11,-102,-1,-118,220,8,-102
2017-03-31,342.00000,110.00000,14.00000,124.00000,-296.00000,-157.00000,-8.00000,-481.00000,9.00000,-63.00000,-61.00000,,,,-14.00000,-138.00000,-7.00000,-39.00000,-46.00000,-154.00000,-154.00000,-103.00000,-69.00000,-372.00000,-471.00000,9.00000,-103.00000
2016-12-31,344,109,123,232,188,99,-61,59,575,-141,1066,-13,-41,-54,10,881,862,-651,211,-648,-648,-105,24,-518,891,8,-105
2016-09-30,-179,113,694,807,106,61,-26,153,777,-90,-311,-41,41,0,9,-392,-4,-714,-718,-244,-244,-106,11,-1057,-676,11,-106
2016-06-30,376,103,-606,-503,-89,16,144,77,-80,-79,-4,102,0,102,-9,10,2,901,903,9,9,-107,-11,794,696,16,-107
2016-03-31,354.00000,115.00000,12.00000,127.00000,-273.00000,-120.00000,-89.00000,-432.00000,79.00000,-70.00000,-6.00000,31.00000,,31.00000,-18.00000,-63.00000,-251.00000,88.00000,-163.00000,-136.00000,-136.00000,-96.00000,-34.00000,-429.00000,-402.00000,10.00000,-96.00000
2015-12-31,318,94,178,272,288,126,162,321,909,-168,-72,231,19,250,-54,-44,-1,-150,-151,-248,-248,-96,-49,-544,296,12,-96
2015-09-30,440,107,33,140,178,-9,-107,217,800,-100,-222,64,0,64,15,-243,-1,34,33,-149,-149,-98,-12,-226,308,2,-98
2015-06-30,342,125,164,289,-264,56,42,-14,615,-90,-17,-41,-19,-60,24,-143,-337,73,-264,-145,-145,-98,7,-500,-28,25,-98
2015-03-31,327.00000,120.00000,-300.00000,-180.00000,-327.00000,-136.00000,-99.00000,-558.00000,-429.00000,-72.00000,38.00000,51.00000,19.00000,70.00000,-1.00000,35.00000,1241.00000,-517.00000,724.00000,-156.00000,-156.00000,-91.00000,-19.00000,458.00000,49.00000,15.00000,-91.00000
2014-12-31,89,97,242,339,300,106,9,106,491,-262,-1999,119,0,119,65,-2077,-601,1035,434,-295,-295,-92,-200,-153,-1782,18,-92
2014-09-30,377,119,-88,31,115,-2,-72,255,636,-70,-90,353,0,353,5,198,-37,2,-35,-139,-139,-92,-4,-270,482,15,-92
2014-06-30,392,115,-78,37,-168,-25,-48,-162,238,-129,-2,-447,0,-447,5,-573,-2,-3,-5,-94,-94,-92,-52,-243,-573,20,-92
2014-03-31,1301.00000,119.00000,-973.00000,-854.00000,-363.00000,-178.00000,-86.00000,-380.00000,163.00000,-103.00000,1603.00000,118.00000,,118.00000,-23.00000,1595.00000,,-13.00000,-13.00000,-165.00000,-165.00000,-85.00000,-40.00000,-303.00000,1443.00000,18.00000,-85.00000
2013-12-31,282,119,-24,95,281,50,29,188,509,-244,-5,100,0,100,-16,-165,2,6,8,-671,-671,-86,-43,-792,-446,22,-86
2013-09-30,255,113,192,305,156,18,-33,198,788,-101,-3,-141,0,-141,19,-226,-5,5,0,-166,-166,-87,-10,-263,319,27,-87
2013-06-30,371,119,35,154,-189,85,17,17,583,-86,-975,-152,0,-152,-7,-1220,-2,-24,-26,13,13,-88,-23,-124,-778,17,-88
2013-03-31,2445.00000,101.00000,-2226.00000,-2125.00000,-273.00000,-109.00000,-64.00000,-411.00000,-89.00000,-63.00000,940.00000,762.00000,,762.00000,-25.00000,1614.00000,-600.00000,6.00000,-594.00000,-108.00000,-108.00000,-84.00000,-14.00000,-800.00000,715.00000,15.00000,-84.00000
2012-12-31,253,84,-93,-9,396,136,-4,439,748,-166,-69,-472,0,-472,-28,-735,12,-2,10,12,12,-30,-102,-110,-86,18,-30
2012-09-30,364,104,-71,33,164,41,-8,269,605,-62,-20,-385,0,-385,21,-446,386,-18,368,39,39,-112,-93,202,375,53,-112
2012-06-30,396,103,4,107,-103,5,-19,-44,436,-74,11,-175,0,-175,-11,-249,-16,-10,-26,21,21,-114,-12,-131,39,0,-114
