,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1267,1247,-1324,-77,0,0,0,-195,-195,995,-11717,0,-129,-129,7336,-4510,-148,3929,3781,2,2,-845,53,2991,-526,-845
2022-09-30,1559,1356,-736,620,0,0,0,207,207,2474,-1477,0,-400,-400,-2664,-4541,1408,357,1765,1457,1457,-836,-843,1543,-526,-836
2022-06-30,1113,1227,-300,927,0,0,0,879,879,2831,-2225,0,-72,-72,-2318,-4615,4255,-244,4011,0,0,-835,366,3542,1755,-835
2022-03-31,-693.00000,960.00000,2174.00000,3134.00000,,,,-479.00000,-479.00000,1962.00000,-2300.00000,,-128.00000,-128.00000,-2265.00000,-4693.00000,3816.00000,1073.00000,4889.00000,1.00000,1.00000,-836.00000,99.00000,4153.00000,1422.00000,-836.00000
2021-12-31,953,1052,-559,493,0,0,0,-129,-129,1317,-8494,0,-50,-50,6798,-1746,1737,240,1977,7,7,-757,-486,741,312,-757
2021-09-30,304,1298,947,2245,0,0,0,105,105,2741,-1380,0,-171,-171,-2133,-3684,-984,3363,2379,2,2,-756,-1108,517,-429,-756
2021-06-30,72,1041,1371,2412,0,0,0,-194,-194,2203,-1866,0,-11,-11,-1864,-3741,2152,-1508,644,1,1,-756,917,806,-732,-756
2021-03-31,1498.00000,823.00000,-761.00000,62.00000,,,,-268.00000,-268.00000,1292.00000,-1576.00000,,-83.00000,-83.00000,-2761.00000,-4420.00000,4184.00000,258.00000,4442.00000,4.00000,4.00000,-755.00000,52.00000,3743.00000,619.00000,-755.00000
2020-12-31,-190,1023,888,1911,0,0,0,-369,-369,1352,-8372,0,-41,-41,3920,-4493,-1907,4501,2594,8,8,-686,344,2260,-891,-686
2020-09-30,1123,1338,275,1613,0,0,0,103,103,2839,1052,0,-35,-35,-4038,-3021,2070,221,2291,-49,-49,-686,-365,1191,1001,-686
2020-06-30,1128,1032,-98,934,0,0,0,-164,-164,1898,-2994,0,-105,-105,49,-3050,2097,-2792,-695,6,6,-686,137,-1238,-2398,-686
2020-03-31,308.00000,922.00000,838.00000,1760.00000,,,,-174.00000,-174.00000,1894.00000,-3284.00000,,-3.00000,-3.00000,152.00000,-3135.00000,4041.00000,685.00000,4726.00000,-57.00000,-57.00000,-685.00000,-23.00000,3961.00000,2726.00000,-685.00000
2019-12-31,844,1041,-379,662,0,0,0,406,406,1912,-8389,0,-63,-63,4738,-3714,1061,1574,2635,6,6,-611,-680,1350,-450,-611
2019-09-30,799,1313,484,1797,0,0,0,255,255,2962,-1451,0,-43,-43,-2078,-3572,1679,-1801,-122,1462,1462,-600,-269,471,-145,-600
2019-06-30,1139,1262,-660,602,0,0,0,54,54,1684,723,0,7,7,-2676,-1946,3071,-2470,601,6,6,-599,617,625,362,-599
2019-03-31,606.00000,862.00000,467.00000,1329.00000,,,,-338.00000,-338.00000,1597.00000,-7029.00000,,-53.00000,-53.00000,137.00000,-6945.00000,2602.00000,-498.00000,2104.00000,20.00000,20.00000,-598.00000,-99.00000,1427.00000,-3912.00000,-598.00000
2018-12-31,314,1145,-27,1118,0,0,0,-70,-70,1362,-161,0,-42,-42,-2186,-2389,-146,7165,7019,4,4,-531,-927,5565,4532,-531
2018-09-30,941,1183,48,1231,0,0,0,36,36,2295,1507,0,-73,-73,-4640,-3206,-226,293,67,703,703,-523,635,882,-15,-523
2018-06-30,687,894,326,1220,0,0,0,-175,-175,1645,-4324,0,549,549,2087,-1688,799,-372,427,4,4,-524,-30,-123,-172,-524
2018-03-31,3834.00000,925.00000,-3072.00000,-2147.00000,,,,-396.00000,-396.00000,1291.00000,-1288.00000,,-120.00000,-120.00000,-2259.00000,-3667.00000,862.00000,1027.00000,1889.00000,7.00000,7.00000,-523.00000,-63.00000,1310.00000,-1075.00000,-523.00000
2017-12-31,2071,-148,-1190,-1338,0,0,0,512,512,1129,3201,-28,50,50,-5290,-2067,270,937,1207,19,567,-463,-185,1126,214,-463
2017-09-30,857,1138,46,1184,0,0,0,-79,-79,2078,-5597,0,32,32,4228,-1337,418,297,715,11,11,-462,-179,85,826,-462
2017-06-30,804,957,349,1306,0,0,0,-48,-48,1993,2348,-2,-43,-43,-4147,-1844,745,-194,551,18,18,-460,-115,-6,143,-460
2017-03-31,1591.00000,691.00000,-1054.00000,-363.00000,,,,-39.00000,-39.00000,1258.00000,-5179.00000,1484.00000,-69.00000,-69.00000,94.00000,-3670.00000,141.00000,2241.00000,2382.00000,7.00000,7.00000,-460.00000,-246.00000,1683.00000,-729.00000,-460.00000
2016-12-31,1011,891,-586,305,0,0,0,-370,-370,1075,3952,0,23,23,-5038,-1063,357,871,1228,9,9,-407,-205,625,647,-407
2016-09-30,790,1070,136,1206,0,0,0,189,189,2024,-1864,0,-31,-31,349,-1546,477,-788,-311,485,485,-402,-299,-527,-49,-402
2016-06-30,544,816,380,1196,0,0,0,-101,-101,1725,-1791,0,-30,-30,65,-1756,630,-178,452,26,26,-402,57,133,102,-402
2016-03-31,654.00000,651.00000,301.00000,952.00000,,,,25.00000,25.00000,1545.00000,-3879.00000,,-15.00000,-15.00000,213.00000,-3681.00000,883.00000,1686.00000,2569.00000,17.00000,17.00000,-401.00000,8.00000,2193.00000,57.00000,-401.00000
2015-12-31,510,841,283,1124,123,52,131,67,-58,1576,-2683,0,-10,-10,174,-2519,298,543,841,24,24,-354,-182,329,-597,-354
2015-09-30,881,900,-393,507,-115,-66,-76,287,191,1579,-1867,0,-35,-35,179,-1723,249,189,438,644,644,-348,40,774,630,-348
