,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,378.70000,57.80000,-130.00000,-72.20000,-32.60000,-175.30000,-29.80000,-75.60000,-240.20000,66.30000,-24.20000,-133.80000,0.00000,144.80000,144.80000,-5.10000,-18.30000,,188.10000,188.10000,-143.40000,-143.40000,-135.90000,-14.10000,-105.30000,-39.30000,18.40000,-135.90000
2022-09-30,336,60.7,-31.3,29.4,-89.5,-86.6,53.5,83.3,34,399.4,-40.2,-0.1,198.9,-66,132.9,-1.2,91.4,0,-242.2,-242.2,-71,-71,-129,-13.5,-455.7,7.8,19.3,-129
2022-06-30,294.8,56.8,19.3,76.1,-165.8,-69.8,48.3,134.2,-26,344.9,-18.3,-0.1,-0.9,66,65.1,-1.2,45.5,0,-39.5,-39.5,-163.2,-163.2,-130.2,-3.1,-336,39.9,17.6,-130.2
2022-03-31,49.4,62.5,189.8,252.3,-82.6,-58.1,99.9,22,-210.9,90.8,-44.9,-5.9,-46.1,0,-46.1,0.9,-96,0,32.3,32.3,8.8,8.8,-130.1,-1.5,-90.5,-97,15.7,-130.1
2021-12-31,238.90000,58.90000,17.00000,75.90000,-77.70000,-78.30000,-29.70000,-103.50000,-326.80000,-12.00000,-37.10000,-10.50000,-1.50000,,-1.50000,0.40000,-48.70000,,99.00000,99.00000,-18.00000,-18.00000,-130.10000,-2.90000,-52.00000,-122.20000,15.50000,-130.10000
2021-09-30,74.6,54.1,57,111.1,5.6,-69.5,-9.3,25.5,18.4,204.1,-43.3,-2205.5,-4.5,0,-4.5,-1.1,-2254.4,1485.6,484.8,1970.4,-29.3,-29.3,-124.2,-16.3,1800.6,-260.2,13.8,-124.2
2021-06-30,269,45.8,20.3,66.1,42.1,-44.9,75,96.4,126.4,461.5,-24.5,0,-8.9,0,-8.9,-2.1,-35.5,0,0.4,0.4,-35.9,-35.9,-124.2,-4,-163.7,271.9,13.5,-124.2
2021-03-31,410.3,45.9,-157.7,-111.8,-100.3,-48.1,98.2,40.1,-49.6,248.9,-25.1,0.1,-0.2,0,-0.2,-1.4,-26.6,0,-126.3,-126.3,-45.3,-45.3,-124.4,-5.9,-301.9,-88.5,12.9,-124.4
2020-12-31,590.40000,44.00000,-357.60000,-313.60000,-85.50000,-40.30000,20.90000,101.80000,69.70000,346.50000,-27.00000,-283.10000,,,,,-310.10000,,125.90000,125.90000,-34.60000,-34.60000,-124.30000,-4.20000,-37.20000,25.80000,11.50000,-124.30000
2020-09-30,263.7,45,-131.2,-86.2,-19.5,71.8,25.8,0.2,148.3,325.8,-21.9,-5,37.9,-43.9,-6,6,-26.9,0,-399.1,-399.1,27,27,-118.5,0,-490.6,-179.4,11.4,-118.5
2020-06-30,314.2,43.5,-128.4,-84.9,144.7,-29.3,-81.7,85.8,116.9,346.2,-22.1,-286.6,-46,38.5,-7.5,-1.3,-317.5,-0.7,341.2,340.5,3.2,3.2,-118,0,225.7,268,12.3,-118
2020-03-31,129.9,42.3,175.9,218.2,-49.2,-13.8,51.3,-57.1,-130.7,217.4,-18.2,-20.8,36.3,-37.9,-1.6,0,-40.6,-300,58,-242,-78.8,-78.8,-118.4,0.8,-438.4,-284.4,10.9,-118.4
2019-12-31,315.40000,41.90000,-34.80000,7.10000,-85.00000,1.70000,-0.40000,9.60000,-91.40000,231.10000,-36.80000,-238.50000,-1.00000,43.30000,42.30000,,-233.00000,,23.50000,23.50000,-1.20000,-1.20000,-117.90000,,-95.60000,-92.20000,11.50000,-117.90000
2019-09-30,8.1,40,220.1,260.1,24,72.2,52.6,10.5,206.8,475,-22.9,0,64.5,54.1,118.6,0,95.7,0,-0.6,-0.6,-210.7,-210.7,-112.9,-1.1,-325.3,229.6,10.6,-112.9
2019-06-30,261.4,36.9,46.8,83.7,7.1,8.9,-26,15.7,6.1,351.2,-27.8,0,-0.5,39.5,39,0,11.2,0,-0.7,-0.7,-239.5,-239.5,-114.4,0,-354.6,8.8,10.7,-114.4
2019-03-31,346,39.4,-114.5,-75.1,-35.4,-33.6,19.1,1.7,-127.1,143.8,-35.7,-20.7,0,33.6,33.6,0,-22.8,987.6,-630,357.6,-220.3,-220.3,-115.6,0,21.7,147.7,10.8,-115.6
2018-12-31,80.30000,35.90000,236.10000,272.00000,-6.10000,-52.40000,-31.20000,-62.80000,-140.30000,212.00000,-41.90000,,-2.80000,185.60000,182.80000,,140.90000,,80.30000,80.30000,-291.10000,-291.10000,-116.90000,,-327.70000,13.50000,11.00000,-116.90000
2018-09-30,345.9,39.7,36.7,76.4,-54,-11.3,48.5,25.8,-59.5,362.8,-46.9,0,-1000,314.6,-685.4,0,-732.3,0,550.3,550.3,-386.2,-386.2,-112.5,0,51.6,-321.3,9.9,-112.5
2018-06-30,198.6,42.1,96.5,138.6,-27.9,-18.2,11.5,53.9,5.9,343.1,-22.3,0,-20.3,101.2,80.9,0,58.6,0,-307.8,-307.8,-414.5,-414.5,-114.8,0,-837.1,-493.8,9.8,-114.8
2018-03-31,227.4,43.2,26.7,69.9,8.6,11.3,44,19.6,84.1,381.4,-21.9,0,102.4,455.8,558.2,0,536.3,0,-531.5,-531.5,-439.1,-439.1,-106.2,0,-1076.8,-113.1,10.2,-106.2
2017-12-31,-236.40000,39.60000,25.30000,64.90000,-18.40000,-19.20000,-36.80000,-49.40000,384.20000,212.70000,-33.90000,-9.90000,-223.70000,234.50000,10.80000,,-33.00000,-250.00000,489.60000,239.60000,-160.70000,-160.70000,-107.30000,1.80000,-26.60000,136.10000,8.60000,-107.30000
2017-09-30,204.6,44.9,-185,-140.1,-13.3,22.6,14.4,18.5,42.4,106.9,-43.9,94,-500.8,297.7,-203.1,0,-153,0,2,2,-16.4,-16.4,-97.5,0,-111.9,-138.5,9.1,-97.5
2017-06-30,216.9,43,39.8,82.8,-23.3,-36.4,46.7,43.3,15.6,315.3,-29.7,0,-165.3,192.8,27.5,0,-2.2,0,-25.1,-25.1,-96.2,-96.2,-97.7,0,-219,108.6,9.2,-97.7
2017-03-31,189.5,40.6,37.4,78,-22.4,11.3,30.4,44.2,33.5,301,-27.9,0,-524.2,228.2,-296,0,-323.9,0,-35.1,-35.1,-33.7,-33.7,-98,0,-166.8,-153.8,9.5,-98
2016-12-31,214.70000,40.40000,40.50000,80.90000,6.00000,-27.90000,-10.40000,25.20000,15.20000,310.80000,-39.10000,-1.10000,-191.30000,193.90000,2.60000,,-37.60000,,-40.00000,-40.00000,-14.40000,-14.40000,-97.50000,,-151.90000,68.20000,10.70000,-97.50000
2016-09-30,185.2,43,-33.3,9.7,-35.9,28.4,3.4,35.3,77.1,272,-37.5,-117.9,-269.2,290.1,20.9,0,-134.5,0,94.6,94.6,-125.3,-125.3,-93.5,0.9,-123.3,17.1,10.1,-93.5
2016-06-30,191,42.8,37.6,80.4,3.5,10,25.6,-37.7,4.6,276,-26.6,-0.1,-608.5,596.2,-12.3,0,-39,0,76.4,76.4,-101.5,-101.5,-94.3,1.2,-118.2,113,9.8,-94.3
2016-03-31,168,45.1,38.2,83.3,-1.6,-1.1,22.3,12.9,-36.8,214.5,-12.4,-21.1,-141.7,0,-141.7,0,-175.2,0,116.6,116.6,-121.2,-121.2,-94.8,0.5,-98.9,-52.9,9.8,-94.8
2015-12-31,185.50000,41.30000,38.70000,80.00000,15.10000,-32.70000,-19.00000,-55.40000,-80.70000,184.80000,-40.00000,,-51.30000,,-51.30000,,-91.30000,,161.00000,161.00000,-123.40000,-123.40000,-95.60000,0.70000,-57.30000,21.90000,10.80000,-95.60000
2015-09-30,201.3,41.6,6.3,47.9,12.7,42.5,-36.1,39.7,98.8,348,-39.6,0,-898.6,762.7,-135.9,0,-175.5,0,0,0,-188.8,-188.8,-86.8,0.2,-275.4,-139.9,10.1,-86.8
2015-06-30,206.1,41.2,28.9,70.1,-20.5,-10.4,26.7,13,10.1,286.3,-23.4,0,45.2,0,45.2,0,21.8,0,0,0,-79,-79,-87.4,5.6,-160.8,164.3,10.2,-87.4
2015-03-31,206,39.1,30.7,69.8,8,-10.3,37.1,35.5,9.4,285.2,-17.9,0,-18.3,0,-18.3,0,-36.2,594.3,-508,86.3,-106.6,-106.6,-87.8,0.6,-107.5,111,10.4,-87.8
2014-12-31,214.20000,40.60000,34.10000,74.70000,73.20000,-24.30000,-10.40000,-106.10000,-20.70000,268.20000,-39.90000,-21.20000,4.10000,,4.10000,,-57.00000,,183.00000,183.00000,-163.70000,-163.70000,-88.10000,4.40000,-64.40000,100.60000,10.80000,-88.10000
