,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,3249,2067,1137,3204,1317,64,-1098,235,139,6592,-2416,-97,-394,-394,-27,-2934,-393,-393,-2729,-2729,-2390,4,-5508,-1622,-2390
2022-09-30,4527,1932,777,2709,544,-11,463,-186,1504,8740,-2094,0,-1131,-1131,120,-3105,-45,-45,-2804,-2804,-1484,3,-4330,1090,-1484
2022-06-30,5145,1871,818,2689,-326,-80,839,-341,80,7914,-1349,0,-841,-841,99,-2091,-1865,-1865,-2221,-2221,-988,-4,-5078,487,-988
2022-03-31,5759.00000,1884.00000,-618.00000,1266.00000,-1535.00000,27.00000,-204.00000,58.00000,-1957.00000,5068.00000,-829.00000,37.00000,-263.00000,-263.00000,444.00000,-611.00000,-1067.00000,-1067.00000,-1154.00000,-1154.00000,-864.00000,-52.00000,-3137.00000,1341.00000,-864.00000
2021-12-31,2627,1839,1029,2868,-881,-147,717,151,373,5868,-696,-8672,245,245,528,-8595,-142,-142,-1281,-1281,-609,1,-2031,-4789,-609
2021-09-30,2379,1733,-17,1716,-825,76,359,-412,702,4797,-670,0,1544,1544,-342,532,-319,-319,-1191,-1191,-579,3,-2086,3231,-579
2021-06-30,2091,1930,19,1949,-9,-38,-101,-345,211,4251,-1088,0,1801,1801,21,734,-18,-18,-603,-603,-583,1,-1203,3793,-583
2021-03-31,982.00000,1948.00000,-835.00000,1113.00000,-785.00000,-51.00000,424.00000,-43.00000,-15.00000,2080.00000,-1217.00000,382.00000,-499.00000,-499.00000,119.00000,-1215.00000,-26.00000,-26.00000,-403.00000,-403.00000,-588.00000,2.00000,-1015.00000,-152.00000,-588.00000
2020-12-31,-772,1598,836,2434,-611,49,334,125,10,1672,-1053,0,431,431,79,-543,-20,-20,-169,-169,-464,1,-652,519,-464
2020-09-30,-450,1473,205,1678,-614,-47,171,100,-360,868,-1133,0,-59,-59,76,-1116,280,280,-4,-4,-454,1,-177,-394,-454
2020-06-30,278,1224,-826,398,705,-304,-457,-70,-519,157,-112,0,-95,-95,-323,-530,-190,-190,0,0,-455,-4,-649,-993,-455
2020-03-31,-1711.00000,1478.00000,1841.00000,3319.00000,1041.00000,277.00000,-297.00000,-79.00000,497.00000,2105.00000,-1100.00000,,-935.00000,-935.00000,103.00000,-1932.00000,-24.00000,-24.00000,-724.00000,-724.00000,-458.00000,-24.00000,-1230.00000,-1179.00000,-458.00000
2019-12-31,743,1555,371,1926,172,-65,98,66,313,2982,-1503,0,-2245,-2245,-82,-3830,-21,-21,-740,-740,-463,-46,-1270,-2096,-463
2019-09-30,3071,1652,-2079,-427,-128,75,-150,120,-307,2337,544,0,-180,-180,-214,150,-21,-21,-752,-752,-341,-18,-1132,1261,-341
2019-06-30,1597,1577,248,1825,282,-73,-184,-211,-531,2891,-1170,0,-484,-484,193,-1461,-19,-19,-1248,-1248,-346,-41,-1654,-273,-346
2019-03-31,1846.00000,1632.00000,-530.00000,1102.00000,179.00000,-4.00000,-142.00000,62.00000,-54.00000,2894.00000,-1495.00000,,-1.00000,-1.00000,19.00000,-1477.00000,-19.00000,-19.00000,-790.00000,-790.00000,-350.00000,-14.00000,-1173.00000,319.00000,-350.00000
2018-12-31,1878,1699,-389,1310,382,251,-9,-4,595,3783,-929,0,624,624,127,-178,-25,-25,-926,-926,-354,-12,-1317,2211,-354
2018-09-30,1873,1583,5,1588,-602,-144,239,97,-51,3410,-1513,0,-261,-261,136,-1638,-18,-18,-848,-848,-334,-63,-1263,483,-334
2018-06-30,1654,1527,-16,1511,316,-33,-101,-126,177,3342,-1860,0,-336,-336,247,-1949,-2064,-2064,-586,-586,-337,-16,-3003,-1749,-337
2018-03-31,900.00000,1500.00000,85.00000,1585.00000,139.00000,12.00000,-181.00000,-22.00000,-86.00000,2399.00000,-1366.00000,,1593.00000,1593.00000,-305.00000,-78.00000,-2888.00000,-2888.00000,-518.00000,-518.00000,-338.00000,-32.00000,-3776.00000,-1330.00000,-338.00000
