,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,584,288,111,399,-94,110,383,10,409,1392,-186,-707,-585,-1478,-27,544,517,-179,-179,-528,31,-159,-247,32,-528
2022-09-30,533,271,191,462,-398,-379,149,182,-446,549,368,-2576,-203,-2411,1823,1151,2974,-332,-332,-480,57,2219,260,32,-480
2022-06-30,748,273,165,438,290,-285,-214,-141,-350,836,-296,-50,788,442,-23,2,-21,-755,-755,-486,26,-1236,-18,32,-486
2022-03-31,861.00000,275.00000,129.00000,404.00000,-517.00000,-81.00000,397.00000,67.00000,-134.00000,1131.00000,-89.00000,-1352.00000,,-1441.00000,-315.00000,217.00000,-98.00000,-751.00000,-751.00000,-491.00000,60.00000,-1280.00000,-1600.00000,24.00000,-491.00000
2021-12-31,1005,276,-259,17,220,172,282,-275,399,1421,-1591,1539,-80,-132,-349,-13,-362,-286,-286,-489,39,-1098,145,33,-489
2021-09-30,1262,273,-195,78,-459,-53,238,-138,-412,928,1269,0,-943,326,1021,170,1191,-326,-326,-441,-167,257,1439,25,-441
2021-06-30,1079,280,-366,-86,536,-252,-101,-299,-116,877,-210,-343,1023,470,-18,-610,-628,-452,-452,-443,76,-1447,-90,38,-443
2021-03-31,968.00000,284.00000,183.00000,467.00000,-494.00000,-37.00000,283.00000,-272.00000,-520.00000,915.00000,-200.00000,-490.00000,,-690.00000,-980.00000,647.00000,-333.00000,-1046.00000,-1046.00000,-453.00000,51.00000,-1781.00000,-1591.00000,25.00000,-453.00000
2020-12-31,1159,303,-276,27,318,290,307,-452,463,1649,-1580,2495,-58,857,-511,-115,-626,-670,-670,-451,27,-1720,860,29,-451
2020-09-30,1122,285,-248,37,-587,-81,54,212,-402,757,1172,-1,-491,680,2223,-2110,113,0,0,-408,-19,-314,1159,34,-408
