,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,104.9,-254.6,-2139.2,-2393.8,2794.5,-2727.6,-4288.8,-3630.3,-5919.2,229,0,3266.6,3396.8,6663.4,68.7,6961.1,-1486,-1486,78.6,78.6,202.3,0,-1205.1,-163.2,-69.7,175.5
2022-09-30,124.1,55.7,245.7,301.4,-1651.5,632.1,2835.6,1601.8,2027.3,-103.9,0,398.5,-2150.8,-1752.3,74.7,-1781.5,0,0,-49.1,-49.1,-71.9,0,-121,124.8,26,-58.5
2022-06-30,-542.9,86.2,1427.6,1513.8,21,174.8,676.3,418.7,1389.6,-58.6,0,-4078.2,3115.7,-962.5,-356,-1377.1,0,0,-0.8,-0.8,-58.5,0,-59.3,-46.8,26.4,-58.5
2022-03-31,313.90000,112.70000,465.90000,578.60000,-1164.00000,1920.70000,776.90000,1609.80000,2502.30000,-66.50000,,413.10000,-4361.70000,-3948.60000,212.60000,-3802.50000,1486.00000,1486.00000,-28.70000,-28.70000,-71.90000,,1385.40000,85.20000,17.30000,-58.50000
2021-12-31,962.3,123.5,-392.9,-269.3998,911.6,-1688.9,466.3,-240.8,452.1,-52.1,0,146.4,617.297,763.697,-256.3,455.3,0,0,-55.8,-55.8,-935,0,-990.8,-83.4,32,-935
2021-09-30,118.5,124.2,-15.3,108.8999,-1146.3,1430.7,1934.6,2143.8,2371.2,-38.2,0,622.3,-2128.3,-1506,-12.4,-1556.6,-500,-500,-71.8,-71.8,-71.9,0,-643.7,170.9,26,-58.5
2021-06-30,790.1,111.2,-433.3,-322.1,-238.3,780.8,1678.2,1855.9,2323.9,-44,-313.2,610.2,-2545.399,-1935.1986,49,-2243.4,-20,-20,-10.6,-10.6,-58.5,0,-89.1,-8.6,26.9,-58.5
2021-03-31,1480.00000,108.80000,-570.60000,-461.80000,-1182.50000,1988.50000,506.50000,1596.30000,2614.50000,-43.00000,,2976.80000,-2976.50000,0.29960,267.60000,224.90000,,,-84.80000,-84.80000,-2707.90000,,-2792.70000,46.70000,15.80000,-2694.50000
2020-12-31,1684.3,116.3,-725,-608.7,382.1,-752.6,787.2,471.7,1547.3,-38.7,0,-549.1,-504.697,-1053.797,-373.7,-1466.2,0,0,-37.1,-37.1,-58.6,0,-95.7,-14.6,27.5,-58.6
2020-09-30,1530.8,115,-512.9,-397.9,-1349.9,1465.4,900,346.8,1479.7,-57,0,39,-1553.6994,-1514.699,191.3,-1380.4,0,0,-45.4,-45.4,-71.9,0,-117.3,-18,16.7,-58.5
2020-06-30,1790.4,105.4,-867.2,-761.8,-3.8,602.4,163.7,1224.2,2252.8,-47,0,-2164.2,313.998,-1850.202,-320.1,-2217.3,0,0,-238.3,-238.3,-58.5,0,-296.8,-261.3,21.9,-58.5
2020-03-31,699.10000,96.00000,577.00000,673.00000,-321.70000,62.40000,384.30000,253.70000,1625.80000,-58.90000,,-718.90000,-862.09960,-1581.00000,586.10000,-1053.80000,986.30000,986.30000,-26.50000,-26.50000,-1388.80000,,-429.00000,143.00000,23.30000,-1375.40000
2019-12-31,1074.6,102.6,-593.6,-490.9999,99.4,-446.6,844.3,544.6,1128.2,-68.9,0,-325.3,-216.5,-541.8,-274.6,-885.3,0,0,-3.2,-3.2,-58.5,0,-61.7,181.2,25.5,-58.5
2019-09-30,843.6,84.4,-45.2,39.2,-767,1044.5,576.1,875.9,1758.7,-62.7,0,-101.5,-1492.7,-1594.2,-17,-1673.9,0,0,-59.7,-59.7,-71.8,0,-131.5,-46.7,18.7,-58.4
2019-06-30,979,81.7,-159.8,-78.1,-186,507.4,591.7,605.3,1506.2,-109,0,1232.4,-3005.1002,-1772.7002,380,-1501.7,0,0,-11.9,-11.9,-58.4,0,-70.3,-65.8,26.8,-58.4
2019-03-31,1082.80000,70.70000,-390.20000,-319.50000,-839.40000,1208.60000,270.80000,1105.20000,1868.50000,-69.60000,,-774.10000,648.70020,-125.39980,-82.40000,-277.40000,,,-26.10000,-26.10000,-1481.30000,,-1507.40000,83.70000,19.20000,-1467.90000
2018-12-31,259.8,75.2,620.1,695.3,73.9,-608.9,846.9,128.2,1083.3,-99.9,296.9,1024.4,-2600.402,-1576.002,0.7,-1378.3,544.5,544.5,-297.2,-297.2,0,0,247.3,-47.7,23.2,0
