,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,772.748,336.346,-235.787,100.559,-14.492,-27.228,58.835,932.142,-184.49,-173.376,-2.487,-0.282,-2.769,98.161,-262.474,-870.741,908.624,37.8831,6.612,6.612,-673.591,-20.464,-649.56,20.108,-85.202
2022-09-30,621.847,316.304,-69.602,246.702,15.701,12.398,73.102,941.651,-155.556,-15.988,-16.265,0.071,-16.194,50.279,-137.459,-68.144,14.714,-53.4299,-36.355,-36.355,-656.39,2.263,-743.912,60.28,-82.851
2022-06-30,569.48,315.339,99.55,414.889,-27.817,-48.523,116.573,1100.942,-95.671,6.988,-40.898,-111.152,-152.05,114.001,-126.732,-260.706,92.898,-167.8081,-148.838,-148.838,-639.542,8.289,-947.899,26.311,-80.473
2022-03-31,488.31000,324.12400,79.05900,403.18300,89.95800,-41.21400,-99.62400,791.86900,-154.64900,,19.59600,-124.42900,-104.83300,159.58300,-99.89900,-2522.27300,2433.16700,-89.10600,-3.98600,-3.98600,-621.03400,3.14900,-710.97700,-19.00700,-78.02400
2021-12-31,573.73,340.779,-103.09,237.689,4.882,-26.513,73.512,884.931,-105.458,-100,48.668,-8.745,39.923,111.635,-53.9,-1990.893,1898.097,-92.7949,0.073,0.073,-620.634,-22.162,-735.518,95.513,-78.026
2021-09-30,778.648,320.333,-305.571,14.762,1.421,-8.207,81.312,874.722,-190.808,0,-6.788,-21.388,-28.176,52.688,-166.296,-2741.599,2296.803,-444.7959,-0.082,-0.082,-1091.355,-24.569,-1560.802,-852.376,-137.176
2021-06-30,705.869,332.963,-207.117,125.846,55.346,-4.856,170.272,1001.987,-113.861,-100.83,-9.425,-7.257,-16.682,36.857,-194.516,-1454.869,1480.093,25.2239,-2.42,-2.42,-489,13.687,-452.509,354.962,-61.495
2021-03-31,510.46000,331.82000,-33.15000,298.67000,203.70300,-38.01600,66.63200,875.76200,-114.80800,-50.65500,-0.55600,-19.51100,-20.06700,47.47800,-138.05200,-3889.44900,3576.22400,-313.22490,-0.11900,-0.11900,-487.79600,-12.34600,-813.48600,-75.77600,-60.32400
2020-12-31,312.726,337.474,-1.529,335.945,209.196,58.836,246.406,895.077,-54.697,-3498.897,-2.528,-18.77,-21.298,56.578,-3518.314,-2413.6,3871.59,1457.9893,1557.23,1557.23,-459.037,-3.646,2552.537,-70.7,-60.445
2020-09-30,168.646,339.841,72.874,412.715,-1.346,-87.621,35.948,617.309,-58.537,0,-5.504,-109.118,-114.622,61.633,-111.526,-5676.688,3408.377,-2268.3053,-0.103,-0.103,-459.024,-2.137,-2729.57,-2223.787,-60.527
2020-06-30,290.548,337.411,20.644,358.055,-668.522,31.082,-575.598,73.005,-124.253,0,29.147,-21.933,7.214,-17.839,-134.878,-1858.65,1503.603,-355.047,-0.936,-0.936,-0.859,-0.038,-356.88,-418.753,-0.024
2020-03-31,505.40400,340.26500,27.41600,367.68100,44.76100,-30.48800,-131.77800,741.30700,-213.21400,-107.79700,-24.07000,-41.54700,-65.61700,172.94800,-213.68000,-3006.34200,6451.29000,3444.94800,-168.73800,-168.73800,-743.35800,-4.99900,2527.85300,3055.48000,-98.09900
2019-12-31,590.416,339.065,66.588,405.653,-25.877,-15.998,-36.434,959.635,-253.324,0,-239.859,-21.436,-261.295,23.975,-490.644,-4983.476,2418.6,-2564.8724,-2.379,-2.379,-743.558,-136.039,-3446.848,-2977.857,-98.28
