,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,265.834,28.325,37.128,65.453,-67.178,35.182,12.788,-1.754,-27.644,303.643,-31.865,17.307,-35.479,-50.037,-24.1588,-24.1588,-261.243,-261.243,-0.031,-285.433,-26.17,5.73
2022-09-30,220.597,28.402,3.087,31.489,-12.004,-8.221,-31.27,1.12,-6.655,245.431,-26.704,-14.823,-7.178,-48.705,96.763,96.763,-273.25,-273.25,-0.79,-177.277,12.687,4.731
2022-06-30,212.07,27.812,2.55,30.362,-27.528,-32.71,20.052,-0.598,-23.276,219.156,-43.122,-19.061,28.642,-33.541,81.696,81.696,-262.578,-262.578,-7.962,-188.844,-7.5,4.691
2022-03-31,174.00100,28.48400,3.41300,31.89700,23.29300,-37.64300,-15.39600,-15.03100,-115.06100,90.83700,-19.15100,8.29600,3.74300,-7.11200,205.55800,205.55800,-269.71100,-269.71100,-0.33200,-64.48500,18.38500,4.50900
2021-12-31,230.871,28.476,19.567,48.043,-47.315,-31.15,49.803,-1.444,-37.808,241.106,-37.531,-27.475,2.123,-62.883,2.829,2.829,-266.951,-266.951,-0.123,-264.245,-85.108,5.702
2021-09-30,203.688,27.218,6.088,33.306,-9.602,-34.774,10.125,0.297,26.313,263.307,-22.282,-7.853,4.955,-25.18,50.301,50.301,-245.418,-245.418,-0.576,-195.693,41.42,4.737
2021-06-30,184.763,27.536,2.226,29.762,-21.783,-24.765,18.502,0.282,31.01,245.535,-19.51,-0.46,-14.622,-34.592,33.998,33.998,-209.715,-209.715,-1.574,-177.291,35.598,4.581
2021-03-31,149.66300,24.82700,-0.49300,24.33400,12.23200,-28.02900,15.54300,-4.17500,-15.12000,158.87700,-24.60500,-185.07400,18.22600,-191.45300,304.84500,304.84500,-257.45100,-257.45100,-0.71400,46.68000,12.40000,4.57500
2020-12-31,216.295,25.752,-2.754,22.998,-53.579,7.585,23.071,3.97,11.576,250.869,-35.006,0,4.691,-30.315,88.0021,88.0021,-374.474,-374.474,0,-286.472,-59.432,5.439
2020-09-30,161.767,24.743,2.01,26.753,-21.997,14.66,-12.738,1.317,36.558,225.078,-19.318,0,-0.14,-19.458,9.1959,9.1959,-191.555,-191.555,0,-182.359,26.409,4.43
