,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,0,0,0,0,0,0,0,0,-158,-662,0,2376,-116,2260,-46,1552,-1344,-1344,-21,-21,0,81,-1284,110,0,0
2022-09-30,0,0,0,0,0,0,0,0,-593,-437,0,1298,-5,1293,-72,784,-254,-254,16,16,0,-14,-252,-61,0,0
2022-06-30,0,0,0,0,0,0,0,0,1739,-587,0,-12,-236,-248,-94,-929,-791,-791,-16,-16,0,22,-785,25,0,0
2022-03-31,0.00000,,,,,,,,1185.00000,-799.00000,,54.00000,36.00000,90.00000,-62.00000,-771.00000,-294.00000,-294.00000,,,,-16.00000,-310.00000,104.00000,,
2021-12-31,-1993,2335,-717,1618,-304,0,884,1041,-1200,-171,0,2017,-28,1989,-80,1738,-610,-610,-18,-18,0,67,-561,-23,98,0
2021-09-30,0,0,0,0,0,0,0,0,-1740,-123,0,3458,0,3458,-20,3315,-1599,-1599,13,13,0,-23,-1609,-34,0,0
2021-06-30,0,0,0,0,0,0,0,0,3470,152,0,-4265,194,-4071,35,-3884,249,249,131,131,0,65,445,31,0,0
2021-03-31,0.00000,,,,,,,,174.00000,127.00000,,-7142.00000,-194.00000,-7336.00000,57.00000,-7152.00000,6807.00000,6807.00000,316.00000,316.00000,,-110.00000,7013.00000,35.00000,,
2020-12-31,-8885,2370,-1292,1078,538,0,1305,1217,-2863,-48,0,1422,0,1422,322,1696,-301,-301,1443,1443,0,127,1269,102,91,0
2020-09-30,0,0,0,0,0,0,0,0,-2604,-474,0,1391,0,1391,6,923,1559,1559,0,0,0,-48,1511,-170,0,0
2020-06-30,0,0,0,0,0,0,0,0,-908,-275,0,-6608,0,-6608,84,-6799,6215,6215,1525,1525,0,-52,7688,-19,0,0
2020-03-31,0.00000,,,,,,,,-168.00000,-810.00000,,417.00000,,417.00000,231.00000,-162.00000,772.00000,772.00000,-171.00000,-171.00000,-43.00000,-32.00000,526.00000,196.00000,,-43.00000
2019-12-31,1686,2318,740,3058,73,0,-1267,-867,600,-1127,0,1311,2,1313,453,639,-945,-945,-272,-272,-43,-12,-1272,-33,94,-43
2019-09-30,0,0,0,0,0,0,0,0,828,-783,0,236,0,236,78,-469,-93,-93,-200,-200,-45,-28,-366,-7,0,-45
2019-06-30,0,0,0,0,0,0,0,0,736,-1006,0,-1071,-2,-1073,146,-1933,1257,1257,-17,-17,-44,-17,1179,-18,0,-44
2019-03-31,0.00000,,,,,,,,1651.00000,-1298.00000,,481.00000,,481.00000,337.00000,-480.00000,-449.00000,-449.00000,-608.00000,-608.00000,-46.00000,-6.00000,-1109.00000,62.00000,,-46.00000
2018-12-31,1412,2159,625,2784,222,0,-641,-566,716,-1758,0,67,207,274,1094,-390,-296,-296,0,0,-46,-12,-354,-28,86,-46
2018-09-30,0,0,0,0,0,0,0,0,-77,-403,0,-140,0,-140,-5,-548,701,701,0,0,-46,-21,634,9,0,-46
2018-06-30,0,0,0,0,0,0,0,0,1094,-716,0,637,0,637,0,-79,-660,-660,-376,-376,-46,-28,-1110,-95,0,-46
