,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,396.296,99.877,145.801,245.678,220.899,14.462,-31.751,42.019,125.669,767.643,-159.488,0,0,0,-115.821,-115.821,-2.091,-277.4,-1.42,-100.081,-101.501,-30.359,-30.359,-207.041,-0.793,-339.694,136.148,15.351,-207.041
2022-09-30,399.487,94.2,68.343,162.543,-278.28,18.646,124.895,-53.908,-115.609,446.421,-119.033,0,0,0,-43.522,-43.522,3.564,-158.991,-0.848,-121.045,-121.893,9.054,9.054,-207.005,-0.782,-320.626,-11.981,18.079,-207.005
2022-06-30,315.556,93.846,70.715,164.561,208.837,-182.751,25.308,1.126,-22.811,457.306,-99.897,0,0,0,-93.688,-93.688,6.566,-187.019,-1.423,41.133,39.71,-146.862,-146.862,-179.9,-4.899,-291.951,1.667,17.224,-179.9
2022-03-31,533.47800,91.03600,48.57800,139.61400,-189.62100,-37.32000,98.02700,-14.96900,-16.62500,656.46700,-141.06300,,,,-22.50300,-22.50300,-0.40000,-163.96600,-1.05000,-65.64000,-66.69000,-186.63900,-186.63900,-181.08400,-29.04100,-463.45400,8.78900,15.33700,-181.08400
2021-12-31,339.791,83.049,119.28,202.329,208.222,60.321,-36.714,27.136,137.047,679.167,-148.427,0,-1181.572,0,-52.5,-52.5,-0.59,-1383.089,-1.415,529.049,527.634,10.322,10.322,-180.793,-0.473,356.69,-346.25,15.702,-180.793
2021-09-30,444.927,78.024,31.418,109.442,-311.809,30.104,109.684,-20.202,-168.304,386.065,-119.843,0,-1.31,0,-18.472,-18.472,0.006,-139.619,-1.072,202.954,201.882,-15.85,-15.85,-180.89,-1.277,3.865,249.315,18.527,-180.89
2021-06-30,301.23,76.032,53.211,129.243,111.044,-122.291,23.662,1.484,-22.461,408.012,-113.136,0,-418.191,0,-32.381,-32.381,0.593,-563.115,-351.094,143.106,-207.988,-177.355,-177.355,-161.565,-2.921,-549.829,-706.041,16.826,-161.565
2021-03-31,396.87100,77.89700,34.84800,112.74500,-22.09900,53.32300,-56.90000,21.02300,100.02400,609.64000,-114.47100,,,,-25.06400,-25.06400,2.53000,-137.00500,-85.86300,-6.07900,-91.94200,-225.24200,-225.24200,-162.73900,-11.93900,-491.86200,-11.74500,15.65600,-162.73900
2020-12-31,291.33,77.218,207.066,284.284,220.112,0.001,-90.795,-6.413,28.777,604.391,-149.575,0,0,0,-40.773,-40.773,0.322,-190.026,-351.331,28.361,-322.97,27.261,27.261,-162.714,-20.84,-479.263,-61.902,19.687,-162.714
2020-09-30,447.258,75.165,38.449,113.614,-287.443,42.477,151.569,0.943,-79.653,481.219,-106.267,0,0,0,-20.046,-20.046,-5.139,-131.452,-1.032,-152.619,-153.6509,1.567,1.567,-163.739,0,-315.823,40.558,12.407,-163.739
2020-06-30,268.042,71.9,39.957,111.857,164.88,-166.489,-19.94,15.698,-11.945,367.954,-86.567,0,0,0,-14.919,-14.919,2.353,-99.133,638.858,-641.273,-2.4151,-40.876,-40.876,-156.476,0,-199.767,70.535,12.915,-156.476
2020-03-31,268.78300,70.62400,35.51300,106.13700,-153.08600,-27.90700,0.63600,-19.73300,-128.82700,246.09300,-99.21700,,,,-11.47300,-11.47300,0.02100,-110.66900,-1.08600,807.29000,806.20400,-152.77600,-152.77600,-157.80300,,495.62500,601.53400,12.57500,-157.80300
2019-12-31,204.418,72.703,147.199,219.902,280.709,153.32,-67.068,28.62,346.166,770.486,-81.593,0,-0.699,0,-27.572,-27.572,27.025,-82.839,983.246,-1248.912,-265.666,-75.863,-75.863,-157.102,0,-498.631,190.626,12.32,-157.102
2019-09-30,325.182,74.495,27.643,102.138,-295.856,-1.44,141.966,-13.301,-113.261,314.059,-60.329,0,-401.461,0,-22.388,-22.388,-7.077,-491.255,-0.745,391.89,391.145,-117.512,-117.512,-157.727,0,115.906,-63.327,15.867,-157.727
2019-06-30,313.271,72.017,45.375,117.392,155.39,-166.664,-30.999,32.759,-81.295,349.368,-83.531,0,0,0,-11.386,-11.386,0.154,-94.763,2.731,-282.193,-279.462,70.897,70.897,-149.02,0,-357.585,-100.002,13.156,-149.02
2019-03-31,303.88100,72.32900,16.84400,89.17300,-99.99100,-6.41000,-2.79800,-10.17700,-63.09400,329.96000,-92.73900,,,,-18.88400,-18.88400,,-111.62300,-1.76500,-28.99000,-30.75500,-163.92700,-163.92700,-146.46300,,-341.14500,-122.03300,10.55600,-146.46300
2018-12-31,331.6,40.524,149.207,189.731,220.778,99.155,-98.587,14.585,185.801,707.132,-84.28,0,-427.904,0,-18.471,-18.471,0,-530.655,-0.039,-247.56,-247.599,-17.966,-17.966,-147.343,0,-412.908,-235.789,13.618,-147.343
2018-09-30,265.413,103.624,-15.885,87.739,-313.057,35.189,160.389,-17.313,-63.173,289.979,-74.766,0,171.95,0,-5.143,-5.143,0,92.041,-304.341,402.265,97.924,33.454,33.454,-147.299,-8.222,-24.143,356.435,12.122,-147.299
2018-06-30,223.319,76.58,56.672,133.252,110.746,-135.824,-15.431,-37.085,-105.746,250.825,-59.775,0,0,0,-22.746,-22.746,0,-82.521,1201.303,-1195.716,5.587,-23.476,-23.476,-133.579,-21.278,-172.746,-9.082,13.088,-133.579
2018-03-31,350.71900,74.41600,15.01900,89.43500,-9.88200,-11.26600,-146.62300,-2.55700,-88.09700,352.05700,-60.02100,,-915.45700,,-6.28100,-6.28100,,-981.75900,-607.92200,1686.81600,1078.89400,-176.18900,-176.18900,-134.30000,-42.50000,725.90500,96.25500,10.45800,-134.30000
2017-12-31,181.549,67.54,107.358,174.898,154.57,121.105,-37.58,118.95,267.169,623.616,-102.901,0,0,0,-38.621,-38.621,0,-141.522,1.158,-254.536,-253.378,9.756,9.756,-134.427,0,-378.049,105.123,13.095,-134.427
2017-09-30,274.013,270.946,-156.665,114.281,-325.375,-1.75,158.624,-23.115,-98.129,290.165,-63.343,0,0,0,-17.562,-17.562,0,-80.905,-0.054,186.806,186.752,-201.614,-201.614,-135.717,0,-150.579,60.994,13.409,-135.717
2017-06-30,202.727,67.127,0.027,67.154,178.322,-141.033,-49.34,-5.141,-168.609,101.272,-51.086,0,0,0,-14.467,-14.467,0,-65.553,-0.056,132.908,132.852,-63.007,-63.007,-128.111,0,-58.266,-20.969,12.435,-128.111
2017-03-31,98.24800,64.95200,205.99000,270.94200,-14.39800,-49.72600,-124.66400,-22.71900,-134.72800,234.46200,-32.73600,,,,-7.94800,-7.94800,,-40.68400,-0.09400,-146.60400,-146.69800,17.84100,17.84100,-128.01700,,-256.87400,-61.93600,12.12200,-128.01700
2016-12-31,116.853,64.14,6.057,70.197,178.238,97.186,63.499,38.76,375.618,562.668,-100.632,0,0,0,-8.86,-8.86,0,-109.492,-249.97,25.034,-224.936,-133.232,-133.232,-127.769,0,-485.937,-36.366,14.086,-127.769
2016-09-30,227.403,85.122,12.202,97.324,-276.074,27.766,13.971,-47.769,-242.677,82.05,-62.741,0,0,0,-18.632,-18.632,0,-81.373,542.923,-379.548,163.375,48.946,48.946,-128.567,0,83.754,83.148,14.491,-128.567
2016-06-30,145.956,96.866,43.507,140.373,63.886,-91.575,-37.457,-0.088,-187.088,99.241,-62.947,0,-285.374,0,-7.091,-7.091,0,-355.412,0,476.258,476.258,-134.11,-134.11,-120.772,0,221.376,-35.773,14.53,-120.772
2016-03-31,229.83200,59.91300,-18.56800,41.34500,55.04600,-19.41200,-103.48000,-17.41500,-1.70800,269.46900,-39.50500,,,,-9.67200,-9.67200,,-49.17700,,153.86300,153.86300,-279.32300,-279.32300,-122.36700,-35.76200,-283.58900,-60.57100,11.67800,-122.36700
2015-12-31,213.384,62.073,52.333,114.406,161.716,54.113,65.464,15.295,333.436,661.226,-118.896,0,0,0,-26.945,-26.945,0,-145.841,-4.404,-326.131,-330.535,-23.063,-23.063,-123.062,-32.966,-509.626,2.616,11.544,-123.062
2015-09-30,154.771,95.045,24.212,119.257,-319.538,57.709,72.655,23.916,-165.258,108.77,-85.366,0,0,95.316,-1.91,93.406,0,8.04,247.085,82.873,329.958,-241.272,-241.272,-124.108,-36.415,-71.837,41.254,13.374,-124.108
2015-06-30,-99.941,310.274,-5.413,304.861,139.347,-138.993,-3.96,25.768,22.162,227.082,-88.822,0,0.298,0,-1.865,-1.865,0,-90.389,0.288,-34.968,-34.68,6.163,6.163,-114.581,4.045,-139.053,-3.031,12.726,-114.581
2015-03-31,244.73700,58.33800,-15.12700,43.21100,-5.96500,79.22000,-124.58500,22.61500,-28.71500,259.23300,-62.52100,,-186.54400,,,,,-249.06500,0.61600,288.94600,289.56200,-268.74800,-268.74800,-114.38100,17.06600,-76.50100,-69.16400,13.88900,-114.38100
2014-12-31,202.508,74.426,-2.17,72.256,149.65,76.708,-36.049,-8.129,182.18,456.944,-137.566,0,-33.818,1.178,0,1.178,0,-170.206,1.336,-263.837,-262.501,-12.332,-12.332,-115.258,7.275,-382.816,-102.234,12.309,-115.258
2014-09-30,223.741,52.873,-12.685,40.188,-273.047,-19.292,117.782,126.129,-48.428,215.501,-82.99,0,-372.482,-1.093,0,-1.093,0,-456.565,0.984,362.342,363.326,-95.782,-95.782,-115.25,3.257,155.551,-85.513,14.062,-115.25
2014-06-30,168.168,50.83,10.7,61.53,196.845,-177.527,-93.009,-187.832,-261.523,-31.825,-69.55,0,0,-97.216,0,-97.216,0,-166.766,-0.396,10.864,10.468,-154.779,-154.779,-104.596,4.003,-244.904,-443.495,14.742,-104.596
2014-03-31,252.49500,49.30300,-40.61500,8.68800,-140.91200,31.61400,-47.82600,99.69800,-57.42600,203.75700,-79.07100,,10.03500,,,,,-69.03600,-0.31500,8.14600,7.83100,-191.55600,-191.55600,-105.31000,41.90200,-247.13300,-112.41200,12.95500,-105.31000
2013-12-31,186.075,50.476,20.289,70.765,181.828,106.494,26.422,-3.899,310.845,567.685,-122.409,0,0,0,0,0,0,-122.409,-0.511,61.437,60.926,14.007,14.007,-105.532,5.497,-25.102,417.18,14.385,-105.532
2013-09-30,232.985,51.682,-25.726,25.956,-293.452,17.553,141.358,149.868,15.327,274.268,-69.689,0,0,0,0,0,0,-69.689,0.703,6.538,7.241,19.091,19.091,-105.374,7.431,-71.611,132.968,13.594,-105.374
2013-06-30,159.504,50.127,-9.207,40.92,150.305,-148.145,-58.872,-87.446,-144.158,56.266,-50.191,0,0,0,-16,-16,0,-66.191,-1.86,4.896,3.036,-72.406,-72.406,-91.291,8.85,-151.811,-161.736,13.534,-91.291
2013-03-31,241.90600,48.74800,-29.54100,19.20700,-55.21000,-2.18100,-6.49700,95.95500,32.06700,293.18000,-93.29100,,,,,,,-93.29100,1.50200,-18.52000,-17.01800,-119.00100,-119.00100,-91.60400,29.55800,-198.06500,1.82400,12.45400,-91.60400
2012-12-31,149.879,47.189,-7.501,39.688,187.945,110.9,31.439,-30.931,299.353,488.92,-63.927,0,0,0,-7,-7,0,-70.927,1.32,-92.423,-91.103,20.763,20.763,-107.17,21.554,-155.956,262.037,13.118,-107.17
2012-09-30,176.716,53.213,26.523,79.736,-295.902,85.913,46.811,198.475,35.297,291.749,-65.855,0,0,0,0,0,0,-65.855,-94.591,74.991,-19.6,-237.051,-237.051,-82.733,-10.057,-349.441,-123.547,12.768,-82.733
2012-06-30,135.685,54.767,2.517,57.284,149.118,-148.851,8.068,-162.948,-154.613,38.356,-56.004,0,0,0,-7,-7,0,-63.004,-0.621,-13.499,-14.12,131.489,131.489,-83.561,13.283,47.091,22.443,13.061,-83.561
2012-03-31,198.65100,54.86800,2.78800,57.65600,-91.63100,-21.36400,-16.67300,149.16300,19.49500,275.80200,-91.72700,,-172.85600,,-9.00000,-9.00000,,-273.58300,-1.46400,108.62900,107.16500,-164.23400,-164.23400,-83.53300,12.03600,-128.56600,-126.34700,11.53500,-83.53300
2011-12-31,142.133,58.202,52.536,110.738,221.246,10.202,-44.022,-109.659,77.767,330.638,-81.919,0,0,0,-7,-7,0,-88.919,247.215,-2.248,244.967,-14.083,-14.083,-75.692,4.436,159.628,401.347,23.637,-75.692
2011-09-30,196.695,54.769,-3.196,51.573,-323.799,-7.331,30.41,22.989,-277.731,-29.463,-85.566,20,0,0,0,0,0,-65.566,-251.584,2.424,-249.16,-128.112,-128.112,-75.702,50.045,-402.929,-497.958,4.642,-75.702
2011-06-30,130.019,51.738,-4.673,47.065,136.573,-128.504,18.337,-76.176,-49.77,127.314,-98.339,0,0,0,0,0,0,-98.339,-1.283,10.073,8.79,73.033,73.033,-76.066,3.299,9.056,38.031,5.585,-76.066
2011-03-31,160.11500,51.05400,10.33200,61.38600,-43.45800,10.30200,3.13500,-32.10200,-62.12300,159.37800,-81.43100,,-5.75000,,,,,-87.18100,-1.41100,0.58500,-0.82600,-130.94200,-130.94200,-76.62300,3.81800,-204.57300,-132.37600,9.60400,-76.62300
2010-12-31,135.513,51.38,-31.043,20.337,215.68,46.352,28.116,67.226,357.374,513.224,-77.676,0,0,0,0,0,0,-77.676,282.279,9.636,291.915,-17.631,-17.631,-70.832,0.695,204.147,639.695,24.845,-70.832
2010-09-30,180.169,52.438,0.036,52.474,-284.69,-5.146,45.26,135.284,-109.292,123.351,-47.511,0,0,0,0,0,0,-47.511,-1.797,-13.311,-15.108,6.618,6.618,-70.89,-0.583,-79.963,-4.123,7.695,-70.89
2010-06-30,46.723,45.968,86.595,132.563,90.194,-130.774,10.77,-65.814,-95.624,83.662,-38.722,0,0,0,0,0,0,-38.722,-1.989,-14.014,-16.003,-21.733,-21.733,-70.806,8.886,-99.656,-54.716,7.932,-70.806
2010-03-31,147.39400,47.33000,8.22200,55.55200,-0.85500,75.65800,6.28800,-102.85100,-21.76000,181.18600,-35.37700,,,,,,,-35.37700,-1.83300,18.84500,17.01200,-44.32000,-44.32000,-70.90600,2.58600,-95.62800,50.18100,8.99600,-70.90600
2009-12-31,126.779,43.537,-96.356,-52.819,157.315,56.106,2.672,140.148,356.241,430.201,-33.132,0,0,0,0,0,0,-33.132,-1.778,-202.76,-204.538,6.366,6.366,-65.998,1.453,-262.717,134.352,6.85,-65.998
2009-09-30,162.023,44.816,-0.116,44.7,-295.067,84.787,5.525,187.399,-17.356,189.367,-31.219,0,0,0,0,0,0,-31.219,-1.711,-17.878,-19.589,15.911,15.911,-65.918,1.933,-67.663,90.485,7.51,-65.918
2009-06-30,71.298,47.181,68.97,116.151,58.489,-73.238,40.072,-43.767,-18.444,169.005,-33.404,0,0,0,0,0,0,-33.404,-3.202,-112.157,-115.359,2.932,2.932,-65.758,0.416,-177.769,-42.168,13.966,-65.758
2009-03-31,75.89400,46.87700,23.76200,70.63900,125.84700,6.34500,-11.04100,9.49200,130.64300,277.17600,-37.35100,,-15.22000,,,,,-52.57100,-1.56100,-125.25200,-126.81300,-6.20500,-6.20500,-65.72900,7.97500,-190.77200,33.83300,6.60100,-65.72900
