,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,734,302,75,377,59,-201,19,-35,1076,-228,-37,13,-20,-20,0,-272,0,0,0,-505,-505,-221,-2,-728,86,97,-221
2022-09-30,750,321,8,329,-54,-119,-37,65,1144,-281,-50,-22,-7,-7,0,-360,0,0,0,-336,-336,-223,0,-559,214,89,-223
2022-06-30,683,317,57,374,-50,-151,-41,-238,819,-268,-29,-1,10,10,0,-288,579,0,579,-2,-2,-222,-13,342,862,89,-222
2022-03-31,666.00000,310.00000,44.00000,354.00000,-61.00000,-122.00000,-247.00000,-164.00000,856.00000,-284.00000,-43.00000,-4.00000,2.00000,2.00000,,-329.00000,,,,-524.00000,-524.00000,-149.00000,-1.00000,-674.00000,-147.00000,89.00000,-149.00000
2021-12-31,610,310,81,391,38,-16,-244,-216,785,-285,-33,-6,5,5,3,-316,979,0,979,-748,-748,-150,-26,55,527,88,-150
2021-09-30,526,306,61,367,16,-57,-46,31,924,-214,-27,-16,2,2,7,-248,0,0,0,-1128,-1128,-152,0,-1280,-607,81,-152
2021-06-30,406,305,99,404,-135,-60,-52,-174,636,-150,-35,-1,-3,-3,0,-189,2000,0,2000,-1203,-1203,-155,-23,619,1068,93,-155
2021-03-31,364.00000,341.00000,105.00000,446.00000,-95.00000,-26.00000,-8.00000,-78.00000,732.00000,-150.00000,-37.00000,,6.00000,6.00000,,-181.00000,,,,-874.00000,-874.00000,-105.00000,,-979.00000,-433.00000,91.00000,-105.00000
2020-12-31,320,316,53,369,-50,34,23,340,1029,-103,-35,-13,-12,-12,0,-163,-1809,0,-1809,-249,-249,-106,-1,-2165,-1291,89,-106
2020-09-30,-18,589,-29,560,-252,164,-9,-15,527,-68,-22,0,-15,-15,0,-105,0,0,0,15,15,-139,0,-124,300,83,-139
2020-06-30,-209,543,27,570,224,0,-11,53,414,-74,-28,-11,0,0,0,-113,2000,0,2000,5,5,-105,-15,1885,2187,105,-105
2020-03-31,-13.00000,540.00000,-75.00000,465.00000,27.00000,-35.00000,4.00000,60.00000,512.00000,-143.00000,-45.00000,151.00000,,,,-37.00000,,,,-326.00000,-326.00000,-105.00000,,-431.00000,34.00000,107.00000,-105.00000
2019-12-31,123,522,60,582,144,-7,7,109,814,-138,-30,-1698,0,0,0,-1866,-1006,-145,-1151,-60,-60,-105,-127,-1443,-2492,89,-105
2019-09-30,119,517,41,558,-17,13,30,69,746,-115,-21,0,-2,-2,0,-138,-47,0,-47,24,24,-70,-2,-95,507,84,-70
2019-06-30,46,506,82,588,31,84,-14,-117,517,-106,-23,0,-15,-15,0,-144,1197,0,1197,-640,-640,-71,-23,463,838,87,-71
2019-03-31,-16.00000,502.00000,44.00000,546.00000,-42.00000,38.00000,20.00000,-234.00000,296.00000,-144.00000,-28.00000,37.00000,-1.00000,-1.00000,,-136.00000,,,,-683.00000,-683.00000,-73.00000,,-756.00000,-597.00000,86.00000,-73.00000
2018-12-31,289,503,67,570,51,5,4,-128,731,-170,-4,0,0,0,0,-174,997,0,997,-421,-421,-74,-214,288,845,93,-74
2018-09-30,1833,497,0,497,-31,42,-36,285,2615,-155,-18,127,4,4,0,-42,1000,0,1000,-4544,-4544,-54,-11,-3609,-1037,83,-54
2018-06-30,66,496,14,510,86,-76,52,-163,403,-129,-10,14,-7,-7,0,-132,-1274,0,-1274,8,8,0,0,-1266,-1002,69,0
2018-03-31,70.00000,491.00000,72.00000,563.00000,81.00000,-36.00000,-42.00000,-23.00000,620.00000,-156.00000,-18.00000,,,,,-174.00000,,,,-10.00000,-10.00000,,,-10.00000,436.00000,69.00000,
2017-12-31,768,542,251,793,-25,-31,-889,-863,738,-132,-10,2682,-2682,-2682,7,-135,-4,0,-4,-15,-15,0,-104,-123,482,78,0
2017-09-30,123,537,-102,435,3,-24,90,105,643,-161,-16,-2668,2682,2682,0,-163,-4,0,-4,-70,-70,-89,104,-59,423,68,-89
2017-06-30,63,560,55,615,49,-37,-122,-247,441,-96,-16,54,0,0,0,-58,-4,0,-4,22,22,0,0,18,404,67,0
2017-03-31,1318.00000,534.00000,-1481.00000,-947.00000,4.00000,-28.00000,24.00000,244.00000,625.00000,-161.00000,-24.00000,2614.00000,,,-1.00000,2428.00000,-2732.00000,,-2732.00000,10.00000,10.00000,,,-2722.00000,344.00000,68.00000,
2016-12-31,537,530,71,601,67,24,-463,-411,737,-131,-25,0,0,0,-1,-157,-9,-200,-209,-37,-37,0,0,-246,325,82,0
2016-09-30,108,526,93,619,-57,57,-68,-18,718,-98,-9,-198,0,0,0,-305,-2976,200,-2776,2722,2722,-126,-11,-191,234,77,-126
2016-06-30,1,620,113,733,-61,46,-172,-307,434,-71,-7,18,0,0,1,-59,-130,-1,-131,-370,-370,0,-13,-514,-153,80,0
2016-03-31,-387.00000,529.00000,87.00000,616.00000,,441.00000,-217.00000,177.00000,414.00000,-88.00000,-18.00000,-2.00000,,,2.00000,-106.00000,-218.00000,-5.00000,-223.00000,-221.00000,-221.00000,,3.00000,-441.00000,-126.00000,99.00000,
2015-12-31,989,230,-1114,-884,71,154,-165,155,271,-91,-5,17,0,0,2,-77,-914,-1,-915,-133,-133,0,-22,-1070,-878,111,0
2015-09-30,379,94,-41,53,-96,-5,5,-101,340,-74,-1,0,0,0,-1,-76,-6,-1,-7,-150,-150,-51,0,-208,57,34,-51
2015-06-30,321,98,-8,90,11,-14,7,-69,351,-89,-4,-1,0,0,0,-94,992,1,993,-153,-153,0,-12,828,1080,36,0
2015-03-31,-90.00000,95.00000,345.00000,440.00000,-64.00000,-53.00000,15.00000,8.00000,368.00000,-80.00000,-2.00000,-103.00000,1.00000,1.00000,1.00000,-183.00000,-10.00000,-1.00000,-11.00000,12.00000,12.00000,,,1.00000,170.00000,35.00000,
