,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,535,1080,1636,2716,495,-305,242,1187,4505,-2628,-35,-80,0,-80,4,-2739,-971,17,-954,-319,-319,-1586,-57,-2916,-1418,110,-1586
2022-09-30,2724,782,-216,566,-505,153,62,1236,4425,-1051,-775,-45,0,-45,8,-1863,3376,-2809,567,-433,-433,-1589,-20,-1475,973,77,-1589
2022-06-30,1446,760,1027,1787,-916,-441,4,-986,2055,-758,-6,-14,0,-14,-5,-783,-1951,1573,-378,-466,-466,-1492,-16,-2352,-1146,75,-1492
2022-03-31,4273.00000,658.00000,-2647.00000,-1989.00000,-837.00000,-549.00000,-190.00000,-2325.00000,-174.00000,-519.00000,-8.00000,22.00000,,22.00000,3460.00000,2955.00000,-1251.00000,1206.00000,-45.00000,-144.00000,-144.00000,-1505.00000,-86.00000,-1780.00000,984.00000,81.00000,-1505.00000
2021-12-31,1341,1012,-45,967,765,-3,205,2015,4982,-2223,-22,7,0,7,-1,-2239,-1723,423,-1300,39,39,-1487,-811,-3559,-900,86,-1487
2021-09-30,2243,770,58,828,-202,231,-6,1365,4294,-953,32,2,0,2,5,-914,-758,-70,-828,46,46,-1486,-9,-2277,1061,71,-1486
2021-06-30,2372,774,-156,618,-759,-413,170,79,3059,-817,76,530,0,530,1,-210,-1695,35,-1660,38,38,-1413,-21,-3056,-185,65,-1413
2021-03-31,1723.00000,659.00000,-228.00000,431.00000,-455.00000,-397.00000,-210.00000,-2741.00000,-719.00000,-466.00000,22.00000,538.00000,,538.00000,,94.00000,-1.00000,-343.00000,-344.00000,-44.00000,-44.00000,-1429.00000,-71.00000,-1888.00000,-2523.00000,79.00000,-1429.00000
2020-12-31,1859,1295,580,1875,1010,33,228,1006,4490,-2137,3,-731,0,-731,7,-2858,1129,-1843,-714,-423,-423,-1415,-40,-2592,-905,78,-1415
2020-09-30,2307,609,-427,182,-329,278,49,1758,4661,-878,-724,-395,0,-395,-2,-1999,-62,-691,-753,-381,-381,-1417,-9,-2560,170,85,-1417
2020-06-30,1658,589,541,1130,-317,-515,12,-493,2211,-691,-5191,11,0,11,34,-5837,3384,-8,3376,-522,-522,-1328,-17,1509,-2303,40,-1328
2020-03-31,1351.00000,533.00000,-143.00000,390.00000,-784.00000,-312.00000,-263.00000,-2574.00000,-749.00000,-479.00000,-454.00000,7.00000,,7.00000,1.00000,-925.00000,6428.00000,2956.00000,9384.00000,-495.00000,-495.00000,-1349.00000,-78.00000,7462.00000,5722.00000,61.00000,-1349.00000
2019-12-31,1778,1210,335,1545,1066,383,177,1647,4586,-2166,-89,73,0,73,30,-2152,-500,-99,-599,-685,-685,-1333,-43,-2660,-137,68,-1333
2019-09-30,2110,578,63,641,-344,299,72,773,3675,-771,-221,10,0,10,-32,-1014,1975,-558,1417,-470,-470,-1336,-1,-390,2236,51,-1336
2019-06-30,2043,558,-276,282,-966,-437,46,-589,1733,-685,-291,5,0,5,0,-971,-1102,541,-561,-679,-679,-1303,-20,-2563,-1834,61,-1303
2019-03-31,1422.00000,498.00000,5.00000,503.00000,-406.00000,-435.00000,-382.00000,-2310.00000,-345.00000,-440.00000,-1863.00000,9.00000,,9.00000,-6.00000,-2300.00000,-729.00000,117.00000,-612.00000,-837.00000,-837.00000,-1332.00000,-95.00000,-2876.00000,-5464.00000,57.00000,-1332.00000
2018-12-31,6867,763,-4987,-4224,1046,188,167,1941,4683,-1689,-1032,1685,0,1685,2,-1034,-3090,33,-3057,-492,-490,-1309,-42,-4898,-1274,53,-1309
2018-09-30,2509,566,-367,199,-280,275,66,1001,3645,-557,-51,2379,0,2379,0,1771,-4,-5473,-5477,-388,-388,-1316,-32,-7213,-1851,57,-1316
2018-06-30,1830,574,529,1103,-857,-254,123,-266,2396,-559,86,2904,0,2904,0,2431,-2502,-216,-2718,-471,-471,-1145,-6,-4340,419,66,-1145
2018-03-31,1353.00000,496.00000,-1372.00000,-876.00000,-162.00000,-383.00000,-347.00000,-1764.00000,-1309.00000,-343.00000,6.00000,1733.00000,,1733.00000,,1396.00000,,4290.00000,4290.00000,-368.00000,-370.00000,-1160.00000,-78.00000,2682.00000,2818.00000,80.00000,-1160.00000
2017-12-31,-695,765,3097,3862,797,256,139,918,3943,-1397,108,-856,0,-856,20,-2125,2834,-2565,269,-470,-471,-1148,-61,-1411,378,86,-1148
2017-09-30,2156,573,178,751,-266,402,131,932,3836,-544,-5,-1159,0,-1159,1,-1707,-2253,1690,-563,-442,-444,-1149,-37,-2193,-24,63,-1149
2017-06-30,2118,554,84,638,-605,-313,49,-183,2444,-543,98,-402,0,-402,7,-840,3274,-2602,672,-427,-428,-1077,-6,-839,758,71,-1077
2017-03-31,1329.00000,477.00000,186.00000,663.00000,-128.00000,-513.00000,-299.00000,-2154.00000,-193.00000,-305.00000,5.00000,568.00000,,568.00000,1.00000,269.00000,-752.00000,2424.00000,1672.00000,-199.00000,-200.00000,-1098.00000,-117.00000,257.00000,376.00000,72.00000,-1098.00000
2016-12-31,1417,757,77,834,952,306,151,1383,3839,-1434,-187,-2496,0,-2496,-2,-4119,4443,-532,3911,-871,-875,-1083,-2549,-596,-1110,94,-1083
