,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,263.579,76.73,-1.645,75.085,18.81,87.404,-106.091,-2.383,-0.021,338.643,-53.077,-83.559,0,0,-2.227,-138.863,0,-53.037,-53.037,0,0,-70.915,-2.734,-126.686,74.866,6.164,-70.915
2022-09-30,286.026,76.514,-21.336,55.178,-23.155,-62.633,-26.316,3.922,-76.579,264.625,-65.145,-220.843,0,0,-0.22,-286.208,0,394.976,394.976,-500,-500,-72.58,-1.24,-178.844,-209.369,6.326,-72.58
2022-06-30,289.618,75.291,4.659,79.95,-107.456,-87.082,89.345,5.601,-190.795,178.773,-49.475,-8.453,0,0,-10.962,-68.89,0,280.174,280.174,-85,-85,-71.853,-2.852,120.469,225.387,7.218,-71.853
2022-03-31,226.15300,79.00300,11.43500,90.43800,-97.22000,-136.72200,58.48400,-23.52400,-292.90800,23.68300,-47.20400,,,,0.24100,-46.96300,,7.77800,7.77800,,,-72.20300,-10.77900,-75.20400,-95.52000,11.11300,-72.20300
2021-12-31,362.785,71.887,-227.051,-155.164,20.981,-72.101,29.457,9.604,119.658,327.279,-49.808,-665.806,0,0,9.503,-706.111,0,105,105,0,0,-72.091,-7.991,24.918,-353.64,6.058,-72.091
2021-09-30,263.756,72.911,4.184,77.095,-30.329,-80.619,50.289,-15.157,10.478,351.329,-47.444,-90.1,0,0,2.105,-135.439,0,0,0,0,0,-72.107,-2.503,-74.61,137.785,6.66,-72.107
2021-06-30,264.508,71.519,6.41,77.929,-75.872,-69.482,85.822,-1.128,-82.364,260.073,-41.728,-81.187,0,0,1.284,-121.631,0,0,0,0,0,-71.354,-4.595,-75.949,64.847,6.872,-71.354
2021-03-31,232.76900,73.80600,2.49000,76.29600,-116.32000,-75.42100,63.76600,-22.00500,-131.88100,177.18400,-25.41500,,,,-4.15700,-29.57200,,,,-21.63700,-21.63700,-71.34400,-31.25800,-124.23900,23.43700,11.52100,-71.34400
2020-12-31,182.106,73.207,3.306,76.513,90.776,29.879,8.935,-13.518,159.272,417.891,-40.011,-77.112,0,0,-1.258,-118.381,0,-90.511,-90.511,-53.363,-53.363,-71.284,-7.796,-222.954,85.574,9.435,-71.284
2020-09-30,200.3,69.489,9.218,78.707,-41.686,61.523,-10.962,-11.223,60.24,339.247,-42.189,-21.285,0,0,-1.25,-64.724,0,-414.489,-414.489,0,0,-71.458,-10.885,-496.832,-221.531,7.371,-71.458
