,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,397,181,352,533,284,73,65,-86,471,1401,-267,0,-4,-4,0,-271,-4,-5,-9,-147,-147,-236,11,-381,787,112,-236
2022-09-30,490.00000,178.00000,16.00000,194.00000,-579.00000,-229.00000,-375.00000,-16.00000,-1334.00000,-650.00000,-152.00000,,138.00000,138.00000,,-14.00000,-254.00000,249.00000,-5.00000,-110.00000,-110.00000,-215.00000,26.00000,-304.00000,-1019.00000,53.00000,-215.00000
2022-06-30,50,181,18,199,538,-204,409,-53,822,1071,-382,0,0,0,0,-382,-2,0,-2,-311,-311,-216,9,-520,121,48,-216
2022-03-31,573,182,272,454,-141,-234,-159,-238,-904,123,-199,0,50,50,0,-149,-6,0,-6,-570,-570,-215,50,-741,-767,91,-215
2021-12-31,1090,181,132,313,176,14,151,168,524,1927,-254,-3,-4,-4,0,-261,-6,-7,-13,-871,-871,-217,40,-1061,608,113,-217
2021-09-30,695.00000,183.00000,37.00000,220.00000,-583.00000,-178.00000,-191.00000,-29.00000,-996.00000,-81.00000,-205.00000,,52.00000,52.00000,,-153.00000,-4.00000,3.00000,-1.00000,-557.00000,-557.00000,-192.00000,36.00000,-714.00000,-963.00000,79.00000,-192.00000
2021-06-30,1015,176,-852,-676,108,-153,385,804,515,854,-251,-1057,21,21,0,-1287,-453,2,-451,-417,-417,-192,30,-1030,-1441,72,-192
2021-03-31,458,159,186,345,214,-54,-8,-785,-4,799,-136,-2,-42,-42,0,-180,594,1,595,-214,-214,-193,69,257,854,86,-193
2020-12-31,877,160,184,344,-113,161,84,267,399,1620,-134,0,-21,-21,0,-155,-2,0,-2,-77,-77,-194,44,-229,1278,105,-194
2020-09-30,525.00000,156.00000,33.00000,189.00000,-607.00000,-94.00000,-21.00000,366.00000,-356.00000,358.00000,-116.00000,-6.00000,-152.00000,-152.00000,32.00000,-242.00000,-2.00000,-747.00000,-749.00000,-25.00000,-25.00000,-174.00000,58.00000,-890.00000,-755.00000,64.00000,-174.00000
2020-06-30,-459,164,256,420,673,38,9,-346,374,335,-155,0,14,14,0,-141,696,-759,-63,-10,-10,-1,10,-64,146,3,-1
2020-03-31,-4,-617,1139,522,299,-72,58,-113,172,690,-177,-7,-23,-23,0,-207,-503,1506,1003,-70,-70,-172,77,838,1280,71,-172
2019-12-31,561,921,-490,431,140,114,25,154,433,1425,-166,-1040,-16,-16,0,-1222,1780,3,1783,-500,-500,-174,-6,1103,1337,83,-174
2019-09-30,598.00000,143.00000,79.00000,222.00000,-487.00000,-83.00000,-400.00000,-20.00000,-990.00000,-170.00000,-125.00000,,-3.00000,-3.00000,,-128.00000,-5.00000,5.00000,,-313.00000,-313.00000,-156.00000,53.00000,-416.00000,-728.00000,56.00000,-156.00000
2019-06-30,158,63,83,146,208,-191,424,16,457,761,-301,0,0,0,0,-301,0,-4,-4,-211,-211,-156,12,-359,85,42,-156
2019-03-31,557,225,-44,181,-34,-163,69,-127,-255,483,-149,0,958,958,0,809,-1,2,1,-218,-218,-156,95,-278,1026,70,-156
2018-12-31,577,137,80,217,203,15,88,292,598,1392,-337,0,271,271,0,-66,0,-166,-166,-596,-596,-156,24,-894,433,73,-156
