,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-12400,-3689,-2388,-6077,-3499,-8565,396,-11668,4170,3621,21926,1276,23202,3241,26822,-38448,-31539,-69987,3250,3250,3777,-8608,-71568,-37574,3777
2022-09-30,3509,1065,80,1145,-1005,-1385,-3727,-6117,-901,-1187,12120,-6075,6045,10319,16479,-604,19458,18854,-50,-50,-1263,-16418,1123,15577,-1263
2022-06-30,4568,1074,1461,2535,1281,9493,15502,26276,10275,-1220,-34046,29250,-4796,-4702,-8778,26445,-3299,23146,-367,-367,-1228,-9460,12091,11943,-1228
2022-03-31,4323.00000,1550.00000,847.00000,2397.00000,3223.00000,457.00000,-12171.00000,-8491.00000,-13544.00000,-1214.00000,,-24451.00000,-24451.00000,-8858.00000,-34523.00000,12607.00000,15380.00000,27987.00000,-2833.00000,-2833.00000,-1286.00000,34486.00000,58354.00000,10054.00000,-1286.00000
2021-12-31,3179,985,-385,600,-741,-6809,4961,-2589,-12095,-1261,42984,-32898,10086,-7502,1323,-10021,-11369,-21390,-153,847,-1239,-28812,-50594,-61775,-1239
2021-09-30,4668,1035,1762,2797,146,32593,7511,40250,35622,-925,-28649,-14154,-42803,9770,-33958,-24420,7880,-16540,-3067,-3067,-1296,44155,23252,24570,-1296
2021-06-30,6203,982,-1226,-244,-4775,-14718,-3788,-23281,365,-923,-14335,-9582,-23917,-12337,-37177,28825,-20268,8557,-2900,-5185,-1307,9294,11359,-25444,-1307
2021-03-31,7975.00000,962.00000,-2468.00000,-1506.00000,1561.00000,25495.00000,-2572.00000,24484.00000,23198.00000,-820.00000,,-50377.00000,-50377.00000,10263.00000,-40934.00000,-6916.00000,22216.00000,15300.00000,-1481.00000,-681.00000,-1356.00000,19992.00000,33255.00000,15067.00000,-1356.00000
2020-12-31,4331,1051,-2646,-1595,-86,-5845,3604,-2327,-1234,-1121,0,-179,-179,-7945,-9245,28164,-48813,-20649,0,1495,-1328,18045,-2437,-14080,-1328
2020-09-30,3170,1033,2064,3097,2488,11814,-11406,2896,-3046,-969,0,-6211,-6211,15669,8489,-57479,38171,-19308,0,0,-1345,28962,8309,13922,-1345
2020-06-30,1056,926,7425,8351,193,-12059,8731,-3135,6325,-848,0,-52926,-52926,34942,-18832,59711,-70780,-11069,0,0,-1314,48748,36365,23853,-1314
2020-03-31,2530.00000,927.00000,6581.00000,7508.00000,-1393.00000,-44774.00000,-4449.00000,-50616.00000,-25533.00000,-458.00000,,-46270.00000,-46270.00000,-26129.00000,-72857.00000,15846.00000,65887.00000,81733.00000,-2925.00000,-2925.00000,-1365.00000,113915.00000,191358.00000,92001.00000,-1365.00000
2019-12-31,4995,1039,1090,2129,-1196,14964,852,14620,22521,-799,0,213,213,-10696,-11282,-5600,-7460,-13060,-5076,-6576,-1399,-17183,-38218,-26524,-1399
2019-09-30,4928,983,1725,2708,-742,-712,-6479,-7933,2398,-997,-10915,-2265,-13180,-3213,-17390,-11145,6702,-4443,-4977,-3481,-1398,42161,32839,17200,-1398
2019-06-30,4809,952,1608,2560,-410,-20447,3052,-17805,-140,-2801,10915,-12168,-1253,-6691,-10745,4437,-6119,-1682,-3463,-3463,-1330,15250,8775,-2650,-1330
2019-03-31,4735.00000,931.00000,1799.00000,2730.00000,1439.00000,-38340.00000,-11341.00000,-48242.00000,-37616.00000,-480.00000,,15315.00000,15315.00000,1208.00000,16043.00000,8984.00000,19580.00000,28564.00000,-4055.00000,-4535.00000,-1320.00000,16828.00000,39537.00000,17788.00000,-1320.00000
2018-12-31,4297,954,1875,2829,-610,-1985,-777,-3372,6886,-1054,0,-3192,-3192,-12309,-16555,18188,-21063,-2875,-4585,-5160,-1404,7991,-1448,-11181,-1404
2018-09-30,4625,945,1665,2610,1527,12311,912,14750,21747,-961,0,-14141,-14141,-4832,-19934,156,-5375,-5219,-5162,-5162,-1384,8442,-3323,-1616,-1384
2018-06-30,4516,929,1667,2596,-1774,2603,1040,1869,1363,-679,0,-4023,-4023,197,-4505,-12699,22690,9991,-2308,-2429,-1137,-4489,1936,-1802,-1137
2018-03-31,4642.00000,926.00000,1646.00000,2572.00000,1627.00000,2737.00000,-1787.00000,2577.00000,6956.00000,-868.00000,,-24242.00000,-24242.00000,-7014.00000,-32124.00000,18369.00000,-8358.00000,10011.00000,-2378.00000,-2475.00000,-1095.00000,40922.00000,47363.00000,22188.00000,-1095.00000
2017-12-31,-18874,942,26847,27789,-1722,-7015,-4797,-13534,-5313,-774,0,20599,20599,-15116,4709,-539,6303,5764,-5470,-5470,-1158,-4219,-5083,-5593,-1158
2017-09-30,4132,920,1371,2291,2484,2190,6342,11016,18152,-778,0,-20603,-20603,-10121,-31502,25607,-11329,14278,-5436,-5436,-1135,5294,13001,27,-1135
2017-06-30,3904,901,1412,2313,-2464,-22075,-719,-25258,-18561,-779,0,4574,4574,-18878,-15083,10235,23351,33586,-1777,-1777,-760,8749,39798,6037,-760
2017-03-31,4100.00000,896.00000,1512.00000,2408.00000,1949.00000,4487.00000,-12541.00000,-6105.00000,-3052.00000,-653.00000,,5762.00000,5762.00000,-1984.00000,3125.00000,6127.00000,-4574.00000,1553.00000,-1858.00000,-1858.00000,-744.00000,20187.00000,19138.00000,19551.00000,-744.00000
2016-12-31,3525,1006,2985,3991,2645,17576,-3513,16708,25399,-464,20374,-10437,9937,8008,17481,-5960,1174,-4786,-4123,-4123,-770,-7974,-17653,24878,-770
2016-09-30,3857,938,1505,2443,2172,3754,-2835,3091,7267,-638,-4578,-2549,-7127,-6338,-14103,9344,-386,8958,-2533,-2533,-689,2399,8135,1279,-689
2016-06-30,4024,868,1305,2173,-2110,2144,8543,8577,21605,-515,8056,-8525,-469,-19339,-20323,-13048,9020,-4028,-1322,172,-469,3257,-1068,-100,-469
2016-03-31,3506.00000,908.00000,1740.00000,2648.00000,3896.00000,-5157.00000,-6549.00000,-7810.00000,-538.00000,-472.00000,-23852.00000,-9321.00000,-33173.00000,-3545.00000,-37190.00000,13335.00000,-186.00000,13149.00000,-1312.00000,-308.00000,-359.00000,26396.00000,38878.00000,1340.00000,-359.00000
2015-12-31,3360,874,1906,2780,-6393,8521,154,2282,-1627,-620,25738,9793,35531,-3003,31908,-32373,-1500,-33873,-1652,-156,-415,3641,-30803,-826,-415
2015-09-30,4296,865,1531,2396,1055,1937,11579,14571,23018,-858,-7339,-4753,-12092,4537,-8413,-3917,-6902,-10819,-1950,-705,-324,-3796,-15644,-1687,-324
2015-06-30,4864,882,1351,2233,1012,17643,-9132,9523,16253,-538,2896,-4907,-2011,-13658,-16207,2980,-9924,-6944,-1553,439,-355,8386,1526,1533,-355
2015-03-31,4812.00000,885.00000,1504.00000,2389.00000,-2881.00000,-2795.00000,-1490.00000,-7166.00000,2093.00000,-605.00000,-5807.00000,3917.00000,-1890.00000,10090.00000,7595.00000,-1856.00000,-18930.00000,-20786.00000,-297.00000,1197.00000,-159.00000,-104.00000,-19852.00000,-10228.00000,-159.00000
2014-12-31,382,1488,4186,5674,845,-4200,4639,1284,10315,-749,14979,-1424,13555,3897,16703,-1484,-6503,-7987,-380,1113,-190,-22721,-29785,-3868,-190
2014-09-30,2900,934,1489,2423,-135,13856,-7057,6664,10065,-38,10749,-7045,3704,11701,15367,-5357,5304,-53,-186,-186,-159,-23071,-23469,708,-159
2014-06-30,231,896,1504,2400,-2299,-13266,3874,-11691,-3635,-1210,17203,2770,19973,-10855,7908,-3360,141,-3219,-302,1437,-130,-544,-2456,1888,-130
2014-03-31,3989.00000,843.00000,1784.00000,2627.00000,445.00000,23026.00000,555.00000,24026.00000,29598.00000,-766.00000,-2015.00000,-8885.00000,-10900.00000,270.00000,-11396.00000,-11960.00000,-41.00000,-12001.00000,-364.00000,103.00000,-154.00000,-2508.00000,-14560.00000,3495.00000,-154.00000
2013-12-31,2492,388,4354,4742,1700,-7492,-1899,-7691,3935,-880,3654,-4014,-360,-11531,-12771,-7914,40,-7874,-218,1199,-100,12812,6037,-2925,-100
2013-09-30,3278,1430,1588,3018,6004,13874,-8728,11150,14244,-714,-14631,861,-13770,-8889,-23373,253,-6621,-6368,-437,513,-140,17030,11035,1665,-140
2013-06-30,4218,818,1588,2406,-684,4547,1900,5763,20044,-586,-14801,-7330,-22131,-4211,-26928,-8727,10614,1887,-182,974,-40,4661,7482,-5,-40
