,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,227.062,31.318,0.483,31.801,-98.776,11.309,65.936,-38.623,-60.154,198.709,-62.184,0,0,0,0,0,-62.184,30,30,-142.2289,-142.2289,0.783,-111.446,36.892,11.635
2022-09-30,155.998,32.214,3.994,36.208,18.279,-48.141,27.245,-31.5,-34.117,158.089,-38.991,-2.638,0,-0.008,3.257,3.249,-38.38,60,60,-150.001,-150.001,1.995,-88.006,24.74,10.207
2022-06-30,164.864,34.227,-8.387,25.84,-56.47,-38.238,37.351,-76.444,-133.801,56.903,-46.995,0,0,21.739,-1.139,20.6,-26.395,40,40,-133.726,-133.726,10.956,-82.77,-61.173,9.789
2022-03-31,159.83100,32.66400,24.48900,57.15300,-0.90700,-26.83200,-69.54800,78.26300,-19.02400,197.96000,-27.75100,-4.89700,,44.85500,6.78500,51.64000,18.99200,-70.00000,-70.00000,-157.30400,-157.30400,-0.10700,-227.41100,-21.16400,10.93300
2021-12-31,216.239,33.754,5.676,39.43,-85.92,26.628,50.878,-29.317,-37.731,217.938,-44.652,0,0,62.371,-0.921,61.45,16.798,-100,-100,-155.592,-155.592,1.224,-254.368,-23.468,7.969
2021-09-30,161.185,33.183,9.465,42.648,4.487,-43.005,30.56,-27.983,-35.941,167.892,-39.725,0,0,73.27,-0.867,72.403,32.678,10,10,-141.224,-141.224,-4.492,-135.716,64.646,6.353
2021-06-30,167.292,33.387,10.611,43.998,11.04,-20.329,-5.57,-53.391,-68.25,143.04,-37.386,-7,0,-77.716,0,-77.716,-122.102,-100,-100,-139.461,-139.461,2.495,-236.966,-223.727,7.291
2021-03-31,148.12700,31.35600,11.09200,42.44800,7.94500,-30.54400,-29.75800,80.18600,27.82900,218.40400,-39.50300,0.00000,,-119.50100,,-119.50100,-159.00400,350.00000,350.00000,-157.01000,-157.01000,-4.21500,188.77500,247.08800,8.30500
2020-12-31,218.311,34.27,12.313,46.583,-59.488,27.079,93.877,-58.88,2.588,267.482,-127.589,0,76.664,15.685,-2.293,13.392,-37.533,-215,-215,37.556,37.556,4.91,-172.534,61.761,9.15
2020-09-30,126.769,30.888,11.459,42.347,9.977,18.95,12.007,-37.471,3.463,172.579,-28.311,0,0,-5.415,-0.5,-5.915,-34.226,-125,-125,13.626,13.626,2.772,-108.602,35.898,9.593
2020-06-30,122.929,31.015,10.674,41.689,32.952,2.31,50.539,-51.608,34.193,198.811,-45.899,0,0,-12.911,-3.35,-16.261,-62.16,-200,-200,2.925,2.925,4.791,-192.284,-51.025,8.926
2020-03-31,53.56200,29.18800,6.67100,35.85900,54.02600,-29.39900,-15.82500,53.41200,62.21400,151.63500,-51.13000,,-76.66400,-2.38100,,-2.38100,-130.17500,214.63400,214.63400,-184.48300,-184.48300,2.76700,32.91800,54.34600,9.19600
2019-12-31,200.669,24.977,17.463,42.44,-80.092,52.119,10.277,-33.518,-51.214,191.895,-53.618,0,0,-1.428,-1.593,-3.021,-56.639,325.308,325.308,-540.154,-540.154,3.709,-211.137,-68.934,9.66
2019-09-30,138.133,26.704,9.847,36.551,5.389,-21.773,9.946,-19.857,-26.295,148.389,-45.017,0,0,87.895,-2.5,85.395,40.378,209.762,209.762,-575.883,-575.883,-0.686,-366.807,-183.349,9.662
2019-06-30,144.41,28.851,9.504,38.355,-6.823,-17.762,23.046,-54.202,-55.741,127.024,-39.522,0,0,395.296,-4.75,390.546,351.024,0.032,0.032,-574.032,-574.032,2.4,-571.6,-96.972,9.314
2019-03-31,108.98600,24.76400,11.38300,36.14700,59.33100,-44.43800,-33.48500,49.23800,30.64600,175.77900,-25.66600,,,459.70500,,459.70500,434.03900,0.08600,0.08600,-725.47400,-725.47400,2.25400,-723.13400,-111.31000,9.94100
2018-12-31,185.152,25.597,11.484,37.081,-84.814,22.43,11.974,9.726,-40.684,181.549,-0.378,0,-31.486,457.448,0,457.448,425.584,-0.171,-0.171,-488.405,-488.405,-4.503,-493.079,106.907,9.357
2018-09-30,141.014,26.975,12.483,39.458,0.302,-13.949,-15.789,-4.696,-34.132,146.34,-58.87,0,0,114.606,-4.4,110.206,51.336,-0.216,-0.216,-255.973,-255.973,-0.023,-256.212,-52.831,9.213
2018-06-30,155.677,27.196,5.016,32.212,-3.997,-5.776,-43.59,-33.81,-87.173,100.716,-20.839,0,0,331.382,0,331.382,310.543,-99.855,-99.855,-260.216,-260.216,-4.095,-364.166,25.682,9.079
2018-03-31,111.95100,28.64000,10.96300,39.60300,40.58800,-28.10100,-34.25800,46.05800,24.28700,175.84100,-15.99200,,,915.04600,-3.21500,911.83100,895.83900,-749.91900,-749.91900,-258.08300,-258.08300,1.93700,-1006.06500,74.20300,9.89200
