,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1743,-716,77,-639,0,0,0,968,968,-1347,223,581,45,45,134,983,13,-896,-883,270,270,977,82,445,67,977
2022-09-30,608,237,-48,189,0,0,0,176,176,965,-61,9,-41,-41,-67,-161,-7,-488,-495,-97,-97,-323,-23,-937,-133,-323
2022-06-30,602,235,-20,215,0,0,0,-359,-359,340,-47,22,-3,-3,-33,-60,-2,279,277,-95,-95,-334,-8,-160,126,-334
2022-03-31,533.00000,244.00000,-9.00000,235.00000,,,,-785.00000,-785.00000,42.00000,-115.00000,-612.00000,-1.00000,-1.00000,-34.00000,-762.00000,-4.00000,1105.00000,1101.00000,-78.00000,-78.00000,-320.00000,-51.00000,652.00000,-60.00000,-320.00000
2021-12-31,551,238,19,257,-271,-629,832,221,-10,795,-149,19,115,115,-61,-76,-2,-410,-412,15,15,-303,-1,-701,26,-303
2021-09-30,630,247,-235,12,0,0,0,-130,-130,471,-126,3110,-137,-137,-52,2795,-2,-2950,-2952,-29,-29,-303,-3,-3287,-8,-303
2021-06-30,506,229,-28,201,0,0,0,-61,-61,637,-137,-2800,681,681,-26,-2282,-1006,2917,1911,-7,-7,-313,-13,1578,-75,-313
2021-03-31,459.00000,208.00000,-31.00000,177.00000,,,,-108.00000,-108.00000,260.00000,-119.00000,-1700.00000,-280.00000,-280.00000,-102.00000,-2201.00000,1795.00000,463.00000,2258.00000,-38.00000,-38.00000,-300.00000,-45.00000,1875.00000,-84.00000,-300.00000
2020-12-31,476,208,-35,173,219,371,76,-228,278,943,-86,0,-320,-320,94,-312,-242,-1,-243,-104,-104,-291,-1,-639,9,-291
2020-09-30,447,206,4,210,0,0,0,262,262,921,-89,-5,-125,-125,28,-191,-2,-137,-139,-150,-150,-292,-4,-585,137,-292
2020-06-30,54,198,98,296,0,0,0,341,341,757,-90,6,-26,-26,-90,-200,-84,-116,-200,3,3,-301,-6,-504,53,-301
2020-03-31,438.00000,199.00000,-57.00000,142.00000,,,,-246.00000,-246.00000,323.00000,-112.00000,1207.00000,30.00000,30.00000,-25.00000,1100.00000,79.00000,,79.00000,-1286.00000,-1286.00000,-291.00000,-32.00000,-1530.00000,-131.00000,-291.00000
