,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,461,133,-193,-60,0,0,0,4,4,405,-94,366,-8,264,11,-220,-209,-23,-23,-184,0,-416,200,13,-184
2022-09-30,234.00000,152.00000,54.00000,206.00000,,,,-700.00000,-700.00000,-260.00000,-148.00000,-50.00000,-42.00000,-240.00000,-24.00000,637.00000,613.00000,-106.00000,-106.00000,-181.00000,,326.00000,-213.00000,16.00000,-181.00000
2022-06-30,112,146,158,304,-272,-626,711,728,521,937,-143,0,-1,-144,-72,-523,-595,-166,-166,-182,0,-943,-302,16,-182
2022-03-31,271,148,50,198,0,0,0,-203,-203,266,-117,-1,0,-118,550,47,597,-128,-128,-182,0,287,451,16,-182
2021-12-31,229,155,14,169,0,0,0,37,37,435,-104,0,-16,-120,-266,372,106,-223,-223,-185,0,-302,-7,16,-185
2021-09-30,203.00000,178.00000,69.00000,247.00000,,,,-562.00000,-562.00000,-112.00000,-145.00000,,,-145.00000,-394.00000,757.00000,363.00000,-113.00000,-113.00000,-183.00000,,67.00000,-217.00000,15.00000,-183.00000
2021-06-30,259,151,-33,118,-189,-112,342,397,467,844,-113,0,-5,-118,380,-739,-359,-32,-32,-186,-1,-578,160,14,-186
2021-03-31,270,141,25,166,0,0,0,-261,-261,175,-115,76,0,-39,0,221,221,-231,-231,-182,0,-192,-65,16,-182
2020-12-31,222,145,-1,144,0,0,0,186,186,552,-103,0,0,-103,0,-220,-220,-71,-71,-186,-8,-485,-2,14,-186
2020-09-30,200.00000,147.00000,-18.00000,129.00000,,,,-439.00000,-439.00000,-110.00000,-111.00000,138.00000,,27.00000,-122.00000,380.00000,258.00000,5.00000,5.00000,-188.00000,1.00000,76.00000,14.00000,14.00000,-188.00000
2020-06-30,177,157,0,157,133,26,-48,388,580,914,-79,0,0,-79,-139,-204,-343,-120,-120,-187,4,-646,205,10,-187
2020-03-31,183,168,26,194,0,0,0,-249,-249,128,-104,28,-1,-77,1174,-884,290,-250,-250,-183,-5,-148,-136,11,-183
2019-12-31,188,150,-63,87,0,0,0,156,156,431,-91,0,1,-90,-937,1352,415,-166,-166,-390,5,-136,194,7,-390
2019-09-30,68.00000,185.00000,6.00000,191.00000,,,,-348.00000,-348.00000,-89.00000,-113.00000,397.00000,,284.00000,-1131.00000,893.00000,-238.00000,-67.00000,-67.00000,-1.00000,,-306.00000,-122.00000,6.00000,-1.00000
2019-06-30,82.5,183.4,-165.4,18,-84,3,120,547.1,554.1,654.6,-64.8,258,0.6,193.8,203.2001,-584.5,-381.2999,-1.8,-1.8,-388.5,4.2,-767.4,53.1,7.1,-388.5
2019-03-31,354.5,268.6,46.4,315,0,0,0,-548.1,-548.1,121.4,-182.2,0,-1.6,-183.8,-84.2001,405.5,321.2999,0.8,0.8,-291.5,-28.2,2.4,-72.1,11.9,-291.5
2018-12-31,-101.5,-85.6,-27.1,-112.7,0,0,0,520,520,305.8,105,0,0.8,105.8,-174.5,-22.7,-197.2,12.1,12.1,2.1,28.7,-154.3,266.6,-4.5,2.1
2018-09-30,101.50000,85.60000,27.10000,112.70000,,,,-520.00000,-520.00000,-305.80000,-105.00000,,-0.80000,-105.80000,174.50000,22.70000,197.20000,-12.10000,-12.10000,-2.10000,-28.70000,154.30000,-266.60000,4.50000,-2.10000
2018-06-30,46.7,42.5,8.7,51.2,0,0,0,8.6,8.6,106.5,-35.1,0,0,-35.1,-3,-43.4,-46.4,0,0,-28.2,0,-74.6,-8.7,4.9,-28.2
2018-03-31,47.6,43.2,4.8,48,0,0,0,-41.3,-41.3,54.3,-46.1,0,0,-46.1,-0.3,12.6,12.3,0,0,-29.2,-5.6,-22.5,-11.4,4.8,-29.2
2017-12-31,-134.7,-127.5,-20.9,-148.4,0,0,0,-16.4,-16.4,-299.5,136.5,3.9,0,140.4,-2.2,-0.6,-2.8,103.8,103.8,84,8.5,193.5,29.5,-13,84
2017-09-30,134.70000,127.50000,20.90000,148.40000,,,,16.40000,16.40000,299.50000,-136.50000,-3.90000,,-140.40000,2.20000,0.60000,2.80000,-103.80000,-103.80000,-84.00000,-8.50000,-193.50000,-29.50000,13.00000,-84.00000
2017-06-30,28,43.2,6.4,49.6,0,0,0,28.4,28.4,106,-55.1,0,0,-55.1,2.6,-22.5,-19.9,0,0,-27.6,0,-47.5,4.2,4.4,-27.6
2017-03-31,51.1,41.8,8,49.8,0,0,0,-6.4,-6.4,94.5,-41.6,0,0,-41.6,-0.4,7.6,7.2,-48.9,-48.9,-29.1,-8.5,-79.3,-23.4,4.4,-29.1
2016-12-31,-175.7,-121.4,-26.5,-147.9,0,0,0,-24.8,-24.8,-348.4,121.7,114.5,0,236.2,-273.2,173.9,-99.3,95.4,95.4,86.9,10.2,93.2,-19.9,-13.9,86.9
2016-09-30,175.70000,121.40000,26.50000,147.90000,,,,24.80000,24.80000,348.40000,-121.70000,-114.50000,,-236.20000,273.20000,-173.90000,99.30000,-95.40000,-95.40000,-86.90000,-10.20000,-93.20000,19.90000,13.90000,-86.90000
2016-06-30,50.9,40.5,8.6,49.1,0,0,0,0.4,0.4,100.4,-47.2,-107.3,0,-154.5,-0.1,92.7,92.6,0,0,-27.5,0.1,65.2,11.7,5.2,-27.5
2016-03-31,56.2,40.8,5.6,46.4,0,0,0,-50,-50,52.6,-30.5,0,0,-30.5,-23.4,77.8,54.4,-44.3,-44.3,-32.1,-10.4,-32.4,-9.1,4.2,-32.1
2015-12-31,-182.5,-118.1,-7.1,-125.2,0,0,0,-104.3,-104.3,-412,138.5,-13.6,0,124.9,-2,51.8,49.8,104.3,104.3,82.2,6.7,243,-31.5,-13.7,82.2
2015-09-30,182.50000,118.10000,7.10000,125.20000,,,,104.30000,104.30000,412.00000,-138.50000,13.60000,,-124.90000,2.00000,-51.80000,-49.80000,-104.30000,-104.30000,-82.20000,-6.70000,-243.00000,31.50000,13.70000,-82.20000
