,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2023-01-31,268.62700,76.14400,100.87000,177.01400,-237.36000,-8.61000,8.92200,-330.89000,114.75100,-44.12400,,2.14200,5.73500,7.87700,,-36.24700,-1.29400,,-1.29400,-238.38600,-238.38600,-137.09500,-376.77500,-262.59600,134.22700
2022-10-31,147.342,77.285,111.483,188.768,-129.604,1.202,111.124,57.395,393.505,-34.178,-6.051,-1.066,0,-1.066,0,-41.295,0,0,0,-306.194,-306.194,15.125,-291.069,34,125.592
2022-07-31,222.626,77.61,147.969,225.579,47.999,-7.607,-157.062,-8.511,439.694,-36.472,-307.263,-0.978,0,-0.978,-0.6,-345.313,-0.9,0,-0.9,-176.56,-176.56,-88.708,-266.168,-189.987,127.605
2022-04-30,295.127,68.114,143.977,212.091,296.899,-1.43,-54.144,242.739,749.957,-26.187,-89.071,-0.732,-2,-2.732,0,-117.99,0,0,0,-200.125,-200.125,35.659,-164.466,449.266,110.061
2022-01-31,313.34100,78.42200,114.93900,193.36100,-466.68400,9.15500,323.23900,-350.95800,155.74400,-42.24500,-19.98900,-0.77300,-4.41800,-5.19100,-0.60000,-68.02500,-75.93800,,-75.93800,-179.16500,-179.16500,-139.49400,-394.59700,-308.59800,95.77100
2021-10-31,200.29,70.127,40.625,110.752,12.71,3.402,-88.006,59.517,370.559,-27.266,-131.964,-3.928,0,-3.928,0,-163.158,-6.424,0,-6.424,-118.256,-118.256,-34.659,-159.339,47.446,96.742
2021-07-31,198.646,67.706,97.815,165.521,31.359,-13.143,-88.377,57.6,421.767,-23.15,-89.427,-144.954,-7.591,-152.545,0,-265.122,-8.443,0,-8.443,-129.227,-129.227,-88.002,-225.672,-72.499,85.162
2021-04-30,195.078,64.905,110.616,175.521,172.547,-0.541,-69.994,155.739,526.338,-16.534,0.044,0,0,0,-0.8,-17.29,-7.5,0,-7.5,-107.1,-107.1,43.927,-70.673,434.831,79.586
2021-01-31,162.34500,65.63600,88.65200,154.28800,-14.91000,-37.76400,68.91000,-142.67500,173.95800,-28.79000,-74.67000,,,,,-103.46000,-5.69400,,-5.69400,-187.77900,-187.77900,-99.59100,-293.06400,-212.56500,83.78200
2020-10-31,196.555,67.164,71.156,138.32,-147.139,-34.728,-28.309,-132.724,202.151,-35.493,0,0,0,0,0,-35.493,-4.661,-0.001,-4.662,32.088,32.088,-16.556,10.87,185.982,78.429
2020-07-31,252.911,70.65,53.768,124.418,-5.134,4.941,-105.873,22.094,399.423,-40.476,-49.867,0,2.151,2.151,0,-88.192,-105.781,0,-105.781,4.876,4.876,-29.88,-130.785,193.57,61.837
2020-04-30,109.92,67.363,-138.621,-71.258,161.831,-19.676,149.046,341.257,379.919,-27.123,-75.79,0,-0.262,-0.262,0,-103.175,-174.687,80,-94.687,-16.621,-16.621,-2.863,-114.171,156.136,56.435
2020-01-31,104.06100,65.99400,258.85000,324.84400,-246.36400,-5.56100,-39.38500,-419.08500,9.82000,-55.67000,-75.38800,,-2.50000,-2.50000,,-133.55800,-3.75000,196.49000,192.74000,-65.01800,-65.01800,-34.24200,93.48000,-28.24500,51.88300
2019-10-31,160.714,66.063,-31.055,35.008,-97.945,22.035,48.777,25.527,221.249,-77.785,-36.605,0,-3.245,-3.245,0,-117.635,-3.751,0,-3.751,-70.99,-70.99,15.166,-59.575,41.846,40.175
2019-07-31,99.929,67.097,57.966,125.063,65.892,10.927,-71.736,145.471,370.463,-54.15,0,0,2.185,2.185,0,-51.965,-153.75,4.137,-149.613,-75.998,-75.998,-39.136,-264.747,55.633,39.452
2019-04-30,118.21,66.643,18.349,84.992,232.527,-34.531,-116.911,149.6179,352.82,-40.709,0,0,4.176,4.176,0,-36.533,-253.75,3.68,-250.07,-3.006,-3.006,-22.58,-275.656,38.842,36.914
2019-01-31,153.51400,64.62300,33.74500,98.36800,-209.04900,-15.82700,90.05900,-395.90090,-144.01900,-29.74400,,,,,,-29.74400,-112.81200,185.08000,72.26800,-22.82700,-22.82700,-11.35500,38.08600,-130.79500,38.46000
