,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,95.268,248.602,33.688,282.2899,0.149,56.785,-33.329,23.605,401.163,-1361.385,0,-7.783,-7.783,9.328,-1359.84,-368.535,-368.535,1500.698,1500.698,-193.624,12.209,950.747,-8.193,11.586,-193.624
2022-09-30,383.443,234.887,-258.831,-23.944,-0.728,48.726,-44.459,3.539,363.038,-644.549,0,11.93,11.93,8.2,-624.419,252.25,252.25,199.43,199.43,-192.571,351.016,610.125,348.506,17.786,-192.571
2022-06-30,309.382,228.821,-183.342,45.479,0.497,8.39,-24.714,-15.827,339.034,-614.745,0,-30.461,-30.461,37.805,-607.401,-37.413,-37.413,0,0,-187.7,141.443,-83.67,-352.504,14.34,-187.7
2022-03-31,-117.39200,229.42300,213.07700,442.50000,-0.19100,-36.05100,-97.78000,-134.02200,191.08600,-2570.16400,,-19.74000,-19.74000,101.10600,-2488.79800,1527.49400,1527.49400,646.31600,646.31600,-183.84700,762.60700,2752.57000,454.93900,14.02800,-183.84700
2021-12-31,99.796,225.926,-21.278,204.648,0.371,-1.389,-53.866,-54.884,249.56,-2098.256,0,43.655,43.655,380.67,-1673.931,-470.867,-470.867,770.552,770.552,-173.56,1347.472,1473.598,47.173,14.253,-173.56
2021-09-30,124.433,199.534,-46.316,153.218,-1.042,71.036,-38.822,31.172,308.823,-1311.912,0,30.416,30.416,-15.44,-1296.936,449.143,449.143,492.081,492.081,-170.648,228.106,998.681,10.481,9.728,-170.648
2021-06-30,404.52,179.179,-311.98,-132.801,0.848,-18.477,-14.329,-31.958,239.761,-1612.998,0,-51.908,-51.908,-33.671,-1698.577,299.173,299.173,868.815,868.815,-160.778,274.618,1281.828,-176.83,12.242,-160.778
2021-03-31,25.53300,171.04200,55.07400,226.11600,-0.22100,9.75900,-49.13400,-39.59600,212.05300,-2310.75900,-9.04800,-19.77000,-19.77000,-98.30300,-2437.88000,978.29300,978.29300,1397.64900,1397.64900,-150.98200,-62.70600,2162.25400,-63.30200,12.44600,-150.98200
2020-12-31,457.133,166.272,-388.466,-222.194,0.318,-30.998,-30.69,-61.37,173.569,-406.631,0,-20.963,-20.963,14.449,-413.145,-262.2284,-262.2284,502.289,502.289,-143.04,254.554,351.575,112.662,11.394,-143.04
2020-09-30,95.799,164.547,36.192,200.739,-0.414,36.726,-17.566,18.746,315.284,-1436.57,0,-5.626,-5.626,-25.76,-1467.956,306.4666,306.4666,1309.235,1309.235,-133.681,-86.208,1395.812,243.503,12.994,-133.681
