,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-1180.3,-456.9,3102.9,2646,107.8,0,-92.6,15.2,1759.6,70.7,425.2,0,-22390,-5509.098,-27899.1,5629.7,-21773.5,-495.4,-7959.8,-8455.2,31.9,31.9,463.1,26117,18156.8,-1436,437.5
2022-09-30,394.8,158,-774.5,-616.5,-300,0,66.9,-233.1,-895.7,-23.5,-155.2,0,-1746.1,2355.297,609.2,-3882.8,-3452.3,-500,7380.7,6880.7,-0.4,-0.4,-150.7,-2826,3903.6,-627,-146
2022-06-30,396.2,146.3,-1804,-1657.7,-93.2,0,13.7,-79.5,-1610.8,-21.4,-146.8,0,16819,1050.101,17869.1,-2800.7,14900.2,995.4,851.7,1847.1,-0.3,-0.3,-162.2,-13428.399,-11743.8,1336.6,-146
2022-03-31,389.30000,152.60000,-524.40000,-371.80000,285.40000,,12.00000,297.40000,746.90000,-25.80000,-123.20000,,7317.10000,2103.70000,9420.80000,1053.80000,10325.60000,,-272.60000,-272.60000,-31.20000,-31.20000,-150.20000,-9862.60100,-10316.60000,726.40000,-145.50000
2021-12-31,406.4,157.2,1621,1778.2,-321.6,0,-11.6,-296,2041.9,-30.5,-140.9,0,-13499.4,-3142.6953,-16642.096,-1977.5,-18791,-278.8,-2077.3,-2356.1,3.2,3.2,-161.7,18158.1,15643.5,-1137.9,-145.5
2021-09-30,395.7,154.2,-206.7,-52.5,-60.4,0,4.2,-56.2,481.8,-25.9,-109.4,0,4596.5,-697.3047,3899.196,-1343.9,2420,-500,511.9,11.9,-92.2,-92.2,-150.8,-3234,-3465.1,-604.6,-146.1
2021-06-30,368.1,152.4,-1110.3,-957.9,-12.2,0,-7.7,-19.9,-1236,-28.4,-74.5,0,-5899.8,1529.301,-4370.499,-2891.9,-7365.3,0,154.9,154.9,2.1,2.1,-162,8805.7,8800.7,214.9,-145.8
2021-03-31,375.10000,151.50000,-860.90000,-709.40000,-66.70000,,7.30000,-59.40000,68.30000,-10.70000,-94.80000,,8074.50000,-1338.80100,6735.69900,-1496.50000,5133.70000,,1216.10000,1216.10000,-126.90000,-126.90000,-150.60000,-5844.20000,-4905.60000,194.90000,-145.90000
2020-12-31,240.9,153.4,928.8,1082.2,-43.1,0,-18.6,-36.3,1476.3,-33.2,-137.1,0,-16713.2,701.604,-16011.6,-626.6,-16808.5,-508.6,-3937.9,-4446.5,7.5,7.5,-162,19440.6,14839.6,-348,-145.8
2020-09-30,294.5,147.4,-69.3,78.1,87,0,11.1,98.1,-77.9,-26,-99.7,0,4034.2,-3674.902,359.3,943.2,1176.8,0,40.6,40.6,-1.4,-1.4,-150.5,-727,-838.3,275.3,-145.8
