,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,118.00000,203.00000,172.00000,375.00000,-88.00000,-348.00000,-338.00000,-54.00000,-789.00000,-296.00000,-107.00000,-79.00000,,-3.00000,-3.00000,,-189.00000,421.00000,,421.00000,-154.00000,-154.00000,-241.00000,-17.00000,9.00000,-490.00000,30.00000,-241.00000
2022-09-30,618,197,246,443,210,-12,0,-91,118,1179,-73,-33,0,-1,-1,2,-105,-1495,1227,-268,-12,-12,-242,-23,-545,525,23,-242
2022-06-30,443,201,-29,172,-331,-142,-489,-53,-128,487,-167,-112,0,0,0,23,-256,175,0,175,-1425,-1425,-247,1082,-415,-279,22,-247
2022-03-31,90,208,284,492,-231,-243,156,-181,-650,-68,-97,-16,0,-1,-1,0,-114,1665,0,1665,539,539,-357,-1046,801,598,28,-357
2021-12-31,381.00000,224.00000,-134.00000,90.00000,-75.00000,-376.00000,333.00000,-44.00000,-79.00000,392.00000,-128.00000,-92.00000,,2.00000,2.00000,,-218.00000,394.00000,,394.00000,-526.00000,-526.00000,-191.00000,-34.00000,-357.00000,-120.00000,29.00000,-191.00000
2021-09-30,83,218,59,277,14,-15,0,-151,169,529,-180,-18,0,-14,-14,8,-204,-460,496,36,-288,-288,-201,-28,-481,-115,25,-201
2021-06-30,661,208,-53,155,-324,7,-510,57,46,862,-105,-697,0,-1,-1,36,-767,-31,0,-31,-974,-974,-225,659,-571,-437,19,-225
2021-03-31,442,212,-230,-18,-57,-113,419,-10,221,645,-86,-2,0,6,6,0,-82,-13,0,-13,448,448,-288,-679,-532,50,10,-288
2020-12-31,327.00000,207.00000,-154.00000,53.00000,224.00000,-98.00000,91.00000,-104.00000,135.00000,515.00000,-57.00000,11.00000,,9.00000,9.00000,,-37.00000,-20.00000,,-20.00000,-315.00000,-315.00000,-190.00000,-22.00000,-547.00000,-116.00000,22.00000,-190.00000
2020-09-30,441,206,-366,-160,106,250,0,-19,699,980,-67,117,0,1,1,0,51,-914,492,-422,-704,-704,-241,-141,-1508,-395,13,-241
2020-06-30,-182,202,532,734,184,56,0,126,281,833,-19,-1,0,-1,-1,0,-21,-338,1312,974,3,3,-256,-1,720,1336,23,-256
2020-03-31,213,207,-7,200,7,-147,0,-129,-258,155,-105,-10,0,0,0,0,-115,-167,-10,-177,-798,-798,-199,-12,-1186,-1153,15,-199
2019-12-31,159.00000,207.00000,55.00000,262.00000,237.00000,-114.00000,,-59.00000,90.00000,511.00000,-125.00000,-48.00000,,,,,-173.00000,,10.00000,10.00000,-630.00000,-630.00000,-208.00000,-22.00000,-850.00000,-649.00000,23.00000,-208.00000
2019-09-30,612,200,846,1046,182,217,0,-74,-626,1032,-173,-9,0,12,12,0,-170,-1296,1286,-10,-801,-801,-208,0,-1019,-880,-66,-208
2019-06-30,78,203,367,570,-355,32,0,-58,-40,608,-113,3,0,-1,-1,7,-104,-3889,-1274,-5163,-4062,-4062,-233,-3,-9461,3443,24,-233
2019-03-31,303,211,361,572,-285,-99,0,0,-693,182,-122,0,-15,14,-1,0,-123,542,-12,530,-495,-495,-328,-2,-295,-54,24,-328
2018-12-31,107.00000,211.00000,14.00000,225.00000,146.00000,-222.00000,,-88.00000,-411.00000,-79.00000,-151.00000,-7.00000,15.00000,,15.00000,7.00000,-136.00000,1014.00000,,1014.00000,-454.00000,-454.00000,-283.00000,-21.00000,256.00000,112.00000,18.00000,-283.00000
2018-09-30,766,175,-896,-721,-21,108,0,130,778,823,-139,104,0,2,2,0,-33,2993,-3955,-962,-18,-18,-240,-4,-1224,-86,29,-240
2018-06-30,412,227,90,317,-347,-2,53,-120,-172,557,-188,-22,0,0,0,0,-210,-416,450,34,-53,-53,-241,-2,-262,22,27,-241
2018-03-31,246,212,-91,121,-97,-13,-53,-139,-94,273,-161,88,0,4,4,0,-69,-385,-103,-488,-29,-29,-284,-12,-813,-287,23,-284
