,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,882.231,18.984,100.811,119.795,449.452,-255.139,-29.635,972.391,-24.076,0,-6.547,-6.547,13.57,-17.053,248.521,-70.479,-100,-100,-34.518,52.814,-152.183,803.155,3.469,-34.518
2022-09-30,627.928,18.541,56.902,75.443,-1023.013,74.907,-1109.639,-406.268,-26.028,0,-7.674,-7.674,2.152,-31.55,-105.33,213.67,-180.446,-180.446,-35.4,-0.712,-2.888,-440.706,9.88,-35.4
2022-06-30,652.435,17.212,26.059,43.271,-868.361,-95.74,-801.029,-105.323,-31.871,0,-43.799,-43.799,0.496,-75.174,42.526,42.526,-294.227,-294.227,-36.401,-11.167,-299.269,-479.766,13.025,-36.401
2022-03-31,454.72300,16.18100,32.35900,48.54000,-814.76800,401.52100,-295.59700,207.66600,-30.68600,-10.40000,-6.68100,-6.68100,-0.19900,-47.96600,-229.98500,-229.98500,-500.00000,-500.00000,-37.79600,-13.61400,-781.39500,-621.69500,16.61500,-37.79600
2021-12-31,663.265,16.93,49.884,66.814,-129.047,-391.024,-274.283,455.796,-20.647,0,-65.779,-65.779,48.762,-37.664,110.12,110.12,-283,-283,-36.138,-0.2,-209.218,208.914,8.306,-36.138
2021-09-30,475.549,17.616,18.111,35.727,-504.704,-50.262,-395.119,116.157,-20.587,0,-19.892,-19.892,1.395,-39.084,123.877,123.877,-260.6,-260.6,-36.786,-0.035,-173.544,-96.471,6.836,-36.786
2021-06-30,503.399,18.265,3.014,21.279,-388.7,-117.06,-269.358,255.32,-16.795,0,-7.751,-7.751,4.785,-19.761,78.849,78.849,-200,-200,-37.299,-0.041,-158.491,77.068,9.973,-37.299
2021-03-31,304.10700,17.14200,85.17100,102.31300,-243.94700,15.62700,-229.67200,176.74800,-14.75200,-10.40000,-8.16900,-8.16900,5.69800,-27.62300,-935.43700,-935.43700,-153.69200,-153.69200,-37.61100,-10.56600,-1137.30600,-988.18100,11.63000,-37.61100
2020-12-31,438.111,17.545,62.338,79.883,-81.265,-193.59,-0.277,517.717,-11.429,0,-0.09,-0.09,10.751,-0.768,108.501,108.501,-75,-75,-32.423,0,1.078,518.027,7.833,-32.423
2020-09-30,416.397,16.998,49.747,66.745,-17.513,-19.816,-24.389,458.753,-10.179,0.005,0.001,0.001,8.444,-1.729,-8.2,-8.2,0.012,0.012,-32.424,0,-40.612,416.412,8.328,-32.424
2020-06-30,348.62,16.389,37.289,53.678,291.13,-31.212,200.959,603.257,-16.607,-0.056,-0.001,-0.001,7.01,-9.654,-14.502,-714.502,0.049,0.049,-32.592,-0.015,-747.06,-153.457,5.203,-32.592
2020-03-31,203.71100,35.33900,40.26000,75.59900,-189.36400,141.57900,-74.69500,204.61500,-20.13900,-83.20000,-0.66300,-0.66300,8.20600,-95.79600,-65.81800,634.18200,-95.62600,-95.62600,-32.74000,-14.83800,490.97800,599.79700,11.47900,-32.74000
2019-12-31,335.798,13.697,41.732,55.429,189.442,-145.888,101.995,493.222,-14.957,0,-1,-1,1.663,-14.294,64.637,64.637,-29.914,-29.914,-30.115,-0.724,3.884,482.812,6.979,-30.115
2019-09-30,273.104,13.805,47.021,60.826,-27.663,-67.608,-56.857,277.073,-13.587,0,-3.851,-3.851,0.417,-17.021,15.066,15.066,-134.757,-134.757,-30.615,-0.376,-150.682,109.37,4.085,-30.615
2019-06-30,241.041,13.287,41.587,54.874,-139.655,-50.183,-149.113,146.802,-13.505,-163.724,-3.375,-3.375,4.301,-176.303,-281.651,-281.651,-79.709,-79.709,-30.818,0,-392.178,-421.679,8.285,-30.818
2019-03-31,166.75700,13.21000,36.64900,49.85900,-259.86500,198.75000,-57.71100,158.90500,-16.07000,,-1.28900,-1.28900,0.29100,-17.06800,-129.87800,-129.87800,-23.55400,-23.55400,-30.80200,-10.35000,-194.58400,-52.74700,9.01900,-30.80200
2018-12-31,237.648,12.712,224.538,237.25,213.372,-155.094,-41.598,433.3,-12.51,0,0,0,4.019,-8.491,97.558,97.558,-121.413,-121.413,-25.736,-0.53,-50.121,374.688,6.769,-25.736
2018-09-30,289.534,12.556,116.172,128.728,17.628,-18.662,49.136,467.398,-13.47,0,0,0,8.63,-4.84,-13.533,-13.533,-58.574,-58.574,-25.9,-7.454,-105.461,357.097,5.359,-25.9
2018-06-30,324.09,12.271,111.635,123.906,-44.193,39.544,-69.427,378.569,-17.631,0,0,0,6.463,-11.168,-64.89,-64.89,-51.256,-51.256,-26.037,-8.09,-150.273,217.128,7.711,-26.037
2018-03-31,170.75100,11.89000,34.55600,46.44600,-237.16900,175.90100,-48.18400,169.01300,-15.42800,,-1.00000,-1.00000,0.45200,-15.97600,-191.30300,-191.30300,-56.76800,-56.76800,-26.34700,,-274.41800,-121.38100,8.45100,-26.34700
2017-12-31,77.414,12.309,361.937,374.246,188.976,-173.178,-41.059,410.601,-8.503,0,-1.03,-1.03,-0.942,-10.475,64.234,-18.766,-239.564,-239.564,-26.73,-5.995,-291.055,109.071,7.178,-26.73
2017-09-30,177.539,12.666,54.893,67.559,-271.613,7.016,-168.945,76.153,-6.656,0,-4.175,-4.175,2.645,-8.186,87.273,170.273,-253.194,-253.194,-27.804,0,-110.725,-42.758,5.634,-27.804
2017-06-30,100.75,12.814,171.807,184.621,-219.379,-27.723,-148.848,136.523,-6.896,0,-3.03,-3.03,1.72,-8.206,12.236,12.236,-295.449,-295.449,-29.112,0,-312.325,-184.008,6.71,-29.112
