,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,10621.00000,5437.00000,9326.00000,2063.00000,27447.00000,4854.00000,561.00000,12200.00000,39647.00000,10199.00000,8924.00000,14176.00000,24375.00000,3.00000,2859.00000,559.00000,15272.00000,39647.00000
2022-08-31,11876.00000,4960.00000,9662.00000,2379.00000,28877.00000,4778.00000,565.00000,12211.00000,41088.00000,10919.00000,8922.00000,14347.00000,25266.00000,3.00000,3535.00000,636.00000,15822.00000,41088.00000
2022-05-31,12997.00000,4667.00000,8420.00000,2129.00000,28213.00000,4791.00000,570.00000,12108.00000,40321.00000,10730.00000,8920.00000,14310.00000,25040.00000,3.00000,3476.00000,318.00000,15281.00000,40321.00000
2022-02-28,13467.00000,3827.00000,7700.00000,1968.00000,26962.00000,4806.00000,575.00000,11615.00000,38577.00000,8818.00000,9418.00000,14950.00000,23768.00000,3.00000,3521.00000,99.00000,14809.00000,38577.00000
2021-11-30,15103.00000,3746.00000,6506.00000,1822.00000,27177.00000,4812.00000,507.00000,11740.00000,38917.00000,8857.00000,9417.00000,15136.00000,23993.00000,3.00000,3786.00000,145.00000,14924.00000,38917.00000
2021-08-31,13695.00000,4341.00000,6699.00000,1655.00000,26390.00000,4869.00000,509.00000,11527.00000,37917.00000,8269.00000,9415.00000,15305.00000,23574.00000,3.00000,3886.00000,-67.00000,14343.00000,37917.00000
2021-05-31,13476.00000,4463.00000,6854.00000,1498.00000,26291.00000,4904.00000,511.00000,11449.00000,37740.00000,9674.00000,9413.00000,15299.00000,24973.00000,3.00000,3179.00000,-380.00000,12767.00000,37740.00000
2021-02-28,12528.00000,3669.00000,6693.00000,1810.00000,24700.00000,4958.00000,513.00000,11485.00000,36185.00000,8894.00000,9412.00000,15360.00000,24254.00000,3.00000,2729.00000,-446.00000,11931.00000,36185.00000
2020-11-30,11812.00000,3713.00000,6090.00000,1992.00000,23607.00000,4959.00000,493.00000,11229.00000,34836.00000,8871.00000,9410.00000,15325.00000,24196.00000,3.00000,1730.00000,-429.00000,10640.00000,34836.00000
2020-08-31,9480.00000,3813.00000,6705.00000,1939.00000,21937.00000,4969.00000,495.00000,11321.00000,33258.00000,8619.00000,9408.00000,15415.00000,24034.00000,3.00000,927.00000,-401.00000,9224.00000,33258.00000
2020-05-31,8787.00000,2749.00000,7367.00000,1653.00000,20556.00000,4866.00000,497.00000,10786.00000,31342.00000,8284.00000,9406.00000,15003.00000,23287.00000,3.00000,-191.00000,-56.00000,8055.00000,31342.00000
2020-02-29,3182.00000,4473.00000,5807.00000,2282.00000,15744.00000,4783.00000,498.00000,10476.00000,26220.00000,8280.00000,3463.00000,8895.00000,17175.00000,3.00000,1128.00000,-57.00000,9045.00000,26220.00000
2019-11-30,3502.00000,4792.00000,6199.00000,1876.00000,16369.00000,4668.00000,501.00000,10233.00000,26602.00000,8264.00000,3462.00000,8987.00000,17251.00000,3.00000,1577.00000,52.00000,9351.00000,26602.00000
2019-08-31,3644.00000,4656.00000,5835.00000,2093.00000,16228.00000,4615.00000,503.00000,10021.00000,26249.00000,8070.00000,3463.00000,8979.00000,17049.00000,3.00000,1721.00000,180.00000,9200.00000,26249.00000
2019-05-31,4663.00000,4272.00000,5622.00000,1968.00000,16525.00000,4744.00000,437.00000,7192.00000,23717.00000,7866.00000,3464.00000,6811.00000,14677.00000,3.00000,1643.00000,231.00000,9040.00000,23717.00000
2019-02-28,4046.00000,4549.00000,5415.00000,1786.00000,15796.00000,4688.00000,437.00000,7125.00000,22921.00000,7281.00000,3465.00000,6679.00000,13960.00000,3.00000,1851.00000,197.00000,8961.00000,22921.00000
2018-11-30,4041.00000,4346.00000,5388.00000,1791.00000,15566.00000,4588.00000,438.00000,7111.00000,22677.00000,7278.00000,3466.00000,6670.00000,13948.00000,3.00000,1810.00000,209.00000,8729.00000,22677.00000
2018-08-31,4269.00000,4330.00000,5227.00000,1675.00000,15501.00000,4487.00000,438.00000,6982.00000,22483.00000,6708.00000,3467.00000,6783.00000,13491.00000,3.00000,2494.00000,-30.00000,8992.00000,22483.00000
2018-05-31,5245.00000,3498.00000,5261.00000,1130.00000,15134.00000,4454.00000,439.00000,7402.00000,22536.00000,6040.00000,3468.00000,6684.00000,12724.00000,3.00000,3517.00000,-92.00000,9812.00000,22536.00000
2018-02-28,4751.00000,3792.00000,5366.00000,1446.00000,15355.00000,4298.00000,421.00000,7197.00000,22552.00000,5783.00000,3469.00000,6987.00000,12770.00000,3.00000,1078.00000,-624.00000,9782.00000,22552.00000
2017-11-30,6389.00000,3613.00000,5326.00000,1254.00000,16582.00000,4117.00000,421.00000,7473.00000,24055.00000,6750.00000,3472.00000,5547.00000,12297.00000,3.00000,3301.00000,-587.00000,11758.00000,24055.00000
2017-08-31,5519.00000,3871.00000,5211.00000,1591.00000,16192.00000,4086.00000,422.00000,7455.00000,23647.00000,6056.00000,3472.00000,5598.00000,11654.00000,3.00000,3759.00000,-586.00000,11993.00000,23647.00000
2017-05-31,6179.00000,3677.00000,5055.00000,1150.00000,16061.00000,3989.00000,422.00000,7198.00000,23259.00000,5474.00000,3471.00000,5378.00000,10852.00000,3.00000,6907.00000,-213.00000,12407.00000,23259.00000
2017-02-28,6160.00000,3752.00000,4932.00000,1361.00000,16205.00000,3793.00000,422.00000,6947.00000,23152.00000,5271.00000,3472.00000,5159.00000,10430.00000,3.00000,4095.00000,229.00000,12722.00000,23152.00000
2016-11-30,5943.00000,3478.00000,5033.00000,1557.00000,16011.00000,3566.00000,422.00000,6641.00000,22652.00000,5225.00000,3473.00000,5104.00000,10329.00000,3.00000,3725.00000,399.00000,12323.00000,22652.00000
2016-08-31,4787.00000,3526.00000,4896.00000,1380.00000,14589.00000,3572.00000,423.00000,6567.00000,21156.00000,5363.00000,1993.00000,3628.00000,8991.00000,3.00000,4078.00000,85.00000,12165.00000,21156.00000
2016-05-31,5457.00000,3241.00000,4838.00000,1489.00000,15025.00000,3520.00000,412.00000,6354.00000,21379.00000,5358.00000,1993.00000,3763.00000,9121.00000,3.00000,4151.00000,318.00000,12258.00000,21379.00000
2016-02-29,5106.00000,3368.00000,4590.00000,1782.00000,15256.00000,3329.00000,412.00000,5731.00000,20987.00000,4980.00000,2048.00000,3707.00000,8687.00000,3.00000,4113.00000,645.00000,12300.00000,20987.00000
2015-11-30,6116.00000,3437.00000,4600.00000,2197.00000,16755.00000,3235.00000,412.00000,5828.00000,22583.00000,5511.00000,2067.00000,3667.00000,9178.00000,3.00000,4887.00000,1107.00000,13405.00000,22583.00000
2015-08-31,5408.00000,3288.00000,4414.00000,1751.00000,15238.00000,3112.00000,412.00000,5528.00000,20766.00000,5276.00000,1079.00000,2596.00000,7872.00000,3.00000,5029.00000,833.00000,12894.00000,20766.00000
2015-05-31,5924.00000,3358.00000,4337.00000,1968.00000,15587.00000,3011.00000,412.00000,6010.00000,21597.00000,6332.00000,1079.00000,2558.00000,8890.00000,3.00000,4685.00000,1246.00000,12707.00000,21597.00000
2015-02-28,5361.00000,3294.00000,4246.00000,1978.00000,15207.00000,2862.00000,412.00000,5334.00000,20541.00000,5586.00000,1082.00000,2587.00000,8173.00000,3.00000,4737.00000,1111.00000,12368.00000,20541.00000
