,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4857.79800,3591.03000,5453.53100,789.32500,14691.68000,9616.92000,7242.32500,928.28100,17787.53000,32479.21000,4329.74400,6613.68700,8579.56100,12909.30000,152.06100,24754.87000,-137.51700,19569.91000,32479.21000
2022-09-30,3427.29000,4200.64300,6046.23500,682.28900,14356.46000,9440.07400,7310.39300,965.78000,17716.25000,32072.70000,4632.08900,6617.03000,8615.93600,13248.03000,152.06100,23629.65000,-103.55300,18824.68000,32072.70000
2022-06-30,2365.99500,4749.60000,6579.14200,339.07400,14033.81000,9213.60000,7358.65200,1062.39400,17634.65000,31668.46000,5359.20100,6621.68500,8456.44800,13815.65000,152.06100,22064.38000,-70.81000,17852.81000,31668.46000
2022-03-31,4172.13400,4111.47800,6245.67900,252.06000,14781.35000,8921.26300,3967.34400,962.91000,13851.52000,28632.87000,5133.83500,6112.33100,7355.91300,12489.75000,152.06100,19635.28000,-44.50400,16143.12000,28632.87000
2021-12-31,2617.86300,3853.97200,6011.18200,316.54000,12799.56000,8114.81800,3931.10300,977.59400,13023.51000,25823.07000,5157.41300,4961.41000,6061.86500,11219.28000,152.06100,17674.10000,-115.28200,14603.79000,25823.07000
2021-09-30,2011.54000,4087.29300,5678.71500,346.27700,12123.83000,7777.27700,3959.28400,1089.09300,12825.65000,24949.48000,4797.59900,4949.94500,6201.58800,10999.19000,152.06100,15561.26000,-85.90100,13950.29000,24949.48000
2021-06-30,3121.06500,3399.07600,5240.75000,295.04800,12055.94000,7235.53600,2868.75900,835.34800,10939.64000,22995.58000,3879.95000,5275.49600,6405.98100,10285.93000,152.06100,13550.41000,-73.72900,12709.65000,22995.58000
2021-03-31,2863.31800,2828.96400,4360.12200,356.72700,10409.13000,7031.68800,2882.66200,848.92700,10763.28000,21172.41000,2970.44600,5273.03600,6340.23900,9310.68500,152.06100,12163.63000,-103.56000,11861.72000,21172.41000
2020-12-31,3047.67500,2298.85000,3569.08900,573.04800,9488.66200,6899.11000,2897.69300,839.92900,10636.73000,20125.39000,2627.86000,5271.78900,6265.67300,8893.53300,152.06100,11343.85000,-118.86100,11231.86000,20125.39000
2020-09-30,3278.97900,2119.42100,3260.68500,306.76200,8965.84700,6829.73300,2874.34600,849.35100,10553.43000,19519.28000,2373.29500,5452.19300,6428.91500,8802.21000,152.06100,11068.91000,-315.46900,10717.07000,19519.28000
2020-06-30,3036.66200,1888.92900,3373.25800,336.11500,8634.96400,6556.45100,2888.58100,685.96900,10131.00000,18765.96000,1965.03800,5279.10300,6177.44200,8142.48000,152.06100,10998.53000,-340.83600,10623.49000,18765.96000
2020-03-31,1391.15700,2273.15700,3875.59000,307.34700,7847.25100,6416.95900,2901.00000,700.85100,10018.81000,17866.06000,2218.57200,4243.18100,5051.42000,7269.99200,152.06100,11012.69000,-367.62700,10596.07000,17866.06000
2019-12-31,1834.64500,2160.10200,3842.09500,389.52800,8226.37000,6178.55500,2943.24900,996.49200,10118.30000,18344.67000,2463.77400,4291.30100,5089.71600,7553.49000,152.06100,11115.06000,-302.96600,10791.18000,18344.67000
2019-09-30,1935.98100,2312.36600,4072.46400,363.47700,8684.28800,5886.73000,2950.76600,984.48100,9821.97800,18506.27000,2585.99300,4287.59700,5059.23900,7645.23200,152.06100,11130.17000,-313.76600,10861.03000,18506.27000
2019-06-30,1481.79200,2399.23900,4268.79900,317.36900,8467.19900,5797.51300,2974.23100,887.53700,9659.28100,18126.48000,2380.41400,4234.30800,5048.05800,7428.47200,152.06100,10977.95000,-297.76000,10698.01000,18126.48000
2019-03-31,1600.80700,2483.13800,4445.22800,121.17000,8650.34300,5573.23700,2990.56500,872.55300,9436.35400,18086.70000,2568.01500,4233.79200,5016.01700,7584.03200,152.06100,10714.28000,-308.78700,10502.67000,18086.70000
2018-12-31,1398.88600,2505.56800,4553.50000,178.31100,8636.26500,5334.74800,3012.84000,936.73500,9284.32300,17920.59000,2806.30000,4233.27600,4912.32000,7718.62000,152.06100,10337.45000,-304.13300,10201.97000,17920.59000
2018-09-30,1932.15500,2636.03800,4105.71400,170.34400,8844.25100,5151.30200,3041.80000,925.54000,9118.64200,17962.89000,2807.69500,4232.76000,4980.77700,7788.47200,152.06100,9814.07300,-274.60700,10174.42000,17962.89000
2018-06-30,1486.45300,2637.74400,4133.47200,143.56600,8401.23500,5122.38100,3053.71400,874.36200,9050.45700,17451.69000,2750.32900,4232.24400,4965.93900,7716.26800,152.06100,9257.82300,-296.03200,9735.42400,17451.69000
2018-03-31,760.25400,2371.75800,3708.50300,238.70100,7079.21600,5090.89000,3087.68600,863.45400,9042.03000,16121.25000,2844.58100,3242.86500,3953.74600,6798.32700,152.06100,8696.00700,-249.36600,9322.91900,16121.25000
2017-12-31,999.10400,2028.54500,3461.68600,335.08500,6824.42000,5093.14700,3110.70400,812.98700,9016.83900,15841.26000,2824.76400,3242.24200,3931.70600,6756.47000,151.96000,8463.70900,-254.68100,9084.78800,15841.26000
2017-09-30,1625.94400,2113.89000,3522.19900,238.61400,7500.64700,5095.88000,3148.55100,758.75600,9003.18700,16503.83000,3555.46600,3241.48800,4102.55400,7658.02000,151.94300,8201.66700,-217.85600,8845.81400,16503.83000
2017-06-30,1561.35300,2081.15000,3326.56300,213.62600,7182.69200,5062.42300,3126.61900,740.99100,8930.03300,16112.72000,3325.30600,3240.69400,4075.50600,7400.81200,151.92000,8067.84600,-292.93500,8711.91300,16112.72000
2017-03-31,1707.75900,1980.55600,3064.17000,125.70800,6878.19300,5133.40400,3146.76800,717.09500,8997.26700,15875.46000,2837.79600,3739.90800,4569.59300,7407.38900,151.77500,7866.40500,-316.99200,8468.07100,15875.46000
