,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,705.30000,901.00000,560.50000,281.10000,,2447.90000,405.20000,12545.80000,494.20000,13445.20000,15893.10000,2592.10000,2559.00000,1346.30000,3905.30000,6497.40000,3.60000,6539.60000,-453.70000,,9395.70000,15893.10000
2022-06-30,682.90000,940.90000,547.70000,273.80000,,2445.30000,407.60000,12736.70000,481.30000,13625.60000,16070.90000,2611.30000,2682.20000,1328.00000,4010.20000,6621.50000,3.60000,6374.50000,-342.10000,,9449.40000,16070.90000
2022-03-31,684.30000,929.00000,553.30000,281.10000,,2447.70000,412.60000,12921.80000,484.30000,13818.70000,16266.40000,2561.60000,2738.90000,1399.20000,4138.10000,6699.70000,3.60000,6226.40000,-223.90000,,9566.70000,16266.40000
2021-12-31,819.30000,930.20000,512.70000,252.70000,,2514.90000,395.50000,13042.20000,512.90000,13950.60000,16465.50000,3714.90000,1807.30000,1426.30000,3233.60000,6948.50000,3.60000,6023.60000,-185.00000,,9517.00000,16465.50000
2021-09-30,838.40000,830.40000,506.80000,249.70000,,2425.30000,395.00000,11613.60000,361.90000,12550.80000,14976.10000,2868.90000,1442.10000,1198.00000,2784.40000,5653.30000,3.60000,5882.20000,-192.10000,,9322.80000,14976.10000
2021-06-30,1565.80000,817.90000,488.00000,214.70000,,3086.40000,400.00000,10481.00000,348.00000,11409.10000,14495.50000,2569.70000,1441.80000,1128.60000,2716.10000,5285.80000,3.60000,5756.60000,-157.30000,,9209.70000,14495.50000
2021-03-31,1299.60000,829.50000,466.60000,205.20000,,2800.90000,410.10000,10550.10000,331.20000,11478.00000,14278.90000,2474.80000,1441.50000,1193.20000,2787.40000,5262.20000,3.40000,5616.60000,-174.80000,,9016.70000,14278.90000
2020-12-31,2944.00000,810.30000,455.50000,206.70000,,4446.90000,422.00000,10649.80000,344.10000,11604.60000,16051.50000,2860.80000,2830.30000,1233.40000,4218.00000,7078.80000,3.40000,5547.40000,-141.10000,,8972.70000,16051.50000
2020-09-30,1489.10000,1207.60000,661.80000,414.10000,,3774.70000,513.60000,11936.60000,759.70000,13425.00000,17199.70000,3041.00000,4699.20000,1600.40000,6470.60000,9511.60000,3.40000,4372.70000,-91.70000,,7688.10000,17199.70000
2020-06-30,1063.00000,1129.20000,664.50000,390.40000,,3250.40000,519.80000,11969.00000,758.70000,13455.30000,16705.70000,2876.40000,4686.20000,1572.40000,6422.40000,9298.80000,3.40000,4187.80000,-156.60000,,7406.90000,16705.70000
2020-03-31,1040.50000,1317.60000,650.40000,433.80000,,3445.60000,520.00000,12022.10000,744.00000,13486.10000,16931.70000,2121.10000,5826.10000,1576.70000,7557.30000,9678.40000,3.40000,4098.60000,-193.60000,,7253.30000,16931.70000
2019-12-31,1205.20000,890.70000,416.20000,338.60000,,3688.80000,416.00000,10812.20000,344.70000,13750.20000,17439.00000,3467.20000,4826.20000,1339.00000,6571.60000,10038.80000,3.40000,4128.80000,-56.30000,,7400.20000,17439.00000
2019-09-30,1060.50000,1332.00000,680.70000,374.90000,,3465.90000,519.80000,11656.10000,808.40000,13194.50000,16660.40000,2916.30000,5015.60000,1399.60000,6580.50000,9496.80000,3.40000,3976.70000,-119.60000,,7163.60000,16660.40000
2019-06-30,1092.10000,1315.20000,693.70000,313.90000,,3436.30000,514.70000,11564.10000,755.40000,13031.80000,16468.10000,2791.20000,5196.50000,1306.50000,6654.00000,9445.20000,3.40000,3810.40000,-67.60000,,7022.90000,16468.10000
2019-03-31,3728.90000,1146.60000,608.30000,286.20000,,5796.30000,468.30000,8604.50000,620.70000,9859.90000,15656.20000,2639.60000,4728.30000,1313.10000,6153.90000,8793.50000,3.40000,3676.40000,-69.40000,,6862.70000,15656.20000
2018-12-31,1178.40000,1195.10000,574.50000,193.20000,,3171.20000,576.10000,8609.40000,548.90000,9734.40000,12905.60000,2192.10000,2974.70000,1125.90000,4100.60000,6292.70000,3.40000,3552.70000,-86.60000,,6612.90000,12905.60000
2018-09-30,1145.10000,1295.60000,649.20000,324.40000,,3414.30000,682.30000,9243.19900,523.00000,10448.50000,13862.80000,3479.50000,3178.00000,1356.20000,4534.20000,8013.70000,3.50000,2057.10000,-92.80000,,5849.10000,13862.80000
2018-06-30,2368.20000,1187.80000,642.30000,305.10000,,4503.40000,690.40000,6312.80000,479.50000,7482.70000,11986.10000,2298.70000,2927.40000,1118.10000,4045.50000,6344.20000,3.50000,1853.90000,-69.60000,,5641.90000,11986.10000
2018-03-31,1015.70000,1172.10000,615.90000,276.00000,,3079.70000,709.80000,6385.40000,480.50000,7575.70000,10655.40000,1461.40000,3996.90000,1087.40000,5084.30000,6545.70000,3.50000,1583.30000,29.50000,,4109.70000,10655.40000
