,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2015-03-31,406.58700,592.30100,506.08600,57.69900,1608.75400,434.40100,146.07100,4146.01400,4726.48600,6335.24000,898.50200,1418.63800,146.69100,2172.87600,3071.37800,2.59500,3590.38700,-361.69600,3263.86200,6335.24000
2014-12-31,377.61500,585.46200,495.89600,74.57800,1578.60400,448.44600,154.32200,4239.59100,4842.35900,6420.96300,936.14400,1427.82500,199.04800,2245.25800,3181.40200,2.58900,3469.92300,-266.89400,3239.56100,6420.96300
2014-09-30,369.61300,593.45200,526.67400,52.98700,1590.13000,451.55100,231.15900,4298.22100,4980.93100,6571.06100,831.70900,1473.48200,163.45200,2271.54500,3103.25400,2.58700,3339.74900,-141.47100,3467.80700,6571.06100
2014-06-30,282.77100,594.15100,538.28700,65.43900,1530.67000,459.18700,226.55700,4268.58900,4954.33300,6485.00300,1121.82500,1148.24800,169.92000,1941.26000,3063.08500,2.58600,3219.97800,-58.06000,3421.91800,6485.00300
2014-03-31,265.33500,592.40700,483.44800,51.55100,1434.17100,405.91300,225.59200,4023.16700,4654.67200,6088.84300,931.80500,1142.81800,165.20100,1884.40600,2816.21100,2.58300,3091.93800,-65.52600,3272.63200,6088.84300
2013-12-31,295.20300,536.70100,452.84800,45.56200,1369.12900,402.79000,223.69400,3882.28900,4508.77300,5877.90200,874.54500,1141.75000,166.93100,1867.23600,2741.78100,2.58100,2966.01500,-65.23900,3136.12100,5877.90200
2013-09-30,254.87800,532.09200,449.13300,32.69700,1308.55700,383.59400,125.67000,3643.40100,4152.66500,5461.22200,732.22100,1135.16400,161.11500,1794.77300,2526.99400,2.57700,2844.99200,-130.92400,2934.22800,5461.22200
2013-06-30,207.61400,521.54700,438.91200,39.83900,1243.80100,372.71500,120.91000,3455.10800,3948.73300,5192.53400,679.45600,1118.08600,155.36200,1755.93500,2435.39100,2.57100,2731.73200,-174.82000,2757.14300,5192.53400
2013-03-31,177.33500,529.18200,434.04400,39.27100,1214.16400,375.66000,124.13400,3460.51700,3960.31100,5174.47500,799.13700,1115.60300,157.06200,1753.22700,2552.36400,2.56800,2617.99800,-183.21900,2622.11100,5174.47500
2012-12-31,157.98400,507.85000,428.93500,36.67300,1164.74300,383.48300,123.86400,3517.96600,4025.31300,5190.05600,879.96900,1133.12100,158.96300,1774.93600,2654.90500,2.56500,2507.41900,-151.33000,2535.15100,5190.05600
2012-09-30,168.10400,492.86400,407.89800,36.14100,1135.83200,361.68000,142.07400,3253.92500,3757.67900,4893.51100,762.39300,1129.38300,145.07000,1707.25000,2469.64300,2.56100,2402.09200,-141.28500,2423.86800,4893.51100
2012-06-30,168.47200,482.79900,415.61000,36.19900,1132.01000,361.48500,142.16500,3249.54400,3753.19400,4885.20400,896.38000,1122.89300,141.56200,1698.27000,2594.65000,2.55500,2301.25900,-160.95000,2290.55400,4885.20400
2012-03-31,224.45900,468.32100,393.25900,39.11900,1152.86100,334.36900,141.96200,2979.40000,3455.73100,4608.59200,750.14200,1133.16500,126.82700,1669.01700,2419.15900,1.69600,2202.12200,-135.84600,2189.43300,4608.59200
2011-12-31,170.39200,438.24500,380.47100,40.74300,1059.11900,325.32900,145.84800,2789.19400,3260.37100,4319.49000,628.87500,1123.41600,125.30600,1637.81000,2266.68500,2.53800,2101.61500,-157.26300,2052.80500,4319.49000
2011-09-30,223.76400,425.01100,363.83800,34.67700,1080.53700,318.63600,203.23700,2513.89100,3035.76400,4116.30100,518.20700,1070.54000,117.90300,1550.23400,2068.44100,1.68900,2009.32100,-101.91100,2047.86000,4116.30100
2011-06-30,203.11000,439.86500,364.31700,41.63700,1083.13200,331.61400,200.52700,2539.50100,3071.64200,4154.77400,601.89500,1083.28400,122.22600,1567.23600,2169.13100,1.68500,1921.00800,-66.54300,1985.64300,4154.77400
2011-03-31,161.67400,434.51700,351.42400,42.34300,1022.82600,317.63500,200.09200,2352.74500,2870.47200,3893.29800,491.02300,1080.69600,119.03400,1520.05600,2011.07900,1.68200,1836.52900,-73.66100,1882.21900,3893.29800
2010-12-31,168.85300,399.91300,335.25300,43.36700,974.49200,318.12600,191.09600,2335.20100,2844.42300,3818.91500,550.85900,1071.36000,110.02600,1492.85200,2043.71100,1.68100,1755.74200,-91.95800,1775.20400,3818.91500
2010-09-30,140.19300,390.11300,332.43100,47.46500,930.93700,304.18100,164.25300,2179.93400,2648.36800,3579.30500,463.33900,1074.67100,94.43600,1447.86200,1911.20100,1.11500,1684.14000,-104.05800,1668.10400,3579.30500
2010-06-30,235.38500,367.12700,315.74700,43.91500,984.94500,290.43700,163.25600,1828.41000,2282.10300,3267.04800,462.39200,937.29200,96.79600,1251.28000,1713.67200,1.11400,1613.17100,-138.89800,1553.37600,3267.04800
2010-03-31,260.92800,356.18700,305.96000,47.11600,996.28100,298.20700,165.09200,1765.43700,2228.73600,3225.01700,449.32800,946.44800,98.51200,1249.80900,1699.13700,1.11200,1552.01900,-108.54800,1525.88000,3225.01700
2009-12-31,251.35000,331.38300,311.54200,44.48600,969.43000,310.05300,167.37000,1799.17900,2276.60200,3246.03200,424.28200,955.88000,92.49200,1254.72600,1679.00800,1.66500,1500.47100,-75.28100,1567.02400,3246.03200
2009-09-30,207.12700,349.18400,312.53600,54.67600,960.58800,308.33100,115.86900,1784.22700,2208.42700,3169.01500,449.03600,974.28700,68.50200,1235.84200,1684.87800,1.10900,1455.05000,-106.83200,1484.13700,3169.01500
2009-06-30,142.94400,356.83000,325.47200,57.31500,912.30500,309.26300,112.32700,1779.02700,2200.61700,3112.92200,389.86200,1053.88600,64.83500,1299.02900,1688.89100,1.10600,1418.48400,-120.32500,1424.03100,3112.92200
2009-03-31,140.74700,376.89800,340.77900,55.29900,941.74400,300.40300,111.12800,1695.44900,2106.98000,3048.72400,418.46500,1085.13900,81.23000,1304.31700,1722.78200,1.10300,1373.12100,-163.66600,1325.94200,3048.72400
