,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1171.69100,261.84900,80.20300,,1513.74300,249.74400,29.13700,673.13000,47.70100,1121.21800,2634.96100,631.75500,2385.33900,120.40600,2550.48000,3182.23500,0.12500,-1048.26700,-314.21700,,-547.27400,2634.96100
2022-09-30,1041.15500,217.25800,93.70000,,1352.11300,249.90500,32.13800,652.94000,48.14700,1098.19800,2450.31100,497.24600,2384.91500,112.23700,2559.30700,3056.55300,0.12600,-1007.39700,-372.85800,,-606.24200,2450.31100
2022-06-30,1006.69000,200.67700,112.85500,,1320.22200,261.69700,46.94400,1820.08000,52.82600,2286.87800,3607.10000,449.90200,2384.80600,122.45800,2575.90300,3025.80500,0.12700,106.24100,-237.12600,,581.29500,3607.10000
2022-03-31,982.22000,211.79400,101.12300,,1295.13700,271.33300,61.61200,1959.71900,54.38300,2450.03800,3745.17500,483.20500,2385.33700,122.73900,2585.10300,3068.30800,0.12700,95.28500,-91.03100,,676.86700,3745.17500
2021-12-31,984.61200,247.47200,109.41700,,1341.50100,275.06200,85.03400,1978.23400,56.11500,2490.30800,3831.80900,615.58800,2385.70100,122.41700,2587.60200,3203.19000,0.12700,71.74400,-75.01400,,628.61900,3831.80900
2021-09-30,816.83200,191.56600,68.93600,,1077.33400,198.90200,90.35000,1998.31800,33.42500,2424.80400,3502.13800,471.00700,2313.05100,90.30000,2497.50900,2968.51600,0.12700,-21.46700,-69.41200,,533.62200,3502.13800
2021-06-30,2484.60900,156.67800,49.69300,,2690.98000,105.81400,102.80100,318.89900,25.81600,599.43600,3290.41600,407.00000,2314.30000,38.33000,2352.66300,2759.66300,0.12700,-56.97000,-2.63600,,530.75300,3290.41600
2021-03-31,1666.24700,181.09500,46.27700,,1893.61900,107.96000,137.65500,322.05700,28.39700,603.79200,2497.41100,427.04500,1345.38700,41.17200,1386.59200,1813.63700,0.12700,24.77500,-5.36800,,683.77400,2497.41100
2020-12-31,1669.21800,169.41100,56.15200,,1894.78100,112.49500,39.09400,328.25900,29.74500,509.70800,2404.48900,454.66400,1107.27800,41.64200,1207.40100,1662.06500,0.12600,-146.81900,5.95100,,742.42400,2404.48900
2020-09-30,1524.56000,129.68100,43.59000,,1697.83100,118.14100,36.67900,328.86000,31.17500,516.67400,2214.50500,340.94200,1101.75100,41.69700,1206.89600,1547.83800,0.12600,-217.86600,-1.88800,,666.66700,2214.50500
